date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2021-07-22,21.0,21.0,22.7,21.59,807613.0,,
2021-07-23,22.0,21.51,23.85,22.89,133073.0,,6.0213
2021-07-26,23.2,23.2,24.81,23.49,129237.0,,2.6212
2021-07-27,23.63,22.15,23.63,23.2,113647.0,,-1.2346
2021-07-28,23.1,22.86,24.74,24.5,853788.0,23.134,5.6034
2021-07-29,25.04,25.0,28.9,28.54,102373.0,24.524,16.4898
2021-07-30,29.42,27.48,29.42,28.48,44226.0,25.642,-0.2102
2021-08-02,28.76,28.76,29.75,29.29,62439.0,26.802,2.8441
2021-08-03,29.5,29.3,31.25,30.29,53934.0,28.22,3.4141
2021-08-04,30.34,24.94,30.66,25.2,80288.0,28.36,-16.8042
2021-08-05,24.83,23.86,26.73,26.04,67328.0,27.86,3.3333
2021-08-06,25.83,25.6,27.075,26.85,40327.0,27.534,3.1106
2021-08-09,27.24,26.78,28.0,27.55,56567.0,27.186,2.6071
2021-08-10,27.36,26.2,27.47,26.57,32079.0,26.442,-3.5572
2021-08-11,26.79,23.72,26.79,23.82,36498.0,26.166,-10.35
2021-08-12,24.07,23.75,24.86,23.85,50428.0,25.728,0.1259
2021-08-13,23.97,23.8,25.37,25.01,44994.0,25.36,4.8637
2021-08-16,24.5,19.88,24.5,21.09,114450.0,24.068,-15.6737
2021-08-17,20.97,19.37,22.66,19.5,70523.0,22.654,-7.5391
2021-08-18,19.17,19.17,21.05,20.52,47607.0,21.994,5.2308
2021-08-19,20.38,20.04,21.1,20.5,78372.0,21.324,-0.0975
2021-08-20,20.67,20.44,23.02,22.52,68071.0,20.826,9.8537
2021-08-23,22.78,22.17,23.56,22.39,46959.0,21.086,-0.5773
2021-08-24,22.17,22.17,23.22,22.62,49404.0,21.71,1.0272
2021-08-25,22.48,19.85,22.48,19.85,71271.0,21.576,-12.2458
2021-08-26,19.99,19.96,21.8,21.57,48985.0,21.79,8.665
2021-08-27,21.44,19.8,21.88,19.8,53352.0,21.246,-8.2058
2021-08-30,19.85,17.01,19.85,18.21,94678.0,20.41,-8.0303
2021-08-31,18.41,18.37,19.41,18.78,47123.0,19.642,3.1301
2021-09-01,18.94,18.27,19.35,18.88,32425.0,19.448,0.5325
2021-09-02,19.07,18.71,19.59,19.41,17922.0,19.016,2.8072
2021-09-03,19.32,19.1,20.4,20.08,34802.0,19.072,3.4518
2021-09-07,20.03,17.05,20.75,17.25,94756.0,18.88,-14.0936
2021-09-08,17.21,14.11,17.35,14.28,185123.0,17.98,-17.2174
2021-09-09,14.5,13.72,14.69,14.3,103694.0,17.064,0.1401
2021-09-10,14.27,13.75,14.53,14.04,78398.0,15.99,-1.8182
2021-09-13,14.01,13.82,14.37,14.22,46867.0,14.818,1.2821
2021-09-14,14.32,13.89,14.75,14.22,60579.0,14.212,0.0
2021-09-15,14.31,13.96,14.95,13.97,140649.0,14.15,-1.7581
2021-09-16,14.0,12.27,14.26,12.64,129177.0,13.818,-9.5204
2021-09-17,13.2,11.67,13.2,11.97,1587415.0,13.404,-5.3006
2021-09-20,11.72,10.32,11.79,10.97,206239.0,12.754,-8.3542
2021-09-21,11.11,10.235,11.16,10.37,138159.0,11.984,-5.4695
2021-09-22,10.39,10.175,11.57,11.12,90432.0,11.414,7.2324
2021-09-23,11.1,11.03,11.625,11.46,45508.0,11.178,3.0576
2021-09-24,11.26,11.135,11.54,11.31,65657.0,11.046,-1.3089
2021-09-27,11.21,10.82,11.87,11.68,93697.0,11.188,3.2714
2021-09-28,11.51,10.52,11.8,10.88,112959.0,11.29,-6.8493
2021-09-29,11.0,11.0,11.84,11.48,59028.0,11.362,5.5147
2021-09-30,11.57,11.57,12.14,11.63,32402.0,11.396,1.3066
2021-10-01,11.73,11.24,12.485,12.42,73500.0,11.618,6.7928
