date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2022-05-13,17.6,17.6,18.95,18.11,2704814.0,,
2022-05-16,18.0,17.16,18.59,17.99,345502.0,,-0.6626
2022-05-17,18.22,17.79,18.325,18.08,167734.0,,0.5003
2022-05-18,18.05,17.82,18.29,17.98,161437.0,,-0.5531
2022-05-19,17.82,16.75,17.98,16.88,1312123.0,17.808,-6.1179
2022-05-20,17.19,16.9,17.35,17.33,98884.0,17.652,2.6659
2022-05-23,17.46,17.28,17.84,17.84,85499.0,17.622,2.9429
2022-05-24,17.6,17.29,17.9,17.9,77336.0,17.586,0.3363
2022-05-25,17.84,17.69,17.95,17.94,75742.0,17.578,0.2235
2022-05-26,17.79,17.56,18.33,17.94,100407.0,17.79,0.0
2022-05-27,17.8,17.63,18.22,18.19,37674.0,17.962,1.3935
2022-05-31,18.28,18.1,18.51,18.25,67772.0,18.044,0.3299
2022-06-01,18.3,17.93,19.46,18.56,176208.0,18.176,1.6986
2022-06-02,18.6,18.22,18.71,18.5,70246.0,18.288,-0.3233
2022-06-03,18.71,18.71,19.65,19.6,104592.0,18.62,5.9459
2022-06-06,19.9,19.85,20.38,20.21,99710.0,19.024,3.1122
2022-06-07,20.5,20.5,23.11,22.61,275083.0,19.896,11.8753
2022-06-08,22.91,22.47,23.62,22.75,240835.0,20.734,0.6192
2022-06-09,22.89,21.5,23.3,22.64,177966.0,21.562,-0.4835
2022-06-10,22.09,22.09,23.37,22.66,130534.0,22.174,0.0883
2022-06-13,22.0,21.64,22.26,21.98,128274.0,22.528,-3.0009
2022-06-14,22.31,22.06,22.5,22.41,167850.0,22.488,1.9563
2022-06-15,22.54,22.16,23.49,22.88,211957.0,22.514,2.0973
2022-06-16,22.4,22.0,22.77,22.36,235888.0,22.458,-2.2727
2022-06-17,23.0,20.83,23.0,21.26,879522.0,22.178,-4.9195
2022-06-21,21.48,20.28,21.69,21.49,326675.0,22.08,1.0818
2022-06-22,20.36,18.175,20.43,19.31,462628.0,21.46,-10.1443
2022-06-23,19.41,16.86,19.41,18.31,350864.0,20.546,-5.1787
2022-06-24,18.2,17.41,19.48,18.57,289120.0,19.788,1.42
2022-06-27,18.92,18.75,20.15,19.71,127758.0,19.478,6.1389
2022-06-28,19.84,19.45,20.14,19.5,207152.0,19.08,-1.0654
2022-06-29,19.76,18.31,19.76,18.8,112710.0,18.978,-3.5897
2022-06-30,18.47,17.8,18.55,18.31,130525.0,18.978,-2.6064
2022-07-01,18.23,17.36,18.43,18.23,40416.0,18.91,-0.4369
2022-07-05,17.87,16.74,17.87,17.04,77601.0,18.376,-6.5277
2022-07-06,16.81,14.25,17.11,16.61,220423.0,17.798,-2.5235
