date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-12-17,38.75,36.12,38.75,36.12,219475.0,,
2015-12-18,36.5,32.45,36.52,33.26,7010573.0,,-7.9181
2015-12-21,34.01,33.44,34.65,33.81,451744.0,,1.6536
2015-12-22,34.0,33.76,35.19,35.08,787279.0,,3.7563
2015-12-23,35.1,35.08,37.07,36.96,573691.0,35.046,5.3592
2015-12-24,37.02,37.02,37.54,37.45,225150.0,35.312,1.3258
2015-12-28,37.02,36.53,37.31,36.6,189330.0,35.98,-2.2697
2015-12-29,36.6,36.6,37.94,37.67,177969.0,36.752,2.9235
2015-12-30,38.22,37.53,38.7,38.22,184851.0,37.38,1.46
2015-12-31,38.31,38.2,38.9,38.4,102842.0,37.668,0.471
2016-01-04,38.78,37.54,38.78,37.85,128037.0,37.748,-1.4323
2016-01-05,37.94,37.53,38.24,38.13,135053.0,38.054,0.7398
2016-01-06,37.5,37.5,38.36,38.05,186929.0,38.13,-0.2098
2016-01-07,37.56,37.5,38.09,37.8,148871.0,38.046,-0.657
2016-01-08,38.0,37.48,38.09,37.76,102840.0,37.918,-0.1058
2016-01-11,37.9,37.35,38.3,37.39,109234.0,37.826,-0.9799
2016-01-12,37.65,37.11,37.65,37.27,91708.0,37.654,-0.3209
2016-01-13,37.23,36.69,37.58,36.72,100522.0,37.388,-1.4757
2016-01-14,36.68,36.3,37.36,37.2,163326.0,37.268,1.3072
2016-01-15,36.08,36.08,37.86,37.61,135536.0,37.238,1.1022
2016-01-19,38.04,37.64,39.05,38.72,112983.0,37.504,2.9513
2016-01-20,38.78,37.21,38.78,37.47,121122.0,37.544,-3.2283
2016-01-21,38.36,36.75,38.67,37.09,138897.0,37.618,-1.0141
2016-01-22,37.41,36.74,38.16,37.99,100482.0,37.776,2.4265
2016-01-25,38.12,36.84,38.12,37.05,77965.0,37.664,-2.4743
2016-01-26,37.45,37.225,37.67,37.41,60541.0,37.402,0.9717
