date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,70.49,69.74,70.9,70.12,548075.0,70.648,-0.1851
2015-01-05,69.71,68.65,69.75,68.73,995599.0,70.208,-1.9823
2015-01-06,69.03,68.46,69.6,68.68,544356.0,69.744,-0.0727
2015-01-07,69.3,68.83,69.85,69.81,472637.0,69.518,1.6453
2015-01-08,70.25,70.25,71.15,71.15,759401.0,69.698,1.9195
2015-01-09,71.08,70.37,71.1,70.42,780442.0,69.758,-1.026
2015-01-12,70.36,69.57,70.58,69.7,441630.0,69.952,-1.0224
2015-01-13,70.39,69.57,71.17,70.12,587663.0,70.24,0.6026
2015-01-14,68.96,68.85,69.77,69.43,665959.0,70.164,-0.984
2015-01-15,69.44,69.12,69.87,69.23,659927.0,69.78,-0.2881
2015-01-16,69.54,69.5,70.875,70.84,795262.0,69.864,2.3256
2015-01-20,70.97,69.9,71.24,70.36,629532.0,69.996,-0.6776
2015-01-21,70.09,69.62,70.69,70.3,532407.0,70.032,-0.0853
2015-01-22,70.67,70.39,72.11,71.95,583379.0,70.536,2.3471
2015-01-23,71.95,71.41,72.06,71.43,449998.0,70.976,-0.7227
2015-01-26,71.47,71.06,71.76,71.73,626123.0,71.154,0.42
2015-01-27,71.04,70.93,71.79,71.44,440094.0,71.37,-0.4043
2015-01-28,71.65,70.3,72.53,70.32,747647.0,71.374,-1.5677
2015-01-29,70.48,70.28,71.25,71.05,734916.0,71.194,1.0381
2015-01-30,70.44,69.71,70.82,69.79,933207.0,70.866,-1.7734
2015-02-02,69.74,69.17,70.99,70.91,790124.0,70.702,1.6048
2015-02-03,71.16,71.01,72.05,72.03,712652.0,70.82,1.5795
2015-02-04,71.8,71.72,72.87,72.58,925119.0,71.272,0.7636
2015-02-05,70.51,69.86,72.52,72.3,1051723.0,71.522,-0.3858
2015-02-06,72.1,70.72,72.2,70.93,1098157.0,71.75,-1.8949
2015-02-09,70.32,69.85,70.51,70.03,992566.0,71.574,-1.2689
2015-02-10,70.3,69.66,70.44,70.05,1183758.0,71.178,0.0286
2015-02-11,70.14,70.0,71.41,71.18,1153491.0,70.898,1.6131
2015-02-12,71.18,71.17,71.67,71.57,465436.0,70.752,0.5479
2015-02-13,71.37,71.15,71.74,71.46,652745.0,70.858,-0.1537
2015-02-17,71.48,71.14,71.85,71.27,607344.0,71.106,-0.2659
2015-02-18,71.07,70.52,71.215,70.71,744114.0,71.238,-0.7857
2015-02-19,70.65,70.59,71.27,71.17,555998.0,71.236,0.6505
2015-02-20,71.09,70.47,71.71,71.6,752979.0,71.242,0.6042
2015-02-23,71.37,71.07,71.4,71.26,483458.0,71.202,-0.4749
2015-02-24,71.07,71.07,71.87,71.67,527482.0,71.282,0.5754
2015-02-25,71.54,71.09,71.77,71.12,658744.0,71.364,-0.7674
2015-02-26,70.87,70.87,71.42,71.31,625727.0,71.392,0.2672
2015-02-27,71.07,70.59,71.27,70.6,799676.0,71.192,-0.9957
2015-03-02,70.67,70.57,71.18,70.98,426883.0,71.136,0.5382
2015-03-03,70.65,70.27,70.89,70.49,590977.0,70.9,-0.6903
2015-03-04,70.13,69.49,70.23,69.5,654524.0,70.576,-1.4045
2015-03-05,69.79,69.3,69.91,69.56,829898.0,70.226,0.0863
2015-03-06,69.36,68.86,69.94,69.14,772582.0,69.934,-0.6038
2015-03-09,68.75,68.75,69.75,69.59,710342.0,69.656,0.6509
2015-03-10,68.93,68.38,69.13,68.39,793145.0,69.236,-1.7244
2015-03-11,68.7,68.45,69.44,69.09,1080841.0,69.154,1.0235
2015-03-12,69.4,69.33,70.42,70.4,605838.0,69.322,1.8961
2015-03-13,70.02,69.25,70.21,69.56,934664.0,69.406,-1.1932
2015-03-16,69.99,69.9,70.65,70.49,762050.0,69.586,1.337
2015-03-17,70.1,69.64,70.2,69.98,949571.0,69.904,-0.7235
2015-03-18,70.0,69.5,70.9,70.62,943354.0,70.21,0.9145
2015-03-19,70.7,70.32,71.25,70.6,820988.0,70.25,-0.0283
2015-03-20,70.72,70.7,71.63,71.46,1318682.0,70.63,1.2181
2015-03-23,71.9,71.8,72.32,71.89,670926.0,70.91,0.6017
2015-03-24,71.73,71.08,71.87,71.34,684924.0,71.182,-0.7651
2015-03-25,71.55,70.49,71.55,70.55,646064.0,71.168,-1.1074
2015-03-26,70.3,69.99,70.53,70.2,556173.0,71.088,-0.4961
2015-03-27,70.18,69.89,70.35,70.05,514339.0,70.806,-0.2137
2015-03-30,70.36,70.09,71.37,70.95,744505.0,70.618,1.2848
2015-03-31,70.5,70.09,71.29,71.17,891098.0,70.584,0.3101
2015-04-01,71.18,70.97,71.9,71.29,947010.0,70.732,0.1686
2015-04-02,71.29,71.14,71.65,71.45,856664.0,70.982,0.2244
2015-04-06,71.07,70.9,72.5,72.12,916073.0,71.396,0.9377
2015-04-07,72.15,71.47,72.38,71.47,418023.0,71.5,-0.9013
2015-04-08,71.56,71.45,72.0,71.58,652067.0,71.582,0.1539
2015-04-09,71.61,71.61,72.01,71.9,598376.0,71.704,0.4471
2015-04-10,72.0,71.64,72.24,72.03,679697.0,71.82,0.1808
2015-04-13,71.67,71.67,72.39,71.98,408765.0,71.792,-0.0694
2015-04-14,71.77,71.39,72.09,71.5,558858.0,71.798,-0.6669
2015-04-15,71.61,71.61,72.25,71.94,484489.0,71.87,0.6154
2015-04-16,71.86,71.53,72.3,72.04,457309.0,71.898,0.139
2015-04-17,71.49,70.6,71.57,70.87,622041.0,71.666,-1.6241
2015-04-20,71.32,71.25,71.67,71.35,503516.0,71.54,0.6773
2015-04-21,71.33,70.73,71.54,70.82,434362.0,71.404,-0.7428
2015-04-22,70.77,70.4,71.01,70.88,336088.0,71.192,0.0847
2015-04-23,70.68,70.62,71.26,70.81,398357.0,70.946,-0.0988
2015-04-24,70.63,70.49,71.12,70.95,489214.0,70.962,0.1977
2015-04-27,71.28,70.23,71.28,70.31,530678.0,70.754,-0.902
2015-04-28,70.21,70.11,70.97,70.69,418812.0,70.728,0.5405
2015-04-29,70.25,69.76,70.72,70.25,513912.0,70.602,-0.6224
2015-04-30,70.14,69.37,70.37,69.66,1053963.0,70.372,-0.8399
2015-05-01,70.13,69.8,70.35,69.95,479209.0,70.172,0.4163
2015-05-04,70.0,69.66,70.18,69.82,1045247.0,70.074,-0.1858
2015-05-05,69.62,69.62,70.32,70.0,499012.0,69.936,0.2578
2015-05-06,69.05,66.9,69.25,67.31,1445449.0,69.348,-3.8429
2015-05-07,67.15,66.99,67.86,67.72,754644.0,68.96,0.6091
2015-05-08,68.35,67.09,68.4,67.27,994646.0,68.424,-0.6645
2015-05-11,67.27,66.69,67.4,66.87,728994.0,67.834,-0.5946
2015-05-12,66.73,66.63,67.1,66.91,633328.0,67.216,0.0598
2015-05-13,66.69,66.57,67.04,66.99,639068.0,67.152,0.1196
2015-05-14,67.21,67.19,67.67,67.64,547833.0,67.136,0.9703
