date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,97.97,96.575,99.58,97.77,145873.0,97.36,0.7938
2015-01-05,96.44,93.88,96.44,95.38,174779.0,96.852,-2.4445
2015-01-06,95.77,92.4,97.47,94.02,352690.0,96.234,-1.4259
2015-01-07,94.85,93.88,95.67,94.86,164792.0,95.806,0.8934
2015-01-08,97.35,94.83,102.0,101.7,263294.0,96.746,7.2106
2015-01-09,102.14,98.25,102.59,101.3,142927.0,97.452,-0.3933
2015-01-12,103.22,102.58,106.42,103.78,199842.0,99.132,2.4482
2015-01-13,105.57,104.38,108.86,104.97,206714.0,101.322,1.1467
2015-01-14,102.41,102.41,105.17,103.55,153694.0,103.06,-1.3528
2015-01-15,103.78,98.24,103.9,98.64,164062.0,102.448,-4.7417
2015-01-16,98.14,97.88,101.03,100.77,184304.0,102.342,2.1594
2015-01-20,100.49,95.89,101.94,96.25,269294.0,100.836,-4.4855
2015-01-21,92.5,86.6,92.87,87.36,1687542.0,97.314,-9.2364
2015-01-22,88.9,85.05,93.56,93.17,883867.0,95.238,6.6506
2015-01-23,92.66,91.57,94.99,93.42,238398.0,94.194,0.2683
2015-01-26,93.41,93.41,96.17,95.205,254523.0,93.081,1.9107
2015-01-27,94.25,94.25,96.34,95.5,219431.0,92.931,0.3099
2015-01-28,96.8,90.5,96.8,90.88,271859.0,93.635,-4.8377
2015-01-29,92.57,90.0,93.49,93.43,288261.0,93.687,2.8059
2015-01-30,92.56,92.05,95.34,93.83,420161.0,93.769,0.4281
2015-02-02,94.75,90.4,94.78,92.26,214493.0,93.18,-1.6732
2015-02-03,93.18,86.24,93.18,88.85,317054.0,91.85,-3.6961
2015-02-04,88.4,82.11,88.4,85.57,267024.0,90.788,-3.6916
2015-02-05,86.16,85.81,91.46,91.15,195503.0,90.332,6.521
2015-02-06,89.86,88.09,92.28,89.1,147636.0,89.386,-2.249
2015-02-09,89.11,87.35,90.86,87.8,95876.0,88.494,-1.459
2015-02-10,88.66,88.66,93.52,93.01,179688.0,89.326,5.9339
2015-02-11,92.12,91.61,94.92,93.41,250355.0,90.894,0.4301
2015-02-12,94.95,91.08,94.95,93.87,188806.0,91.438,0.4925
2015-02-13,96.0,93.21,96.07,95.54,157810.0,92.726,1.7791
2015-02-17,95.17,94.46,97.74,96.68,171037.0,94.502,1.1932
2015-02-18,96.85,93.81,97.34,97.21,169320.0,95.342,0.5482
2015-02-19,96.81,96.31,99.13,98.94,179312.0,96.448,1.7797
2015-02-20,98.67,98.3,102.66,102.39,183226.0,98.152,3.487
2015-02-23,102.85,100.0,105.09,104.1,256880.0,99.864,1.6701
2015-02-24,104.14,102.93,105.78,105.23,194887.0,101.574,1.0855
2015-02-25,105.1,104.3,107.8,106.66,203512.0,103.464,1.3589
2015-02-26,106.36,102.4,106.36,104.39,148324.0,104.554,-2.1283
2015-02-27,104.8,100.14,105.15,101.53,180757.0,104.382,-2.7397
2015-03-02,102.51,101.97,105.69,105.4,170232.0,104.642,3.8117
2015-03-03,105.98,103.1,107.23,106.91,138053.0,104.978,1.4326
2015-03-04,106.13,104.6,109.27,107.23,195977.0,105.092,0.2993
2015-03-05,108.46,107.3,115.4,111.56,281560.0,106.526,4.038
2015-03-06,112.42,107.06,112.42,107.67,142091.0,107.754,-3.4869
2015-03-09,107.15,103.58,108.15,106.95,225166.0,108.064,-0.6687
2015-03-10,106.03,104.53,112.19,109.75,160639.0,108.632,2.618
2015-03-11,110.48,108.79,114.54,113.6,217634.0,109.906,3.508
2015-03-12,114.17,111.16,114.17,113.9,176282.0,110.374,0.2641
2015-03-13,114.08,111.82,114.8,113.57,119349.0,111.554,-0.2897
2015-03-16,114.47,112.41,116.99,115.94,177677.0,113.352,2.0868
2015-03-17,116.81,114.71,120.0,116.29,315348.0,114.66,0.3019
2015-03-18,115.65,111.42,116.87,112.8,240885.0,114.5,-3.0011
2015-03-19,113.92,113.01,121.8,119.7,247067.0,115.66,6.117
2015-03-20,120.58,116.29,120.58,117.46,738191.0,116.438,-1.8713
2015-03-23,116.41,110.62,116.41,111.49,297065.0,115.548,-5.0826
2015-03-24,112.36,108.015,112.95,110.06,167233.0,114.302,-1.2826
2015-03-25,108.97,101.61,110.7,101.78,286618.0,112.098,-7.5232
2015-03-26,98.64,97.2,101.97,99.64,317627.0,108.086,-2.1026
2015-03-27,99.75,99.72,104.93,104.06,222070.0,105.406,4.436
2015-03-30,105.0,102.0,107.95,107.78,260153.0,104.664,3.5749
2015-03-31,107.0,104.34,109.63,104.42,244181.0,103.536,-3.1175
2015-04-01,103.76,98.63,105.3,105.26,317008.0,104.232,0.8044
2015-04-02,105.57,102.0,106.98,104.41,179702.0,105.186,-0.8075
2015-04-06,103.37,103.27,106.22,103.69,297864.0,105.112,-0.6896
2015-04-07,103.8,103.8,108.16,104.05,145931.0,104.366,0.3472
2015-04-08,104.99,104.99,107.58,106.5,167007.0,104.782,2.3546
2015-04-09,106.38,104.66,109.03,107.8,166514.0,105.29,1.2207
2015-04-10,108.0,108.0,114.69,114.22,243144.0,107.252,5.9555
2015-04-13,114.24,114.12,117.46,115.24,205175.0,109.562,0.893
