date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2017-05-04,18.61,17.55,18.61,17.6,9110.0,,
2017-05-05,17.63,17.5,17.84,17.59,10437.0,,-0.0568
2017-05-08,17.63,17.57,17.9,17.84,9159.0,,1.4213
2017-05-09,17.99,17.36,18.05,17.94,19564.0,,0.5605
2017-05-10,17.83,17.6,18.12,18.11,8480.0,17.816,0.9476
2017-05-11,18.02,17.72,18.3,18.15,20167.0,17.926,0.2209
2017-05-12,18.091,17.95,18.25,18.16,12992.0,18.04,0.0551
2017-05-15,18.24,17.66,18.24,17.7,16537.0,18.012,-2.533
2017-05-16,17.85,17.57,17.97,17.65,20616.0,17.954,-0.2825
2017-05-17,17.6,17.37,17.62,17.61,21526.0,17.854,-0.2266
2017-05-18,17.51,17.01,17.51,17.28,9143.0,17.68,-1.8739
2017-05-19,17.34,17.34,17.69,17.66,8549.0,17.58,2.1991
2017-05-22,17.49,17.47,18.0,17.6,22266.0,17.56,-0.3398
2017-05-23,17.67,17.23,17.67,17.55,12103.0,17.54,-0.2841
2017-05-24,17.5,17.27,17.58,17.46,13503.0,17.51,-0.5128
2017-05-25,17.49,16.92,17.62,17.36,9146.0,17.526,-0.5727
2017-05-26,17.48,17.05,17.48,17.29,8696.0,17.452,-0.4032
2017-05-30,17.17,17.17,17.67,17.49,8502.0,17.43,1.1567
2017-05-31,17.22,17.05,17.34,17.16,58195.0,17.352,-1.8868
2017-06-01,17.1,16.81,17.1,16.9,114826.0,17.24,-1.5152
2017-06-02,16.9,16.08,16.9,16.53,14334.0,17.074,-2.1893
2017-06-05,16.4,16.16,16.53,16.26,8371.0,16.868,-1.6334
2017-06-06,16.05,16.03,16.36,16.31,19087.0,16.632,0.3075
2017-06-07,16.2,15.88,16.2,15.97,22805.0,16.394,-2.0846
2017-06-08,15.86,15.6,15.94,15.81,12338.0,16.176,-1.0019
2017-06-09,15.9,15.62,16.09,15.9,32953.0,16.05,0.5693
2017-06-12,15.97,15.12,16.02,15.45,29171.0,15.888,-2.8302
2017-06-13,15.48,15.25,15.97,15.86,10021.0,15.798,2.6537
2017-06-14,15.75,14.62,15.75,14.84,19794.0,15.572,-6.4313
2017-06-15,14.77,14.21,14.77,14.5,26402.0,15.31,-2.2911
2017-06-16,14.66,14.25,14.66,14.53,29088.0,15.036,0.2069
2017-06-19,14.51,14.13,14.57,14.17,14966.0,14.78,-2.4776
2017-06-20,14.09,13.21,14.09,13.34,65221.0,14.276,-5.8574
2017-06-21,13.27,11.65,13.34,11.77,106266.0,13.662,-11.7691
2017-06-22,11.77,11.56,12.1,11.68,78653.0,13.098,-0.7647
2017-06-23,11.68,10.88,12.0,11.08,1299702.0,12.408,-5.137
2017-06-26,11.15,11.14,11.909,11.81,58971.0,11.936,6.5884
2017-06-27,11.88,11.7,12.24,11.92,35717.0,11.652,0.9314
2017-06-28,11.96,11.96,12.24,12.2,19440.0,11.738,2.349
2017-06-29,12.22,12.05,12.99,12.97,65942.0,11.996,6.3115
2017-06-30,12.96,12.56,13.06,12.67,22190.0,12.314,-2.313
2017-07-03,12.7,12.7,13.37,13.33,15966.0,12.618,5.2092
2017-07-05,13.38,12.45,13.38,12.61,42324.0,12.756,-5.4014
2017-07-06,12.6,12.51,12.86,12.75,43590.0,12.866,1.1102
2017-07-07,12.68,12.42,12.81,12.77,21880.0,12.826,0.1569
2017-07-10,12.68,12.68,12.96,12.95,18023.0,12.882,1.4096
2017-07-11,12.94,12.84,13.22,13.2,37730.0,12.856,1.9305
2017-07-12,13.37,13.0,13.37,13.06,14517.0,12.946,-1.0606
2017-07-13,13.03,12.96,13.21,13.19,16030.0,13.034,0.9954
2017-07-14,13.18,13.11,13.38,13.25,10308.0,13.13,0.4549
2017-07-17,13.26,13.24,13.62,13.53,23294.0,13.246,2.1132
2017-07-18,13.52,12.94,13.7,13.13,18608.0,13.232,-2.9564
2017-07-19,13.06,13.06,13.42,13.33,11602.0,13.286,1.5232
2017-07-20,13.32,13.24,13.64,13.29,15524.0,13.306,-0.3001
2017-07-21,13.49,13.15,13.51,13.36,18809.0,13.328,0.5267
2017-07-24,13.35,12.86,13.35,12.91,9821.0,13.204,-3.3683
2017-07-25,12.94,12.94,13.59,13.37,12799.0,13.252,3.5631
2017-07-26,13.44,12.72,13.65,13.3,20762.0,13.246,-0.5236
2017-07-27,13.6,13.14,13.61,13.4,83390.0,13.268,0.7519
2017-07-28,13.7,13.35,13.93,13.67,79220.0,13.33,2.0149
2017-07-31,13.58,13.58,14.24,14.18,21099.0,13.584,3.7308
