date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,5.69,5.69,5.86,5.79,1300.0,5.568,6.044
2015-01-05,5.8,5.67,5.8,5.79,1113.0,5.656,0.0
2015-01-06,5.66,5.66,5.7,5.7,320.0,5.67,-1.5544
2015-01-07,5.85,5.85,5.85,5.85,328.0,5.718,2.6316
2015-01-08,5.83,5.83,5.83,5.83,200.0,5.792,-0.3419
2015-01-09,5.73,5.73,5.73,5.73,209.0,5.78,-1.7153
2015-01-12,5.58,5.58,5.62,5.6,626.0,5.742,-2.2688
2015-01-14,5.39,5.39,5.4,5.4,353.0,5.682,-3.5714
2015-01-16,5.22,5.2,5.22,5.2,4017.0,5.552,-3.7037
2015-01-20,5.2,5.2,5.2,5.2,222.0,5.426,0.0
2015-01-21,5.358,5.358,5.4,5.38,5522.0,5.356,3.4615
2015-01-22,5.4,5.4,5.4,5.4,389.0,5.316,0.3717
2015-01-23,5.43,5.4,5.47,5.41,3555.0,5.318,0.1852
2015-01-26,5.55,5.45,5.55,5.45,300.0,5.368,0.7394
2015-01-27,5.45,5.45,5.45,5.45,500.0,5.418,0.0
2015-01-28,5.48,5.48,5.48,5.48,100.0,5.438,0.5505
2015-01-29,5.46,5.46,5.6,5.6,347.0,5.478,2.1898
2015-02-02,5.48,5.48,5.48,5.48,100.0,5.492,-2.1429
2015-02-04,5.697,5.45,5.7,5.45,2055.0,5.492,-0.5474
2015-02-05,5.5,5.5,5.5,5.5,201.0,5.502,0.9174
2015-02-09,5.46,5.46,5.46,5.46,128.0,5.498,-0.7273
2015-02-10,5.45,5.45,5.456,5.456,300.0,5.4692,-0.0733
2015-02-11,5.45,5.45,5.45,5.45,216.0,5.4632,-0.11
2015-02-17,5.47,5.45,5.47,5.45,1100.0,5.4632,0.0
2015-02-18,5.45,5.45,5.45,5.45,149.0,5.4532,0.0
2015-02-20,5.45,5.45,5.45,5.45,4.0,5.4512,0.0
2015-02-23,5.45,5.45,5.45,5.45,2.0,5.45,0.0
2015-02-24,5.6,5.6,5.72,5.66,1806.0,5.492,3.8532
2015-02-25,5.66,5.45,5.66,5.45,8238.0,5.492,-3.7102
2015-02-26,5.3,5.14,5.3,5.21,407.0,5.444,-4.4037
2015-02-27,5.21,5.21,5.21,5.21,3.0,5.396,0.0
2015-03-02,5.22,5.14,5.22,5.14,203.0,5.334,-1.3436
2015-03-03,5.05,5.05,5.05,5.05,796.0,5.212,-1.751
2015-03-04,5.05,5.05,5.05,5.05,26.0,5.132,0.0
2015-03-05,5.055,5.055,5.055,5.055,200.0,5.101,0.099
2015-03-06,5.18,5.12,5.18,5.12,400.0,5.083,1.2859
2015-03-11,5.13,5.05,5.13,5.05,262.0,5.065,-1.3672
2015-03-13,5.05,5.05,5.05,5.05,228.0,5.065,0.0
2015-03-16,5.13,5.13,5.13,5.13,193.0,5.081,1.5842
2015-03-17,5.08,5.05,5.08,5.05,400.0,5.08,-1.5595
2015-03-18,5.139,5.139,5.139,5.139,105.0,5.0838,1.7624
2015-03-19,5.25,5.25,5.25,5.25,252.0,5.1238,2.16
2015-03-20,5.155,5.15,5.155,5.15,569.0,5.1438,-1.9048
2015-03-24,5.2,5.2,5.2,5.2,901.0,5.1578,0.9709
2015-03-25,5.33,5.33,5.33,5.33,160.0,5.2138,2.5
2015-03-26,5.33,5.33,5.33,5.33,1.0,5.252,0.0
2015-03-27,5.33,5.33,5.33,5.33,1.0,5.268,0.0
2015-03-30,5.17,5.17,5.17,5.17,238.0,5.272,-3.0019
2015-03-31,5.239,5.239,5.74,5.39,6635.0,5.31,4.2553
2015-04-01,5.49,5.49,5.5,5.5,300.0,5.344,2.0408
2015-04-02,5.41,5.27,5.41,5.27,524.0,5.332,-4.1818
2015-04-06,5.3,5.3,5.3,5.3,133.0,5.326,0.5693
2015-04-07,5.21,5.2,5.21,5.2,209.0,5.332,-1.8868
2015-04-08,5.15,5.15,5.25,5.25,416.0,5.304,0.9615
2015-04-09,5.36,5.36,5.36,5.36,200.0,5.276,2.0952
2015-04-10,5.49,5.49,5.49,5.49,103.0,5.32,2.4254
2015-04-13,5.5,5.5,5.57,5.57,708.0,5.374,1.4572
2015-04-14,5.85,5.85,5.9,5.855,400.0,5.505,5.1167
2015-04-15,5.82,5.78,5.82,5.78,300.0,5.611,-1.281
2015-04-16,5.86,5.77,5.86,5.77,400.0,5.693,-0.173
2015-04-20,5.72,5.72,5.72,5.72,111.0,5.739,-0.8666
2015-04-22,5.92,5.9,5.95,5.9,400.0,5.805,3.1469
2015-04-23,5.63,5.63,5.63,5.63,100.0,5.76,-4.5763
2015-04-24,5.38,4.73,5.38,4.73,9792.0,5.55,-15.9858
2015-04-27,4.86,4.85,4.94,4.89,3001.0,5.374,3.3827
2015-04-28,4.89,4.89,4.89,4.89,128.0,5.208,0.0
2015-04-29,5.0,4.86,5.0,4.86,502.0,5.0,-0.6135
2015-04-30,4.85,4.85,4.9,4.85,1503.0,4.844,-0.2058
2015-05-01,4.85,4.85,4.85,4.85,50.0,4.868,0.0
2015-05-04,4.85,4.85,4.85,4.85,1.0,4.86,0.0
2015-05-05,4.88,4.88,5.01,5.01,509.0,4.884,3.299
2015-05-08,5.01,5.01,5.01,5.01,14.0,4.914,0.0
2015-05-11,4.88,4.88,4.88,4.88,308.0,4.92,-2.5948
2015-05-13,5.1,5.1,5.1,5.1,500.0,4.97,4.5082
2015-05-14,4.9,4.88,4.9,4.88,600.0,4.976,-4.3137
2015-05-15,5.07,4.99,5.07,4.99,743.0,4.972,2.2541
2015-05-18,4.98,4.98,5.179,5.179,977.0,5.0058,3.7876
2015-05-19,5.199,5.16,5.199,5.16,291.0,5.0618,-0.3669
2015-05-20,5.11,5.11,5.11,5.11,408.0,5.0638,-0.969
2015-05-22,5.11,5.11,5.11,5.11,7.0,5.1098,0.0
2015-05-26,5.08,5.08,5.08,5.08,122.0,5.1278,-0.5871
2015-05-27,5.05,5.05,5.15,5.08,500.0,5.108,0.0
2015-05-29,5.05,5.05,5.05,5.05,100.0,5.086,-0.5906
2015-06-01,5.06,5.04,5.22,5.14,1223.0,5.092,1.7822
2015-06-02,5.1,5.0,5.1,5.0,300.0,5.07,-2.7237
2015-06-03,5.14,5.14,5.14,5.14,325.0,5.082,2.8
2015-06-04,5.07,5.05,5.07,5.05,240.0,5.076,-1.751
2015-06-05,4.93,4.9,5.05,5.05,721.0,5.076,0.0
2015-06-08,4.91,4.88,4.99,4.99,2281.0,5.046,-1.1881
2015-06-09,4.9,4.9,4.91,4.91,882.0,5.028,-1.6032
2015-06-10,5.07,5.0,5.14,5.0,1747.0,5.0,1.833
2015-06-11,5.0,5.0,5.03,5.03,505.0,4.996,0.6
2015-06-12,5.02,5.0,5.02,5.0,2444.0,4.986,-0.5964
