date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2020-10-15,29.5,29.1,37.3,36.45,14843711.0,,
2020-10-16,37.48,36.71,41.87,38.95,2284040.0,,6.8587
2020-10-19,38.85,38.48,40.47,38.95,524714.0,,0.0
2020-10-20,39.28,37.31,40.71,38.5,630953.0,,-1.1553
2020-10-21,38.12,37.46,42.09,39.34,3535824.0,38.438,2.1818
2020-10-22,38.98,38.1,44.44,43.94,609242.0,39.936,11.6929
2020-10-23,43.58,38.97,44.01,42.0,614793.0,40.546,-4.4151
2020-10-26,41.05,38.4,41.73,39.5,356653.0,40.656,-5.9524
2020-10-27,39.5,37.33,39.52,38.0,297816.0,40.556,-3.7975
2020-10-28,36.51,35.79,38.74,37.46,362976.0,40.18,-1.4211
2020-10-29,37.61,36.59,38.1,37.81,122883.0,38.954,0.9343
2020-10-30,36.96,34.57,37.2,36.85,205858.0,37.924,-2.539
2020-11-02,37.74,36.61,38.39,36.78,182824.0,37.38,-0.19
2020-11-03,37.14,36.62,38.5,37.57,305274.0,37.294,2.1479
2020-11-04,36.63,34.25,37.49,35.94,379529.0,36.99,-4.3386
2020-11-05,37.33,36.75,42.35,39.34,391778.0,37.296,9.4602
2020-11-06,38.6,38.1,48.81,44.81,730335.0,38.888,13.9044
2020-11-09,44.8,38.5,45.5,42.0,465981.0,39.932,-6.2709
2020-11-10,41.25,35.715,41.3,39.7,465754.0,40.358,-5.4762
2020-11-11,40.16,38.9,40.83,39.16,135046.0,41.002,-1.3602
2020-11-12,39.15,37.07,39.61,37.63,151928.0,40.66,-3.907
2020-11-13,38.56,37.68,40.565,38.47,163755.0,39.392,2.2323
2020-11-16,39.0,38.69,39.84,39.32,155159.0,38.856,2.2095
2020-11-17,39.5,38.75,40.355,40.05,249926.0,38.926,1.8566
2020-11-18,40.34,40.25,44.25,41.97,635262.0,39.488,4.794
2020-11-19,41.5,41.37,43.94,42.7,103833.0,40.502,1.7393
2020-11-20,42.97,42.62,45.84,45.1,242970.0,41.828,5.6206
2020-11-23,45.6,42.47,46.85,45.1,269343.0,42.984,0.0
2020-11-24,45.67,43.43,50.99,46.2,369800.0,44.214,2.439
2020-11-25,46.05,45.38,48.53,47.43,169040.0,45.306,2.6623
2020-11-27,48.4,46.61,49.52,47.11,173650.0,46.188,-0.6747
2020-11-30,48.15,43.81,48.15,45.58,378644.0,46.284,-3.2477
2020-12-01,42.02,40.29,43.29,40.6,555327.0,45.384,-10.9258
2020-12-02,40.4,37.22,40.4,37.6,582886.0,43.664,-7.3892
2020-12-03,37.5,35.65,38.42,35.85,3892933.0,41.348,-4.6543
2020-12-04,36.17,33.83,36.9,34.09,970877.0,38.744,-4.9093
2020-12-07,35.0,33.5,35.93,35.18,735086.0,36.664,3.1974
2020-12-08,36.03,35.31,36.78,36.57,1081845.0,35.858,3.9511
2020-12-09,37.75,35.7,38.21,36.12,1217969.0,35.562,-1.2305
2020-12-10,35.7,35.51,36.85,36.1,560841.0,35.612,-0.0554
2020-12-11,36.1,35.3,37.0,36.47,459339.0,36.088,1.0249
2020-12-14,36.8,36.5,37.37,36.95,658170.0,36.442,1.3162
2020-12-15,37.05,36.05,38.88,38.64,552932.0,36.856,4.5737
2020-12-16,38.88,38.2,40.88,40.49,703222.0,37.73,4.7878
2020-12-17,41.0,39.69,42.08,41.91,648980.0,38.892,3.507
2020-12-18,41.92,41.37,43.32,42.0,6219286.0,39.998,0.2147
2020-12-21,40.9,40.11,43.74,43.08,522386.0,41.224,2.5714
2020-12-22,43.73,42.51,44.9,44.27,666630.0,42.35,2.7623
2020-12-23,44.94,44.86,46.22,45.1,811927.0,43.272,1.8749
2020-12-24,44.08,43.67,45.15,44.18,267795.0,43.726,-2.0399
2020-12-28,44.31,42.99,46.69,43.41,417927.0,44.008,-1.7429
2020-12-29,42.94,40.38,43.145,42.44,439588.0,43.88,-2.2345
2020-12-30,42.27,42.09,43.61,43.47,1700935.0,43.72,2.427
2020-12-31,43.09,42.78,43.73,43.14,296659.0,43.328,-0.7591
2021-01-04,43.5,41.24,43.7,42.42,488008.0,42.976,-1.669
2021-01-05,42.09,41.07,43.89,41.91,440781.0,42.676,-1.2023
2021-01-06,45.0,44.44,48.32,47.04,1101092.0,43.596,12.2405
2021-01-07,48.65,48.65,51.32,49.7,593796.0,44.842,5.6548
2021-01-08,52.99,49.89,54.78,50.76,749589.0,46.366,2.1328
2021-01-11,47.81,46.88,52.0,51.0,394269.0,48.082,0.4728
2021-01-12,51.7,49.285,52.04,51.01,545766.0,49.902,0.0196
2021-01-13,50.78,49.41,51.22,49.5,213758.0,50.394,-2.9602
2021-01-14,49.88,48.37,51.26,48.46,293950.0,50.146,-2.101
2021-01-15,48.42,45.02,48.47,45.93,343133.0,49.18,-5.2208
2021-01-19,46.6,46.23,48.38,48.36,421344.0,48.652,5.2907
2021-01-20,49.88,47.68,50.37,48.2,393098.0,48.09,-0.3309
2021-01-21,47.62,47.45,49.7,49.7,388498.0,48.13,3.112
2021-01-22,49.32,48.42,51.05,51.05,475579.0,48.648,2.7163
2021-01-25,51.4,47.75,52.63,48.36,459561.0,49.134,-5.2693
2021-01-26,48.64,45.74,48.85,45.91,324248.0,48.644,-5.0662
2021-01-27,44.01,41.03,45.4,41.28,568954.0,47.26,-10.0849
2021-01-28,43.62,41.31,43.65,42.26,453837.0,45.772,2.374
2021-01-29,42.5,40.21,42.57,40.76,462114.0,43.714,-3.5495
2021-02-01,41.56,40.05,42.21,41.03,307644.0,42.248,0.6624
2021-02-02,42.32,41.57,43.81,43.37,563762.0,41.74,5.7031
2021-02-03,44.11,42.2,44.11,43.08,248154.0,42.1,-0.6687
2021-02-04,43.75,42.81,45.3,43.98,388570.0,42.444,2.0891
2021-02-05,44.74,43.25,44.75,43.81,308922.0,43.054,-0.3865
2021-02-08,43.95,43.06,45.01,43.89,292197.0,43.626,0.1826
2021-02-09,44.25,42.74,45.0,44.05,264032.0,43.762,0.3645
2021-02-10,44.16,43.3,45.52,44.12,607105.0,43.97,0.1589
2021-02-11,44.57,43.75,44.57,44.15,237098.0,44.004,0.068
2021-02-12,43.59,42.48,44.34,44.34,230865.0,44.11,0.4304
2021-02-16,45.0,43.35,46.24,43.47,339430.0,44.026,-1.9621
2021-02-17,43.08,40.75,43.33,41.96,424343.0,43.608,-3.4737
2021-02-18,41.0,39.11,41.0,40.53,320889.0,42.89,-3.408
2021-02-19,41.14,39.63,41.3,40.06,509264.0,42.072,-1.1596
2021-02-22,40.9,37.34,41.0,38.5,966738.0,40.904,-3.8942
2021-02-23,36.3,33.62,38.95,38.94,602465.0,39.998,1.1429
2021-02-24,39.16,38.16,40.3,39.44,397889.0,39.494,1.284
2021-02-25,39.05,37.12,39.52,38.08,446808.0,39.004,-3.4483
2021-02-26,38.1,36.51,38.58,37.08,312025.0,38.408,-2.6261
2021-03-01,39.8,38.47,40.72,39.9,535381.0,38.688,7.6052
2021-03-02,40.0,37.8,40.81,38.1,287071.0,38.52,-4.5113
2021-03-03,38.15,36.52,38.41,37.1,546244.0,38.052,-2.6247
2021-03-04,36.59,34.03,37.39,35.55,547558.0,37.546,-4.1779
2021-03-05,36.5,30.92,36.5,34.22,642441.0,36.974,-3.7412
2021-03-08,33.59,32.83,35.17,33.3,440203.0,35.654,-2.6885
2021-03-09,34.08,34.08,36.14,35.03,724946.0,35.04,5.1952
2021-03-10,33.95,31.86,35.73,33.52,1105598.0,34.324,-4.3106
2021-03-11,34.85,34.19,35.6,35.07,526176.0,34.228,4.6241
2021-03-12,33.97,33.62,35.1,34.56,487639.0,34.296,-1.4542
2021-03-15,35.15,34.55,36.8,35.35,765542.0,34.706,2.2859
2021-03-16,35.78,34.39,37.47,35.94,633087.0,34.888,1.669
2021-03-17,33.41,30.84,33.41,31.61,1624320.0,34.506,-12.0479
2021-03-18,31.58,29.21,31.87,29.64,1226233.0,33.42,-6.2322
2021-03-19,28.26,28.12,30.33,29.65,12486935.0,32.438,0.0337
2021-03-22,29.83,29.56,30.48,30.0,1281183.0,31.368,1.1804
2021-03-23,30.3,28.81,30.58,29.11,2324020.0,30.002,-2.9667
2021-03-24,29.26,27.56,29.8,27.65,1956726.0,29.21,-5.0155
2021-03-25,26.61,26.13,28.14,28.0,1093691.0,28.882,1.2658
2021-03-26,28.06,27.31,29.0,28.46,1892257.0,28.644,1.6429
2021-03-29,29.45,26.75,29.56,27.23,584967.0,28.09,-4.3219
2021-03-30,27.0,26.27,29.25,29.21,905592.0,28.11,7.2714
2021-03-31,29.56,29.4,30.22,29.82,818747.0,28.544,2.0883
2021-04-01,30.22,29.63,30.55,30.02,811723.0,28.948,0.6707
2021-04-05,30.5,27.62,30.52,28.27,599121.0,28.91,-5.8294
2021-04-06,28.42,28.34,29.44,29.29,775749.0,29.322,3.6081
2021-04-07,29.48,28.79,30.24,29.51,444627.0,29.382,0.7511
2021-04-08,29.58,28.94,30.22,30.22,483721.0,29.462,2.406
2021-04-09,29.97,29.37,30.2,29.82,353494.0,29.422,-1.3236
2021-04-12,29.64,29.22,30.25,29.57,629568.0,29.682,-0.8384
2021-04-13,29.68,28.75,29.79,29.1,542767.0,29.644,-1.5894
2021-04-14,29.23,28.82,29.75,29.02,766187.0,29.546,-0.2749
2021-04-15,29.16,26.42,29.21,26.66,1039275.0,28.834,-8.1323
2021-04-16,27.65,27.6,28.62,27.72,1101629.0,28.414,3.976
2021-04-19,27.73,26.365,27.91,26.64,618986.0,27.828,-3.8961
