date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2020-10-07,9.95,9.9,9.95,9.9,7200.0,,
2020-10-08,9.9,9.9,9.9,9.9,19800.0,,0.0
2020-10-09,9.9,9.8,9.9,9.8,1900.0,,-1.0101
2020-10-12,9.86,9.85,9.87,9.86,7599.0,,0.6122
2020-10-15,9.86,9.77,9.87,9.8,42656.0,9.852,-0.6085
2020-10-16,9.99,9.85,9.99,9.85,84.0,9.842,0.5102
2020-10-19,9.85,9.85,9.85,9.85,3356.0,9.832,0.0
2020-10-22,9.85,9.85,9.85,9.85,1.0,9.842,0.0
2020-10-26,9.79,9.79,9.8,9.8,400.0,9.83,-0.5076
2020-10-28,9.73,9.73,9.79,9.79,3801.0,9.828,-0.102
2020-10-30,9.8,9.8,9.8,9.8,100.0,9.818,0.1021
2020-11-02,9.8,9.8,9.8,9.8,1.0,9.808,0.0
2020-11-04,9.81,9.81,9.81,9.81,20.0,9.8,0.102
2020-11-05,9.73,9.67,9.73,9.67,121.0,9.774,-1.4271
2020-11-06,9.54,9.54,9.76,9.76,40.0,9.768,0.9307
2020-11-09,9.8,9.78,9.8,9.78,422.0,9.764,0.2049
2020-11-13,9.85,9.83,9.85,9.84,845.0,9.772,0.6135
2020-11-17,9.85,9.75,9.85,9.84,931.0,9.778,0.0
2020-11-19,9.75,9.75,9.8,9.75,9026.0,9.794,-0.9146
2020-11-20,9.85,9.8,9.85,9.82,110752.0,9.806,0.7179
2020-11-23,9.85,9.85,9.85,9.85,7.0,9.82,0.3055
2020-11-24,9.98,9.97,9.98,9.97,457.0,9.846,1.2183
2020-11-27,9.85,9.85,9.85,9.85,5045.0,9.848,-1.2036
2020-11-30,10.0,9.9,10.0,9.9,547.0,9.878,0.5076
2020-12-01,9.98,9.98,9.98,9.98,100.0,9.91,0.8081
2020-12-02,10.0,9.87,10.0,9.93,28159.0,9.926,-0.501
2020-12-03,9.97,9.87,9.98,9.98,1004.0,9.928,0.5035
2020-12-04,9.99,9.86,9.99,9.86,25363.0,9.93,-1.2024
2020-12-07,10.0,9.93,10.02,9.93,73055.0,9.936,0.7099
2020-12-08,9.95,9.92,10.09,9.92,2596.0,9.924,-0.1007
2020-12-09,10.0,9.87,10.0,9.87,8577.0,9.912,-0.504
2020-12-10,9.98,9.91,10.1,10.0,150741.0,9.916,1.3171
2020-12-11,10.01,10.0,10.05,10.0,76439.0,9.944,0.0
2020-12-14,10.09,10.02,10.11,10.08,28812.0,9.974,0.8
2020-12-15,10.03,10.02,10.18,10.02,3417.0,9.994,-0.5952
2020-12-16,10.01,10.0,10.04,10.01,13473.0,10.022,-0.0998
2020-12-18,10.04,10.04,10.14,10.13,4771.0,10.048,1.1988
