date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-02-03,39.0,39.0,40.0,40.0,10700.0,,
2015-02-04,50.0,41.0,50.0,44.8,730.0,,12.0
2015-02-05,42.0,42.0,42.0,42.0,200.0,,-6.25
2015-02-06,42.0,42.0,48.0,43.0,650.0,,2.381
2015-02-09,45.0,42.05,45.0,43.97,1500.0,42.754,2.2558
2015-02-10,47.0,46.0,47.0,46.0,96.0,43.954,4.6168
2015-02-11,43.82,43.82,46.0,46.0,754.0,44.194,0.0
2015-02-12,48.0,43.57,48.0,45.0,2310.0,44.794,-2.1739
2015-02-13,44.87,44.87,45.98,45.98,154.0,45.39,2.1778
2015-02-17,44.19,44.19,56.0,54.0,5506.0,47.396,17.4424
2015-02-18,54.96,52.94,56.0,55.0,7365.0,49.196,1.8519
2015-02-19,53.87,50.66,54.0,52.67,10345.0,50.53,-4.2364
2015-02-20,54.0,53.8,55.0,55.0,3901.0,52.53,4.4238
2015-02-23,52.78,52.78,55.0,54.0,636.0,54.134,-1.8182
2015-02-24,55.0,53.5,55.0,53.79,6861.0,54.092,-0.3889
2015-02-25,52.3,51.785,53.5,52.64,5602.0,53.62,-2.1379
2015-02-26,56.0,54.5,56.0,54.5,200.0,53.986,3.5334
2015-02-27,54.37,53.94,54.37,54.0,1920.0,53.786,-0.9174
2015-03-02,52.5,50.91,53.5,50.99,3544.0,53.184,-5.5741
2015-03-03,50.05,49.61,50.85,50.27,3539.0,52.48,-1.412
2015-03-04,50.5,49.54,51.0,50.0,8378.0,51.952,-0.5371
2015-03-05,53.0,47.7,53.0,48.37,1704.0,50.726,-3.26
2015-03-06,47.9,47.9,50.0,50.0,2129.0,49.926,3.3699
2015-03-09,48.75,48.75,50.0,50.0,10560.0,49.728,0.0
2015-03-10,48.0,47.48,50.0,47.87,3632.0,49.248,-4.26
2015-03-11,49.91,48.49,49.91,48.49,3482.0,48.946,1.2952
2015-03-12,49.46,48.37,49.46,49.0,2832.0,49.072,1.0518
2015-03-13,47.53,46.5,48.85,46.5,8046.0,48.372,-5.102
2015-03-16,46.5,45.02,46.5,45.47,9470.0,47.466,-2.2151
2015-03-17,46.0,44.52,46.86,45.43,12085.0,46.978,-0.088
2015-03-18,46.0,44.54,47.5,44.99,11697.0,46.278,-0.9685
2015-03-19,46.77,40.26,46.77,45.0,31844.0,45.478,0.0222
2015-03-20,45.39,45.21,48.9,48.29,109886.0,45.836,7.3111
2015-03-23,50.0,48.14,50.0,49.9,2615.0,46.722,3.334
2015-03-24,47.94,47.94,50.0,50.0,6321.0,47.636,0.2004
2015-03-25,49.91,49.64,50.0,49.69,3811.0,48.576,-0.62
2015-03-26,48.87,48.25,48.87,48.25,867.0,49.226,-2.898
2015-03-27,48.34,47.05,48.34,48.34,1448.0,49.236,0.1865
2015-03-30,48.03,47.94,49.99,49.99,3524.0,49.254,3.4133
2015-03-31,49.0,47.97,50.0,50.0,4545.0,49.254,0.02
2015-04-01,49.84,48.85,49.99,49.99,1146.0,49.314,-0.02
2015-04-02,49.55,49.5,49.55,49.5,150.0,49.564,-0.9802
2015-04-06,49.73,49.73,49.99,49.99,1813.0,49.894,0.9899
2015-04-07,49.93,49.7,50.0,50.0,3457.0,49.896,0.02
2015-04-08,49.5,49.35,49.99,49.99,1210.0,49.894,-0.02
2015-04-09,50.0,49.92,50.0,50.0,4947.0,49.896,0.02
2015-04-10,49.99,49.99,50.0,50.0,361.0,49.996,0.0
2015-04-13,50.0,49.2,50.0,49.82,3557.0,49.962,-0.36
2015-04-14,48.9,48.35,48.99,48.99,3241.0,49.76,-1.666
2015-04-15,48.66,48.66,49.99,49.99,1711.0,49.76,2.0412
2015-04-16,49.12,49.12,50.0,50.0,2683.0,49.76,0.02
2015-04-17,49.7,48.8,49.94,49.18,1665.0,49.596,-1.64
2015-04-20,49.89,49.56,49.89,49.8,9388.0,49.592,1.2607
2015-04-21,49.8,49.69,51.56,50.26,4256.0,49.846,0.9237
2015-04-22,49.9,49.9,50.27,50.27,5486.0,49.902,0.0199
2015-04-23,50.14,49.9,50.83,50.68,5168.0,50.038,0.8156
2015-04-24,49.97,49.97,53.5,52.96,3167.0,50.794,4.4988
2015-04-27,50.9,50.23,50.97,50.23,10284.0,50.88,-5.1548
2015-04-28,49.86,49.27,49.86,49.41,2321.0,50.71,-1.6325
2015-04-29,49.41,48.86,49.41,49.2,1273.0,50.496,-0.425
2015-04-30,49.3,49.25,49.445,49.445,1749.0,50.249,0.498
2015-05-01,49.5,49.16,49.5,49.16,989.0,49.489,-0.5764
2015-05-04,49.0,48.97,49.5,49.5,2962.0,49.343,0.6916
2015-05-05,49.5,49.2,51.13,50.0,7925.0,49.461,1.0101
2015-05-06,50.22,49.0,50.22,50.0,4720.0,49.621,0.0
2015-05-07,49.7,49.35,49.97,49.35,4082.0,49.602,-1.3
2015-05-08,49.9,48.39,49.9,48.39,1933.0,49.448,-1.9453
2015-05-11,48.0,43.13,48.0,43.88,22879.0,48.324,-9.3201
2015-05-12,42.61,41.26,43.01,41.45,38815.0,46.614,-5.5378
2015-05-13,41.32,41.0,44.27,44.11,155206.0,45.436,6.4174
2015-05-14,42.66,42.66,44.68,44.51,25401.0,44.468,0.9068
2015-05-15,44.27,44.27,45.35,44.98,12132.0,43.786,1.0559
2015-05-18,45.22,44.61,45.5,45.26,9463.0,44.062,0.6225
2015-05-19,45.5,44.97,45.5,45.5,2923.0,44.872,0.5303
2015-05-20,45.52,45.39,49.85,48.78,21146.0,45.806,7.2088
2015-05-21,48.79,48.26,49.18,48.5,16896.0,46.604,-0.574
2015-05-22,48.5,47.6,48.78,47.6,18027.0,47.128,-1.8557
2015-05-26,48.26,47.18,48.26,47.6,8408.0,47.596,0.0
2015-05-27,48.0,46.83,48.0,46.83,11797.0,47.862,-1.6176
2015-05-28,46.64,46.64,47.0,46.92,10418.0,47.49,0.1922
2015-05-29,46.95,46.95,47.5,47.34,12404.0,47.258,0.8951
2015-06-01,47.69,47.18,47.92,47.57,8859.0,47.252,0.4858
2015-06-02,47.88,46.99,47.88,47.29,6985.0,47.19,-0.5886
2015-06-03,47.3,46.88,47.3,47.1,5643.0,47.244,-0.4018
2015-06-04,47.36,47.03,47.8,47.11,10201.0,47.282,0.0212
2015-06-05,46.86,46.74,47.49,47.49,3437.0,47.312,0.8066
2015-06-08,47.21,46.56,47.335,47.3,5472.0,47.258,-0.4001
2015-06-09,47.0,46.36,47.1,46.36,6803.0,47.072,-1.9873
2015-06-10,46.52,43.34,47.0,45.03,17916.0,46.658,-2.8689
2015-06-11,45.0,44.04,45.35,44.1,6097.0,46.056,-2.0653
2015-06-12,43.95,43.95,45.0,44.25,6270.0,45.408,0.3401
2015-06-15,43.85,43.85,44.89,44.42,5250.0,44.832,0.3842
2015-06-16,44.36,43.53,44.58,44.25,6820.0,44.41,-0.3827
2015-06-17,44.75,44.0,45.98,44.97,9447.0,44.398,1.6271
2015-06-18,45.25,43.78,45.25,45.24,17956.0,44.626,0.6004
2015-06-19,45.22,43.765,45.22,43.85,79998.0,44.546,-3.0725
2015-06-22,44.4,42.62,44.4,43.03,14445.0,44.268,-1.87
2015-06-23,42.81,42.03,43.57,42.5,20358.0,43.918,-1.2317
2015-06-24,42.36,40.97,43.54,42.52,32463.0,43.428,0.0471
