date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,20.24,19.99,20.28,20.13,945634.0,20.26,-0.0993
2015-01-05,20.14,19.78,20.17,19.85,1446400.0,20.146,-1.391
2015-01-06,19.88,19.36,19.96,19.48,1854665.0,19.97,-1.864
2015-01-07,19.59,18.86,19.615,19.055,3786284.0,19.733,-2.1817
2015-01-08,19.25,19.14,19.49,19.25,3546826.0,19.553,1.0234
2015-01-09,19.28,18.87,19.34,18.9,2113777.0,19.307,-1.8182
2015-01-12,19.08,18.62,19.11,18.86,2116909.0,19.109,-0.2116
2015-01-13,19.12,18.435,19.15,18.56,2753180.0,18.925,-1.5907
2015-01-14,18.73,18.56,19.01,18.93,2525295.0,18.9,1.9935
2015-01-15,18.91,18.53,19.0,18.55,1423404.0,18.76,-2.0074
2015-01-16,19.62,19.58,20.295,20.25,4691176.0,19.03,9.1644
2015-01-20,20.25,19.805,20.3,20.22,2222358.0,19.302,-0.1481
2015-01-21,20.11,19.94,20.17,20.1,2069646.0,19.61,-0.5935
2015-01-22,20.16,20.05,20.595,20.59,1770451.0,19.942,2.4378
2015-01-23,20.59,20.56,20.83,20.65,1446759.0,20.362,0.2914
2015-01-26,20.65,20.54,20.86,20.835,1552109.0,20.479,0.8959
2015-01-27,20.7,20.25,20.73,20.47,1540289.0,20.529,-1.7519
2015-01-28,20.73,20.335,20.96,20.67,2982897.0,20.643,0.977
2015-01-29,20.6,20.34,20.905,20.745,2164518.0,20.674,0.3628
2015-01-30,20.61,20.47,21.18,20.895,3531089.0,20.723,0.7231
2015-02-02,20.9,20.38,21.19,21.125,2493664.0,20.781,1.1007
2015-02-03,21.2,21.15,21.765,21.66,2402536.0,21.019,2.5325
2015-02-04,21.6,21.37,21.74,21.52,1811468.0,21.189,-0.6464
2015-02-05,21.67,21.565,21.9,21.82,2675158.0,21.404,1.3941
2015-02-06,20.5,20.5,22.33,22.105,7506988.0,21.646,1.3061
2015-02-09,21.96,21.74,22.17,22.04,3107800.0,21.829,-0.2941
2015-02-10,22.07,21.89,22.34,22.28,2485668.0,21.953,1.0889
2015-02-11,22.33,22.22,22.71,22.66,2448453.0,22.181,1.7056
2015-02-12,22.71,22.71,23.15,22.94,2443344.0,22.405,1.2357
2015-02-13,22.94,22.77,23.11,23.11,1173121.0,22.606,0.7411
2015-02-17,23.12,22.97,23.51,23.49,2264560.0,22.896,1.6443
2015-02-18,23.41,23.3,23.57,23.41,1702396.0,23.122,-0.3406
2015-02-19,23.29,23.02,23.34,23.315,2239785.0,23.253,-0.4058
2015-02-20,23.36,23.09,23.36,23.31,1691048.0,23.327,-0.0214
2015-02-23,23.34,23.11,23.45,23.37,1082056.0,23.379,0.2574
2015-02-24,23.3,23.21,23.64,23.54,848762.0,23.389,0.7274
2015-02-25,23.21,23.2,23.48,23.455,1259666.0,23.398,-0.3611
2015-02-26,23.3,23.09,23.45,23.35,1422975.0,23.405,-0.4477
2015-02-27,23.36,23.21,23.51,23.32,1111439.0,23.407,-0.1285
2015-03-02,23.09,23.09,23.35,23.245,2548592.0,23.382,-0.3216
2015-03-03,23.25,23.05,23.25,23.1,1199860.0,23.294,-0.6238
2015-03-04,23.02,22.72,23.08,22.93,1172454.0,23.189,-0.7359
2015-03-05,22.91,22.91,23.37,23.29,1291131.0,23.177,1.57
2015-03-06,23.12,22.97,23.34,23.07,1508319.0,23.127,-0.9446
2015-03-09,23.02,23.015,23.35,23.315,2149808.0,23.141,1.062
2015-03-10,23.16,22.625,23.19,22.74,1245903.0,23.069,-2.4662
2015-03-11,22.67,22.47,22.89,22.81,1126246.0,23.045,0.3078
2015-03-12,23.03,22.775,23.28,22.79,1472036.0,22.945,-0.0877
2015-03-13,22.66,22.66,23.06,22.99,1270049.0,22.929,0.8776
2015-03-16,23.02,23.02,23.27,23.18,988033.0,22.902,0.8264
2015-03-17,23.03,22.955,23.21,23.105,1162248.0,22.975,-0.3236
2015-03-18,23.0,22.95,23.69,23.58,1616572.0,23.129,2.0558
2015-03-19,23.6,23.07,23.62,23.15,1271839.0,23.201,-1.8236
2015-03-20,23.4,23.25,23.48,23.42,1977574.0,23.287,1.1663
2015-03-23,23.39,23.12,23.43,23.18,1719986.0,23.287,-1.0248
2015-03-24,23.21,23.01,23.42,23.18,2019308.0,23.302,0.0
2015-03-25,23.16,22.67,23.18,22.7,1340372.0,23.126,-2.0708
2015-03-26,22.46,22.32,22.57,22.48,1845343.0,22.992,-0.9692
2015-03-27,22.48,22.31,22.805,22.76,1043292.0,22.86,1.2456
2015-03-30,22.83,22.83,23.195,23.02,1203317.0,22.828,1.1424
2015-03-31,22.87,22.5,22.9,22.725,1992868.0,22.737,-1.2815
2015-04-01,22.73,22.29,22.77,22.43,999539.0,22.683,-1.2981
2015-04-02,22.47,22.43,22.82,22.64,827092.0,22.715,0.9362
2015-04-06,22.53,22.43,22.85,22.67,897016.0,22.697,0.1325
2015-04-07,22.56,22.56,23.025,22.77,897127.0,22.647,0.4411
2015-04-08,22.76,22.69,23.06,22.96,1148051.0,22.694,0.8344
2015-04-09,22.9,22.76,23.04,23.0,1098786.0,22.808,0.1742
2015-04-10,23.09,22.81,23.09,22.925,949870.0,22.865,-0.3261
2015-04-13,22.85,22.79,23.03,22.79,538536.0,22.889,-0.5889
2015-04-14,22.79,22.62,22.95,22.92,1127445.0,22.919,0.5704
2015-04-15,23.07,22.9,23.42,22.9,1676102.0,22.907,-0.0873
2015-04-16,22.87,22.72,23.22,23.185,1167190.0,22.944,1.2445
2015-04-17,23.02,22.735,23.11,22.805,792918.0,22.92,-1.639
2015-04-20,22.88,22.84,23.295,23.075,1328612.0,22.977,1.184
2015-04-21,23.19,23.11,23.495,23.39,995833.0,23.071,1.3651
2015-04-22,23.38,23.37,23.63,23.49,867371.0,23.189,0.4275
2015-04-23,23.39,23.39,23.89,23.745,982134.0,23.301,1.0856
2015-04-24,23.93,23.805,24.03,23.94,1575480.0,23.528,0.8212
2015-04-27,23.98,23.65,24.01,23.72,757040.0,23.657,-0.919
2015-04-28,23.65,23.37,23.79,23.47,1536489.0,23.673,-1.054
2015-04-29,23.3,23.1,23.585,23.19,1461013.0,23.613,-1.193
2015-04-30,23.2,22.63,23.32,22.815,1816330.0,23.427,-1.6171
2015-05-01,22.79,22.79,23.08,23.05,976359.0,23.249,1.03
2015-05-04,23.11,22.92,23.26,23.19,1057276.0,23.143,0.6074
2015-05-05,23.16,22.71,23.16,22.71,1082792.0,22.991,-2.0699
2015-05-06,22.84,22.66,23.21,23.2,2118395.0,22.993,2.1576
2015-05-07,23.24,23.15,24.6,24.41,3485943.0,23.312,5.2155
2015-05-08,24.65,24.54,25.145,25.045,1823417.0,23.711,2.6014
2015-05-11,25.0,24.625,25.05,24.64,1612764.0,24.001,-1.6171
2015-05-12,24.54,24.28,24.67,24.61,1251568.0,24.381,-0.1218
2015-05-13,24.8,24.58,24.96,24.63,864422.0,24.667,0.0813
2015-05-14,24.79,24.75,25.28,25.17,1434585.0,24.819,2.1924
2015-05-15,25.32,25.15,25.65,25.42,1793591.0,24.894,0.9932
2015-05-18,25.36,25.285,25.615,25.42,896447.0,25.05,0.0
2015-05-19,25.6,25.365,25.64,25.48,885741.0,25.224,0.236
2015-05-20,25.49,25.405,25.77,25.75,1111229.0,25.448,1.0597
2015-05-21,25.64,25.46,25.7,25.62,1092594.0,25.538,-0.5049
2015-05-22,25.5,25.38,25.75,25.49,765665.0,25.552,-0.5074
2015-05-26,25.39,25.18,25.42,25.41,762761.0,25.55,-0.3138
2015-05-27,25.49,25.33,25.755,25.71,880964.0,25.596,1.1806
2015-05-28,25.67,25.57,25.88,25.725,1173989.0,25.591,0.0583
2015-05-29,25.89,25.195,25.95,25.26,2271420.0,25.519,-1.8076
2015-06-01,25.44,25.16,25.65,25.395,1437591.0,25.5,0.5344
2015-06-02,25.31,25.27,25.755,25.53,888138.0,25.524,0.5316
2015-06-03,25.76,25.665,26.05,25.96,1217036.0,25.574,1.6843
2015-06-04,25.77,25.62,26.08,25.685,1022847.0,25.566,-1.0593
2015-06-05,25.63,25.56,25.83,25.77,600619.0,25.668,0.3309
2015-06-08,25.77,25.23,25.78,25.44,1510384.0,25.677,-1.2806
2015-06-09,25.45,25.2,25.88,25.52,1718411.0,25.675,0.3145
2015-06-10,25.5,25.15,25.6,25.5,1326640.0,25.583,-0.0784
2015-06-11,25.08,24.94,25.39,25.3,2974123.0,25.506,-0.7843
2015-06-12,25.25,25.07,25.435,25.4,1882510.0,25.432,0.3953
2015-06-15,25.26,24.48,25.27,24.54,2583912.0,25.252,-3.3858
2015-06-16,24.79,24.65,24.9,24.74,2353933.0,25.096,0.815
2015-06-17,24.88,24.675,24.965,24.87,1656532.0,24.97,0.5255
2015-06-18,24.91,24.91,25.27,25.14,1802837.0,24.938,1.0856
2015-06-19,25.19,24.885,25.19,25.01,2625791.0,24.86,-0.5171
2015-06-22,25.16,25.115,25.26,25.23,1082368.0,24.998,0.8796
2015-06-23,25.24,25.165,25.46,25.42,824961.0,25.134,0.7531
2015-06-24,25.4,25.245,25.555,25.44,1538791.0,25.248,0.0787
2015-06-25,25.56,25.34,25.645,25.4,863875.0,25.3,-0.1572
2015-06-26,25.57,24.96,25.65,25.04,1794016.0,25.306,-1.4173
2015-06-29,24.71,24.45,24.86,24.49,1306738.0,25.158,-2.1965
2015-06-30,24.65,24.15,24.65,24.21,1641294.0,24.916,-1.1433
2015-07-01,24.4,24.39,24.95,24.73,2161788.0,24.774,2.1479
2015-07-02,24.7,24.47,24.73,24.63,1206026.0,24.62,-0.4044
2015-07-06,24.41,24.41,25.0,24.82,1089125.0,24.576,0.7714
2015-07-07,25.01,24.37,25.24,25.05,1744619.0,24.688,0.9267
2015-07-08,24.84,24.755,25.14,24.8,1802911.0,24.806,-0.998
2015-07-09,25.09,24.91,25.23,25.125,1581339.0,24.885,1.3105
2015-07-10,25.36,25.25,25.6,25.36,1026225.0,25.031,0.9353
2015-07-13,25.54,25.48,25.89,25.885,1477316.0,25.244,2.0702
2015-07-14,25.82,25.68,26.21,26.06,1788184.0,25.446,0.6761
2015-07-15,26.0,25.56,26.08,25.765,1080175.0,25.639,-1.132
2015-07-16,25.89,25.74,25.99,25.85,906003.0,25.784,0.3299
2015-07-17,25.98,25.64,26.02,25.81,1090509.0,25.874,-0.1547
2015-07-20,25.81,25.76,26.4,26.25,1071879.0,25.947,1.7048
2015-07-21,26.25,26.08,26.45,26.09,1011986.0,25.953,-0.6095
2015-07-22,25.99,25.84,26.09,25.95,638345.0,25.99,-0.5366
2015-07-23,25.95,25.81,26.25,25.94,778256.0,26.008,-0.0385
2015-07-24,26.03,25.86,26.27,26.18,1253969.0,26.082,0.9252
2015-07-27,26.04,25.51,26.1,25.61,1667437.0,25.954,-2.1772
2015-07-28,25.8,25.38,25.865,25.71,993701.0,25.878,0.3905
2015-07-29,25.62,25.505,26.025,25.98,904521.0,25.884,1.0502
2015-07-30,25.85,25.71,26.17,26.06,1363908.0,25.908,0.3079
2015-07-31,26.04,25.665,26.13,25.79,1255848.0,25.83,-1.0361
2015-08-03,25.88,25.33,25.985,25.52,2251255.0,25.812,-1.0469
2015-08-04,25.57,25.445,25.835,25.67,2600690.0,25.804,0.5878
2015-08-05,27.97,27.68,29.2,28.71,5785748.0,26.35,11.8426
2015-08-06,28.8,28.49,29.05,28.71,2427482.0,26.88,0.0
2015-08-07,28.66,28.24,28.82,28.78,1796169.0,27.478,0.2438
2015-08-10,28.88,28.79,29.17,28.81,1487947.0,28.136,0.1042
2015-08-11,28.6,28.28,28.85,28.46,1346044.0,28.694,-1.2149
2015-08-12,28.21,27.82,28.75,28.66,2024725.0,28.684,0.7027
2015-08-13,28.57,28.42,29.05,28.85,1146047.0,28.712,0.6629
2015-08-14,28.74,28.47,28.89,28.68,650593.0,28.692,-0.5893
2015-08-17,28.68,28.44,29.42,29.3,1235193.0,28.79,2.1618
2015-08-18,29.5,29.09,29.69,29.22,1124239.0,28.942,-0.273
2015-08-19,29.21,28.76,29.32,28.98,1251233.0,29.006,-0.8214
2015-08-20,28.64,27.94,28.72,27.98,1734695.0,28.832,-3.4507
2015-08-21,27.52,27.18,27.76,27.22,2610253.0,28.54,-2.7162
2015-08-24,25.13,24.05,27.06,26.16,2655809.0,27.912,-3.8942
2015-08-25,27.23,26.06,27.23,26.18,2006558.0,27.304,0.0765
2015-08-26,26.86,26.16,27.4,27.29,2864924.0,26.966,4.2399
2015-08-27,27.52,27.25,28.32,27.93,2419666.0,26.956,2.3452
2015-08-28,29.74,28.91,30.0,29.22,54070180.0,27.356,4.6187
2015-08-31,29.34,28.54,29.35,28.63,4532417.0,27.85,-2.0192
2015-09-01,27.86,27.51,28.27,27.86,4669682.0,28.186,-2.6895
2015-09-02,28.75,27.99,28.75,28.37,3837595.0,28.402,1.8306
2015-09-03,28.38,28.38,29.04,28.6,3292686.0,28.536,0.8107
2015-09-04,28.21,27.97,28.71,28.1,3715070.0,28.312,-1.7483
2015-09-08,28.63,28.36,28.89,28.87,2533918.0,28.36,2.7402
2015-09-09,29.1,28.62,29.23,28.69,2012039.0,28.526,-0.6235
2015-09-10,28.51,28.36,29.26,29.06,1639328.0,28.664,1.2896
2015-09-11,28.83,28.515,29.16,29.15,1270598.0,28.774,0.3097
2015-09-14,29.15,28.99,29.28,29.21,1229581.0,28.996,0.2058
2015-09-15,29.33,29.29,30.075,29.8,1861519.0,29.182,2.0199
2015-09-16,29.8,29.79,30.59,30.52,2007445.0,29.548,2.4161
2015-09-17,30.37,30.37,31.47,30.97,2195825.0,29.93,1.4744
2015-09-18,30.59,30.47,31.23,31.1,3805553.0,30.32,0.4198
2015-09-21,31.21,31.195,31.65,31.52,2493939.0,30.782,1.3505
2015-09-22,31.26,31.11,31.46,31.41,1931487.0,31.104,-0.349
2015-09-23,31.33,31.01,31.68,31.62,1694533.0,31.324,0.6686
2015-09-24,31.36,30.97,31.62,31.49,2911684.0,31.428,-0.4111
2015-09-25,31.77,31.59,32.49,32.06,2289266.0,31.62,1.8101
2015-09-28,32.22,31.2,32.45,31.31,2254339.0,31.578,-2.3394
2015-09-29,31.25,30.32,31.26,30.66,3660824.0,31.428,-2.076
2015-09-30,31.01,30.43,31.24,30.89,2666284.0,31.282,0.7502
2015-10-01,31.39,30.63,31.39,30.9,2418411.0,31.164,0.0324
2015-10-02,30.57,30.25,31.46,31.46,2083242.0,31.044,1.8123
2015-10-05,31.82,31.55,32.06,31.97,2236813.0,31.176,1.6211
2015-10-06,31.85,31.51,32.24,31.91,2193503.0,31.426,-0.1877
2015-10-07,32.08,31.375,32.29,31.94,2007929.0,31.636,0.094
2015-10-08,31.76,31.02,31.84,31.73,2189647.0,31.802,-0.6575
2015-10-09,31.63,31.33,32.08,32.07,1653160.0,31.924,1.0715
2015-10-12,31.88,31.82,32.89,32.58,1035089.0,32.046,1.5903
2015-10-13,32.5,32.22,33.185,32.88,1835632.0,32.24,0.9208
2015-10-14,32.77,32.68,33.4,33.02,2117620.0,32.456,0.4258
2015-10-15,33.18,32.975,33.81,33.8,1974934.0,32.87,2.3622
2015-10-16,34.0,33.79,34.31,34.17,1766955.0,33.29,1.0947
2015-10-19,33.94,33.34,34.16,33.75,1251353.0,33.524,-1.2291
2015-10-20,33.54,33.495,33.84,33.82,1259865.0,33.712,0.2074
2015-10-21,33.89,33.67,34.1,33.78,1238726.0,33.864,-0.1183
2015-10-22,33.88,33.88,35.13,34.75,2340168.0,34.054,2.8715
2015-10-23,35.26,34.76,35.44,34.9,2084302.0,34.2,0.4317
2015-10-26,35.01,34.755,35.05,34.88,1059308.0,34.426,-0.0573
2015-10-27,34.9,34.695,35.12,34.88,1301406.0,34.638,0.0
2015-10-28,35.0,34.815,35.41,35.28,1826456.0,34.938,1.1468
2015-10-29,35.2,34.53,35.3,34.99,1355304.0,34.986,-0.822
2015-10-30,34.84,34.2,35.19,34.76,2386958.0,34.958,-0.6573
2015-11-02,34.25,33.85,34.86,34.57,1927875.0,34.896,-0.5466
2015-11-03,33.35,32.39,37.8,35.82,9385575.0,35.084,3.6159
2015-11-04,36.15,36.01,37.55,36.99,4379998.0,35.426,3.2663
2015-11-05,37.45,36.76,37.83,37.36,2866069.0,35.9,1.0003
2015-11-06,37.33,34.86,37.46,35.0,4673909.0,35.948,-6.3169
2015-11-09,35.3,33.71,35.85,34.05,4697326.0,35.844,-2.7143
2015-11-10,33.85,33.325,33.94,33.86,2707865.0,35.452,-0.558
2015-11-11,34.35,33.59,34.88,34.57,2109824.0,34.968,2.0969
2015-11-12,34.61,34.61,35.51,35.01,2517890.0,34.498,1.2728
2015-11-13,34.78,34.19,35.01,34.59,1798573.0,34.416,-1.1997
2015-11-16,34.49,33.79,35.1,34.95,2132026.0,34.596,1.0408
2015-11-17,34.97,34.86,36.24,36.12,2975455.0,35.048,3.3476
2015-11-18,36.23,35.82,36.945,36.87,2443017.0,35.508,2.0764
2015-11-19,37.0,36.93,37.56,37.01,1560081.0,35.908,0.3797
2015-11-20,37.1,36.62,38.03,37.51,2536196.0,36.492,1.351
2015-11-23,37.32,36.53,37.57,37.35,1985461.0,36.972,-0.4266
2015-11-24,37.18,36.52,37.24,36.84,1643048.0,37.116,-1.3655
2015-11-25,37.02,36.76,37.46,37.23,1056016.0,37.188,1.0586
2015-11-27,37.2,37.17,37.4,37.24,516653.0,37.234,0.0269
2015-11-30,37.45,36.7,37.675,37.66,2589004.0,37.264,1.1278
2015-12-01,37.86,37.85,38.75,38.57,2625951.0,37.508,2.4164
2015-12-02,38.57,38.29,38.99,38.38,1370823.0,37.816,-0.4926
2015-12-03,38.63,37.36,38.93,37.62,2131501.0,37.894,-1.9802
2015-12-04,37.56,37.55,38.98,38.89,1558712.0,38.224,3.3759
2015-12-07,38.92,38.4,39.03,38.69,1573637.0,38.43,-0.5143
2015-12-08,38.33,38.13,39.46,39.36,1410335.0,38.588,1.7317
2015-12-09,39.2,37.87,39.35,38.59,1983413.0,38.63,-1.9563
2015-12-10,38.71,38.08,38.8,38.38,1614729.0,38.782,-0.5442
2015-12-11,37.76,36.77,38.26,37.22,3120566.0,38.448,-3.0224
2015-12-14,37.27,36.89,38.0,37.96,2047571.0,38.302,1.9882
2015-12-15,38.33,38.24,39.55,38.71,2100936.0,38.172,1.9758
2015-12-16,38.94,38.18,39.43,39.21,1755882.0,38.296,1.2917
2015-12-17,39.36,38.85,39.795,38.87,1970321.0,38.394,-0.8671
2015-12-18,38.7,38.32,39.12,38.47,5896913.0,38.644,-1.0291
2015-12-21,38.86,38.11,39.29,38.74,2061445.0,38.8,0.7018
2015-12-22,39.56,38.8,39.74,39.21,1278864.0,38.9,1.2132
2015-12-23,39.38,37.61,39.45,38.84,1460413.0,38.826,-0.9436
2015-12-24,38.94,38.53,39.11,38.92,643095.0,38.836,0.206
2015-12-28,38.76,38.26,39.03,39.03,923367.0,38.948,0.2826
2015-12-29,39.34,39.24,39.93,39.58,1165556.0,39.116,1.4092
2015-12-30,39.57,39.35,39.72,39.43,720232.0,39.16,-0.379
2015-12-31,39.24,38.52,39.34,38.71,1689322.0,39.134,-1.826
2016-01-04,38.05,36.98,38.09,37.62,2516240.0,38.874,-2.8158
2016-01-05,37.79,36.95,37.89,37.14,2438589.0,38.496,-1.2759
2016-01-06,36.67,36.08,36.8,36.79,3139253.0,37.938,-0.9424
2016-01-07,35.79,35.43,37.0,36.27,3325987.0,37.306,-1.4134
2016-01-08,36.79,35.54,36.79,35.71,2566990.0,36.706,-1.544
2016-01-11,35.9,35.8,36.645,36.21,2101080.0,36.424,1.4002
2016-01-12,36.65,36.58,37.83,37.12,2445762.0,36.42,2.5131
2016-01-13,37.43,34.7,37.43,34.86,4082661.0,36.034,-6.0884
2016-01-14,34.92,34.17,35.66,35.4,3273967.0,35.86,1.5491
2016-01-15,34.26,33.54,35.33,34.91,4706773.0,35.7,-1.3842
2016-01-19,35.52,34.695,35.61,35.15,2276140.0,35.488,0.6875
2016-01-20,34.53,33.47,35.06,34.71,2968695.0,35.006,-1.2518
2016-01-21,34.79,34.38,35.45,34.56,3086977.0,34.946,-0.4322
2016-01-22,35.08,34.83,36.2,35.92,2172715.0,35.05,3.9352
2016-01-25,35.76,34.64,35.86,34.73,2476999.0,35.014,-3.3129
2016-01-26,34.85,34.83,35.46,35.3,1809937.0,35.044,1.6412
2016-01-27,35.25,33.93,35.4,34.07,2690976.0,34.916,-3.4844
2016-01-28,34.53,33.17,34.58,33.79,4019639.0,34.762,-0.8218
2016-01-29,33.5,32.55,34.88,34.82,5597480.0,34.542,3.0482
2016-02-01,34.55,34.43,35.25,34.67,3344334.0,34.53,-0.4308
2016-02-02,34.24,33.12,34.57,33.42,2449674.0,34.154,-3.6054
2016-02-03,33.81,32.33,33.84,33.12,3253030.0,33.964,-0.8977
2016-02-04,33.14,31.34,33.24,31.94,4988996.0,33.594,-3.5628
2016-02-05,31.77,30.4,31.8,30.53,4585506.0,32.736,-4.4145
2016-02-08,29.69,28.13,29.8,28.72,5315054.0,31.546,-5.9286
2016-02-09,28.41,28.06,29.74,28.81,5068004.0,30.624,0.3134
2016-02-10,29.06,29.06,30.54,30.15,4423100.0,30.03,4.6512
2016-02-11,29.6,29.49,30.71,30.52,5196088.0,29.746,1.2272
2016-02-12,28.66,26.49,29.03,28.12,10425122.0,29.264,-7.8637
2016-02-16,28.68,28.59,29.65,29.42,4627326.0,29.404,4.623
2016-02-17,29.76,29.32,30.015,29.45,3842031.0,29.532,0.102
2016-02-18,29.88,28.79,30.0,28.88,2489089.0,29.278,-1.9355
2016-02-19,28.85,28.66,30.34,30.19,4127973.0,29.212,4.536
2016-02-22,30.51,30.49,31.84,31.52,3222147.0,29.892,4.4054
2016-02-23,31.35,30.56,31.91,30.73,2117772.0,30.154,-2.5063
2016-02-24,30.44,30.25,31.77,31.71,2444349.0,30.606,3.1891
2016-02-25,31.98,31.76,32.61,32.32,2618015.0,31.294,1.9237
2016-02-26,32.38,31.66,32.61,31.89,2159837.0,31.634,-1.3304
2016-02-29,31.73,31.33,32.21,31.67,2888110.0,31.664,-0.6899
2016-03-01,31.96,31.45,32.39,32.21,2377408.0,31.96,1.7051
2016-03-02,32.0,31.51,32.08,32.01,2201109.0,32.02,-0.6209
2016-03-03,31.81,31.02,31.86,31.52,1837643.0,31.86,-1.5308
2016-03-04,31.84,30.72,31.84,31.19,1926811.0,31.72,-1.047
2016-03-07,31.0,30.51,31.47,30.98,2456677.0,31.582,-0.6733
2016-03-08,30.7,30.51,31.14,30.78,2339237.0,31.296,-0.6456
2016-03-09,30.82,30.38,31.0,30.86,1939351.0,31.066,0.2599
2016-03-10,30.9,30.71,31.5,31.25,2506706.0,31.012,1.2638
2016-03-11,31.51,31.48,32.03,31.52,2199797.0,31.078,0.864
2016-03-14,31.65,31.57,32.67,32.41,1784466.0,31.364,2.8236
2016-03-15,32.34,32.18,32.87,32.48,1559852.0,31.704,0.216
2016-03-16,32.49,32.2,32.905,32.79,1337335.0,32.09,0.9544
