date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,164.28,163.85,166.41,165.81,169335.0,166.048,1.4811
2015-01-05,165.66,165.16,166.95,166.93,314253.0,165.946,0.6755
2015-01-06,167.51,167.36,169.8,169.2,213787.0,166.298,1.3599
2015-01-07,169.69,169.0,171.5,171.16,148050.0,167.298,1.1584
2015-01-08,171.22,170.68,173.11,172.75,164942.0,169.17,0.929
2015-01-09,173.13,171.95,174.41,173.28,146359.0,170.664,0.3068
2015-01-12,174.99,173.96,175.5,174.78,143011.0,172.234,0.8657
2015-01-13,175.19,173.7,176.02,174.6,116831.0,173.314,-0.103
2015-01-14,174.5,173.65,176.88,176.85,156059.0,174.452,1.2887
2015-01-15,177.06,176.6,177.77,177.5,165162.0,175.402,0.3675
2015-01-16,177.86,176.55,179.47,179.08,170644.0,176.562,0.8901
2015-01-20,180.31,175.26,180.31,175.57,339310.0,176.72,-1.96
2015-01-21,175.76,174.52,177.21,176.94,178747.0,177.188,0.7803
2015-01-22,177.2,176.87,179.55,178.96,154317.0,177.61,1.1416
2015-01-23,179.39,178.34,179.77,178.9,219297.0,177.89,-0.0335
2015-01-26,178.64,178.17,180.32,180.27,180289.0,178.128,0.7658
2015-01-27,180.04,178.94,181.2,179.46,121729.0,178.906,-0.4493
2015-01-28,179.9,177.16,180.88,177.55,227473.0,179.028,-1.0643
2015-01-29,176.85,174.47,178.74,174.9,214178.0,178.216,-1.4925
2015-01-30,174.0,172.96,175.88,172.99,349941.0,177.034,-1.0921
2015-02-02,172.87,169.66,172.88,172.65,254494.0,175.51,-0.1965
2015-02-03,173.0,170.67,173.8,173.68,174904.0,174.354,0.5966
2015-02-04,173.6,171.96,174.37,173.34,164349.0,173.512,-0.1958
2015-02-05,173.8,173.35,175.35,175.0,158762.0,173.532,0.9577
2015-02-06,174.55,168.47,174.55,169.16,287644.0,172.766,-3.3371
2015-02-09,169.24,168.17,170.38,168.44,344731.0,171.924,-0.4256
2015-02-10,169.18,167.41,170.32,170.08,1164648.0,171.204,0.9736
2015-02-11,170.53,169.2,172.07,170.44,238821.0,170.624,0.2117
2015-02-12,170.94,169.98,173.41,173.39,135322.0,170.302,1.7308
2015-02-13,172.91,169.98,173.12,170.82,123694.0,170.634,-1.4822
2015-02-17,170.35,169.99,172.16,170.74,138466.0,171.094,-0.0468
2015-02-18,170.75,169.58,173.37,173.2,281049.0,171.718,1.4408
2015-02-19,173.2,168.77,173.2,169.03,290411.0,171.436,-2.4076
2015-02-20,168.8,168.3,171.09,171.0,380817.0,170.958,1.1655
2015-02-23,171.7,171.17,173.46,173.46,250691.0,171.486,1.4386
2015-02-24,172.45,168.07,172.45,168.9,356432.0,171.118,-2.6288
2015-02-25,168.81,167.93,170.64,167.98,141251.0,170.074,-0.5447
2015-02-26,168.02,166.11,168.06,166.23,232413.0,169.514,-1.0418
2015-02-27,166.61,165.67,168.34,168.34,492957.0,168.982,1.2693
2015-03-02,168.42,168.42,171.38,169.66,242880.0,168.222,0.7841
2015-03-03,168.65,167.36,169.46,168.82,110914.0,168.206,-0.4951
2015-03-04,168.55,167.46,169.14,168.14,274749.0,168.238,-0.4028
2015-03-05,168.71,168.71,171.29,169.93,128282.0,168.978,1.0646
2015-03-06,167.05,163.87,167.05,164.64,419332.0,168.238,-3.113
2015-03-09,166.09,165.54,166.89,166.47,312561.0,167.6,1.1115
2015-03-10,166.45,166.31,168.08,166.84,374611.0,167.204,0.2223
2015-03-11,166.63,166.63,168.52,167.29,226543.0,167.034,0.2697
2015-03-12,168.11,168.11,171.58,171.22,280210.0,167.292,2.3492
2015-03-13,171.54,170.32,172.18,170.68,136488.0,168.5,-0.3154
2015-03-16,171.6,171.52,174.05,173.62,267602.0,169.93,1.7225
2015-03-17,173.09,172.43,174.04,172.86,109005.0,171.134,-0.4377
2015-03-18,173.0,171.73,176.1,175.66,181936.0,172.808,1.6198
2015-03-19,175.0,173.44,176.69,174.79,287393.0,173.522,-0.4953
2015-03-20,176.08,175.64,180.07,179.83,626618.0,175.352,2.8835
2015-03-23,180.16,179.21,181.54,180.88,377244.0,176.804,0.5839
2015-03-24,180.96,179.44,181.61,180.29,242504.0,178.29,-0.3262
2015-03-25,180.29,176.84,181.39,176.88,197585.0,178.534,-1.8914
2015-03-26,176.78,175.1,177.62,175.96,179004.0,178.768,-0.5201
2015-03-27,174.53,173.22,175.75,174.12,170830.0,177.626,-1.0457
2015-03-30,174.9,174.27,176.42,176.15,151317.0,176.68,1.1659
2015-03-31,175.52,174.09,176.65,174.25,373347.0,175.472,-1.0786
2015-04-01,174.4,172.56,174.89,172.91,172525.0,174.678,-0.769
2015-04-02,173.27,172.99,175.46,174.74,231642.0,174.434,1.0584
2015-04-06,174.98,174.98,176.35,175.81,114171.0,174.772,0.6123
2015-04-07,175.35,172.54,175.38,172.59,256947.0,174.06,-1.8315
2015-04-08,173.22,172.92,174.25,173.88,182785.0,173.986,0.7474
2015-04-09,173.27,168.52,173.43,169.23,338807.0,173.25,-2.6743
2015-04-10,170.09,168.21,171.19,168.31,217539.0,171.964,-0.5436
2015-04-13,168.31,167.72,169.26,167.72,161339.0,170.346,-0.3505
2015-04-14,168.11,168.11,170.24,169.53,102592.0,169.734,1.0792
2015-04-15,169.1,167.46,169.63,168.0,260659.0,168.558,-0.9025
2015-04-16,167.45,167.12,169.89,169.04,98926.0,168.52,0.619
2015-04-17,168.5,167.29,169.47,168.31,195085.0,168.52,-0.4319
2015-04-20,168.36,167.64,169.16,168.25,106516.0,168.626,-0.0356
2015-04-21,168.63,168.63,169.82,169.05,123054.0,168.53,0.4755
2015-04-22,168.85,168.85,171.35,170.64,108771.0,169.058,0.9406
2015-04-23,170.63,170.21,171.78,171.23,110596.0,169.496,0.3458
2015-04-24,171.16,170.94,172.35,171.27,96342.0,170.088,0.0234
2015-04-27,171.9,171.46,173.02,171.55,253133.0,170.748,0.1635
2015-04-28,171.48,169.32,172.7,171.19,140415.0,171.176,-0.2099
2015-04-29,169.72,166.38,170.59,167.75,266888.0,170.598,-2.0095
2015-04-30,166.92,163.44,167.87,164.34,361749.0,169.22,-2.0328
2015-05-01,165.42,165.23,168.43,167.63,162672.0,168.492,2.0019
