date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,11.71,11.43,11.71,11.59,41706.0,11.592,-0.2582
2015-01-05,11.52,11.36,11.64,11.42,49383.0,11.564,-1.4668
2015-01-06,11.5,11.11,11.5,11.36,47962.0,11.496,-0.5254
2015-01-07,11.45,11.21,11.45,11.3,32299.0,11.458,-0.5282
2015-01-08,11.37,11.2,11.43,11.39,37272.0,11.412,0.7965
2015-01-09,11.37,11.17,11.43,11.32,28374.0,11.358,-0.6146
2015-01-12,11.33,11.13,11.39,11.31,75294.0,11.336,-0.0883
2015-01-13,11.45,11.19,11.74,11.34,75639.0,11.332,0.2653
2015-01-14,11.2,11.17,11.35,11.31,34791.0,11.334,-0.2646
2015-01-15,11.38,10.95,11.38,11.04,54631.0,11.264,-2.3873
2015-01-16,10.99,10.99,11.35,11.14,51969.0,11.228,0.9058
2015-01-20,11.23,10.86,11.263,11.0,57630.0,11.166,-1.2567
2015-01-21,10.93,10.9,11.02,10.97,48258.0,11.092,-0.2727
2015-01-22,11.05,10.92,11.28,11.28,49642.0,11.086,2.8259
2015-01-23,11.3,10.9,11.3,11.01,43380.0,11.08,-2.3936
2015-01-26,11.01,10.67,11.01,10.76,49688.0,11.004,-2.2707
2015-01-27,10.67,10.67,11.15,11.14,28685.0,11.032,3.5316
2015-01-28,11.22,10.76,11.22,10.79,31197.0,10.996,-3.1418
2015-01-29,10.78,10.74,11.21,11.18,41690.0,10.976,3.6145
2015-01-30,11.13,11.08,11.28,11.18,58260.0,11.01,0.0
2015-02-02,11.23,10.95,11.25,11.17,83574.0,11.092,-0.0894
2015-02-03,11.23,11.23,11.98,11.71,48559.0,11.206,4.8344
2015-02-04,11.75,11.64,12.12,11.83,44636.0,11.414,1.0248
2015-02-05,11.89,11.89,12.5,12.38,58454.0,11.654,4.6492
2015-02-06,12.37,12.26,12.46,12.31,57455.0,11.88,-0.5654
2015-02-09,12.31,12.3,12.52,12.41,66776.0,12.128,0.8123
2015-02-10,12.44,11.88,12.44,12.18,36383.0,12.222,-1.8533
2015-02-11,12.12,11.95,12.35,12.13,25731.0,12.282,-0.4105
2015-02-12,12.28,11.92,12.28,12.15,31405.0,12.236,0.1649
2015-02-13,12.18,12.07,12.31,12.18,26641.0,12.21,0.2469
2015-02-17,12.14,12.01,12.25,12.05,29157.0,12.138,-1.0673
2015-02-18,12.06,12.05,12.33,12.13,32950.0,12.128,0.6639
2015-02-19,12.06,12.05,12.41,12.29,28342.0,12.16,1.319
2015-02-20,12.23,11.53,12.23,11.64,42684.0,12.058,-5.2889
2015-02-23,11.57,11.29,11.58,11.56,51526.0,11.934,-0.6873
2015-02-24,11.59,11.48,11.93,11.5,58410.0,11.824,-0.519
2015-02-25,11.5,11.32,11.68,11.47,35225.0,11.692,-0.2609
2015-02-26,11.53,11.25,11.62,11.41,32084.0,11.516,-0.5231
2015-02-27,11.05,10.36,11.47,11.27,67937.0,11.442,-1.227
2015-03-02,11.24,11.11,11.5,11.13,48072.0,11.356,-1.2422
2015-03-03,11.07,10.81,11.07,10.86,45983.0,11.228,-2.4259
2015-03-04,10.67,10.25,10.91,10.44,98775.0,11.022,-3.8674
2015-03-05,10.43,9.91,10.43,10.32,55409.0,10.804,-1.1494
2015-03-06,10.26,10.11,10.45,10.14,43838.0,10.578,-1.7442
2015-03-09,10.16,9.8,10.22,10.14,48757.0,10.38,0.0
2015-03-10,9.99,9.85,10.06,9.99,51535.0,10.206,-1.4793
2015-03-11,10.0,9.73,10.08,9.9,65585.0,10.098,-0.9009
2015-03-12,10.36,10.3,11.63,10.98,124883.0,10.23,10.9091
2015-03-13,10.97,10.79,11.09,10.97,54454.0,10.396,-0.0911
2015-03-16,11.05,10.79,11.05,10.81,21282.0,10.53,-1.4585
2015-03-17,10.75,10.48,10.8,10.54,55103.0,10.64,-2.4977
2015-03-18,10.47,10.26,10.47,10.3,38849.0,10.72,-2.277
2015-03-19,10.22,10.2,10.34,10.25,43094.0,10.574,-0.4854
2015-03-20,10.3,10.3,10.65,10.48,134916.0,10.476,2.2439
2015-03-23,10.49,10.37,10.56,10.42,44058.0,10.398,-0.5725
2015-03-24,10.46,10.36,10.52,10.48,45920.0,10.386,0.5758
2015-03-25,10.5,10.41,10.91,10.72,49568.0,10.47,2.2901
2015-03-26,10.72,10.42,10.85,10.48,37943.0,10.516,-2.2388
2015-03-27,10.51,10.41,10.74,10.66,40356.0,10.552,1.7176
2015-03-30,10.72,10.71,10.95,10.83,21589.0,10.634,1.5947
2015-03-31,10.79,10.55,10.79,10.62,28914.0,10.662,-1.9391
2015-04-01,10.57,10.53,10.88,10.7,38262.0,10.658,0.7533
2015-04-02,10.67,10.67,10.9,10.88,20248.0,10.738,1.6822
2015-04-06,10.87,10.87,11.51,11.24,89877.0,10.854,3.3088
2015-04-07,11.2,11.2,11.8,11.69,50166.0,11.026,4.0036
2015-04-08,11.82,11.72,12.16,12.07,186919.0,11.316,3.2506
2015-04-09,12.1,11.96,12.31,12.07,56896.0,11.59,0.0
2015-04-10,12.14,12.11,12.19,12.18,38699.0,11.85,0.9114
2015-04-13,12.15,12.11,12.59,12.41,40481.0,12.084,1.8883
2015-04-14,12.43,12.0,12.43,12.28,56545.0,12.202,-1.0475
2015-04-15,12.32,12.25,12.553,12.45,49506.0,12.278,1.3844
2015-04-16,12.47,12.41,12.76,12.58,44420.0,12.38,1.0442
