date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,13.95,13.41,13.95,13.51,120617.0,13.808,-2.4549
2015-01-05,13.49,13.23,13.58,13.33,100618.0,13.668,-1.3323
2015-01-06,13.4,13.19,13.57,13.4,131533.0,13.586,0.5251
2015-01-07,13.47,13.16,13.47,13.42,106138.0,13.502,0.1493
2015-01-08,13.5,13.21,13.87,13.77,379937.0,13.486,2.608
2015-01-09,13.75,13.34,13.75,13.56,121179.0,13.496,-1.5251
2015-01-12,13.52,13.08,13.52,13.15,173413.0,13.46,-3.0236
2015-01-13,13.22,12.98,13.28,13.12,144194.0,13.404,-0.2281
2015-01-14,12.99,12.74,13.06,12.97,84397.0,13.314,-1.1433
2015-01-15,12.99,12.62,13.0,12.88,146383.0,13.136,-0.6939
2015-01-16,12.84,12.84,13.26,13.24,138358.0,13.072,2.795
2015-01-20,13.28,12.97,13.28,13.2,138473.0,13.082,-0.3021
2015-01-21,13.21,13.21,13.86,13.73,199194.0,13.204,4.0152
2015-01-22,13.81,13.54,14.13,14.01,176314.0,13.412,2.0393
2015-01-23,14.0,13.77,14.01,13.95,75234.0,13.626,-0.4283
2015-01-26,13.98,13.84,14.08,13.96,120737.0,13.77,0.0717
2015-01-27,13.8,13.76,13.97,13.87,100221.0,13.904,-0.6447
2015-01-28,14.0,13.65,14.0,13.73,183344.0,13.904,-1.0094
2015-01-29,13.74,13.57,13.8,13.75,168534.0,13.852,0.1457
2015-01-30,13.66,13.46,13.78,13.52,159224.0,13.766,-1.6727
2015-02-02,13.49,13.28,13.64,13.6,114141.0,13.694,0.5917
2015-02-03,13.61,13.31,13.99,13.9,245177.0,13.7,2.2059
2015-02-04,13.81,13.65,13.97,13.72,130061.0,13.698,-1.295
2015-02-05,13.71,13.65,13.94,13.85,116958.0,13.718,0.9475
2015-02-06,13.88,13.73,13.96,13.9,161729.0,13.794,0.361
2015-02-09,13.83,13.83,14.04,13.945,105160.0,13.863,0.3237
2015-02-10,14.08,13.78,14.12,14.08,151120.0,13.899,0.9681
2015-02-11,14.1,13.98,14.32,14.29,152862.0,14.013,1.4915
2015-02-12,14.33,14.2,14.7,14.65,262302.0,14.173,2.5192
2015-02-13,14.9,13.76,14.9,14.2,572159.0,14.233,-3.0717
2015-02-17,13.98,13.2,13.98,13.24,299512.0,14.092,-6.7606
2015-02-18,13.25,13.19,13.41,13.34,155901.0,13.944,0.7553
2015-02-19,13.27,13.17,13.41,13.4,117451.0,13.766,0.4498
2015-02-20,13.44,13.11,13.44,13.33,100001.0,13.502,-0.5224
2015-02-23,13.33,13.13,13.7,13.66,155635.0,13.394,2.4756
2015-02-24,13.66,13.62,14.06,14.06,118665.0,13.558,2.9283
2015-02-25,14.0,13.9,14.29,14.27,135887.0,13.744,1.4936
2015-02-26,14.25,14.25,14.74,14.67,172187.0,13.998,2.8031
2015-02-27,14.69,14.57,14.91,14.82,188747.0,14.296,1.0225
2015-03-02,14.82,14.75,15.06,15.04,209515.0,14.572,1.4845
2015-03-03,14.95,14.45,14.96,14.46,99981.0,14.652,-3.8564
2015-03-04,14.37,14.37,14.75,14.73,176091.0,14.744,1.8672
2015-03-05,14.75,14.52,14.77,14.64,138998.0,14.738,-0.611
2015-03-06,14.53,14.33,14.69,14.39,146295.0,14.652,-1.7077
2015-03-09,14.43,14.33,14.59,14.41,94216.0,14.526,0.139
2015-03-10,14.27,14.09,14.34,14.15,133576.0,14.464,-1.8043
2015-03-11,14.17,14.1,14.3,14.25,78020.0,14.368,0.7067
2015-03-12,14.29,14.24,14.61,14.61,139326.0,14.362,2.5263
2015-03-13,14.54,14.21,14.64,14.4,127567.0,14.364,-1.4374
2015-03-16,14.45,14.18,14.5,14.25,102900.0,14.332,-1.0417
2015-03-17,14.23,14.12,14.37,14.36,112418.0,14.374,0.7719
2015-03-18,14.37,14.23,14.49,14.42,145546.0,14.408,0.4178
2015-03-19,14.41,14.32,14.52,14.37,62689.0,14.36,-0.3467
2015-03-20,14.47,14.1,14.48,14.33,431310.0,14.346,-0.2784
2015-03-23,14.29,14.29,14.56,14.47,160634.0,14.39,0.977
2015-03-24,14.48,14.32,14.55,14.5,105642.0,14.418,0.2073
2015-03-25,14.5,14.26,14.52,14.28,159374.0,14.39,-1.5172
2015-03-26,14.25,13.94,14.37,14.19,112006.0,14.354,-0.6303
2015-03-27,14.15,13.9,14.23,14.0,102778.0,14.288,-1.339
2015-03-30,13.95,13.62,14.01,13.8,131126.0,14.154,-1.4286
2015-03-31,13.72,13.54,13.765,13.66,128367.0,13.986,-1.0145
2015-04-01,13.63,13.58,13.94,13.92,146384.0,13.914,1.9034
2015-04-02,13.92,13.79,14.1,13.96,117540.0,13.868,0.2874
2015-04-06,13.83,13.64,13.92,13.76,108106.0,13.82,-1.4327
2015-04-07,13.74,13.64,13.86,13.7,100335.0,13.8,-0.436
2015-04-08,13.67,13.55,13.78,13.65,371574.0,13.798,-0.365
2015-04-09,13.6,13.6,13.89,13.88,123281.0,13.79,1.685
2015-04-10,13.98,13.86,14.04,13.92,74149.0,13.782,0.2882
2015-04-13,13.96,13.695,14.07,13.73,63857.0,13.776,-1.3649
2015-04-14,13.73,13.65,13.815,13.76,69786.0,13.788,0.2185
2015-04-15,13.78,13.72,13.96,13.81,88928.0,13.82,0.3634
2015-04-16,13.73,13.73,14.03,13.82,121475.0,13.808,0.0724
2015-04-17,13.74,13.64,13.81,13.75,97720.0,13.774,-0.5065
2015-04-20,13.84,13.81,13.98,13.85,98691.0,13.798,0.7273
2015-04-21,13.87,13.78,14.05,13.82,86959.0,13.81,-0.2166
2015-04-22,13.82,13.75,13.95,13.88,63999.0,13.824,0.4342
2015-04-23,13.85,13.81,13.96,13.9,113123.0,13.84,0.1441
2015-04-24,13.96,13.91,14.19,13.94,106965.0,13.878,0.2878
2015-04-27,14.0,13.83,14.13,13.96,105462.0,13.9,0.1435
2015-04-28,13.91,13.91,14.1,14.07,118370.0,13.95,0.788
2015-04-29,13.93,13.72,14.03,13.8,186497.0,13.934,-1.919
2015-04-30,13.69,13.46,13.84,13.67,179871.0,13.888,-0.942
2015-05-01,14.99,14.49,15.68,15.55,557729.0,14.21,13.7527
2015-05-04,15.61,15.48,15.99,15.76,266876.0,14.57,1.3505
2015-05-05,15.71,15.71,16.09,16.07,247090.0,14.97,1.967
2015-05-06,16.17,15.88,16.37,16.0,300208.0,15.41,-0.4356
2015-05-07,15.73,15.73,16.34,16.3,268422.0,15.936,1.875
2015-05-08,16.27,16.05,16.41,16.22,153368.0,16.07,-0.4908
2015-05-11,16.2,16.15,16.48,16.27,142007.0,16.172,0.3083
2015-05-12,16.19,16.05,16.355,16.205,125861.0,16.199,-0.3995
2015-05-13,16.21,16.02,16.28,16.15,169855.0,16.229,-0.3394
2015-05-14,16.14,16.14,16.43,16.28,108296.0,16.225,0.805
2015-05-15,16.27,16.15,16.38,16.2,109412.0,16.221,-0.4914
2015-05-18,16.2,16.13,16.32,16.26,78213.0,16.219,0.3704
2015-05-19,16.18,15.98,16.23,16.01,64437.0,16.18,-1.5375
2015-05-20,16.05,15.84,16.07,16.02,90533.0,16.154,0.0625
2015-05-21,16.03,16.0,16.3,16.15,86650.0,16.128,0.8115
2015-05-22,16.1,16.09,16.23,16.1,52360.0,16.108,-0.3096
2015-05-26,16.04,15.83,16.1,16.0,78200.0,16.056,-0.6211
2015-05-27,15.99,15.87,16.13,16.12,61442.0,16.078,0.75
2015-05-28,16.07,15.87,16.16,16.01,60269.0,16.076,-0.6824
2015-05-29,15.98,15.72,15.98,15.86,66487.0,16.018,-0.9369
2015-06-01,15.91,15.84,16.09,16.04,102875.0,16.006,1.1349
2015-06-02,16.01,15.9,16.15,16.0,69240.0,16.006,-0.2494
2015-06-03,16.04,16.04,16.47,16.46,117366.0,16.074,2.875
2015-06-04,16.42,15.99,16.42,16.26,118691.0,16.124,-1.2151
2015-06-05,16.27,16.21,16.54,16.4,57557.0,16.232,0.861
2015-06-08,16.4,16.19,16.66,16.23,57285.0,16.27,-1.0366
2015-06-09,16.21,16.13,16.36,16.25,54052.0,16.32,0.1232
2015-06-10,16.3,16.3,16.5,16.38,91802.0,16.304,0.8
2015-06-11,16.42,16.36,16.56,16.38,41789.0,16.328,0.0
2015-06-12,16.35,16.3,16.49,16.35,47209.0,16.318,-0.1832
2015-06-15,16.22,15.92,16.455,16.4,109387.0,16.352,0.3058
2015-06-16,16.33,15.96,16.39,16.37,82296.0,16.376,-0.1829
2015-06-17,16.4,16.25,16.49,16.32,69871.0,16.364,-0.3054
2015-06-18,16.36,16.33,16.49,16.37,135807.0,16.362,0.3064
2015-06-19,16.39,15.81,16.39,15.98,343041.0,16.288,-2.3824
2015-06-22,16.03,16.03,16.33,16.27,123512.0,16.262,1.8148
2015-06-23,16.31,16.17,16.34,16.29,110282.0,16.246,0.1229
2015-06-24,16.24,16.2,16.46,16.39,77287.0,16.26,0.6139
2015-06-25,16.46,16.19,16.48,16.35,69779.0,16.256,-0.2441
2015-06-26,16.33,16.14,16.63,16.6,378344.0,16.38,1.5291
2015-06-29,16.44,16.08,16.44,16.13,101604.0,16.352,-2.8313
2015-06-30,16.19,16.05,16.32,16.15,106544.0,16.324,0.124
2015-07-01,16.31,15.59,16.31,15.86,138284.0,16.218,-1.7957
2015-07-02,15.91,15.65,15.91,15.84,56913.0,16.116,-0.1261
2015-07-06,15.8,15.55,15.8,15.61,74253.0,15.918,-1.452
2015-07-07,15.59,15.1,15.59,15.45,91202.0,15.782,-1.025
2015-07-08,15.36,15.17,15.55,15.38,89334.0,15.628,-0.4531
2015-07-09,15.59,15.35,15.61,15.51,121574.0,15.558,0.8453
2015-07-10,15.63,15.46,15.79,15.74,70967.0,15.538,1.4829
2015-07-13,15.79,15.75,16.0,15.99,67270.0,15.614,1.5883
2015-07-14,15.94,15.94,16.23,16.18,108277.0,15.76,1.1882
2015-07-15,16.15,16.04,16.3,16.2,59761.0,15.924,0.1236
2015-07-16,16.3,15.77,16.3,15.79,74868.0,15.98,-2.5309
2015-07-17,15.85,15.67,16.08,15.78,101859.0,15.988,-0.0633
2015-07-20,15.83,15.64,15.96,15.95,84106.0,15.98,1.0773
2015-07-21,15.94,15.58,16.05,15.81,70615.0,15.906,-0.8777
2015-07-22,15.74,15.66,15.93,15.79,99196.0,15.824,-0.1265
2015-07-23,15.8,15.45,15.89,15.61,90520.0,15.788,-1.14
2015-07-24,15.66,15.36,15.66,15.43,51666.0,15.718,-1.1531
2015-07-27,15.3,15.08,15.32,15.2,57909.0,15.568,-1.4906
2015-07-28,15.24,14.91,15.52,15.46,97759.0,15.498,1.7105
2015-07-29,15.44,15.205,15.635,15.6,62211.0,15.46,0.9056
2015-07-30,15.6,15.42,15.68,15.48,182275.0,15.434,-0.7692
2015-07-31,14.39,13.96,15.37,14.17,257417.0,15.182,-8.4625
2015-08-03,14.14,14.1,14.24,14.2,130076.0,14.982,0.2117
2015-08-04,14.14,14.04,14.18,14.12,153795.0,14.714,-0.5634
2015-08-05,14.15,13.99,14.36,14.01,148123.0,14.396,-0.779
2015-08-06,14.0,13.64,14.06,13.7,133580.0,14.04,-2.2127
2015-08-07,13.63,13.62,13.88,13.67,70141.0,13.94,-0.219
2015-08-10,13.7,13.7,14.02,13.88,87925.0,13.876,1.5362
2015-08-11,13.79,13.55,13.89,13.8,59393.0,13.812,-0.5764
2015-08-12,13.75,13.54,13.75,13.605,53306.0,13.731,-1.413
2015-08-13,13.62,13.45,13.67,13.57,56931.0,13.705,-0.2573
2015-08-14,13.54,13.54,13.86,13.83,49706.0,13.737,1.916
2015-08-17,13.77,13.58,13.77,13.77,45422.0,13.715,-0.4338
2015-08-18,13.67,13.65,13.8,13.73,79634.0,13.701,-0.2905
2015-08-19,13.59,13.47,13.7,13.55,60027.0,13.69,-1.311
2015-08-20,13.45,13.4,13.63,13.4,117610.0,13.656,-1.107
2015-08-21,13.17,13.17,13.59,13.4,118051.0,13.57,0.0
2015-08-24,12.84,12.84,13.61,13.14,231007.0,13.444,-1.9403
2015-08-25,13.5,13.18,13.5,13.2,105960.0,13.338,0.4566
2015-08-26,13.43,13.16,13.45,13.42,91222.0,13.312,1.6667
2015-08-27,13.48,13.3,13.75,13.66,95769.0,13.364,1.7884
2015-08-28,13.59,13.55,13.81,13.81,97755.0,13.446,1.0981
2015-08-31,13.76,13.61,14.0,13.96,113517.0,13.61,1.0862
2015-09-01,13.76,13.32,13.9,13.44,154024.0,13.658,-3.7249
2015-09-02,13.55,13.26,13.55,13.39,75434.0,13.652,-0.372
2015-09-03,13.45,13.34,13.575,13.57,109837.0,13.634,1.3443
2015-09-04,13.44,13.21,13.47,13.255,64037.0,13.523,-2.3213
2015-09-08,13.44,13.16,13.44,13.29,104288.0,13.389,0.2641
2015-09-09,13.4,13.235,13.4,13.29,77288.0,13.359,0.0
2015-09-10,13.26,13.03,13.33,13.15,105536.0,13.311,-1.0534
2015-09-11,13.15,13.1,13.51,13.48,229086.0,13.293,2.5095
2015-09-14,13.5,13.41,14.05,13.98,121661.0,13.438,3.7092
2015-09-15,14.03,13.92,14.11,14.05,66327.0,13.59,0.5007
2015-09-16,14.09,14.03,14.2,14.075,142864.0,13.747,0.1779
2015-09-17,14.05,13.93,14.11,14.01,102875.0,13.919,-0.4618
2015-09-18,13.84,13.82,14.14,13.99,308945.0,14.021,-0.1428
