date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,44.4842,43.0629,44.7269,43.8169,119156.0,44.0266,-1.0955
2015-01-05,43.5223,42.6296,43.5223,42.9589,90639.0,43.9798,-1.9581
2015-01-06,43.0976,42.6296,43.5049,43.1583,156298.0,43.6765,0.464
2015-01-07,43.3923,43.1063,44.2849,44.1722,131566.0,43.6817,2.3494
2015-01-08,44.7442,44.6749,45.6975,45.5502,118385.0,43.9313,3.1195
2015-01-09,45.6368,45.3855,46.7115,46.5381,149974.0,44.4756,2.1689
2015-01-12,46.4775,46.0008,46.7461,46.4255,90241.0,45.1689,-0.2421
2015-01-13,47.0235,45.8188,47.8034,46.6335,119912.0,45.8639,0.448
2015-01-14,46.0268,43.3663,46.1915,44.5276,162268.0,45.935,-4.5159
2015-01-15,44.8135,43.3056,44.8135,43.5049,137066.0,45.5259,-2.2966
2015-01-16,43.4356,42.127,43.7216,43.5656,100866.0,44.9314,0.1394
2015-01-20,43.6349,42.1876,43.6349,42.8463,115312.0,44.2156,-1.6511
2015-01-21,42.6816,42.6816,43.6089,43.2276,66627.0,43.5344,0.89
2015-01-22,43.4529,42.9113,43.9382,43.4096,82805.0,43.3108,0.421
2015-01-23,43.4096,42.8723,43.7216,43.4356,95547.0,43.2969,0.0599
2015-01-26,43.6869,43.6523,44.6142,44.2589,62859.0,43.4356,1.8955
2015-01-27,43.7562,43.7562,44.9262,44.7615,87309.0,43.8186,1.1357
2015-01-28,44.9609,44.3802,45.4462,44.9002,85054.0,44.1532,0.3098
2015-01-29,44.9089,44.3976,45.7495,44.9175,435457.0,44.4548,0.0386
2015-01-30,44.7355,43.8862,44.7355,43.9382,153796.0,44.5553,-2.1802
2015-02-02,44.2676,43.7649,44.6662,44.3629,50865.0,44.5761,0.9665
2015-02-03,44.7875,44.3109,45.0822,44.7615,82898.0,44.5761,0.8986
2015-02-04,44.6315,44.5709,46.0355,45.3942,93940.0,44.6749,1.4134
2015-02-05,45.3769,44.4236,45.4375,44.4929,45657.0,44.5899,-1.9855
2015-02-06,44.5102,44.0509,44.7702,44.3542,73511.0,44.6731,-0.3116
2015-02-09,44.3109,43.7996,44.4496,44.0856,88567.0,44.6177,-0.6057
2015-02-10,44.3109,43.7476,44.6749,44.1029,63056.0,44.486,0.0393
2015-02-11,44.1376,42.829,44.5969,42.9849,95871.0,44.0041,-2.5349
2015-02-12,43.0283,43.0283,44.3369,44.2676,76422.0,43.959,2.9839
2015-02-13,44.2329,44.2329,44.8222,44.5536,74543.0,43.9989,0.646
2015-02-17,44.4756,44.4236,45.3595,44.9435,53039.0,44.1705,0.8753
2015-02-18,45.0129,45.0042,46.1568,45.7062,90837.0,44.4912,1.6969
2015-02-19,46.1828,45.7928,47.0928,46.7028,132604.0,45.2347,2.1805
2015-02-20,46.5728,46.1482,47.5694,47.4914,162863.0,45.8795,1.6886
2015-02-23,50.022,47.4481,50.334,48.4881,373098.0,46.6664,2.0985
2015-02-24,47.6994,47.6474,49.8487,48.2194,391740.0,47.3216,-0.5541
2015-02-25,48.9647,47.5694,48.9647,47.6908,185494.0,47.7185,-1.0963
2015-02-26,47.4914,47.2834,48.5271,48.4101,84086.0,48.0599,1.5083
2015-02-27,48.4881,48.1674,48.8434,48.3841,106019.0,48.2385,-0.0537
2015-03-02,48.9647,48.8954,50.0827,49.398,175259.0,48.4205,2.0956
2015-03-03,49.2247,48.3494,49.268,48.4447,61970.0,48.4655,-1.9298
2015-03-04,48.1934,47.5521,48.8867,48.8607,60055.0,48.6995,0.8587
2015-03-05,48.904,48.4014,49.216,49.1034,46415.0,48.8382,0.4966
2015-03-06,48.7047,47.7861,49.138,47.9161,103082.0,48.7446,-2.4179
2015-03-09,47.9161,47.3874,48.0374,47.7168,74230.0,48.4083,-0.416
2015-03-10,47.3614,47.3614,47.8468,47.4481,417315.0,48.209,-0.563
2015-03-11,47.5781,47.4048,48.7567,48.6787,90304.0,48.1726,2.5936
2015-03-12,48.9734,48.7307,49.0687,48.9647,265501.0,48.1449,0.5875
2015-03-13,48.8174,48.2281,48.8867,48.5141,63139.0,48.2645,-0.9204
2015-03-16,48.5834,48.2541,48.826,48.4447,59729.0,48.4101,-0.1429
2015-03-17,48.1587,47.7861,48.6701,48.0461,96394.0,48.5297,-0.8229
2015-03-18,48.0114,47.5261,49.1294,49.008,55169.0,48.5955,2.0022
2015-03-19,48.9734,48.5401,49.2854,48.7827,53082.0,48.5591,-0.4598
2015-03-20,49.0514,48.8954,49.892,49.8573,437315.0,48.8278,2.2029
2015-03-23,49.8573,49.4674,50.3427,49.7533,83031.0,49.0895,-0.2086
2015-03-24,49.7013,49.5714,50.6113,50.2647,97893.0,49.5332,1.0277
