date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,26.7,25.56,26.74,26.51,551727.0,26.686,0.1133
2015-01-05,26.15,25.47,26.38,25.69,615005.0,26.442,-3.0932
2015-01-06,26.11,24.75,26.21,25.57,743408.0,26.214,-0.4671
2015-01-07,25.89,25.22,26.2,25.98,387137.0,26.046,1.6034
2015-01-08,26.19,25.8,26.65,26.63,609141.0,26.076,2.5019
2015-01-09,26.62,26.02,26.62,26.27,401941.0,26.028,-1.3519
2015-01-12,26.24,25.53,26.35,25.84,347648.0,26.058,-1.6368
2015-01-13,26.11,25.42,26.84,25.72,609046.0,26.088,-0.4644
2015-01-14,25.33,25.14,26.24,25.91,565939.0,26.074,0.7387
2015-01-15,26.18,25.21,26.33,25.23,462619.0,25.794,-2.6245
2015-01-16,25.3,24.99,25.62,25.36,479787.0,25.612,0.5153
2015-01-20,25.57,25.25,27.43,26.91,938559.0,25.826,6.112
2015-01-21,26.78,26.27,27.18,26.8,618929.0,26.042,-0.4088
2015-01-22,26.97,26.35,27.79,27.44,626105.0,26.348,2.3881
2015-01-23,27.38,27.2,28.3,27.61,458986.0,26.824,0.6195
2015-01-26,27.68,27.61,28.22,27.89,358022.0,27.33,1.0141
2015-01-27,27.47,27.39,28.025,27.69,505674.0,27.486,-0.7171
2015-01-28,27.9,27.28,28.19,27.28,451367.0,27.582,-1.4807
2015-01-29,27.23,26.56,27.81,27.81,398321.0,27.656,1.9428
2015-01-30,27.52,27.0,27.96,27.01,369136.0,27.536,-2.8767
2015-02-02,26.98,25.93,27.02,26.9,478548.0,27.338,-0.4073
2015-02-03,26.9,25.67,27.24,25.8,671987.0,26.96,-4.0892
2015-02-04,25.8,25.79,26.65,26.42,390569.0,26.788,2.4031
2015-02-05,26.55,26.31,27.0,26.98,298254.0,26.622,2.1196
2015-02-06,26.98,26.3,27.15,26.64,268205.0,26.548,-1.2602
2015-02-09,26.31,26.14,26.76,26.28,202278.0,26.424,-1.3514
2015-02-10,26.39,26.01,26.69,26.58,226209.0,26.58,1.1416
2015-02-11,26.5,26.245,26.67,26.27,218766.0,26.55,-1.1663
2015-02-12,26.36,26.36,27.39,27.38,301166.0,26.63,4.2254
2015-02-13,27.37,26.89,27.88,26.96,283609.0,26.694,-1.534
2015-02-17,27.05,26.6,27.3,26.87,191914.0,26.812,-0.3338
2015-02-18,26.76,26.41,27.17,26.99,222537.0,26.894,0.4466
2015-02-19,26.84,26.77,27.64,27.16,231717.0,27.072,0.6299
2015-02-20,27.23,27.08,27.77,27.58,303253.0,27.112,1.5464
2015-02-23,27.72,27.23,27.93,27.76,370583.0,27.272,0.6526
2015-02-24,27.62,27.27,27.91,27.51,278298.0,27.4,-0.9006
2015-02-25,27.42,26.74,27.56,27.05,491177.0,27.412,-1.6721
