date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,27.42,26.28,27.7,26.94,38778.0,27.81,-1.6788
2015-01-05,26.62,26.04,27.35,26.39,32780.0,27.428,-2.0416
2015-01-06,26.36,25.22,26.44,26.14,48661.0,26.958,-0.9473
2015-01-07,26.33,26.22,27.08,27.02,40399.0,26.778,3.3665
2015-01-08,27.2,26.56,27.66,26.85,18647.0,26.668,-0.6292
2015-01-09,26.86,26.51,27.45,27.29,31512.0,26.738,1.6387
2015-01-12,27.18,27.18,29.48,29.32,53899.0,27.324,7.4386
2015-01-13,29.65,29.15,31.17,29.7,81328.0,28.036,1.296
2015-01-14,29.31,29.31,30.38,30.18,53685.0,28.668,1.6162
2015-01-15,30.35,29.45,30.76,30.0,53467.0,29.298,-0.5964
2015-01-16,29.98,29.81,30.97,30.71,42450.0,29.982,2.3667
2015-01-20,30.89,30.88,34.02,32.28,92409.0,30.574,5.1123
2015-01-21,32.28,28.89,32.28,29.2,57861.0,30.474,-9.5415
2015-01-22,29.37,28.0,29.37,29.21,46353.0,30.28,0.0342
2015-01-23,29.13,28.1,29.38,29.19,28599.0,30.118,-0.0685
2015-01-26,29.32,28.92,29.76,29.68,25366.0,29.912,1.6787
2015-01-27,29.18,29.18,30.58,30.28,22609.0,29.512,2.0216
2015-01-28,30.37,29.22,30.38,29.65,40615.0,29.602,-2.0806
2015-01-29,29.8,28.25,29.8,29.54,28162.0,29.668,-0.371
2015-01-30,29.32,29.32,30.95,30.65,55200.0,29.96,3.7576
2015-02-02,30.61,29.69,31.07,29.99,43487.0,30.022,-2.1533
2015-02-03,30.14,30.03,30.99,30.33,62084.0,30.032,1.1337
2015-02-04,31.56,31.56,38.56,35.3,284468.0,31.162,16.3864
2015-02-05,35.63,35.63,39.25,38.53,95088.0,32.96,9.1501
2015-02-06,39.06,37.66,41.19,37.86,111808.0,34.402,-1.7389
2015-02-09,37.81,37.66,38.46,38.13,39461.0,36.03,0.7132
2015-02-10,38.69,37.04,38.69,37.9,72855.0,37.544,-0.6032
2015-02-11,37.67,37.47,38.9,38.52,54033.0,38.188,1.6359
2015-02-12,38.74,38.65,38.98,38.94,29136.0,38.27,1.0903
2015-02-13,39.01,39.01,39.87,39.78,33904.0,38.654,2.1572
2015-02-17,39.77,39.37,40.36,40.0,23110.0,39.028,0.553
2015-02-18,39.43,39.43,40.28,40.1,31876.0,39.468,0.25
2015-02-19,40.16,39.69,41.39,39.79,47093.0,39.722,-0.7731
2015-02-20,39.67,37.86,39.67,38.57,57654.0,39.648,-3.0661
2015-02-23,38.74,38.02,38.74,38.4,63891.0,39.372,-0.4408
2015-02-24,38.3,38.04,39.45,39.06,55695.0,39.184,1.7188
2015-02-25,39.05,38.6,39.18,38.84,18434.0,38.932,-0.5632
2015-02-26,38.91,38.09,38.98,38.26,36744.0,38.626,-1.4933
2015-02-27,38.13,37.15,38.13,37.25,65461.0,38.362,-2.6398
2015-03-02,37.07,37.07,39.6,38.96,73264.0,38.474,4.5906
2015-03-03,38.88,38.36,39.09,38.84,18448.0,38.43,-0.308
2015-03-04,38.74,38.32,39.88,39.19,32727.0,38.5,0.9011
2015-03-05,39.44,37.74,39.44,38.6,26906.0,38.568,-1.5055
2015-03-06,38.5,38.23,39.8,39.57,49716.0,39.032,2.513
2015-03-09,39.63,38.95,40.02,39.92,32384.0,39.224,0.8845
2015-03-10,39.64,39.5,42.1,41.52,62701.0,39.76,4.008
2015-03-11,41.4,39.82,41.46,40.76,49419.0,40.074,-1.8304
