date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2017-07-17,70.0,70.0,73.0,70.0,711.0,,
2017-07-18,71.0,69.92,71.0,69.92,6510.0,,-0.1143
2017-07-19,67.92,67.8,67.92,67.8,400.0,,-3.032
2017-07-20,69.94,69.14,69.94,69.14,700.0,,1.9764
2017-07-21,70.0,68.56,70.0,68.56,753.0,69.084,-0.8389
2017-07-24,69.0,69.0,69.29,69.08,1000.0,68.9,0.7585
2017-07-27,68.56,68.0,68.56,68.0,7847.0,68.516,-1.5634
2017-07-28,67.26,67.26,67.26,67.26,100.0,68.408,-1.0882
2017-07-31,67.0,65.71,67.0,65.71,10650.0,67.722,-2.3045
2017-08-01,66.65,66.23,66.86,66.25,6264.0,67.26,0.8218
2017-08-02,65.7,64.83,66.06,64.89,25600.0,66.422,-2.0528
2017-08-03,64.9,63.5,65.0,64.0,7900.0,65.622,-1.3716
2017-08-04,64.56,64.44,65.0,64.57,90795.0,65.084,0.8906
2017-08-07,62.75,60.6,62.85,61.72,4301632.0,64.286,-4.4138
2017-08-08,61.06,56.62,61.5,56.9,725222.0,62.416,-7.8095
2017-08-09,56.01,54.955,57.02,56.72,1203464.0,60.782,-0.3163
2017-08-10,56.55,56.06,59.46,58.5,616932.0,59.682,3.1382
2017-08-11,58.1,57.04,58.44,57.97,401418.0,58.362,-0.906
2017-08-14,57.42,57.0,58.53,57.36,558833.0,57.49,-1.0523
2017-08-15,57.48,57.245,58.99,58.01,464548.0,57.712,1.1332
2017-08-16,57.51,57.1,58.72,57.5,687969.0,57.868,-0.8792
2017-08-17,57.05,55.17,57.58,55.97,567630.0,57.362,-2.6609
2017-08-18,55.69,55.19,57.92,57.45,777420.0,57.258,2.6443
2017-08-21,57.0,56.63,57.94,56.86,347641.0,57.158,-1.027
2017-08-22,56.92,56.72,57.8,57.21,294351.0,56.998,0.6155
2017-08-23,56.76,56.26,57.28,56.65,438295.0,56.828,-0.9788
2017-08-24,56.39,55.12,56.63,55.32,380927.0,56.698,-2.3477
2017-08-25,55.53,54.9,56.58,55.54,310591.0,56.316,0.3977
2017-08-28,55.78,55.22,55.975,55.34,231558.0,56.012,-0.3601
2017-08-29,55.25,54.78,55.86,55.76,360795.0,55.722,0.7589
2017-08-30,55.48,55.48,57.47,57.1,342321.0,55.812,2.4032
2017-08-31,57.06,56.22,57.4,57.07,572262.0,56.162,-0.0525
