date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,36.85,36.4,36.85,36.7,286605.0,36.646,0.0818
2015-01-05,36.7,36.61,37.23,36.93,414343.0,36.762,0.6267
2015-01-06,36.96,35.67,37.16,36.06,1584921.0,36.644,-2.3558
2015-01-07,36.28,35.9,36.49,36.49,321737.0,36.57,1.1925
2015-01-08,37.0,36.71,37.0,36.8,487885.0,36.596,0.8495
2015-01-09,37.01,36.37,37.01,36.42,249853.0,36.54,-1.0326
2015-01-12,36.42,35.82,36.528,36.03,240419.0,36.36,-1.0708
2015-01-13,36.22,35.55,36.33,36.09,283359.0,36.366,0.1665
2015-01-14,35.7,35.55,36.035,35.88,454602.0,36.244,-0.5819
2015-01-15,36.15,35.1,36.2,35.25,249269.0,35.934,-1.7559
2015-01-16,35.14,34.79,35.96,35.92,252766.0,35.834,1.9007
2015-01-20,35.92,35.14,36.18,35.8,295108.0,35.788,-0.3341
2015-01-21,35.76,35.61,36.24,36.04,213958.0,35.778,0.6704
2015-01-22,36.26,35.78,37.04,36.95,399748.0,35.992,2.525
2015-01-23,36.88,36.55,37.01,36.71,274156.0,36.284,-0.6495
2015-01-26,32.25,32.25,34.24,33.92,1250916.0,35.884,-7.6001
2015-01-27,33.58,33.23,34.72,34.13,571837.0,35.55,0.6191
2015-01-28,34.35,33.68,34.35,34.04,407956.0,35.15,-0.2637
2015-01-29,33.99,33.58,34.08,34.07,406195.0,34.574,0.0881
2015-01-30,33.78,33.2,34.17,33.75,782394.0,33.982,-0.9392
2015-02-02,33.86,33.53,34.36,34.33,747010.0,34.064,1.7185
2015-02-03,34.4,34.34,34.98,34.81,1033752.0,34.2,1.3982
2015-02-04,34.6,34.58,35.04,34.93,543244.0,34.378,0.3447
2015-02-05,34.31,33.94,34.74,34.57,1065531.0,34.478,-1.0306
2015-02-06,36.13,35.6,36.99,36.88,1138403.0,35.104,6.6821
2015-02-09,36.72,35.94,36.87,36.11,677567.0,35.46,-2.0879
2015-02-10,36.36,36.04,36.55,36.54,227397.0,35.806,1.1908
2015-02-11,36.42,36.23,36.82,36.46,344969.0,36.112,-0.2189
2015-02-12,36.5,36.31,36.615,36.59,370074.0,36.516,0.3566
2015-02-13,36.51,36.38,37.37,37.27,310665.0,36.594,1.8584
2015-02-17,37.18,36.54,37.2,36.64,403797.0,36.7,-1.6904
2015-02-18,36.63,36.38,37.03,37.03,309639.0,36.798,1.0644
2015-02-19,36.85,36.79,37.11,36.9,239099.0,36.886,-0.3511
2015-02-20,36.86,36.5,36.87,36.7,233066.0,36.908,-0.542
2015-02-23,36.64,36.55,36.96,36.81,478405.0,36.816,0.2997
2015-02-24,36.71,35.5,36.81,35.69,858133.0,36.626,-3.0427
2015-02-25,35.7,35.63,37.08,36.96,765434.0,36.612,3.5584
2015-02-26,36.95,36.65,37.19,37.09,340045.0,36.65,0.3517
2015-02-27,36.99,36.99,37.54,37.51,462810.0,36.812,1.1324
2015-03-02,37.5,37.44,38.45,38.16,500332.0,37.082,1.7329
2015-03-03,37.99,37.43,38.13,37.95,341084.0,37.534,-0.5503
2015-03-04,37.75,37.38,38.26,37.65,538063.0,37.672,-0.7905
2015-03-05,37.67,37.51,37.85,37.64,358947.0,37.782,-0.0266
2015-03-06,37.47,36.365,37.6,36.43,396966.0,37.566,-3.2147
2015-03-09,36.54,36.26,36.92,36.86,250095.0,37.306,1.1803
2015-03-10,36.5,36.29,37.02,36.9,301672.0,37.096,0.1085
2015-03-11,37.06,36.99,37.86,37.69,461845.0,37.104,2.1409
2015-03-12,38.03,37.94,38.96,38.65,533668.0,37.306,2.5471
2015-03-13,38.6,37.7,38.7,37.88,434562.0,37.596,-1.9922
2015-03-16,38.08,37.92,38.53,38.2,477783.0,37.864,0.8448
2015-03-17,38.01,37.55,38.2,37.66,409930.0,38.016,-1.4136
2015-03-18,37.58,37.34,38.19,38.04,392804.0,38.086,1.009
2015-03-19,37.93,37.84,38.48,38.13,233851.0,37.982,0.2366
2015-03-20,38.68,38.01,38.68,38.15,496262.0,38.036,0.0525
2015-03-23,38.21,37.96,38.6,38.32,231297.0,38.06,0.4456
2015-03-24,38.3,37.99,38.47,38.11,218424.0,38.15,-0.548
2015-03-25,38.11,37.45,38.54,37.54,279435.0,38.05,-1.4957
2015-03-26,37.48,37.0,37.5,37.26,225060.0,37.876,-0.7459
2015-03-27,37.31,37.1,37.9,37.65,248451.0,37.776,1.0467
2015-03-30,37.9,37.51,38.02,37.59,162725.0,37.63,-0.1594
2015-03-31,37.52,37.4,38.02,37.76,211147.0,37.56,0.4522
2015-04-01,37.75,36.485,37.76,36.76,758134.0,37.404,-2.6483
2015-04-02,36.79,36.73,37.36,37.28,236968.0,37.408,1.4146
2015-04-06,37.14,36.89,37.52,37.29,990717.0,37.336,0.0268
2015-04-07,37.36,36.77,37.54,36.96,297735.0,37.21,-0.885
2015-04-08,36.96,36.58,39.89,38.26,961748.0,37.31,3.5173
2015-04-09,38.29,38.21,38.89,38.74,423684.0,37.706,1.2546
2015-04-10,38.88,38.68,39.13,38.72,348676.0,37.994,-0.0516
2015-04-13,38.77,38.335,38.88,38.38,134926.0,38.212,-0.8781
2015-04-14,38.3,37.82,38.55,37.85,313023.0,38.39,-1.3809
2015-04-15,38.02,37.62,38.37,37.7,384170.0,38.278,-0.3963
2015-04-16,37.7,37.42,38.04,37.75,313080.0,38.08,0.1326
2015-04-17,37.51,36.99,37.6,37.15,342030.0,37.766,-1.5894
2015-04-20,37.33,37.03,37.49,37.09,243060.0,37.508,-0.1615
2015-04-21,37.24,36.79,37.54,36.87,527430.0,37.312,-0.5932
2015-04-22,36.86,36.86,37.22,37.0,224946.0,37.172,0.3526
2015-04-23,37.0,36.69,37.35,36.74,424593.0,36.97,-0.7027
2015-04-24,37.18,36.67,37.65,37.33,504791.0,37.006,1.6059
2015-04-27,37.36,36.63,37.42,36.68,267925.0,36.924,-1.7412
2015-04-28,36.71,36.11,37.02,36.86,208646.0,36.922,0.4907
2015-04-29,38.25,36.96,38.25,37.24,794578.0,36.97,1.0309
2015-04-30,37.2,36.18,37.34,36.23,543214.0,36.868,-2.7121
2015-05-01,36.27,35.715,36.42,35.95,432089.0,36.592,-0.7728
2015-05-04,36.04,35.82,36.41,36.12,431407.0,36.48,0.4729
2015-05-05,36.13,35.7,36.29,36.12,357886.0,36.332,0.0
2015-05-06,36.36,35.43,36.36,35.57,380244.0,35.998,-1.5227
2015-05-07,35.51,35.51,36.26,36.12,506399.0,35.976,1.5462
2015-05-08,36.7,36.19,38.6,36.64,715431.0,36.114,1.4396
2015-05-11,36.64,36.0,36.88,36.03,280694.0,36.096,-1.6648
2015-05-12,35.89,35.51,36.16,35.99,410084.0,36.07,-0.111
2015-05-13,36.09,35.7,36.39,35.89,262288.0,36.134,-0.2779
2015-05-14,36.0,35.71,36.04,36.0,221972.0,36.11,0.3065
2015-05-15,35.97,35.76,37.52,37.15,601215.0,36.212,3.1944
2015-05-18,37.14,37.14,37.6,37.39,334480.0,36.484,0.646
2015-05-19,37.4,37.22,38.06,37.72,448148.0,36.83,0.8826
2015-05-20,37.66,37.56,38.1,37.89,507287.0,37.23,0.4507
2015-05-21,37.86,37.72,38.45,38.19,489479.0,37.668,0.7918
2015-05-22,38.0,37.75,38.47,37.87,408982.0,37.812,-0.8379
2015-05-26,37.74,37.16,37.86,37.25,704798.0,37.784,-1.6372
2015-05-27,37.29,37.24,37.58,37.51,252807.0,37.742,0.698
2015-05-28,37.61,37.46,37.76,37.71,280561.0,37.706,0.5332
2015-05-29,37.65,37.37,37.945,37.69,269426.0,37.606,-0.053
2015-06-01,37.79,37.4,37.9,37.82,252971.0,37.596,0.3449
2015-06-02,37.62,37.42,37.85,37.7,224149.0,37.686,-0.3173
2015-06-03,37.81,37.34,38.06,37.46,238215.0,37.676,-0.6366
2015-06-04,37.54,36.76,37.57,36.87,391083.0,37.508,-1.575
2015-06-05,36.7,36.29,36.8,36.75,471620.0,37.32,-0.3255
2015-06-08,36.73,36.44,37.01,36.62,341614.0,37.08,-0.3537
2015-06-09,36.56,36.02,36.62,36.26,360371.0,36.792,-0.9831
2015-06-10,36.48,36.32,36.78,36.56,302653.0,36.612,0.8274
2015-06-11,36.68,36.25,36.88,36.38,294739.0,36.514,-0.4923
2015-06-12,36.2,36.05,36.35,36.16,210238.0,36.396,-0.6047
2015-06-15,35.93,35.81,36.55,36.38,185115.0,36.348,0.6084
2015-06-16,36.42,36.12,36.54,36.33,216438.0,36.362,-0.1374
2015-06-17,36.46,36.11,36.72,36.56,183671.0,36.362,0.6331
2015-06-18,36.6,36.57,37.12,36.9,232644.0,36.466,0.93
2015-06-19,36.94,36.94,37.38,37.05,306840.0,36.644,0.4065
2015-06-22,37.25,36.275,37.25,36.31,335932.0,36.63,-1.9973
2015-06-23,36.37,35.92,36.71,36.0,268072.0,36.564,-0.8538
2015-06-24,35.96,35.55,36.0,35.76,317200.0,36.404,-0.6667
2015-06-25,35.85,35.43,36.19,35.68,293964.0,36.16,-0.2237
2015-06-26,35.83,35.54,36.06,35.83,1136063.0,35.916,0.4204
2015-06-29,35.47,34.92,35.92,35.08,524641.0,35.67,-2.0932
2015-06-30,35.38,34.6,35.54,34.7,396376.0,35.41,-1.0832
2015-07-01,34.82,34.28,35.35,34.39,505621.0,35.136,-0.8934
2015-07-02,34.46,33.54,34.8,34.04,475001.0,34.808,-1.0177
2015-07-06,33.74,33.54,34.24,34.01,1611722.0,34.444,-0.0881
2015-07-07,34.02,33.24,34.4,34.29,827184.0,34.286,0.8233
2015-07-08,34.12,33.38,34.23,33.65,242258.0,34.076,-1.8664
2015-07-09,33.97,32.81,34.09,33.34,1028133.0,33.866,-0.9212
2015-07-10,33.67,33.67,34.47,33.86,739542.0,33.83,1.5597
2015-07-13,34.08,34.07,34.33,34.21,277669.0,33.87,1.0337
2015-07-14,34.17,34.07,34.45,34.11,239665.0,33.834,-0.2923
2015-07-15,34.15,33.36,34.17,33.56,604455.0,33.816,-1.6124
2015-07-16,33.6,33.14,33.71,33.42,510089.0,33.832,-0.4172
2015-07-17,33.52,32.94,33.58,33.03,418926.0,33.666,-1.167
2015-07-20,33.03,32.42,33.08,32.75,349701.0,33.374,-0.8477
2015-07-21,32.67,32.35,32.96,32.76,406009.0,33.104,0.0305
2015-07-22,32.69,32.56,33.37,33.21,395250.0,33.034,1.3736
2015-07-23,33.25,32.77,33.4,32.85,366225.0,32.92,-1.084
2015-07-24,32.78,32.45,32.9,32.56,306548.0,32.826,-0.8828
2015-07-27,32.25,32.21,32.725,32.38,433266.0,32.752,-0.5528
2015-07-28,32.54,32.16,32.79,32.54,323496.0,32.708,0.4941
2015-07-29,32.61,32.52,32.99,32.79,338946.0,32.624,0.7683
2015-07-30,32.65,32.34,32.75,32.72,381817.0,32.598,-0.2135
2015-07-31,32.95,32.8,33.26,33.13,354818.0,32.712,1.2531
2015-08-03,33.18,32.86,33.33,33.02,549515.0,32.84,-0.332
2015-08-04,31.0,29.91,31.37,30.66,2429999.0,32.464,-7.1472
2015-08-05,30.5,29.99,30.53,30.13,1339787.0,31.932,-1.7286
2015-08-06,30.06,28.85,30.14,30.02,1188512.0,31.392,-0.3651
2015-08-07,30.0,28.6,30.0,29.12,920859.0,30.59,-2.998
2015-08-10,29.48,28.99,29.74,29.16,599113.0,29.818,0.1374
2015-08-11,28.95,28.7,29.17,28.82,589854.0,29.45,-1.166
2015-08-12,28.54,27.9,28.8,28.74,601565.0,29.172,-0.2776
2015-08-13,28.61,28.45,28.89,28.6,580452.0,28.888,-0.4871
2015-08-14,28.53,28.51,29.48,29.45,668170.0,28.954,2.972
2015-08-17,29.34,29.22,29.88,29.81,765738.0,29.084,1.2224
2015-08-18,29.77,29.575,30.05,29.6,528673.0,29.24,-0.7045
2015-08-19,29.44,29.25,29.73,29.33,639180.0,29.358,-0.9122
2015-08-20,29.11,28.86,29.31,28.87,741872.0,29.412,-1.5684
2015-08-21,28.55,28.53,29.37,28.72,854381.0,29.266,-0.5196
2015-08-24,27.41,27.2,28.61,27.65,790735.0,28.834,-3.7256
2015-08-25,28.24,27.28,28.36,27.29,801668.0,28.372,-1.302
2015-08-26,27.48,26.79,27.81,27.26,850410.0,27.958,-0.1099
2015-08-27,27.45,27.25,28.15,27.62,748859.0,27.708,1.3206
2015-08-28,27.5,27.44,27.75,27.73,670204.0,27.51,0.3983
2015-08-31,27.66,27.3,28.005,27.42,557257.0,27.464,-1.1179
2015-09-01,26.93,26.54,27.2,26.71,895060.0,27.348,-2.5894
2015-09-02,27.04,26.41,27.16,27.15,702451.0,27.326,1.6473
2015-09-03,27.3,27.06,27.785,27.15,720037.0,27.232,0.0
2015-09-04,26.89,26.31,27.05,26.54,674386.0,26.994,-2.2468
2015-09-08,26.96,26.66,27.29,27.25,920489.0,26.96,2.6752
2015-09-09,27.45,27.095,27.65,27.13,843882.0,27.044,-0.4404
2015-09-10,27.07,26.8,27.28,27.04,1341158.0,27.022,-0.3317
2015-09-11,26.99,26.61,27.16,26.88,580220.0,26.968,-0.5917
2015-09-14,26.91,26.52,27.06,26.91,863186.0,27.042,0.1116
2015-09-15,26.98,26.77,27.27,27.11,470169.0,27.014,0.7432
2015-09-16,27.13,26.92,27.23,27.17,463511.0,27.022,0.2213
2015-09-17,27.2,27.02,27.75,27.58,635423.0,27.13,1.509
2015-09-18,27.25,27.025,27.5,27.16,659625.0,27.186,-1.5228
2015-09-21,27.35,26.59,27.35,26.66,536443.0,27.136,-1.8409
2015-09-22,26.39,25.96,26.48,26.31,589526.0,26.976,-1.3128
2015-09-23,26.23,25.79,26.47,25.9,589831.0,26.722,-1.5583
2015-09-24,25.74,24.92,25.77,25.04,934355.0,26.214,-3.3205
2015-09-25,25.15,24.15,25.245,24.4,948695.0,25.662,-2.5559
2015-09-28,24.34,22.02,24.37,22.24,1391296.0,24.778,-8.8525
2015-09-29,22.24,22.01,22.5,22.1,1508520.0,23.936,-0.6295
2015-09-30,22.38,22.32,22.99,22.96,1209723.0,23.348,3.8914
2015-10-01,23.02,22.97,23.75,23.73,1629783.0,23.086,3.3537
2015-10-02,23.35,23.07,24.87,24.85,1356630.0,23.176,4.7198
2015-10-05,25.04,24.79,25.48,25.21,1950798.0,23.77,1.4487
2015-10-06,25.18,24.1,25.31,24.36,1070384.0,24.222,-3.3717
2015-10-07,24.48,23.77,24.56,24.17,837101.0,24.464,-0.78
2015-10-08,23.73,22.78,23.75,23.4,1443485.0,24.398,-3.1858
2015-10-09,23.47,22.62,23.58,22.86,1448666.0,24.0,-2.3077
2015-10-12,22.89,22.76,23.15,22.87,1201767.0,23.532,0.0437
2015-10-13,22.82,22.34,23.22,22.61,1657254.0,23.182,-1.1369
2015-10-14,22.65,22.61,23.43,23.03,1385918.0,22.954,1.8576
2015-10-15,22.99,22.86,23.62,23.53,865134.0,22.98,2.1711
2015-10-16,23.58,23.3,23.89,23.56,551820.0,23.12,0.1275
2015-10-19,23.44,22.94,23.6,23.17,657804.0,23.18,-1.6553
2015-10-20,23.17,22.54,23.4,22.58,872188.0,23.174,-2.5464
2015-10-21,22.68,21.79,22.72,22.33,1306065.0,23.034,-1.1072
2015-10-22,22.37,21.06,22.56,21.66,1715040.0,22.66,-3.0004
2015-10-23,22.13,21.27,22.35,21.29,1453007.0,22.206,-1.7082
2015-10-26,21.24,20.27,21.4,21.07,1866061.0,21.786,-1.0333
2015-10-27,21.01,20.4,21.09,20.73,1260067.0,21.416,-1.6137
2015-10-28,20.8,20.47,21.57,20.76,1955137.0,21.102,0.1447
2015-10-29,20.8,20.77,21.33,20.95,1010898.0,20.96,0.9152
2015-10-30,20.92,20.65,21.12,20.91,1177448.0,20.884,-0.1909
2015-11-02,20.91,20.9,21.77,21.68,1089626.0,21.006,3.6824
2015-11-03,21.68,21.52,22.65,22.31,2076575.0,21.322,2.9059
2015-11-04,22.5,22.07,22.68,22.33,1090642.0,21.636,0.0896
2015-11-05,23.35,22.13,23.87,22.98,2062295.0,22.042,2.9109
2015-11-06,22.83,22.29,23.28,23.22,911002.0,22.504,1.0444
2015-11-09,23.12,22.44,23.48,22.82,811016.0,22.732,-1.7227
2015-11-10,22.79,22.52,23.05,22.95,597868.0,22.86,0.5697
2015-11-11,23.01,22.1,23.04,22.36,1032827.0,22.866,-2.5708
2015-11-12,22.23,21.98,22.71,22.56,800398.0,22.782,0.8945
2015-11-13,22.5,22.12,23.0,22.96,1049162.0,22.73,1.773
2015-11-16,23.04,22.93,23.48,23.31,529994.0,22.828,1.5244
2015-11-17,23.3,23.08,23.79,23.43,927752.0,22.924,0.5148
2015-11-18,23.42,23.25,23.92,23.33,1090395.0,23.118,-0.4268
2015-11-19,23.36,22.35,23.36,22.43,661052.0,23.092,-3.8577
2015-11-20,22.52,22.46,22.87,22.61,1294847.0,23.022,0.8025
2015-11-23,22.6,22.57,23.26,22.67,948900.0,22.894,0.2654
2015-11-24,22.56,22.44,23.0,22.91,721709.0,22.79,1.0587
2015-11-25,22.94,22.75,22.98,22.83,1153205.0,22.69,-0.3492
2015-11-27,22.89,22.68,23.05,22.87,237161.0,22.778,0.1752
2015-11-30,22.89,22.435,22.95,22.48,946825.0,22.752,-1.7053
2015-12-01,22.62,22.45,23.21,23.09,996325.0,22.836,2.7135
2015-12-02,23.05,22.39,23.28,22.54,864749.0,22.762,-2.382
2015-12-03,22.55,21.4,22.66,21.48,1446254.0,22.492,-4.7028
2015-12-04,21.48,20.86,21.56,20.96,724881.0,22.11,-2.4209
2015-12-07,20.96,20.44,20.97,20.61,722674.0,21.736,-1.6698
2015-12-08,20.42,19.07,20.55,19.1,1575096.0,20.938,-7.3265
2015-12-09,18.97,18.66,19.57,18.79,1130344.0,20.188,-1.623
2015-12-10,18.78,18.64,19.47,19.2,1000663.0,19.732,2.182
2015-12-11,18.97,18.77,19.51,18.97,1037532.0,19.334,-1.1979
2015-12-14,18.91,16.59,19.05,17.69,1748834.0,18.75,-6.7475
2015-12-15,17.85,17.72,18.36,18.27,1032577.0,18.584,3.2787
2015-12-16,18.37,18.12,18.73,18.57,1225862.0,18.54,1.642
2015-12-17,18.6,18.11,18.65,18.22,723008.0,18.344,-1.8848
2015-12-18,18.06,18.03,18.36,18.12,1184886.0,18.174,-0.5488
2015-12-21,18.21,17.87,18.27,17.97,824974.0,18.23,-0.8278
2015-12-22,18.01,17.79,18.21,18.02,723577.0,18.18,0.2782
2015-12-23,18.17,18.03,19.3,19.15,955845.0,18.296,6.2708
