date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2020-03-19,12.0,12.0,12.0,12.0,100.0,,
2020-03-20,13.0,12.0,13.0,12.75,1448.0,,6.25
2020-03-23,12.75,11.5,12.75,11.54,2780.0,,-9.4902
2020-03-24,12.9,11.5,12.9,11.7,40162.0,,1.3865
2020-03-25,11.8,11.8,13.45,13.45,5963.0,12.288,14.9573
2020-03-26,14.0,14.0,15.45,15.45,17864.0,12.978,14.8699
2020-03-27,15.5,14.55,16.0,14.55,6183.0,13.338,-5.8252
2020-03-30,15.25,15.25,16.1,15.9,19012.0,14.21,9.2784
2020-03-31,16.39,14.56,17.25,17.25,51865.0,15.32,8.4906
2020-04-01,16.0,14.56,16.0,15.05,78677.0,15.64,-12.7536
2020-04-02,15.5,12.12,15.5,13.28,7510321.0,15.206,-11.7608
2020-04-03,13.75,13.43,16.99,16.92,38171227.0,15.68,27.4096
2020-04-06,16.77,14.85,17.15,15.44,4421437.0,15.588,-8.747
2020-04-07,15.2,14.63,15.79,15.25,2938819.0,15.188,-1.2306
2020-04-08,14.5,13.73,15.25,14.26,6782062.0,15.03,-6.4918
2020-04-09,13.95,13.92,15.5,14.78,5936128.0,15.33,3.6466
2020-04-13,14.44,13.98,14.45,13.99,2679074.0,14.744,-5.3451
2020-04-14,14.0,13.78,14.19,13.87,3020389.0,14.43,-0.8578
2020-04-15,13.53,12.96,13.64,13.36,2067749.0,14.052,-3.677
2020-04-16,13.15,12.26,13.22,12.89,2613156.0,13.778,-3.518
2020-04-17,13.3,12.93,13.83,13.74,3251488.0,13.57,6.5943
2020-04-20,13.6,13.51,14.74,14.45,2438333.0,13.662,5.1674
2020-04-21,14.22,14.19,15.25,14.69,2389473.0,13.826,1.6609
2020-04-22,14.95,14.23,15.16,14.79,1508846.0,14.112,0.6807
2020-04-23,14.7,14.63,15.92,15.72,1746515.0,14.678,6.288
2020-04-24,15.6,15.3,16.67,16.25,3554099.0,15.18,3.3715
2020-04-27,16.35,15.985,16.81,16.8,1860237.0,15.65,3.3846
2020-04-28,16.88,16.62,17.75,17.0,1935084.0,16.112,1.1905
2020-04-29,17.46,17.175,18.08,17.64,2497230.0,16.682,3.7647
2020-04-30,17.22,17.0,17.81,17.71,8522402.0,17.08,0.3968
2020-05-01,17.33,16.63,17.35,16.77,2109797.0,17.184,-5.3077
2020-05-04,16.15,15.7,16.515,16.4,1340914.0,17.104,-2.2063
2020-05-05,16.68,15.845,16.73,15.97,1214520.0,16.898,-2.622
2020-05-06,16.0,15.44,16.37,16.29,2572953.0,16.628,2.0038
2020-05-07,16.21,15.885,17.02,16.41,1568770.0,16.368,0.7366
2020-05-08,17.04,16.935,18.4,18.36,2920168.0,16.686,11.883
2020-05-11,18.49,18.03,18.74,18.35,1364386.0,17.076,-0.0545
2020-05-12,18.39,17.7,18.39,17.8,1366508.0,17.442,-2.9973
2020-05-13,17.21,16.12,17.41,16.44,1537963.0,17.472,-7.6404
2020-05-14,16.02,15.72,16.715,16.55,1230860.0,17.5,0.6691
2020-05-15,16.3,16.03,16.95,16.71,1087202.0,17.17,0.9668
2020-05-18,17.3,17.29,17.72,17.55,995956.0,17.01,5.0269
2020-05-19,17.44,17.17,17.92,17.77,1466030.0,17.004,1.2536
2020-05-20,18.16,18.16,19.04,18.73,1912037.0,17.462,5.4024
2020-05-21,18.54,18.5,19.52,19.45,1987022.0,18.042,3.8441
2020-05-22,19.47,18.95,19.86,19.05,1063433.0,18.51,-2.0566
2020-05-26,19.58,19.34,20.59,19.51,1143129.0,18.902,2.4147
2020-05-27,19.47,19.44,20.13,19.99,1653726.0,19.346,2.4603
2020-05-28,20.03,19.505,20.46,19.6,2203133.0,19.52,-1.951
2020-05-29,18.96,18.93,20.98,20.47,21423078.0,19.724,4.4388
2020-06-01,20.55,20.55,21.95,21.82,2106432.0,20.278,6.595
