date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,23.15,22.27,23.16,22.84,28349.0,22.766,-0.8681
2015-01-05,22.62,22.6,23.59,22.81,36916.0,22.922,-0.1313
2015-01-06,22.81,21.52,22.9,21.78,30642.0,22.674,-4.5156
2015-01-07,22.0,21.18,22.0,21.41,49451.0,22.376,-1.6988
2015-01-08,21.5,21.33,21.77,21.36,26461.0,22.04,-0.2335
2015-01-09,21.3,20.975,21.55,21.53,41873.0,21.778,0.7959
2015-01-12,21.46,20.87,21.49,21.4,36811.0,21.496,-0.6038
2015-01-13,21.71,21.51,22.58,22.11,41547.0,21.562,3.3178
2015-01-14,21.97,21.46,22.17,21.92,35797.0,21.664,-0.8593
2015-01-15,22.08,20.61,22.08,20.93,53630.0,21.578,-4.5164
2015-01-16,20.85,20.85,21.71,21.62,41658.0,21.596,3.2967
2015-01-20,21.67,21.6,22.71,22.54,67128.0,21.824,4.2553
2015-01-21,22.44,22.21,22.82,22.8,31633.0,21.962,1.1535
2015-01-22,22.9,22.67,23.14,22.71,50052.0,22.12,-0.3947
2015-01-23,22.7,22.04,22.77,22.05,30236.0,22.344,-2.9062
2015-01-26,22.09,21.77,22.27,21.82,36742.0,22.384,-1.0431
2015-01-27,21.63,21.57,22.42,21.87,34457.0,22.25,0.2291
2015-01-28,22.05,21.38,22.05,21.65,34575.0,22.02,-1.0059
2015-01-29,21.71,21.59,22.41,22.41,25899.0,21.96,3.5104
2015-01-30,22.19,21.31,22.36,21.39,41523.0,21.828,-4.5515
2015-02-02,21.43,20.65,22.06,22.01,23785.0,21.866,2.8986
2015-02-03,22.08,21.87,22.46,22.4,18430.0,21.972,1.7719
2015-02-04,22.24,22.08,22.51,22.3,18379.0,22.102,-0.4464
2015-02-05,22.38,22.15,22.42,22.25,17733.0,22.07,-0.2242
2015-02-06,22.31,22.24,23.0,22.4,20826.0,22.272,0.6742
2015-02-09,22.29,22.29,22.89,22.47,18776.0,22.364,0.3125
2015-02-10,22.58,21.88,22.58,22.48,22860.0,22.38,0.0445
2015-02-11,22.39,21.86,22.5,22.1,18588.0,22.34,-1.6904
2015-02-12,22.24,22.07,22.73,22.49,23396.0,22.388,1.7647
2015-02-13,22.56,22.37,22.8,22.76,18871.0,22.46,1.2005
2015-02-17,22.71,22.55,22.8,22.8,27555.0,22.526,0.1757
2015-02-18,22.69,22.69,23.85,23.6,27783.0,22.75,3.5088
2015-02-19,23.48,23.15,23.6,23.25,15233.0,22.98,-1.4831
2015-02-20,23.3,22.95,23.41,23.39,23971.0,23.16,0.6022
2015-02-23,23.24,22.92,23.36,23.11,21222.0,23.23,-1.1971
2015-02-24,23.06,23.06,23.41,23.26,16972.0,23.322,0.6491
2015-02-25,23.17,21.7,23.17,21.92,20309.0,22.986,-5.761
2015-02-26,21.9,21.38,22.05,21.47,26866.0,22.63,-2.0529
2015-02-27,21.33,20.2,21.5,20.26,43658.0,22.004,-5.6358
2015-03-02,20.26,19.58,20.29,19.93,46130.0,21.368,-1.6288
2015-03-03,19.9,19.9,20.93,20.68,45195.0,20.852,3.7632
2015-03-04,20.51,20.43,20.95,20.73,23770.0,20.614,0.2418
2015-03-05,20.88,20.51,20.93,20.72,34880.0,20.464,-0.0482
2015-03-06,20.66,20.66,21.12,20.91,41593.0,20.594,0.917
2015-03-09,20.91,20.75,22.24,22.13,30037.0,21.034,5.8345
2015-03-10,21.99,21.72,22.5,22.46,25578.0,21.39,1.4912
2015-03-11,22.42,22.14,22.68,22.21,24068.0,21.686,-1.1131
2015-03-12,22.44,21.69,22.72,21.84,21016.0,21.91,-1.6659
2015-03-13,21.75,21.44,21.99,21.85,19719.0,22.098,0.0458
2015-03-16,22.0,21.38,22.09,21.6,33421.0,21.992,-1.1442
2015-03-17,21.48,21.4,22.08,21.94,16530.0,21.888,1.5741
2015-03-18,21.81,21.4,21.9,21.5,23115.0,21.746,-2.0055
2015-03-19,21.54,21.52,22.26,22.23,13870.0,21.824,3.3953
2015-03-20,22.26,22.26,23.38,23.33,74982.0,22.12,4.9483
2015-03-23,23.34,22.75,23.48,22.76,32087.0,22.352,-2.4432
2015-03-24,22.83,22.22,22.83,22.26,27076.0,22.416,-2.1968
2015-03-25,22.33,21.46,22.37,21.56,22524.0,22.428,-3.1447
2015-03-26,21.58,21.31,21.71,21.35,22631.0,22.252,-0.974
2015-03-27,21.3,21.21,21.88,21.43,41093.0,21.872,0.3747
2015-03-30,21.44,21.4,22.44,22.31,12434.0,21.782,4.1064
2015-03-31,22.22,21.99,22.45,22.43,15230.0,21.816,0.5379
2015-04-01,22.28,21.94,22.58,22.16,6977.0,21.936,-1.2037
2015-04-02,22.17,22.17,22.72,22.55,9653.0,22.176,1.7599
2015-04-06,22.45,21.94,22.79,22.17,19377.0,22.324,-1.6851
2015-04-07,22.07,22.07,22.82,22.43,38939.0,22.348,1.1728
2015-04-08,22.43,22.16,22.58,22.36,20589.0,22.334,-0.3121
2015-04-09,22.27,21.4,22.62,21.5,24498.0,22.202,-3.8462
2015-04-10,21.66,21.32,21.91,21.57,18322.0,22.006,0.3256
2015-04-13,21.65,21.54,21.72,21.66,27003.0,21.904,0.4172
2015-04-14,21.62,21.35,22.13,21.59,18195.0,21.736,-0.3232
2015-04-15,21.58,21.38,21.97,21.4,25992.0,21.544,-0.88
2015-04-16,21.28,21.09,21.28,21.11,19720.0,21.466,-1.3551
2015-04-17,20.96,20.3,20.96,20.39,32397.0,21.23,-3.4107
