date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,86.67,86.18,87.3,86.93,35195.0,87.344,0.1152
2015-01-05,86.44,86.13,87.59,86.69,59682.0,87.168,-0.2761
2015-01-06,86.68,85.47,87.72,85.89,59228.0,86.796,-0.9228
2015-01-07,88.22,88.0,90.13,89.64,127849.0,87.196,4.366
2015-01-08,90.32,90.02,92.11,91.99,69656.0,88.228,2.6216
2015-01-09,91.99,91.67,92.56,91.74,46134.0,89.19,-0.2718
2015-01-12,91.64,90.89,91.93,91.16,36553.0,90.084,-0.6322
2015-01-13,91.22,90.25,92.58,91.12,63158.0,91.13,-0.0439
2015-01-14,90.78,88.2,90.98,89.5,56656.0,91.102,-1.7779
2015-01-15,89.72,88.56,90.035,89.05,43614.0,90.514,-0.5028
2015-01-16,89.09,88.94,91.01,90.89,61097.0,90.344,2.0663
2015-01-20,91.17,90.015,91.39,90.51,61222.0,90.214,-0.4181
2015-01-21,90.78,90.28,91.48,90.96,48233.0,90.182,0.4972
2015-01-22,91.41,90.58,92.25,91.94,38187.0,90.67,1.0774
2015-01-23,91.55,90.41,91.96,90.85,35300.0,91.03,-1.1856
2015-01-26,91.16,90.69,91.95,91.07,76479.0,91.066,0.2422
2015-01-27,90.44,89.16,90.9,89.22,60004.0,90.808,-2.0314
2015-01-28,89.72,87.55,89.72,87.74,50990.0,90.164,-1.6588
2015-01-29,87.54,86.51,87.86,87.14,45071.0,89.204,-0.6838
2015-01-30,86.43,86.27,88.01,87.4,125585.0,88.514,0.2984
2015-02-02,87.4,86.57,88.36,87.5,69174.0,87.8,0.1144
2015-02-03,87.5,87.5,90.98,90.55,54211.0,88.066,3.4857
2015-02-04,90.56,89.63,90.9,89.71,61089.0,88.46,-0.9277
2015-02-05,90.11,90.11,91.8,91.45,58920.0,89.322,1.9396
2015-02-06,91.43,90.49,92.05,90.98,60177.0,90.038,-0.5139
2015-02-09,90.54,89.05,91.47,90.09,57420.0,90.556,-0.9782
2015-02-10,94.0,89.3,94.0,91.87,146291.0,90.82,1.9758
2015-02-11,92.37,90.72,92.37,90.88,155272.0,91.054,-1.0776
2015-02-12,91.73,91.13,92.2,91.14,56700.0,90.992,0.2861
2015-02-13,91.47,91.35,91.91,91.66,37768.0,91.128,0.5706
2015-02-17,91.86,91.4,92.76,92.09,49388.0,91.528,0.4691
2015-02-18,92.28,91.49,92.86,92.45,41319.0,91.644,0.3909
2015-02-19,92.16,91.47,92.33,91.59,32808.0,91.786,-0.9302
2015-02-20,91.76,90.82,91.76,91.37,36664.0,91.832,-0.2402
2015-02-23,91.0,90.69,91.21,91.02,41594.0,91.704,-0.3831
2015-02-24,91.4,90.91,91.43,90.95,21440.0,91.476,-0.0769
2015-02-25,90.5,90.17,91.6,90.43,27319.0,91.072,-0.5717
2015-02-26,90.75,90.01,91.0,90.32,35670.0,90.818,-0.1216
2015-02-27,90.33,90.33,91.27,90.67,44450.0,90.678,0.3875
2015-03-02,90.99,90.86,93.8,93.71,77272.0,91.216,3.3528
2015-03-03,93.66,92.2,93.66,92.59,45806.0,91.544,-1.1952
2015-03-04,91.95,91.34,92.1,91.56,25338.0,91.77,-1.1124
2015-03-05,91.49,90.97,91.87,91.5,56452.0,92.006,-0.0655
2015-03-06,90.61,90.4,91.68,91.61,36291.0,92.194,0.1202
2015-03-09,91.7,91.7,92.82,92.63,65839.0,91.978,1.1134
2015-03-10,91.85,91.3,92.55,91.75,62980.0,91.81,-0.95
2015-03-11,91.69,91.19,92.74,92.72,65046.0,92.042,1.0572
2015-03-12,93.42,92.45,93.7,93.6,51718.0,92.462,0.9491
2015-03-13,93.6,92.72,93.65,93.44,43884.0,92.828,-0.1709
2015-03-16,93.5,93.36,94.0,93.94,38472.0,93.09,0.5351
2015-03-17,93.87,93.39,94.14,94.08,50927.0,93.556,0.149
2015-03-18,93.66,92.91,95.37,95.19,49039.0,94.05,1.1798
2015-03-19,94.54,94.3,95.0,94.71,51439.0,94.272,-0.5043
2015-03-20,95.23,94.67,95.23,95.0,324043.0,94.584,0.3062
