date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,17.36,16.86,17.39,17.06,181996.0,17.344,-0.9292
2015-01-05,16.9,16.45,16.98,16.56,256395.0,17.186,-2.9308
2015-01-06,16.57,16.26,16.68,16.3,366880.0,16.938,-1.57
2015-01-07,16.41,16.35,16.65,16.46,304062.0,16.72,0.9816
2015-01-08,16.6,16.49,16.83,16.53,370747.0,16.582,0.4253
2015-01-09,16.51,15.92,16.51,15.92,450793.0,16.354,-3.6903
2015-01-12,15.89,15.58,16.1,16.05,329603.0,16.252,0.8166
2015-01-13,16.17,15.83,16.43,15.92,455856.0,16.176,-0.81
2015-01-14,15.66,15.36,15.69,15.58,324787.0,16.0,-2.1357
2015-01-15,15.58,14.99,15.71,14.99,561265.0,15.692,-3.7869
2015-01-16,14.89,14.89,15.36,15.35,482208.0,15.578,2.4016
2015-01-20,15.39,15.03,15.45,15.17,312401.0,15.402,-1.1726
2015-01-21,15.11,15.03,15.68,15.48,500539.0,15.314,2.0435
2015-01-22,15.61,15.43,15.87,15.87,335074.0,15.372,2.5194
2015-01-23,15.82,15.69,15.95,15.77,241754.0,15.528,-0.6301
2015-01-26,15.71,15.61,16.02,15.93,327783.0,15.644,1.0146
2015-01-27,15.67,15.61,15.98,15.81,196315.0,15.772,-0.7533
2015-01-28,15.9,15.4,15.93,15.42,352096.0,15.76,-2.4668
2015-01-29,15.42,15.29,15.76,15.71,361856.0,15.728,1.8807
2015-01-30,15.65,15.37,15.82,15.52,817566.0,15.678,-1.2094
2015-02-02,15.61,15.56,16.24,16.18,509913.0,15.728,4.2526
2015-02-03,16.35,16.32,16.72,16.63,516984.0,15.892,2.7812
2015-02-04,16.51,16.31,16.79,16.35,436088.0,16.078,-1.6837
2015-02-05,16.4,16.29,16.65,16.6,206112.0,16.256,1.5291
2015-02-06,16.71,16.7,17.11,16.95,304714.0,16.542,2.1084
2015-02-09,16.84,16.81,17.09,16.83,263141.0,16.672,-0.708
2015-02-10,16.91,16.65,17.03,16.89,358184.0,16.724,0.3565
2015-02-11,16.81,16.48,17.04,16.67,406473.0,16.788,-1.3025
2015-02-12,16.81,16.73,17.02,16.99,248023.0,16.866,1.9196
2015-02-13,16.98,16.89,17.125,17.02,231175.0,16.88,0.1766
2015-02-17,16.97,16.715,17.04,16.79,281475.0,16.872,-1.3514
2015-02-18,16.71,16.4,16.78,16.45,252666.0,16.784,-2.025
2015-02-19,16.31,16.27,16.75,16.62,227684.0,16.774,1.0334
2015-02-20,16.51,16.15,16.59,16.39,426020.0,16.654,-1.3839
2015-02-23,16.35,16.24,16.51,16.46,218376.0,16.542,0.4271
2015-02-24,16.49,16.47,16.77,16.49,157017.0,16.482,0.1823
2015-02-25,16.44,16.29,16.56,16.42,158318.0,16.476,-0.4245
2015-02-26,16.38,16.23,16.48,16.35,184867.0,16.422,-0.4263
2015-02-27,16.36,16.26,16.46,16.26,243626.0,16.396,-0.5505
2015-03-02,16.25,16.15,16.43,16.3,179052.0,16.364,0.246
2015-03-03,16.22,16.195,16.38,16.29,206404.0,16.324,-0.0613
2015-03-04,16.21,16.065,16.38,16.32,233071.0,16.304,0.1842
2015-03-05,16.33,16.23,16.69,16.6,233873.0,16.354,1.7157
2015-03-06,16.55,16.55,17.2,16.93,533249.0,16.488,1.988
2015-03-09,16.97,16.47,16.97,16.76,335253.0,16.58,-1.0041
2015-03-10,16.53,16.02,16.53,16.03,386938.0,16.528,-4.3556
2015-03-11,16.06,15.98,16.75,16.73,453754.0,16.61,4.3668
2015-03-12,16.91,16.79,17.04,17.0,267889.0,16.69,1.6139
2015-03-13,16.97,16.66,17.1,17.08,331128.0,16.72,0.4706
2015-03-16,17.14,16.97,17.47,17.42,440195.0,16.852,1.9906
2015-03-17,17.31,17.26,17.53,17.4,303353.0,17.126,-0.1148
2015-03-18,17.31,17.17,17.43,17.3,401523.0,17.24,-0.5747
2015-03-19,17.27,16.92,17.33,17.09,229605.0,17.258,-1.2139
2015-03-20,17.21,17.05,17.44,17.39,847331.0,17.32,1.7554
2015-03-23,17.39,17.27,17.53,17.46,267355.0,17.328,0.4025
2015-03-24,17.43,17.26,17.49,17.28,202652.0,17.304,-1.0309
2015-03-25,17.29,16.96,17.39,16.99,300651.0,17.242,-1.6782
2015-03-26,16.98,16.82,17.12,17.05,601011.0,17.234,0.3531
2015-03-27,17.02,16.84,17.05,16.94,284318.0,17.144,-0.6452
2015-03-30,17.0,17.0,17.38,17.24,240177.0,17.1,1.771
2015-03-31,17.11,17.03,17.27,17.22,256780.0,17.088,-0.116
2015-04-01,17.19,16.94,17.23,17.13,214752.0,17.116,-0.5226
2015-04-02,17.99,17.55,18.08,17.79,1778369.0,17.264,3.8529
2015-04-06,17.63,17.54,17.91,17.81,15043173.0,17.438,0.1124
2015-04-07,17.77,17.46,17.79,17.49,697562.0,17.488,-1.7967
2015-04-08,17.5,17.34,17.58,17.54,338581.0,17.552,0.2859
2015-04-09,17.51,17.48,17.99,17.97,366920.0,17.72,2.4515
2015-04-10,17.97,17.53,17.99,17.72,408715.0,17.706,-1.3912
2015-04-13,17.67,17.55,17.8,17.7,234515.0,17.684,-0.1129
2015-04-14,17.66,17.43,17.77,17.58,297320.0,17.702,-0.678
2015-04-15,17.58,17.54,17.82,17.72,331500.0,17.738,0.7964
2015-04-16,17.66,17.59,17.77,17.74,203992.0,17.692,0.1129
2015-04-17,17.54,17.29,17.56,17.47,412154.0,17.642,-1.522
2015-04-20,17.52,17.52,17.87,17.83,389520.0,17.668,2.0607
2015-04-21,17.9,17.73,17.96,17.92,414290.0,17.736,0.5048
2015-04-22,17.91,17.73,18.08,17.99,361238.0,17.79,0.3906
2015-04-23,17.9,17.79,18.18,18.11,427564.0,17.864,0.667
2015-04-24,18.1,17.79,18.12,17.79,234054.0,17.928,-1.767
2015-04-27,17.82,17.39,17.84,17.55,414024.0,17.872,-1.3491
2015-04-28,17.52,17.49,17.96,17.94,408008.0,17.876,2.2222
2015-04-29,17.87,17.87,18.2,17.99,291887.0,17.876,0.2787
2015-04-30,17.1,16.88,17.69,17.0,884831.0,17.654,-5.5031
2015-05-01,17.1,17.03,17.46,17.41,431683.0,17.578,2.4118
2015-05-04,17.45,17.42,17.69,17.57,250547.0,17.582,0.919
2015-05-05,17.5,17.41,17.7,17.53,336977.0,17.5,-0.2277
2015-05-06,17.64,17.45,17.7,17.69,300613.0,17.44,0.9127
2015-05-07,17.66,17.6,17.98,17.84,251940.0,17.608,0.8479
2015-05-08,17.94,17.77,18.02,18.0,225106.0,17.726,0.8969
2015-05-11,18.05,18.05,18.55,18.47,381369.0,17.906,2.6111
2015-05-12,18.4,18.26,18.66,18.62,461971.0,18.124,0.8121
2015-05-13,18.6,18.44,18.68,18.44,246664.0,18.274,-0.9667
2015-05-14,18.54,18.33,18.62,18.36,299977.0,18.378,-0.4338
2015-05-15,18.36,18.09,18.36,18.14,325517.0,18.406,-1.1983
2015-05-18,18.15,18.11,18.35,18.31,289461.0,18.374,0.9372
2015-05-19,18.36,18.28,18.47,18.38,291311.0,18.326,0.3823
2015-05-20,18.4,18.18,18.4,18.19,334408.0,18.276,-1.0337
2015-05-21,18.13,18.1,18.57,18.36,354543.0,18.276,0.9346
2015-05-22,18.32,18.24,18.44,18.3,413586.0,18.308,-0.3268
2015-05-26,18.23,17.87,18.23,17.89,222521.0,18.224,-2.2404
2015-05-27,17.93,17.9,18.26,18.22,288952.0,18.192,1.8446
2015-05-28,18.19,18.01,18.2,18.13,427686.0,18.18,-0.494
2015-05-29,18.08,17.84,18.12,18.0,279202.0,18.108,-0.717
2015-06-01,18.06,17.73,18.17,17.88,211204.0,18.024,-0.6667
2015-06-02,17.88,17.86,18.28,18.21,230672.0,18.088,1.8456
2015-06-03,18.31,18.27,18.55,18.38,259269.0,18.12,0.9336
2015-06-04,18.24,18.17,18.43,18.19,368503.0,18.132,-1.0337
2015-06-05,18.33,18.11,18.405,18.28,324814.0,18.188,0.4948
2015-06-08,18.15,17.99,18.27,17.99,205416.0,18.21,-1.5864
2015-06-09,17.99,17.88,18.2,18.09,320719.0,18.186,0.5559
2015-06-10,18.27,18.21,18.65,18.55,416841.0,18.22,2.5428
2015-06-11,18.57,18.52,18.775,18.76,389751.0,18.334,1.1321
2015-06-12,18.62,18.61,18.86,18.81,262829.0,18.44,0.2665
2015-06-15,18.43,18.405,18.76,18.42,385075.0,18.526,-2.0734
2015-06-16,18.37,18.34,18.7,18.65,315544.0,18.638,1.2486
2015-06-17,18.75,18.535,18.86,18.57,204585.0,18.642,-0.429
2015-06-18,18.65,18.56,18.86,18.78,380816.0,18.646,1.1309
2015-06-19,18.93,18.7,19.32,19.3,3076414.0,18.744,2.7689
2015-06-22,19.42,19.05,19.49,19.26,509783.0,18.912,-0.2073
2015-06-23,19.34,19.2,19.34,19.32,329071.0,19.046,0.3115
2015-06-24,19.32,19.125,19.38,19.16,294892.0,19.164,-0.8282
2015-06-25,19.04,18.81,19.16,18.82,602814.0,19.172,-1.7745
2015-06-26,18.93,18.78,19.01,18.93,1496513.0,19.098,0.5845
2015-06-29,18.66,18.175,18.89,18.19,355310.0,18.884,-3.9091
2015-06-30,18.43,18.23,18.56,18.35,561069.0,18.69,0.8796
2015-07-01,18.65,18.345,18.67,18.38,446635.0,18.534,0.1635
2015-07-02,18.38,18.21,18.44,18.33,235057.0,18.436,-0.272
2015-07-06,18.06,18.06,18.41,18.19,279431.0,18.288,-0.7638
2015-07-07,18.18,17.79,18.33,18.29,362822.0,18.308,0.5498
2015-07-08,18.09,17.72,18.2,17.79,528623.0,18.196,-2.7337
2015-07-09,18.08,17.97,18.17,18.02,294866.0,18.124,1.2929
2015-07-10,18.35,18.12,18.41,18.36,243719.0,18.13,1.8868
2015-07-13,18.55,18.42,18.66,18.6,257448.0,18.212,1.3072
2015-07-14,18.5,18.41,18.69,18.66,219561.0,18.286,0.3226
2015-07-15,18.74,18.51,18.81,18.76,198308.0,18.48,0.5359
2015-07-16,18.97,18.83,19.15,19.0,219696.0,18.676,1.2793
2015-07-17,18.97,18.81,18.97,18.93,254619.0,18.79,-0.3684
2015-07-20,18.99,18.855,19.05,18.89,152171.0,18.848,-0.2113
2015-07-21,18.89,18.855,19.17,18.9,159886.0,18.896,0.0529
2015-07-22,18.92,18.79,18.97,18.92,190009.0,18.928,0.1058
2015-07-23,18.98,18.76,19.07,18.8,197447.0,18.888,-0.6342
2015-07-24,18.85,18.85,19.28,18.98,578626.0,18.898,0.9574
2015-07-27,18.5,18.49,18.79,18.58,371063.0,18.836,-2.1075
2015-07-28,18.75,18.48,18.87,18.85,416255.0,18.826,1.4532
2015-07-29,18.86,18.86,19.18,18.98,302221.0,18.838,0.6897
2015-07-30,18.29,17.46,18.46,17.8,739100.0,18.638,-6.2171
2015-07-31,17.77,17.51,17.98,17.84,595441.0,18.41,0.2247
2015-08-03,17.84,17.56,17.85,17.75,431391.0,18.244,-0.5045
2015-08-04,17.75,17.63,17.96,17.71,361649.0,18.016,-0.2254
2015-08-05,17.77,17.72,18.005,17.8,333849.0,17.78,0.5082
2015-08-06,17.83,17.68,17.92,17.76,430353.0,17.772,-0.2247
2015-08-07,17.68,17.35,17.85,17.55,365357.0,17.714,-1.1824
2015-08-10,17.73,17.65,18.38,18.34,654582.0,17.832,4.5014
2015-08-11,18.05,18.01,18.3,18.19,359277.0,17.928,-0.8179
2015-08-12,18.02,17.5,18.145,18.09,406515.0,17.986,-0.5498
2015-08-13,18.06,18.05,18.34,18.3,255162.0,18.094,1.1609
2015-08-14,18.44,18.27,18.53,18.53,319091.0,18.29,1.2568
2015-08-17,18.39,18.23,18.48,18.42,343201.0,18.306,-0.5936
2015-08-18,18.41,18.26,18.48,18.34,240704.0,18.336,-0.4343
2015-08-19,18.28,17.9,18.41,18.12,232670.0,18.342,-1.1996
2015-08-20,17.94,17.57,17.95,17.58,308767.0,18.198,-2.9801
2015-08-21,16.95,16.95,17.48,17.27,695837.0,17.946,-1.7634
2015-08-24,16.27,16.06,17.0,16.42,833372.0,17.546,-4.9218
2015-08-25,16.8,16.17,16.8,16.18,551438.0,17.114,-1.4616
2015-08-26,16.58,16.17,16.825,16.78,433054.0,16.846,3.7083
2015-08-27,16.99,16.87,17.68,17.67,500573.0,16.864,5.3039
2015-08-28,17.59,17.42,17.78,17.76,373880.0,16.962,0.5093
2015-08-31,17.58,17.5,17.98,17.89,333482.0,17.256,0.732
2015-09-01,17.49,17.33,17.67,17.41,419769.0,17.502,-2.6831
2015-09-02,17.68,17.38,17.77,17.68,312204.0,17.682,1.5508
2015-09-03,17.75,17.7,18.01,17.73,267347.0,17.694,0.2828
2015-09-04,17.47,17.3,17.68,17.42,219965.0,17.626,-1.7484
2015-09-08,17.77,17.6,18.01,17.92,417379.0,17.632,2.8703
2015-09-09,18.3,17.685,18.31,17.73,283871.0,17.696,-1.0603
2015-09-10,17.72,17.63,18.0,17.86,354705.0,17.732,0.7332
2015-09-11,17.65,17.58,17.98,17.98,259450.0,17.782,0.6719
2015-09-14,17.99,17.84,18.04,17.92,161217.0,17.882,-0.3337
2015-09-15,18.04,17.95,18.32,18.3,301320.0,17.958,2.1205
2015-09-16,18.3,18.28,18.6,18.57,297110.0,18.126,1.4754
