date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,162.88,160.1,163.55,160.61,57419.0,163.052,-0.9131
2015-01-05,159.47,158.59,161.12,159.37,147047.0,162.126,-0.7721
2015-01-06,159.82,156.35,160.23,157.12,292935.0,160.596,-1.4118
2015-01-07,158.54,158.54,162.31,162.22,99193.0,160.282,3.2459
2015-01-08,163.06,162.49,164.78,162.88,107214.0,160.44,0.4069
2015-01-09,163.37,161.61,164.45,161.86,68664.0,160.69,-0.6262
2015-01-12,162.68,160.5,162.68,161.11,104254.0,161.038,-0.4634
2015-01-13,162.97,160.02,164.49,161.12,74855.0,161.838,0.0062
2015-01-14,159.64,159.64,161.62,160.65,92686.0,161.524,-0.2917
2015-01-15,160.79,159.52,161.36,159.69,88461.0,160.886,-0.5976
2015-01-16,158.92,158.5,160.35,159.75,71052.0,160.464,0.0376
2015-01-20,161.35,158.85,161.63,160.02,44047.0,160.246,0.169
2015-01-21,160.19,159.68,162.82,162.69,51913.0,160.56,1.6685
2015-01-22,162.98,162.09,164.79,164.1,66935.0,161.25,0.8667
2015-01-23,163.55,161.59,164.22,161.75,61929.0,161.662,-1.4321
2015-01-26,161.28,158.85,162.37,162.21,73693.0,162.154,0.2844
2015-01-27,160.48,159.72,163.12,162.58,53192.0,162.666,0.2281
2015-01-28,163.62,159.76,164.52,160.08,52931.0,162.144,-1.5377
2015-01-29,160.55,156.892,160.55,160.1,53007.0,161.344,0.0125
2015-01-30,159.05,157.22,159.71,157.65,67138.0,160.524,-1.5303
2015-02-02,158.25,155.02,158.25,157.82,42431.0,159.646,0.1078
2015-02-03,158.76,156.27,159.25,157.84,41524.0,158.698,0.0127
2015-02-04,157.83,157.83,161.23,160.0,72340.0,158.682,1.3685
2015-02-05,160.15,160.15,162.57,161.53,30445.0,158.968,0.9563
2015-02-06,161.87,160.47,162.36,161.28,73711.0,159.694,-0.1548
2015-02-09,160.25,158.15,161.24,158.83,34330.0,159.896,-1.5191
2015-02-10,160.16,159.34,161.96,161.9,43588.0,160.708,1.9329
2015-02-11,162.01,161.277,162.58,161.96,33602.0,161.1,0.0371
2015-02-12,162.53,161.73,163.57,163.02,28063.0,161.398,0.6545
2015-02-13,162.73,162.73,165.23,165.2,38550.0,162.182,1.3373
2015-02-17,165.31,163.2,165.42,163.3,78666.0,163.076,-1.1501
2015-02-18,163.6,162.66,165.25,165.11,74498.0,163.718,1.1084
2015-02-19,164.79,164.14,166.0,164.35,32347.0,164.196,-0.4603
2015-02-20,164.35,163.98,165.81,165.81,49331.0,164.754,0.8883
2015-02-23,165.27,164.265,165.6,165.02,69906.0,164.718,-0.4764
2015-02-24,165.02,164.1,166.09,164.43,117329.0,164.944,-0.3575
2015-02-25,164.6,162.54,164.86,163.46,57484.0,164.614,-0.5899
2015-02-26,163.08,163.02,165.55,165.45,50853.0,164.834,1.2174
2015-02-27,164.84,163.47,165.26,163.97,44971.0,164.466,-0.8945
2015-03-02,164.34,164.16,166.0,165.73,48886.0,164.608,1.0734
2015-03-03,164.61,162.79,165.135,164.77,147302.0,164.676,-0.5793
2015-03-04,164.5,163.61,165.31,164.26,57072.0,164.836,-0.3095
2015-03-05,164.83,164.53,166.17,165.26,81736.0,164.798,0.6088
2015-03-06,176.25,175.51,181.98,180.26,298577.0,168.056,9.0766
2015-03-09,179.0,178.21,183.48,183.45,165096.0,171.6,1.7697
2015-03-10,181.64,181.28,183.15,182.24,99979.0,175.094,-0.6596
2015-03-11,182.98,181.67,185.59,185.43,91830.0,179.328,1.7504
2015-03-12,185.98,184.72,188.83,185.05,102536.0,183.286,-0.2049
2015-03-13,184.81,184.22,186.09,185.84,45424.0,184.402,0.4269
