date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,68.56,68.24,69.48,68.92,1842433.0,69.58,-0.2027
2015-01-05,67.9,65.43,67.98,65.64,2895952.0,68.732,-4.7591
2015-01-06,65.5,62.88,66.6,62.93,4300801.0,67.296,-4.1286
2015-01-07,63.89,62.85,64.23,63.35,2765421.0,65.98,0.6674
2015-01-08,64.63,63.94,65.48,64.93,2594317.0,65.154,2.4941
2015-01-09,64.94,64.02,65.33,64.92,2221591.0,64.354,-0.0154
2015-01-12,64.21,62.62,64.27,63.07,2819001.0,63.84,-2.8497
2015-01-13,63.36,61.52,63.83,62.44,2664635.0,63.742,-0.9989
2015-01-14,61.91,60.85,62.78,62.62,3357903.0,63.596,0.2883
2015-01-15,63.69,61.38,63.87,61.41,3069396.0,62.892,-1.9323
2015-01-16,61.75,61.5,63.48,63.08,3440674.0,62.524,2.7194
2015-01-20,62.86,61.77,63.28,63.19,2239609.0,62.548,0.1744
2015-01-21,63.92,63.23,64.78,64.54,2506791.0,62.968,2.1364
2015-01-22,65.29,64.0,65.3,65.3,1932460.0,63.504,1.1776
2015-01-23,65.34,64.64,65.71,64.65,2025360.0,64.152,-0.9954
2015-01-26,64.85,63.9,65.997,65.82,1750128.0,64.7,1.8097
2015-01-27,65.5,65.06,66.15,65.54,1769712.0,65.17,-0.4254
2015-01-28,65.45,62.5,65.45,62.58,2324159.0,64.778,-4.5163
2015-01-29,63.1,60.65,63.58,62.82,2980985.0,64.282,0.3835
2015-01-30,62.13,61.17,63.8,62.98,3154581.0,63.948,0.2547
2015-02-02,64.55,63.43,65.78,65.77,2591667.0,63.938,4.43
2015-02-03,66.99,66.52,67.95,67.74,3974306.0,64.378,2.9953
2015-02-04,66.62,65.25,66.65,65.87,2466442.0,65.036,-2.7606
2015-02-05,67.22,66.29,67.59,67.57,1915278.0,65.986,2.5808
2015-02-06,68.26,67.18,68.28,67.49,2029245.0,66.888,-0.1184
2015-02-09,68.01,67.64,68.6,67.85,1970801.0,67.304,0.5334
2015-02-10,68.0,66.5,68.11,67.99,1900685.0,67.354,0.2063
2015-02-11,67.1,66.8,68.46,67.88,1762149.0,67.756,-0.1618
2015-02-12,68.48,67.62,68.85,68.04,2493880.0,67.85,0.2357
2015-02-13,68.91,68.7,70.1,69.88,2118795.0,68.328,2.7043
2015-02-17,69.11,68.52,69.96,69.47,2297341.0,68.652,-0.5867
2015-02-18,68.05,67.61,69.06,67.73,2402786.0,68.6,-2.5047
2015-02-19,66.0,65.45,67.845,67.42,2190054.0,68.508,-0.4577
2015-02-20,67.11,66.34,67.42,67.38,2405389.0,68.376,-0.0593
2015-02-23,66.79,66.51,67.54,66.92,2196955.0,67.784,-0.6827
2015-02-24,67.33,66.76,67.48,67.09,1429033.0,67.308,0.254
2015-02-25,67.5,66.96,67.84,67.53,2096511.0,67.268,0.6558
2015-02-26,66.85,65.59,66.85,65.85,2010222.0,66.954,-2.4878
2015-02-27,66.0,65.14,66.068,65.2,2176745.0,66.518,-0.9871
2015-03-02,65.19,63.84,65.24,64.4,2401320.0,66.014,-1.227
2015-03-03,64.48,64.27,65.26,64.78,1840978.0,65.552,0.5901
2015-03-04,64.79,63.67,64.79,64.25,1464145.0,64.896,-0.8182
2015-03-05,64.0,63.33,64.08,63.33,2248707.0,64.392,-1.4319
2015-03-06,63.0,62.67,63.66,62.79,2115910.0,63.91,-0.8527
2015-03-09,62.58,61.97,63.34,61.97,1727661.0,63.424,-1.3059
2015-03-10,61.12,60.69,61.72,60.87,2955043.0,62.642,-1.7751
2015-03-11,60.95,60.85,61.87,61.3,1832861.0,62.052,0.7064
2015-03-12,61.58,61.33,61.91,61.36,1620705.0,61.658,0.0979
2015-03-13,60.9,60.57,61.79,61.64,2270143.0,61.428,0.4563
2015-03-16,61.2,60.84,62.46,62.4,1812115.0,61.514,1.233
2015-03-17,61.91,61.38,62.485,62.01,1970356.0,61.742,-0.625
2015-03-18,61.51,61.51,64.31,63.64,2449680.0,62.21,2.6286
2015-03-19,62.86,62.45,63.31,62.76,2049979.0,62.49,-1.3828
2015-03-20,63.0,63.0,64.11,63.84,4290316.0,62.93,1.7208
2015-03-23,64.0,63.21,64.18,63.23,2280606.0,63.096,-0.9555
2015-03-24,63.39,62.53,63.57,62.55,1829930.0,63.204,-1.0754
2015-03-25,63.26,62.66,63.495,63.05,2423378.0,63.086,0.7994
2015-03-26,64.0,62.93,64.14,63.24,1823887.0,63.182,0.3013
2015-03-27,62.94,62.47,63.08,62.93,1706007.0,63.0,-0.4902
2015-03-30,63.65,63.4,64.15,64.0,1693616.0,63.154,1.7003
2015-03-31,63.13,62.24,63.47,62.26,2485265.0,63.096,-2.7188
2015-04-01,62.88,62.66,63.49,63.02,2098916.0,63.09,1.2207
2015-04-02,62.71,62.57,63.41,63.18,1606506.0,63.078,0.2539
2015-04-06,63.44,63.42,65.88,65.39,2287756.0,63.57,3.4979
2015-04-07,65.26,65.11,66.04,65.79,1620267.0,63.928,0.6117
2015-04-08,66.09,64.8,66.23,64.81,2191249.0,64.438,-1.4896
2015-04-09,65.02,64.89,67.46,67.0,2838163.0,65.234,3.3791
2015-04-10,67.35,66.39,67.39,66.53,1981466.0,65.904,-0.7015
2015-04-13,66.9,66.33,67.41,66.34,1504769.0,66.094,-0.2856
2015-04-14,66.87,66.81,68.55,68.36,1727982.0,66.608,3.0449
2015-04-15,68.93,68.51,69.66,69.4,2302286.0,67.526,1.5214
2015-04-16,68.91,68.21,69.71,69.01,2347227.0,67.928,-0.562
2015-04-17,68.5,67.19,68.58,67.69,2670020.0,68.16,-1.9128
2015-04-20,68.1,68.05,69.24,68.61,2359675.0,68.614,1.3591
2015-04-21,68.61,67.65,68.98,68.02,1367128.0,68.546,-0.8599
2015-04-22,67.95,67.13,68.14,67.88,1391842.0,68.242,-0.2058
2015-04-23,68.26,68.04,68.88,68.26,1863739.0,68.092,0.5598
