date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,54.9,51.5,55.5,53.8,19515.0,54.66,-1.2844
2015-01-05,52.3,50.0,53.2,50.2,30015.0,53.7,-6.6914
2015-01-06,49.8,48.55,52.2,50.2,44907.0,52.48,0.0
2015-01-07,51.2,48.3,51.8,50.1,23957.0,51.76,-0.1992
2015-01-08,51.5,50.1,53.2,52.2,34670.0,51.3,4.1916
2015-01-09,52.0,50.55,53.1,52.1,22553.0,50.96,-0.1916
2015-01-12,50.7,47.45,50.7,47.8,27082.0,50.48,-8.2534
2015-01-13,47.7,46.6,49.2,48.3,28058.0,50.1,1.046
2015-01-14,47.6,47.6,53.0,52.8,35918.0,50.64,9.3168
2015-01-15,54.2,49.9,55.5,50.6,31110.0,50.32,-4.1667
2015-01-16,50.9,50.9,54.9,53.7,28079.0,50.64,6.1265
2015-01-20,51.2,48.9,52.1,50.5,39326.0,51.18,-5.959
2015-01-21,51.5,50.9,54.08,53.5,29100.0,52.22,5.9406
2015-01-22,54.0,52.3,54.8,54.8,21554.0,52.62,2.4299
2015-01-23,54.9,53.2,57.6,56.5,25471.0,53.8,3.1022
2015-01-26,54.9,54.7,58.85,58.0,25324.0,54.66,2.6549
2015-01-27,57.1,56.4,59.5,58.6,24031.0,56.28,1.0345
2015-01-28,56.9,52.7,58.1,53.4,31585.0,56.26,-8.8737
2015-01-29,53.7,51.4,54.3,53.9,18044.0,56.08,0.9363
2015-01-30,53.0,51.5,55.6,54.5,41781.0,55.68,1.1132
2015-02-02,55.2,54.9,58.2,57.5,29492.0,55.58,5.5046
2015-02-03,58.5,58.5,64.0,62.6,48327.0,56.38,8.8696
2015-02-04,60.3,59.4,63.4,62.4,36809.0,58.18,-0.3195
2015-02-05,64.5,63.8,73.8,72.0,52003.0,61.8,15.3846
2015-02-06,72.9,70.5,78.4,71.0,52614.0,65.1,-1.3889
2015-02-09,72.8,70.6,75.4,71.3,53166.0,67.86,0.4225
2015-02-10,72.2,68.3,72.2,69.5,48672.0,69.24,-2.5245
2015-02-11,68.7,66.3,73.2,70.9,27492.0,70.94,2.0144
2015-02-12,72.2,70.1,73.3,71.0,32592.0,70.74,0.141
2015-02-13,72.5,71.8,74.8,73.7,40089.0,71.28,3.8028
2015-02-17,73.9,71.6,76.7,75.3,34760.0,72.08,2.171
2015-02-18,73.7,73.0,77.6,74.0,39929.0,72.98,-1.7264
2015-02-19,71.2,70.6,76.6,73.5,34885.0,73.5,-0.6757
2015-02-20,73.6,72.95,75.1,73.7,29619.0,74.04,0.2721
2015-02-23,72.2,70.4,74.4,72.6,36770.0,73.82,-1.4925
2015-02-24,73.6,71.6,74.2,72.3,21984.0,73.22,-0.4132
2015-02-25,72.5,72.0,74.8,73.9,17054.0,73.2,2.213
2015-02-26,72.2,72.2,75.8,74.0,21962.0,73.3,0.1353
2015-02-27,74.6,72.1,75.2,73.2,24350.0,73.2,-1.0811
2015-03-02,72.8,71.5,74.0,73.2,21044.0,73.32,0.0
2015-03-03,73.6,72.1,74.8,72.5,23452.0,73.36,-0.9563
2015-03-04,72.6,71.1,75.4,74.5,27171.0,73.48,2.7586
2015-03-05,70.9,65.2,73.1,71.6,56394.0,73.0,-3.8926
2015-03-06,72.0,70.5,75.3,73.0,29103.0,72.96,1.9553
2015-03-09,72.9,70.3,74.5,70.4,34073.0,72.4,-3.5616
2015-03-10,65.0,61.2,65.9,61.8,138356.0,70.26,-12.2159
2015-03-11,63.0,61.6,65.3,65.0,65051.0,68.36,5.178
2015-03-12,65.3,64.4,66.4,65.7,43522.0,67.18,1.0769
2015-03-13,64.0,63.9,68.8,68.7,49159.0,66.32,4.5662
2015-03-16,66.3,63.7,66.9,65.7,33300.0,65.38,-4.3668
2015-03-17,64.4,62.9,66.5,65.7,27188.0,66.16,0.0
2015-03-18,64.3,63.7,70.3,69.3,43691.0,67.02,5.4795
2015-03-19,66.5,66.1,68.95,68.3,23110.0,67.54,-1.443
2015-03-20,69.3,66.4,70.6,68.9,411550.0,67.58,0.8785
2015-03-23,69.9,69.1,77.7,72.9,47733.0,69.02,5.8055
2015-03-24,72.8,71.3,76.65,76.3,40459.0,71.14,4.6639
2015-03-25,77.1,74.15,78.9,76.6,49325.0,72.6,0.3932
2015-03-26,79.7,77.2,81.5,79.3,45955.0,74.8,3.5248
2015-03-27,78.0,75.8,78.8,76.1,53383.0,76.24,-4.0353
2015-03-30,76.5,70.65,77.5,74.3,45446.0,76.52,-2.3653
2015-03-31,72.3,72.2,77.1,74.7,73141.0,76.2,0.5384
2015-04-01,75.9,75.9,80.4,77.9,40308.0,76.46,4.2838
2015-04-02,77.5,76.3,81.6,80.9,38395.0,76.78,3.8511
2015-04-06,81.7,79.7,83.0,81.5,40844.0,77.86,0.7417
