date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,21.5,20.35,21.5,21.0,135228.0,21.336,-2.3256
2015-01-05,20.86,20.37,20.93,20.49,74157.0,21.214,-2.4286
2015-01-06,20.45,19.79,20.5,19.93,69837.0,20.906,-2.733
2015-01-07,20.0,19.94,20.32,20.15,71032.0,20.614,1.1039
2015-01-08,20.2,20.07,20.45,20.1,164537.0,20.334,-0.2481
2015-01-09,20.03,19.7,20.08,19.73,56132.0,20.08,-1.8408
2015-01-12,19.62,19.45,19.79,19.63,69252.0,19.908,-0.5068
2015-01-13,19.68,19.19,19.97,19.31,116452.0,19.784,-1.6302
2015-01-14,19.08,18.97,19.32,19.29,55952.0,19.612,-0.1036
2015-01-15,19.25,18.91,19.31,18.96,47088.0,19.384,-1.7107
2015-01-16,18.91,18.91,19.33,19.25,54786.0,19.288,1.5295
2015-01-20,19.24,18.99,19.32,19.05,55187.0,19.172,-1.039
2015-01-21,18.98,18.97,19.38,19.0,35235.0,19.11,-0.2625
2015-01-22,19.16,19.15,20.15,20.12,79084.0,19.276,5.8947
2015-01-23,20.09,19.7,20.1,19.97,62269.0,19.478,-0.7455
2015-01-26,20.01,19.78,20.39,20.33,36380.0,19.694,1.8027
2015-01-27,20.13,20.02,20.4,20.02,33834.0,19.888,-1.5248
2015-01-28,20.12,19.51,20.258,19.61,66322.0,20.01,-2.048
2015-01-29,20.06,19.77,20.69,20.68,72644.0,20.122,5.4564
2015-01-30,20.79,20.65,21.26,20.98,157137.0,20.324,1.4507
2015-02-02,21.34,21.07,21.89,21.81,80902.0,20.62,3.9561
2015-02-03,21.9,21.85,22.17,22.02,100719.0,21.02,0.9629
2015-02-04,22.09,21.96,22.37,22.0,52701.0,21.498,-0.0908
2015-02-05,22.1,22.09,22.61,22.32,88441.0,21.826,1.4545
2015-02-06,22.43,22.43,22.96,22.85,74288.0,22.2,2.3746
2015-02-09,22.66,22.47,22.82,22.49,49588.0,22.336,-1.5755
2015-02-10,22.64,22.54,23.0,22.96,90394.0,22.524,2.0898
2015-02-11,22.91,22.71,23.13,23.09,55467.0,22.742,0.5662
2015-02-12,23.18,23.18,23.94,23.64,103799.0,23.006,2.382
2015-02-13,23.68,23.48,23.89,23.66,30067.0,23.168,0.0846
2015-02-17,23.6,23.45,24.04,24.01,43419.0,23.472,1.4793
2015-02-18,23.53,23.12,23.76,23.37,60433.0,23.554,-2.6656
2015-02-19,23.26,22.97,23.39,23.32,34301.0,23.6,-0.2139
2015-02-20,23.31,22.62,23.31,22.95,92097.0,23.462,-1.5866
2015-02-23,22.83,22.63,23.02,23.0,48066.0,23.33,0.2179
2015-02-24,23.04,23.0,23.36,23.08,44166.0,23.144,0.3478
2015-02-25,22.97,22.85,23.12,22.97,26906.0,23.064,-0.4766
2015-02-26,23.0,22.9,23.07,23.01,48767.0,23.002,0.1741
2015-02-27,23.02,22.93,23.18,22.94,53752.0,23.0,-0.3042
2015-03-02,22.96,22.9,23.32,22.98,51659.0,22.996,0.1744
2015-03-03,22.92,22.92,23.25,23.25,38950.0,23.03,1.1749
2015-03-04,23.14,22.98,23.15,23.12,32183.0,23.06,-0.5591
2015-03-05,23.1,22.66,23.12,23.01,33425.0,23.06,-0.4758
2015-03-06,22.99,22.99,23.6,23.31,45486.0,23.134,1.3038
2015-03-09,23.29,23.27,23.88,23.8,44720.0,23.298,2.1021
2015-03-10,23.57,23.33,23.59,23.35,46068.0,23.318,-1.8908
2015-03-11,23.33,23.24,23.76,23.66,50165.0,23.426,1.3276
2015-03-12,23.8,23.8,24.77,24.7,59172.0,23.764,4.3956
2015-03-13,24.65,24.43,24.91,24.84,55162.0,24.07,0.5668
2015-03-16,25.01,24.74,25.15,25.11,57741.0,24.332,1.087
2015-03-17,24.68,24.58,25.07,25.05,78892.0,24.672,-0.2389
2015-03-18,24.92,24.18,25.34,24.34,47273.0,24.808,-2.8343
2015-03-19,24.28,23.98,24.37,24.34,27895.0,24.736,0.0
2015-03-20,24.49,24.38,24.71,24.51,453873.0,24.67,0.6984
2015-03-23,24.51,24.46,24.79,24.76,44113.0,24.6,1.02
2015-03-24,24.68,24.45,24.8,24.53,45336.0,24.496,-0.9289
2015-03-25,24.54,24.18,24.68,24.3,35232.0,24.488,-0.9376
2015-03-26,24.3,23.94,24.44,24.43,52986.0,24.506,0.535
2015-03-27,22.88,22.07,23.04,22.98,286568.0,24.2,-5.9353
2015-03-30,23.16,22.98,23.23,23.05,99949.0,23.858,0.3046
2015-03-31,23.09,22.905,23.24,22.97,86257.0,23.546,-0.3471
2015-04-01,22.96,22.85,23.16,23.09,71610.0,23.304,0.5224
2015-04-02,23.13,23.13,23.56,23.27,78951.0,23.072,0.7796
2015-04-06,23.09,22.81,23.31,23.2,99529.0,23.116,-0.3008
2015-04-07,23.26,23.04,23.45,23.13,60344.0,23.132,-0.3017
2015-04-08,23.12,22.83,23.19,23.07,99389.0,23.152,-0.2594
2015-04-09,23.09,22.73,23.18,23.05,92136.0,23.144,-0.0867
2015-04-10,23.1,22.9,23.1,23.03,120810.0,23.096,-0.0868
2015-04-13,23.03,22.96,23.32,23.03,137632.0,23.062,0.0
2015-04-14,22.99,22.76,23.31,23.27,91633.0,23.09,1.0421
2015-04-15,23.37,23.27,23.7,23.41,112020.0,23.158,0.6016
2015-04-16,23.37,23.17,23.58,23.5,63971.0,23.248,0.3845
2015-04-17,23.35,23.04,23.48,23.34,41095.0,23.31,-0.6809
2015-04-20,23.41,23.2,23.69,23.47,42625.0,23.398,0.557
2015-04-21,23.58,23.09,23.62,23.17,41574.0,23.378,-1.2782
2015-04-22,23.21,23.07,23.69,23.52,49538.0,23.4,1.5106
2015-04-23,23.8,23.08,23.8,23.18,28550.0,23.336,-1.4456
2015-04-24,23.21,22.68,23.41,22.8,36925.0,23.228,-1.6393
2015-04-27,22.88,22.59,23.06,22.78,50844.0,23.09,-0.0877
2015-04-28,22.76,22.76,23.29,23.25,52899.0,23.106,2.0632
2015-04-29,23.24,23.08,23.39,23.16,33080.0,23.034,-0.3871
2015-04-30,23.14,22.71,23.17,22.9,78450.0,22.978,-1.1226
2015-05-01,22.95,22.71,23.02,22.8,50683.0,22.978,-0.4367
2015-05-04,22.78,22.78,23.16,22.99,78548.0,23.02,0.8333
2015-05-05,22.88,22.64,23.07,22.83,56386.0,22.936,-0.696
2015-05-06,22.86,22.66,23.13,23.08,46163.0,22.92,1.0951
2015-05-07,23.02,22.76,23.07,22.79,39976.0,22.898,-1.2565
2015-05-08,22.92,22.71,23.07,22.99,46855.0,22.936,0.8776
2015-05-11,22.93,22.72,23.07,22.99,74761.0,22.936,0.0
2015-05-12,22.97,22.7,23.04,22.85,77004.0,22.94,-0.609
2015-05-13,22.91,22.66,23.04,22.98,192341.0,22.92,0.5689
2015-05-14,23.1,22.91,23.1,22.98,75433.0,22.958,0.0
2015-05-15,22.95,22.63,22.99,22.98,51177.0,22.956,0.0
2015-05-18,22.98,22.93,23.25,23.21,60158.0,23.0,1.0009
2015-05-19,23.28,23.28,23.97,23.95,60552.0,23.22,3.1883
2015-05-20,23.98,23.69,23.98,23.85,49815.0,23.394,-0.4175
2015-05-21,23.87,23.73,23.96,23.73,33149.0,23.544,-0.5031
2015-05-22,23.69,23.45,23.84,23.48,37632.0,23.644,-1.0535
2015-05-26,23.46,23.17,23.46,23.28,37653.0,23.658,-0.8518
2015-05-27,23.29,23.14,23.64,23.57,102107.0,23.582,1.2457
2015-05-28,23.5,23.28,23.78,23.77,83638.0,23.566,0.8485
2015-05-29,23.76,23.14,23.76,23.42,150417.0,23.504,-1.4724
2015-06-01,23.41,23.03,23.41,23.15,47749.0,23.438,-1.1529
2015-06-02,23.08,23.08,23.47,23.33,45707.0,23.448,0.7775
2015-06-03,23.32,23.32,23.75,23.62,47666.0,23.458,1.243
2015-06-04,23.6,23.51,23.85,23.76,59688.0,23.456,0.5927
2015-06-05,22.0,22.0,22.85,22.37,445473.0,23.246,-5.8502
2015-06-08,22.41,22.41,22.98,22.79,148095.0,23.174,1.8775
2015-06-09,22.91,22.67,23.1,22.72,90165.0,23.052,-0.3072
2015-06-10,22.89,22.76,23.84,23.45,169774.0,23.018,3.213
2015-06-11,23.46,23.19,23.495,23.27,61219.0,22.92,-0.7676
2015-06-12,23.22,23.01,23.33,23.11,66829.0,23.068,-0.6876
2015-06-15,23.07,22.94,23.29,23.01,201715.0,23.112,-0.4327
2015-06-16,23.0,22.94,23.33,23.08,233400.0,23.184,0.3042
2015-06-17,23.1,23.1,23.5,23.4,73215.0,23.174,1.3865
2015-06-18,23.47,23.24,23.7,23.59,64023.0,23.238,0.812
2015-06-19,23.59,23.49,23.68,23.55,402074.0,23.326,-0.1696
2015-06-22,23.71,23.55,24.06,23.97,64181.0,23.518,1.7834
2015-06-23,24.01,23.83,24.49,24.3,84433.0,23.762,1.3767
2015-06-24,24.27,24.03,24.34,24.23,43778.0,23.928,-0.2881
2015-06-25,24.33,24.28,24.63,24.51,110115.0,24.112,1.1556
2015-06-26,24.59,24.3,24.76,24.36,602994.0,24.274,-0.612
2015-06-29,24.19,23.66,24.23,23.67,114546.0,24.214,-2.8325
2015-06-30,23.91,23.52,23.91,23.75,56124.0,24.104,0.338
2015-07-01,24.05,24.01,24.31,24.28,45655.0,24.114,2.2316
2015-07-02,24.25,23.3,24.25,23.42,43209.0,23.896,-3.542
2015-07-06,23.19,22.99,23.51,23.47,55130.0,23.718,0.2135
2015-07-07,23.41,22.75,23.41,23.08,57213.0,23.6,-1.6617
2015-07-08,22.92,22.68,23.07,22.82,60969.0,23.414,-1.1265
2015-07-09,23.1,22.84,23.26,23.0,96836.0,23.158,0.7888
2015-07-10,23.32,23.19,23.55,23.33,82244.0,23.14,1.4348
2015-07-13,23.43,23.35,23.86,23.53,83385.0,23.152,0.8573
2015-07-14,23.47,23.39,23.76,23.75,35695.0,23.286,0.935
2015-07-15,23.72,23.55,24.0,23.94,32449.0,23.51,0.8
2015-07-16,24.06,23.78,24.28,23.85,41770.0,23.68,-0.3759
2015-07-17,23.82,23.4,23.82,23.67,39402.0,23.748,-0.7547
2015-07-20,23.67,23.6,23.89,23.79,31654.0,23.8,0.507
2015-07-21,23.83,23.61,24.22,23.74,26724.0,23.798,-0.2102
2015-07-22,23.73,23.73,24.03,23.87,35318.0,23.784,0.5476
2015-07-23,23.83,23.36,24.14,23.39,65988.0,23.692,-2.0109
2015-07-24,23.6,23.05,23.6,23.08,68522.0,23.574,-1.3254
2015-07-27,22.96,22.53,23.41,23.34,62043.0,23.484,1.1265
2015-07-28,23.49,23.04,23.49,23.31,88288.0,23.398,-0.1285
2015-07-29,23.37,22.87,23.37,23.05,39841.0,23.234,-1.1154
2015-07-30,23.05,22.84,23.31,23.15,56257.0,23.186,0.4338
2015-07-31,23.21,22.89,23.38,23.29,87230.0,23.228,0.6048
2015-08-03,23.3,23.07,23.47,23.4,45685.0,23.24,0.4723
2015-08-04,22.2,22.1,22.54,22.47,1072507.0,23.072,-3.9744
2015-08-05,22.5,22.31,22.58,22.57,206878.0,22.976,0.445
2015-08-06,22.64,22.47,22.92,22.69,190498.0,22.884,0.5317
2015-08-07,22.61,22.27,22.85,22.52,87421.0,22.73,-0.7492
2015-08-10,22.65,22.53,22.99,22.66,178689.0,22.582,0.6217
2015-08-11,22.51,22.14,22.72,22.67,109952.0,22.622,0.0441
2015-08-12,22.55,22.0,22.57,22.28,81621.0,22.564,-1.7203
2015-08-13,22.25,22.14,22.4,22.25,60314.0,22.476,-0.1346
2015-08-14,22.22,22.22,22.49,22.49,60588.0,22.47,1.0787
2015-08-17,22.41,22.23,22.81,22.68,90457.0,22.474,0.8448
2015-08-18,22.71,22.59,22.94,22.74,80732.0,22.488,0.2646
2015-08-19,22.59,22.17,22.64,22.19,48799.0,22.47,-2.4186
2015-08-20,22.08,21.43,22.08,21.45,90963.0,22.31,-3.3348
2015-08-21,21.08,20.89,21.49,21.23,142422.0,22.058,-1.0256
2015-08-24,20.49,20.17,20.8,20.18,99414.0,21.558,-4.9458
2015-08-25,20.48,19.8,20.65,19.81,80596.0,20.972,-1.8335
2015-08-26,20.25,19.98,20.42,20.4,106759.0,20.614,2.9783
2015-08-27,20.5,20.19,20.62,20.4,100327.0,20.404,0.0
2015-08-28,20.3,20.21,20.53,20.43,72242.0,20.244,0.1471
2015-08-31,20.45,20.33,20.77,20.74,102360.0,20.356,1.5174
2015-09-01,20.52,19.87,20.6,20.0,78879.0,20.394,-3.568
2015-09-02,20.24,20.05,20.32,20.26,78918.0,20.366,1.3
2015-09-03,20.34,20.27,20.57,20.51,68020.0,20.388,1.234
2015-09-04,20.24,20.1,20.46,20.38,44347.0,20.378,-0.6338
2015-09-08,20.71,20.43,20.8,20.71,75228.0,20.372,1.6192
2015-09-09,20.9,20.58,20.94,20.63,64776.0,20.498,-0.3863
2015-09-10,20.61,20.49,20.87,20.82,59381.0,20.61,0.921
2015-09-11,20.73,20.7,20.98,20.95,36102.0,20.698,0.6244
2015-09-14,20.99,20.86,21.23,21.02,43042.0,20.826,0.3341
2015-09-15,21.07,21.01,21.35,21.27,30265.0,20.938,1.1893
2015-09-16,21.22,21.08,21.4,21.36,52962.0,21.084,0.4231
2015-09-17,21.35,20.58,21.62,20.68,73795.0,21.056,-3.1835
2015-09-18,20.37,19.95,20.37,20.17,163386.0,20.9,-2.4662
