date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,9.29,8.97,9.29,9.26,26516.0,9.218,-0.3229
2015-01-05,9.15,9.12,9.345,9.23,31174.0,9.25,-0.324
2015-01-06,9.03,8.87,9.2,8.94,52852.0,9.182,-3.1419
2015-01-07,9.04,8.88,9.04,9.02,30530.0,9.148,0.8949
2015-01-08,9.06,8.81,9.09,8.9,188741.0,9.07,-1.3304
2015-01-09,8.87,8.55,8.87,8.59,21727.0,8.936,-3.4831
2015-01-12,8.56,8.45,8.69,8.63,19451.0,8.816,0.4657
2015-01-13,8.69,8.56,8.95,8.76,26025.0,8.78,1.5064
2015-01-14,8.69,8.54,8.75,8.7,9050.0,8.716,-0.6849
2015-01-15,8.75,8.37,8.77,8.38,16184.0,8.612,-3.6782
2015-01-16,8.35,8.27,8.49,8.49,21942.0,8.592,1.3126
2015-01-20,8.51,8.24,8.51,8.26,17170.0,8.518,-2.7091
2015-01-21,8.27,8.23,8.39,8.35,24964.0,8.436,1.0896
2015-01-22,8.4,8.35,8.93,8.91,31902.0,8.478,6.7066
2015-01-23,8.88,8.73,9.09,9.04,53691.0,8.61,1.459
2015-01-26,9.04,8.98,9.43,9.42,36259.0,8.796,4.2035
2015-01-27,9.26,9.2,9.5,9.46,51327.0,9.036,0.4246
2015-01-28,9.5,9.13,9.5,9.26,38210.0,9.218,-2.1142
2015-01-29,9.28,9.12,9.51,9.5,23377.0,9.336,2.5918
2015-01-30,9.4,9.35,9.63,9.55,90235.0,9.438,0.5263
2015-02-02,9.62,9.62,10.28,10.2,61367.0,9.594,6.8063
2015-02-03,10.28,10.05,10.44,10.11,37050.0,9.724,-0.8824
2015-02-04,10.05,9.85,10.36,10.23,31732.0,9.918,1.1869
2015-02-05,10.22,10.15,10.3,10.2,32553.0,10.058,-0.2933
2015-02-06,10.16,9.98,10.35,10.33,47396.0,10.214,1.2745
2015-02-09,10.24,10.15,10.37,10.15,18237.0,10.204,-1.7425
2015-02-10,10.2,9.64,10.2,10.16,43679.0,10.214,0.0985
2015-02-11,10.09,10.02,10.19,10.14,14225.0,10.196,-0.1969
2015-02-12,10.16,10.12,10.2,10.15,13654.0,10.186,0.0986
2015-02-13,10.13,10.12,10.32,10.31,16436.0,10.182,1.5764
2015-02-17,10.34,10.11,10.34,10.23,17591.0,10.198,-0.7759
2015-02-18,10.25,10.19,10.28,10.28,15704.0,10.222,0.4888
2015-02-19,10.22,10.22,10.34,10.32,10685.0,10.258,0.3891
2015-02-20,10.28,10.05,10.28,10.2,22936.0,10.268,-1.1628
2015-02-23,10.12,9.89,10.29,10.24,25217.0,10.254,0.3922
2015-02-24,10.22,10.13,10.36,10.3,15152.0,10.268,0.5859
2015-02-25,10.33,10.3,10.4,10.39,13607.0,10.29,0.8738
2015-02-26,10.38,10.35,10.76,10.74,22411.0,10.374,3.3686
2015-02-27,10.74,10.57,10.74,10.58,22067.0,10.45,-1.4898
2015-03-02,10.6,10.49,10.77,10.62,14223.0,10.526,0.3781
2015-03-03,10.54,10.5,10.72,10.53,23202.0,10.572,-0.8475
2015-03-04,10.45,10.32,10.52,10.45,19356.0,10.584,-0.7597
2015-03-05,10.43,10.1,10.43,10.25,13765.0,10.486,-1.9139
2015-03-06,10.13,10.07,10.22,10.08,32024.0,10.386,-1.6585
2015-03-09,10.14,10.06,10.25,10.15,13392.0,10.292,0.6944
2015-03-10,10.01,9.96,10.11,10.0,31572.0,10.186,-1.4778
2015-03-11,9.99,9.99,10.21,10.09,15961.0,10.114,0.9
