date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,48.4,47.17,48.7,48.03,81003.0,48.614,-0.4972
2015-01-05,47.83,46.55,48.63,47.9,97143.0,48.422,-0.2707
2015-01-06,47.78,47.33,48.69,48.0,172159.0,48.188,0.2088
2015-01-07,48.36,47.83,48.43,48.34,70316.0,48.108,0.7083
2015-01-08,48.68,48.68,50.58,50.3,147862.0,48.514,4.0546
2015-01-09,50.36,47.57,50.36,47.63,84040.0,48.434,-5.3082
2015-01-12,47.53,46.39,47.53,47.23,57463.0,48.3,-0.8398
2015-01-13,47.55,46.47,48.09,47.27,72079.0,48.154,0.0847
2015-01-14,46.73,45.55,47.27,46.35,50605.0,47.756,-1.9463
2015-01-15,46.52,45.36,46.52,45.58,58657.0,46.812,-1.6613
2015-01-16,45.43,45.43,46.49,46.39,55425.0,46.564,1.7771
2015-01-20,46.35,46.35,47.94,47.86,78133.0,46.69,3.1688
2015-01-21,47.97,47.65,48.25,47.93,73909.0,46.822,0.1463
2015-01-22,47.81,47.44,49.42,48.75,82776.0,47.302,1.7108
2015-01-23,48.81,48.19,48.83,48.69,56027.0,47.924,-0.1231
2015-01-26,48.59,48.45,48.91,48.72,68459.0,48.39,0.0616
2015-01-27,48.22,47.68,48.41,48.05,58812.0,48.428,-1.3752
2015-01-28,48.43,46.83,48.43,47.09,62349.0,48.26,-1.9979
2015-01-29,47.1,47.1,47.74,47.61,56047.0,48.032,1.1043
2015-01-30,47.33,45.71,47.6,45.73,94371.0,47.44,-3.9488
2015-02-02,45.9,45.55,47.12,46.89,57865.0,47.074,2.5366
2015-02-03,47.24,47.24,48.44,47.99,67184.0,47.062,2.3459
2015-02-04,47.97,47.94,48.5,48.14,79870.0,47.272,0.3126
2015-02-05,48.45,47.97,48.75,48.25,57816.0,47.4,0.2285
2015-02-06,48.37,48.36,48.8,48.69,80475.0,47.992,0.9119
2015-02-09,48.3,47.94,48.75,48.08,66559.0,48.23,-1.2528
2015-02-10,48.55,47.68,48.55,48.26,59098.0,48.284,0.3744
2015-02-11,48.11,47.49,48.4,47.89,30449.0,48.234,-0.7667
2015-02-12,47.97,46.76,47.97,47.86,54038.0,48.156,-0.0626
2015-02-13,47.99,47.69,48.18,47.81,36541.0,47.98,-0.1045
2015-02-17,47.56,47.2,48.25,47.5,70992.0,47.864,-0.6484
2015-02-18,45.0,43.81,46.28,45.42,267320.0,47.296,-4.3789
2015-02-19,45.18,44.48,45.2,44.94,157063.0,46.706,-1.0568
2015-02-20,45.06,44.26,45.06,44.88,139306.0,46.11,-0.1335
2015-02-23,44.75,44.16,44.99,44.75,98700.0,45.498,-0.2897
2015-02-24,44.88,44.4,44.94,44.74,93859.0,44.946,-0.0223
2015-02-25,44.81,44.81,45.47,45.12,74285.0,44.886,0.8494
2015-02-26,45.14,44.25,45.51,44.52,164777.0,44.802,-1.3298
2015-02-27,44.34,44.11,44.71,44.11,50212.0,44.648,-0.9209
2015-03-02,44.15,44.15,44.73,44.54,58529.0,44.606,0.9748
2015-03-03,44.34,44.34,45.0,44.88,70601.0,44.634,0.7634
2015-03-04,44.79,44.57,44.92,44.75,63058.0,44.56,-0.2897
2015-03-05,44.92,44.62,45.75,45.6,102414.0,44.776,1.8994
2015-03-06,45.3,45.0,45.82,45.03,191491.0,44.96,-1.25
2015-03-09,45.13,45.0,45.375,45.36,77006.0,45.124,0.7328
2015-03-10,45.06,45.06,46.13,46.0,88928.0,45.348,1.4109
2015-03-11,46.1,45.68,46.62,46.35,112009.0,45.668,0.7609
2015-03-12,46.63,46.54,47.53,46.83,92811.0,45.914,1.0356
2015-03-13,46.85,45.87,46.85,46.07,99738.0,46.122,-1.6229
2015-03-16,46.2,45.83,46.4,46.14,56739.0,46.278,0.1519
2015-03-17,46.11,46.06,47.16,47.15,113192.0,46.508,2.189
2015-03-18,47.09,46.88,47.47,47.36,72404.0,46.71,0.4454
