date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,13.57,13.34,13.64,13.48,14936.0,13.608,0.0742
2015-01-05,13.28,13.2,13.49,13.3,30189.0,13.508,-1.3353
2015-01-06,12.89,12.63,13.19,12.76,47343.0,13.328,-4.0602
2015-01-07,12.75,12.51,12.95,12.78,51626.0,13.158,0.1567
2015-01-08,12.97,12.87,13.0,12.92,28647.0,13.048,1.0955
2015-01-09,12.9,12.71,12.92,12.76,23435.0,12.904,-1.2384
2015-01-12,12.8,12.55,12.95,12.75,40784.0,12.794,-0.0784
2015-01-13,12.88,12.79,13.12,12.85,42551.0,12.812,0.7843
2015-01-14,12.79,12.78,13.13,13.01,37196.0,12.858,1.2451
2015-01-15,13.07,12.88,13.24,13.11,45837.0,12.896,0.7686
2015-01-16,13.1,13.09,13.68,13.64,61248.0,13.072,4.0427
2015-01-20,13.73,13.28,13.73,13.29,25411.0,13.18,-2.566
2015-01-21,13.33,13.29,13.57,13.36,38094.0,13.282,0.5267
2015-01-22,13.46,13.37,13.68,13.67,26663.0,13.414,2.3204
2015-01-23,13.67,13.28,13.67,13.29,17188.0,13.45,-2.7798
2015-01-26,13.31,13.24,13.65,13.41,21155.0,13.404,0.9029
2015-01-27,13.32,13.29,13.56,13.37,19217.0,13.42,-0.2983
2015-01-28,13.35,13.27,13.58,13.32,25520.0,13.412,-0.374
2015-01-29,13.39,13.32,13.57,13.57,23697.0,13.392,1.8769
2015-01-30,13.44,13.25,13.6,13.34,31719.0,13.402,-1.6949
2015-02-02,13.46,13.38,13.75,13.74,36211.0,13.468,2.9985
2015-02-03,13.74,13.56,13.94,13.61,51039.0,13.516,-0.9461
2015-02-04,13.63,13.54,13.67,13.58,25024.0,13.568,-0.2204
2015-02-05,13.59,13.59,13.89,13.84,17848.0,13.622,1.9146
2015-02-06,13.82,13.73,14.06,13.83,20745.0,13.72,-0.0723
2015-02-09,13.77,13.45,13.77,13.48,18419.0,13.668,-2.5307
2015-02-10,13.63,13.32,13.63,13.6,23446.0,13.666,0.8902
2015-02-11,13.66,13.59,13.79,13.62,15651.0,13.674,0.1471
2015-02-12,13.68,13.65,13.88,13.88,16135.0,13.682,1.909
2015-02-13,13.91,13.83,13.99,13.9,11036.0,13.696,0.1441
2015-02-17,13.95,13.8,14.03,13.83,10553.0,13.766,-0.5036
2015-02-18,13.83,13.83,14.01,13.98,13254.0,13.842,1.0846
2015-02-19,13.99,13.91,13.991,13.92,17593.0,13.902,-0.4292
2015-02-20,13.84,13.51,13.84,13.71,26491.0,13.868,-1.5086
2015-02-23,13.71,13.57,13.71,13.68,14503.0,13.824,-0.2188
2015-02-24,13.71,13.69,13.94,13.69,11053.0,13.796,0.0731
2015-02-25,13.74,13.72,13.82,13.78,18076.0,13.756,0.6574
2015-02-26,13.82,13.7,14.1,14.02,18459.0,13.776,1.7417
2015-02-27,14.04,13.94,14.07,13.95,11527.0,13.824,-0.4993
2015-03-02,13.94,13.94,14.09,13.97,21700.0,13.882,0.1434
2015-03-03,13.92,13.8,13.97,13.84,15228.0,13.912,-0.9306
2015-03-04,13.77,13.65,13.86,13.73,14373.0,13.902,-0.7948
2015-03-05,13.79,13.56,13.8,13.62,14775.0,13.822,-0.8012
2015-03-06,13.5,13.35,13.66,13.37,15524.0,13.706,-1.8355
2015-03-09,13.42,13.42,13.57,13.44,9080.0,13.6,0.5236
2015-03-10,13.3,13.18,13.5,13.47,17947.0,13.526,0.2232
2015-03-11,13.49,13.28,13.52,13.37,17893.0,13.454,-0.7424
2015-03-12,13.49,13.49,13.88,13.86,20719.0,13.502,3.6649
2015-03-13,13.9,13.56,13.9,13.78,13451.0,13.584,-0.5772
2015-03-16,13.88,13.7,13.88,13.72,7115.0,13.64,-0.4354
2015-03-17,13.69,13.49,13.704,13.54,7729.0,13.654,-1.312
2015-03-18,13.54,13.5,13.87,13.76,12106.0,13.732,1.6248
2015-03-19,13.78,13.69,13.81,13.79,11636.0,13.718,0.218
2015-03-20,13.91,13.8,14.0,13.98,105053.0,13.758,1.3778
2015-03-23,14.0,13.87,14.44,14.41,17120.0,13.896,3.0758
2015-03-24,14.41,14.35,14.73,14.46,12158.0,14.08,0.347
2015-03-25,14.51,14.2,14.55,14.21,20513.0,14.17,-1.7289
2015-03-26,14.2,13.88,14.21,13.92,17872.0,14.196,-2.0408
2015-03-27,13.89,13.8,14.04,13.97,25828.0,14.194,0.3592
2015-03-30,14.06,13.89,14.2,13.92,29434.0,14.096,-0.3579
2015-03-31,13.81,13.81,14.18,14.12,50422.0,14.028,1.4368
2015-04-01,14.14,13.54,14.33,13.58,30779.0,13.902,-3.8244
2015-04-02,13.6,13.41,13.89,13.51,27738.0,13.82,-0.5155
2015-04-06,13.48,13.46,13.8,13.62,44631.0,13.75,0.8142
2015-04-07,13.66,13.66,14.28,14.14,18908.0,13.794,3.8179
2015-04-08,14.18,14.0,14.18,14.12,23086.0,13.794,-0.1414
2015-04-09,13.94,13.49,13.94,13.81,19059.0,13.84,-2.1955
2015-04-10,13.93,13.78,13.99,13.8,20640.0,13.898,-0.0724
2015-04-13,13.82,13.69,13.85,13.84,22475.0,13.942,0.2899
2015-04-14,13.85,13.78,14.13,14.07,15975.0,13.928,1.6618
2015-04-15,14.15,13.91,14.36,13.99,41576.0,13.902,-0.5686
2015-04-16,14.04,13.83,14.05,13.91,19434.0,13.922,-0.5718
2015-04-17,13.86,13.61,13.89,13.69,28198.0,13.9,-1.5816
2015-04-20,13.78,13.78,14.07,13.91,20096.0,13.914,1.607
2015-04-21,14.04,13.77,14.04,13.83,10471.0,13.866,-0.5751
2015-04-22,13.89,13.65,14.0,14.0,12828.0,13.868,1.2292
2015-04-23,13.98,13.84,14.1,14.03,16828.0,13.892,0.2143
2015-04-24,14.08,13.82,14.08,13.91,13113.0,13.936,-0.8553
2015-04-27,13.92,13.851,14.14,14.11,28719.0,13.976,1.4378
2015-04-28,14.5,14.42,15.88,15.77,73257.0,14.364,11.7647
2015-04-29,15.91,15.54,16.0,15.57,64818.0,14.678,-1.2682
2015-04-30,15.46,15.29,15.58,15.38,44522.0,14.948,-1.2203
2015-05-01,15.41,15.39,16.0,15.99,61216.0,15.364,3.9662
2015-05-04,15.99,15.97,16.38,16.05,87933.0,15.752,0.3752
2015-05-05,16.0,15.74,16.16,15.82,41101.0,15.762,-1.433
2015-05-06,15.9,15.62,15.9,15.75,51218.0,15.798,-0.4425
2015-05-07,15.73,15.51,15.89,15.69,26838.0,15.86,-0.381
2015-05-08,15.88,15.79,15.96,15.88,29101.0,15.838,1.211
2015-05-11,15.95,15.88,16.41,16.36,57104.0,15.9,3.0227
2015-05-12,16.31,15.91,16.34,16.1,41661.0,15.956,-1.5892
2015-05-13,16.16,16.06,16.49,16.48,32505.0,16.102,2.3602
2015-05-14,16.5,16.4,16.74,16.64,26661.0,16.292,0.9709
2015-05-15,16.63,16.41,16.75,16.61,18660.0,16.438,-0.1803
2015-05-18,16.57,16.49,16.82,16.63,39223.0,16.492,0.1204
2015-05-19,16.63,16.31,16.73,16.72,22631.0,16.616,0.5412
2015-05-20,16.77,16.72,17.04,16.93,23814.0,16.706,1.256
2015-05-21,16.94,16.93,17.2,17.16,22726.0,16.81,1.3585
2015-05-22,17.16,16.93,17.16,17.01,22389.0,16.89,-0.8741
2015-05-26,16.92,16.7,17.04,16.95,32953.0,16.954,-0.3527
2015-05-27,16.92,16.61,17.12,17.06,31411.0,17.022,0.649
2015-05-28,16.99,16.7,17.01,16.77,23275.0,16.99,-1.6999
2015-05-29,16.72,16.64,16.91,16.82,42589.0,16.922,0.2982
2015-06-01,16.33,16.06,16.95,16.93,64536.0,16.906,0.654
2015-06-02,16.83,16.83,17.4,17.16,23866.0,16.948,1.3585
2015-06-03,17.17,17.16,17.4,17.26,27130.0,16.988,0.5828
2015-06-04,17.15,17.04,17.3,17.1,27815.0,17.054,-0.927
2015-06-05,17.02,16.88,17.45,17.4,36295.0,17.17,1.7544
2015-06-08,17.41,17.07,17.41,17.09,24131.0,17.202,-1.7816
2015-06-09,17.04,17.04,17.74,17.66,32627.0,17.302,3.3353
2015-06-10,17.79,17.74,18.0,17.76,40643.0,17.402,0.5663
2015-06-11,17.79,17.55,17.79,17.59,20211.0,17.5,-0.9572
2015-06-12,17.5,17.49,17.61,17.6,13985.0,17.54,0.0569
2015-06-15,17.52,17.12,17.52,17.38,36655.0,17.598,-1.25
2015-06-16,17.39,17.39,17.8,17.74,24669.0,17.614,2.0713
2015-06-17,17.79,17.55,17.79,17.66,22543.0,17.594,-0.451
2015-06-18,17.71,17.68,17.85,17.73,46171.0,17.622,0.3964
2015-06-19,17.78,17.75,18.18,18.11,83870.0,17.724,2.1433
2015-06-22,18.25,18.19,19.13,18.65,81222.0,17.978,2.9818
2015-06-23,18.75,18.23,18.76,18.48,73521.0,18.126,-0.9115
2015-06-24,18.48,17.95,18.48,18.0,58520.0,18.194,-2.5974
2015-06-25,18.14,18.14,18.37,18.35,55946.0,18.318,1.9444
2015-06-26,18.41,18.35,18.7,18.59,146981.0,18.414,1.3079
2015-06-29,18.59,18.31,18.59,18.36,63926.0,18.356,-1.2372
2015-06-30,18.6,18.5,18.74,18.59,51557.0,18.378,1.2527
2015-07-01,18.8,18.7,19.17,18.77,54812.0,18.532,0.9683
2015-07-02,18.81,17.99,18.81,18.13,37584.0,18.488,-3.4097
2015-07-06,18.04,17.93,18.15,18.14,37735.0,18.398,0.0552
2015-07-07,18.28,17.63,18.28,17.72,47246.0,18.27,-2.3153
2015-07-08,17.34,17.12,17.51,17.13,23061.0,17.978,-3.3296
2015-07-09,17.33,17.15,17.43,17.29,71456.0,17.682,0.934
2015-07-10,17.46,17.34,17.62,17.59,61743.0,17.574,1.7351
2015-07-13,17.67,17.57,17.99,17.57,49675.0,17.46,-0.1137
2015-07-14,17.6,17.34,17.6,17.43,67968.0,17.402,-0.7968
2015-07-15,17.45,17.29,17.52,17.4,54077.0,17.456,-0.1721
2015-07-16,17.41,17.41,17.62,17.51,46907.0,17.5,0.6322
2015-07-17,17.6,17.47,17.66,17.58,53796.0,17.498,0.3998
2015-07-20,17.79,17.23,17.87,17.26,79294.0,17.436,-1.8203
2015-07-21,17.12,17.12,17.49,17.3,107787.0,17.41,0.2317
2015-07-22,17.3,17.3,17.8,17.71,52951.0,17.472,2.3699
2015-07-23,17.79,17.65,18.0,17.92,56186.0,17.554,1.1858
2015-07-24,17.86,17.17,17.91,17.24,66959.0,17.486,-3.7946
2015-07-27,17.12,16.95,17.3,16.98,47346.0,17.43,-1.5081
2015-07-28,16.99,16.36,17.02,16.74,61850.0,17.318,-1.4134
2015-07-29,16.74,16.74,16.97,16.84,42285.0,17.144,0.5974
2015-07-30,16.68,16.64,16.94,16.86,31808.0,16.932,0.1188
2015-07-31,16.91,16.71,16.98,16.78,51552.0,16.84,-0.4745
2015-08-03,16.63,16.37,16.69,16.46,46341.0,16.736,-1.907
2015-08-04,16.51,16.48,17.15,17.04,35427.0,16.796,3.5237
2015-08-05,17.02,16.59,17.06,16.61,31016.0,16.75,-2.5235
2015-08-06,16.53,16.44,16.79,16.79,41030.0,16.736,1.0837
2015-08-07,16.68,16.57,16.81,16.66,32749.0,16.712,-0.7743
2015-08-10,16.66,16.65,17.1,17.03,50643.0,16.826,2.2209
2015-08-11,16.95,16.8,17.46,17.23,48560.0,16.864,1.1744
2015-08-12,17.15,16.82,17.43,17.15,40437.0,16.972,-0.4643
2015-08-13,17.21,16.58,17.21,16.59,19602.0,16.932,-3.2653
2015-08-14,16.56,16.55,16.81,16.78,32698.0,16.956,1.1453
2015-08-17,16.72,16.61,16.97,16.86,26334.0,16.922,0.4768
2015-08-18,16.85,16.24,17.08,16.29,45595.0,16.734,-3.3808
2015-08-19,16.18,16.09,16.73,16.55,34966.0,16.614,1.5961
2015-08-20,16.38,16.24,16.52,16.41,26476.0,16.578,-0.8459
2015-08-21,16.08,16.01,16.42,16.15,51607.0,16.452,-1.5844
2015-08-24,15.54,14.77,15.91,15.75,55019.0,16.23,-2.4768
2015-08-25,16.2,15.44,16.2,15.46,39681.0,16.064,-1.8413
2015-08-26,15.74,15.57,15.92,15.78,29576.0,15.91,2.0699
2015-08-27,15.92,15.78,16.08,16.02,22550.0,15.832,1.5209
2015-08-28,15.98,15.95,16.38,16.32,25112.0,15.866,1.8727
2015-08-31,16.27,16.126,16.35,16.33,22325.0,15.982,0.0613
2015-09-01,16.09,16.0,16.29,16.01,26009.0,16.092,-1.9596
2015-09-02,16.15,15.88,16.21,16.12,18481.0,16.16,0.6871
2015-09-03,16.15,16.08,16.33,16.08,27621.0,16.172,-0.2481
2015-09-04,15.96,15.89,16.15,16.1,24748.0,16.128,0.1244
2015-09-08,16.24,15.99,16.28,16.03,21999.0,16.068,-0.4348
2015-09-09,16.13,15.86,16.13,15.88,19151.0,16.042,-0.9357
2015-09-10,15.84,15.66,16.02,15.78,26310.0,15.974,-0.6297
2015-09-11,15.74,15.66,16.14,16.1,26372.0,15.978,2.0279
2015-09-14,16.08,15.79,16.11,15.94,30579.0,15.946,-0.9938
2015-09-15,15.93,15.93,16.3,16.18,20945.0,15.976,1.5056
2015-09-16,16.18,15.91,16.2,16.03,30597.0,16.006,-0.9271
2015-09-17,16.08,15.98,16.51,16.28,33065.0,16.106,1.5596
2015-09-18,16.12,16.08,16.49,16.46,54416.0,16.178,1.1057
2015-09-21,16.67,16.66,17.5,17.34,75545.0,16.458,5.3463
2015-09-22,17.25,17.25,17.84,17.77,47079.0,16.776,2.4798
2015-09-23,17.71,17.21,17.72,17.26,38334.0,17.022,-2.87
2015-09-24,17.15,17.12,17.54,17.41,37792.0,17.248,0.8691
2015-09-25,17.45,17.25,17.69,17.4,36778.0,17.436,-0.0574
2015-09-28,17.41,17.11,17.51,17.46,44262.0,17.46,0.3448
2015-09-29,17.53,17.13,17.53,17.19,25861.0,17.344,-1.5464
2015-09-30,17.19,17.15,17.44,17.36,54644.0,17.364,0.9889
2015-10-01,17.49,17.47,17.74,17.68,33139.0,17.418,1.8433
2015-10-02,17.63,17.63,18.1,17.95,58338.0,17.528,1.5271
2015-10-05,18.0,17.96,18.48,18.32,37670.0,17.7,2.0613
2015-10-06,18.4,17.85,18.4,17.96,39462.0,17.854,-1.9651
2015-10-07,17.86,17.86,18.36,18.22,31392.0,18.026,1.4477
2015-10-08,18.28,18.1,18.45,18.41,49212.0,18.172,1.0428
2015-10-09,18.5,18.4,18.7,18.42,28382.0,18.266,0.0543
2015-10-12,18.51,18.39,18.8,18.8,38690.0,18.362,2.063
2015-10-13,18.67,18.59,18.9,18.84,27318.0,18.538,0.2128
2015-10-14,18.8,18.35,18.84,18.43,32547.0,18.58,-2.1762
2015-10-15,18.49,18.44,18.79,18.75,40930.0,18.648,1.7363
2015-10-16,18.82,18.73,19.0,18.94,38859.0,18.752,1.0133
2015-10-19,18.94,18.93,19.465,19.31,53483.0,18.854,1.9535
2015-10-20,19.31,19.13,19.5,19.42,38328.0,18.97,0.5697
2015-10-21,19.42,19.04,19.49,19.05,38105.0,19.094,-1.9053
2015-10-22,18.97,18.97,19.42,19.26,33739.0,19.196,1.1024
2015-10-23,19.36,19.13,19.56,19.56,29367.0,19.32,1.5576
2015-10-26,19.53,19.49,19.81,19.79,28908.0,19.416,1.1759
2015-10-27,19.74,19.29,19.85,19.56,36273.0,19.444,-1.1622
2015-10-28,19.6,19.6,20.74,20.5,55104.0,19.734,4.8057
2015-10-29,20.5,20.09,20.53,20.19,28514.0,19.92,-1.5122
