date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,76.55,75.01,76.73,75.59,305298.0,76.762,-0.8005
2015-01-05,75.19,74.5,75.19,74.68,333822.0,76.208,-1.2039
2015-01-06,74.68,73.83,74.83,73.99,406498.0,75.526,-0.9239
2015-01-07,74.4,73.92,74.63,74.33,447813.0,74.958,0.4595
2015-01-08,74.64,74.52,75.61,75.4,414934.0,74.798,1.4395
2015-01-09,75.43,74.65,75.6,74.9,360452.0,74.66,-0.6631
2015-01-12,74.73,73.57,75.09,74.26,467906.0,74.576,-0.8545
2015-01-13,74.32,74.03,75.78,74.52,448619.0,74.682,0.3501
2015-01-14,73.03,73.03,74.23,74.12,419118.0,74.64,-0.5368
2015-01-15,74.07,73.43,74.16,73.71,358450.0,74.302,-0.5532
2015-01-16,73.32,73.05,74.36,74.22,566092.0,74.166,0.6919
2015-01-20,74.72,74.02,74.73,74.53,410740.0,74.22,0.4177
2015-01-21,72.97,72.94,74.6,73.98,609842.0,74.112,-0.738
2015-01-22,74.45,73.77,75.33,75.11,557395.0,74.31,1.5274
2015-01-23,75.05,73.15,75.05,73.7,927622.0,74.308,-1.8772
2015-01-26,73.34,72.54,73.62,72.86,647250.0,74.036,-1.1398
2015-01-27,71.2,70.84,72.0,71.75,692976.0,73.48,-1.5235
2015-01-28,71.96,70.38,71.96,70.4,781237.0,72.764,-1.8815
2015-01-29,70.81,70.7,72.06,71.97,733579.0,72.136,2.2301
2015-01-30,71.42,70.5,71.86,70.59,628344.0,71.514,-1.9175
2015-02-02,70.72,70.42,71.85,71.83,823673.0,71.308,1.7566
2015-02-03,72.45,71.96,72.96,72.84,604518.0,71.526,1.4061
2015-02-04,72.74,72.43,73.39,72.55,698393.0,71.956,-0.3981
2015-02-05,76.23,75.47,78.67,78.4,1130052.0,73.242,8.0634
2015-02-06,78.43,78.34,81.13,79.55,1005645.0,75.034,1.4668
2015-02-09,79.37,78.41,79.63,79.46,605134.0,76.56,-0.1131
2015-02-10,79.27,79.14,80.36,80.01,775667.0,77.994,0.6922
2015-02-11,80.09,79.8,80.81,80.36,446165.0,79.556,0.4374
2015-02-12,80.2,80.2,81.27,80.91,361709.0,80.058,0.6844
2015-02-13,81.19,81.15,82.71,82.49,721072.0,80.646,1.9528
