date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,76.03,75.65,76.66,76.48,313918.0,76.404,0.8173
2015-01-05,75.67,73.72,75.75,73.84,380760.0,75.822,-3.4519
2015-01-06,73.76,72.7,74.44,73.53,333361.0,75.258,-0.4198
2015-01-07,74.18,72.85,74.22,73.06,304300.0,74.554,-0.6392
2015-01-08,73.79,73.52,75.32,75.32,770040.0,74.446,3.0933
2015-01-09,75.72,73.86,75.84,74.44,264472.0,74.038,-1.1683
2015-01-12,74.16,72.22,74.37,72.58,322584.0,73.786,-2.4987
2015-01-13,72.98,70.8,73.82,71.74,554419.0,73.428,-1.1573
2015-01-14,70.57,69.2,70.95,70.78,412978.0,72.972,-1.3382
2015-01-15,71.29,69.75,71.35,69.8,437044.0,71.868,-1.3846
2015-01-16,69.53,69.38,71.24,71.07,470889.0,71.194,1.8195
2015-01-20,71.3,69.31,71.5,69.86,527995.0,70.65,-1.7025
2015-01-21,69.25,68.4,71.36,71.25,457496.0,70.552,1.9897
2015-01-22,71.75,71.19,72.6,72.48,397809.0,70.892,1.7263
2015-01-23,71.3,69.1,71.37,69.14,481589.0,70.76,-4.6082
2015-01-26,69.33,68.81,70.17,69.77,313157.0,70.5,0.9112
2015-01-27,68.95,68.8,70.84,70.32,270311.0,70.592,0.7883
2015-01-28,70.82,68.49,71.09,68.65,336662.0,70.072,-2.3749
2015-01-29,69.02,67.78,69.25,68.64,460464.0,69.304,-0.0146
2015-01-30,67.62,67.61,71.69,70.89,724929.0,69.654,3.278
2015-02-02,71.04,68.75,71.57,69.85,540317.0,69.67,-1.4671
2015-02-03,71.35,70.98,73.27,73.12,657842.0,70.23,4.6815
2015-02-04,72.38,71.18,72.65,71.81,425922.0,70.862,-1.7916
2015-02-05,72.24,72.23,74.37,73.94,427197.0,71.922,2.9662
2015-02-06,74.04,73.06,74.6,73.2,403428.0,72.384,-1.0008
2015-02-09,73.2,73.2,75.35,74.58,699586.0,73.33,1.8852
2015-02-10,74.78,73.46,74.78,74.33,265882.0,73.572,-0.3352
2015-02-11,74.08,72.91,74.24,73.87,252733.0,73.984,-0.6189
2015-02-12,74.35,74.35,75.42,75.11,238248.0,74.218,1.6786
2015-02-13,75.34,75.12,76.07,75.67,255478.0,74.712,0.7456
2015-02-17,75.3,74.7,76.25,75.87,285073.0,74.97,0.2643
2015-02-18,75.42,75.0,75.8,75.53,205078.0,75.21,-0.4481
2015-02-19,74.91,74.38,75.5,74.69,438860.0,75.374,-1.1121
2015-02-20,74.46,74.12,75.64,75.47,279649.0,75.446,1.0443
2015-02-23,75.15,74.83,76.09,75.9,339596.0,75.492,0.5698
2015-02-24,76.27,75.58,76.48,75.84,165269.0,75.486,-0.0791
2015-02-25,75.92,75.92,76.54,76.24,171291.0,75.628,0.5274
2015-02-26,75.77,74.9,76.46,75.29,336969.0,75.748,-1.2461
2015-02-27,75.26,74.45,75.59,74.46,411541.0,75.546,-1.1024
2015-03-02,73.98,73.55,75.43,75.41,315299.0,75.448,1.2759
2015-03-03,75.0,73.92,75.31,74.32,364623.0,75.144,-1.4454
2015-03-04,74.56,73.88,74.69,74.46,299574.0,74.788,0.1884
2015-03-05,74.77,73.01,74.77,73.55,756149.0,74.44,-1.2221
2015-03-06,73.13,71.97,73.43,72.13,384493.0,73.974,-1.9307
2015-03-09,72.12,71.92,72.49,72.1,311326.0,73.312,-0.0416
2015-03-10,71.03,70.75,71.47,70.96,301141.0,72.64,-1.5811
2015-03-11,70.75,70.275,71.75,70.37,303431.0,71.822,-0.8315
2015-03-12,70.36,70.1,70.93,70.62,201864.0,71.236,0.3553
2015-03-13,70.33,68.91,70.52,69.64,343994.0,70.738,-1.3877
2015-03-16,69.16,68.17,69.52,69.24,458533.0,70.166,-0.5744
2015-03-17,68.57,67.87,69.19,68.92,417482.0,69.758,-0.4622
2015-03-18,68.46,68.09,71.39,70.77,393012.0,69.838,2.6843
2015-03-19,70.19,68.74,70.19,68.94,353175.0,69.502,-2.5858
2015-03-20,69.21,68.73,69.73,69.46,778897.0,69.466,0.7543
2015-03-23,69.44,69.41,70.39,69.59,270020.0,69.536,0.1872
2015-03-24,69.36,69.05,69.75,69.24,186869.0,69.6,-0.5029
2015-03-25,69.4,68.67,69.82,68.85,333957.0,69.216,-0.5633
2015-03-26,68.81,68.53,69.65,68.83,317710.0,69.194,-0.029
2015-03-27,68.91,68.08,69.28,68.71,305515.0,69.044,-0.1743
2015-03-30,69.4,69.4,70.91,70.4,299412.0,69.206,2.4596
2015-03-31,69.62,69.01,69.81,69.26,685456.0,69.21,-1.6193
2015-04-01,68.97,67.8,69.31,68.2,450749.0,69.08,-1.5305
2015-04-02,68.13,67.75,68.72,68.07,382399.0,68.928,-0.1906
2015-04-06,68.54,68.25,69.88,69.48,603466.0,69.082,2.0714
2015-04-07,69.58,69.5,70.09,69.91,358059.0,68.984,0.6189
2015-04-08,69.93,69.4,70.64,70.2,632867.0,69.172,0.4148
2015-04-09,70.45,70.17,72.05,71.9,469891.0,69.912,2.4217
2015-04-10,72.0,71.38,72.31,72.3,401258.0,70.758,0.5563
2015-04-13,72.37,71.96,72.46,72.12,361047.0,71.286,-0.249
2015-04-14,72.22,72.19,73.51,73.2,328231.0,71.944,1.4975
2015-04-15,73.58,73.58,75.59,75.32,764052.0,72.968,2.8962
2015-04-16,75.08,74.73,75.79,75.35,605562.0,73.658,0.0398
2015-04-17,76.85,74.96,77.66,75.86,629851.0,74.37,0.6768
2015-04-20,76.36,75.24,76.75,75.71,526453.0,75.088,-0.1977
2015-04-21,75.7,73.85,75.75,74.53,459706.0,75.354,-1.5586
2015-04-22,74.75,74.58,76.39,76.08,527731.0,75.506,2.0797
2015-04-23,75.93,75.29,76.41,75.3,525313.0,75.496,-1.0252
2015-04-24,75.55,75.09,76.18,75.47,326086.0,75.418,0.2258
2015-04-27,75.53,75.33,76.29,75.95,284819.0,75.466,0.636
2015-04-28,75.45,74.7,75.77,75.75,398694.0,75.71,-0.2633
2015-04-29,75.18,75.13,76.37,76.29,263777.0,75.752,0.7129
2015-04-30,76.16,75.35,76.5,76.22,417148.0,75.936,-0.0918
2015-05-01,76.95,76.31,79.41,78.74,497914.0,76.59,3.3062
2015-05-04,79.0,78.46,79.4,78.66,505070.0,77.132,-0.1016
2015-05-05,79.6,79.34,80.91,79.54,457444.0,77.89,1.1187
2015-05-06,79.88,78.68,80.15,78.97,408204.0,78.426,-0.7166
2015-05-07,78.74,78.1,78.74,78.31,417449.0,78.844,-0.8358
2015-05-08,79.52,79.17,80.235,80.08,557205.0,79.112,2.2602
2015-05-11,79.89,79.43,80.52,80.1,420932.0,79.4,0.025
2015-05-12,79.66,78.45,79.77,78.7,293851.0,79.232,-1.7478
2015-05-13,78.75,78.01,78.845,78.28,555267.0,79.094,-0.5337
2015-05-14,78.65,78.13,78.71,78.21,374358.0,79.074,-0.0894
2015-05-15,78.06,77.4,78.32,78.25,503893.0,78.708,0.0511
2015-05-18,78.27,77.31,78.48,77.93,275471.0,78.274,-0.4089
2015-05-19,77.58,76.65,78.0,77.05,349230.0,77.944,-1.1292
2015-05-20,77.27,76.86,77.61,77.29,262933.0,77.746,0.3115
2015-05-21,77.41,77.29,78.29,78.13,313091.0,77.73,1.0868
2015-05-22,78.03,77.83,78.72,78.06,207891.0,77.692,-0.0896
2015-05-26,77.84,76.02,77.84,76.4,360628.0,77.386,-2.1266
2015-05-27,76.34,76.08,76.88,76.58,190304.0,77.292,0.2356
2015-05-28,76.44,76.08,76.59,76.51,155431.0,77.136,-0.0914
2015-05-29,76.74,76.57,78.47,76.77,441618.0,76.864,0.3398
2015-06-01,77.34,75.93,77.53,76.67,329593.0,76.586,-0.1303
2015-06-02,76.52,75.84,77.36,76.95,350388.0,76.696,0.3652
2015-06-03,77.24,77.14,78.68,78.27,322657.0,77.034,1.7154
2015-06-04,78.04,77.0,78.22,77.79,404441.0,77.29,-0.6133
2015-06-05,77.49,76.89,77.8,77.28,422060.0,77.392,-0.6556
2015-06-08,77.65,77.59,78.36,77.86,388087.0,77.63,0.7505
2015-06-09,78.0,77.52,78.2,77.84,343330.0,77.808,-0.0257
2015-06-10,78.37,78.31,78.95,78.57,261800.0,77.868,0.9378
2015-06-11,78.24,77.76,78.49,77.98,220277.0,77.906,-0.7509
2015-06-12,77.86,77.29,78.05,77.82,202832.0,78.014,-0.2052
2015-06-15,77.08,76.29,77.69,77.66,312058.0,77.974,-0.2056
2015-06-16,77.61,77.53,78.4,78.33,187641.0,78.072,0.8627
2015-06-17,78.52,78.1,79.0,78.95,241976.0,78.148,0.7915
2015-06-18,79.09,79.0,80.59,80.37,337065.0,78.626,1.7986
2015-06-19,80.51,80.27,81.24,80.48,778388.0,79.158,0.1369
2015-06-22,82.05,81.6,83.51,83.04,578636.0,80.234,3.1809
2015-06-23,82.89,82.72,83.22,83.0,285248.0,81.168,-0.0482
2015-06-24,83.1,82.11,83.84,82.33,270975.0,81.844,-0.8072
2015-06-25,82.44,82.43,83.44,83.14,458387.0,82.398,0.9838
2015-06-26,83.14,83.09,83.89,83.75,721913.0,83.052,0.7337
2015-06-29,82.66,82.25,83.13,82.6,905351.0,82.964,-1.3731
2015-06-30,83.09,81.29,83.44,81.82,698339.0,82.728,-0.9443
2015-07-01,82.44,80.77,82.5,81.05,374159.0,82.472,-0.9411
2015-07-02,81.21,79.64,81.42,80.19,447812.0,81.882,-1.0611
2015-07-06,79.23,78.23,79.85,78.46,447170.0,80.824,-2.1574
2015-07-07,78.17,76.08,78.5,78.35,663553.0,79.974,-0.1402
2015-07-08,77.58,75.85,77.68,75.86,261860.0,78.782,-3.178
2015-07-09,77.23,76.34,77.77,76.36,286273.0,77.844,0.6591
2015-07-10,77.25,76.86,77.83,77.19,347336.0,77.244,1.087
2015-07-13,77.55,77.1,77.96,77.86,362583.0,77.124,0.868
2015-07-14,77.5,77.47,79.32,79.26,335997.0,77.306,1.7981
2015-07-15,79.12,78.71,79.65,79.27,648791.0,77.988,0.0126
2015-07-16,79.43,78.41,79.855,79.63,388049.0,78.642,0.4541
2015-07-17,79.86,77.79,80.31,78.18,532753.0,78.84,-1.8209
2015-07-20,77.79,76.79,77.9,76.89,321005.0,78.646,-1.65
2015-07-21,77.03,76.43,77.42,76.58,430974.0,78.11,-0.4032
2015-07-22,76.58,75.52,76.73,75.7,359182.0,77.396,-1.1491
2015-07-23,75.73,73.04,75.73,74.52,670469.0,76.374,-1.5588
2015-07-24,74.52,73.07,74.78,73.55,426795.0,75.448,-1.3017
2015-07-27,72.91,71.67,73.05,72.11,579888.0,74.492,-1.9579
2015-07-28,74.1,74.0,78.44,77.02,667875.0,74.58,6.809
2015-07-29,77.27,76.96,79.03,78.08,453541.0,75.056,1.3763
2015-07-30,78.18,77.47,78.75,78.59,275459.0,75.87,0.6532
2015-07-31,79.2,78.06,79.2,78.4,377218.0,76.84,-0.2418
2015-08-03,78.24,77.0,78.49,77.55,324109.0,77.928,-1.0842
2015-08-04,77.93,77.64,78.47,77.85,256500.0,78.094,0.3868
2015-08-05,78.65,77.09,78.95,77.1,279225.0,77.898,-0.9634
2015-08-06,77.2,76.48,77.36,77.13,397800.0,77.606,0.0389
2015-08-07,76.98,76.4,77.49,76.67,242278.0,77.26,-0.5964
2015-08-10,77.25,76.69,79.81,79.76,235785.0,77.702,4.0303
2015-08-11,78.27,77.07,78.38,77.63,323936.0,77.658,-2.6705
2015-08-12,76.86,76.3,77.72,77.49,275240.0,77.736,-0.1803
2015-08-13,77.28,76.7,77.48,77.44,403696.0,77.798,-0.0645
2015-08-14,77.19,76.31,77.34,76.5,291321.0,77.764,-1.2138
2015-08-17,76.27,75.22,77.56,77.41,179200.0,77.294,1.1895
2015-08-18,76.8,76.4,77.29,76.9,192958.0,77.148,-0.6588
2015-08-19,76.06,74.49,76.15,75.1,296181.0,76.67,-2.3407
2015-08-20,74.71,73.55,75.19,73.89,336603.0,75.96,-1.6112
2015-08-21,73.5,71.97,73.94,71.98,355267.0,75.056,-2.5849
2015-08-24,67.75,63.85,71.79,68.91,480932.0,73.356,-4.2651
2015-08-25,71.15,67.76,71.15,67.77,435726.0,71.53,-1.6543
2015-08-26,69.39,68.12,70.27,69.87,548743.0,70.484,3.0987
2015-08-27,71.2,70.95,73.18,72.63,393439.0,70.232,3.9502
2015-08-28,72.14,72.12,73.55,72.71,346830.0,70.378,0.1101
2015-08-31,72.25,70.67,73.03,72.46,266149.0,71.088,-0.3438
2015-09-01,70.65,69.43,71.07,70.03,367544.0,71.54,-3.3536
2015-09-02,70.99,69.2,71.04,70.3,280495.0,71.626,0.3855
2015-09-03,71.09,70.67,71.79,71.26,246609.0,71.352,1.3656
2015-09-04,69.66,69.34,70.5,69.53,483154.0,70.716,-2.4277
2015-09-08,71.01,70.31,71.67,71.32,285237.0,70.488,2.5744
2015-09-09,72.65,70.34,73.07,70.43,247724.0,70.568,-1.2479
2015-09-10,69.94,69.84,70.95,70.16,229974.0,70.54,-0.3834
2015-09-11,69.65,69.1,69.99,69.88,280845.0,70.264,-0.3991
2015-09-14,69.8,68.51,69.83,69.09,145821.0,70.176,-1.1305
2015-09-15,69.33,69.1,70.25,70.17,245306.0,69.946,1.5632
2015-09-16,70.01,70.01,71.54,71.34,210211.0,70.128,1.6674
2015-09-17,71.13,70.56,72.2,70.73,187820.0,70.242,-0.8551
2015-09-18,69.73,68.72,70.15,69.25,730532.0,70.116,-2.0925
2015-09-21,69.69,69.52,71.14,70.92,239916.0,70.482,2.4116
2015-09-22,69.52,68.71,69.89,69.46,342733.0,70.34,-2.0587
2015-09-23,69.62,67.7,69.69,67.81,276769.0,69.634,-2.3755
2015-09-24,66.93,65.13,67.65,67.35,338911.0,68.958,-0.6784
2015-09-25,67.88,66.16,68.15,66.6,372404.0,68.428,-1.1136
2015-09-28,65.93,63.24,66.17,63.3,505805.0,66.904,-4.955
2015-09-29,63.58,62.86,64.22,63.43,361737.0,65.698,0.2054
2015-09-30,64.12,63.92,65.61,64.72,473545.0,65.08,2.0337
2015-10-01,65.13,64.35,65.72,65.5,286019.0,64.71,1.2052
2015-10-02,64.32,63.94,66.48,66.33,365736.0,64.656,1.2672
2015-10-05,67.02,66.81,68.7,68.41,271561.0,65.678,3.1358
2015-10-06,68.63,68.53,70.14,69.98,282950.0,66.988,2.295
2015-10-07,70.28,69.68,71.37,70.46,289792.0,68.136,0.6859
2015-10-08,70.4,70.37,71.79,71.5,174299.0,69.336,1.476
2015-10-09,72.06,70.02,72.1,70.82,228895.0,70.234,-0.951
2015-10-12,70.93,70.15,71.2,71.01,154045.0,70.754,0.2683
2015-10-13,70.23,69.78,71.62,70.89,183620.0,70.936,-0.169
2015-10-14,70.03,69.83,71.04,70.61,435876.0,70.966,-0.395
2015-10-15,70.77,68.78,70.93,69.93,354137.0,70.652,-0.963
2015-10-16,70.27,68.47,70.77,69.02,390899.0,70.292,-1.3013
2015-10-19,68.51,68.0,69.06,68.99,374810.0,69.888,-0.0435
2015-10-20,68.98,68.66,71.03,69.94,266276.0,69.698,1.377
2015-10-21,70.31,68.92,70.55,69.02,173828.0,69.38,-1.3154
2015-10-22,70.29,69.96,71.8,71.39,241664.0,69.672,3.4338
2015-10-23,71.94,71.41,73.2,72.8,411435.0,70.428,1.9751
2015-10-26,72.73,71.6,72.8,71.68,165944.0,70.966,-1.5385
2015-10-27,71.13,70.8,72.31,72.17,338522.0,71.412,0.6836
2015-10-28,72.14,71.9,73.71,73.68,219165.0,72.344,2.0923
2015-10-29,73.14,72.64,73.82,73.71,256612.0,72.808,0.0407
2015-10-30,72.64,71.04,72.82,72.17,386852.0,72.682,-2.0893
2015-11-02,72.19,71.5,72.75,72.2,285066.0,72.786,0.0416
2015-11-03,72.02,72.02,73.26,72.69,271310.0,72.89,0.6787
2015-11-04,72.92,71.21,73.08,71.29,244715.0,72.412,-1.926
2015-11-05,71.1,70.0,71.35,70.66,252883.0,71.802,-0.8837
2015-11-06,70.2,70.0,71.19,71.1,177897.0,71.588,0.6227
2015-11-09,70.96,69.0,71.08,69.26,244443.0,71.0,-2.5879
2015-11-10,69.11,67.83,69.5,68.62,325239.0,70.186,-0.9241
2015-11-11,68.64,66.84,68.78,67.41,188942.0,69.41,-1.7633
2015-11-12,66.74,66.01,67.83,67.42,317139.0,68.762,0.0148
2015-11-13,67.59,67.04,68.93,68.6,309038.0,68.262,1.7502
2015-11-16,68.6,68.42,69.65,69.61,197898.0,68.332,1.4723
2015-11-17,69.52,69.16,70.57,69.6,259040.0,68.528,-0.0144
2015-11-18,69.85,69.78,71.69,71.62,254089.0,69.37,2.9023
2015-11-19,71.5,70.57,72.08,70.9,158380.0,70.066,-1.0053
2015-11-20,71.09,70.8,71.61,71.22,237525.0,70.59,0.4513
2015-11-23,71.14,71.04,71.84,71.38,224108.0,70.944,0.2247
2015-11-24,71.19,70.76,72.35,72.17,228224.0,71.458,1.1068
2015-11-25,72.03,70.72,72.21,70.93,166569.0,71.32,-1.7182
2015-11-27,70.79,70.53,71.66,71.26,70489.0,71.392,0.4652
2015-11-30,71.3,71.3,72.72,72.65,338185.0,71.678,1.9506
2015-12-01,72.81,71.9,72.94,72.54,361236.0,71.91,-0.1514
2015-12-02,72.0,71.39,72.87,71.78,196255.0,71.832,-1.0477
2015-12-03,71.91,70.96,72.46,71.14,307237.0,71.874,-0.8916
2015-12-04,71.18,71.18,73.72,73.31,404840.0,72.284,3.0503
2015-12-07,72.75,70.35,72.75,70.9,338074.0,71.934,-3.2874
2015-12-08,69.72,68.78,70.47,68.91,335770.0,71.208,-2.8068
2015-12-09,68.4,68.4,71.39,70.89,429617.0,71.03,2.8733
2015-12-10,70.29,69.26,70.41,69.41,292375.0,70.684,-2.0877
2015-12-11,67.94,67.34,69.18,67.47,322578.0,69.516,-2.795
2015-12-14,67.09,65.9,67.52,66.7,298769.0,68.676,-1.1412
2015-12-15,67.5,66.62,67.96,67.22,392596.0,68.338,0.7796
2015-12-16,67.55,66.95,68.53,68.52,346020.0,67.864,1.9339
2015-12-17,68.38,66.77,68.49,66.8,255613.0,67.342,-2.5102
2015-12-18,66.37,66.17,67.89,66.56,950867.0,67.16,-0.3593
2015-12-21,66.84,66.32,67.73,66.74,267936.0,67.168,0.2704
2015-12-22,66.99,66.53,68.14,67.5,242269.0,67.224,1.1387
2015-12-23,68.16,67.5,69.27,69.25,238291.0,67.37,2.5926
2015-12-24,69.13,68.8,69.42,68.91,83629.0,67.792,-0.491
2015-12-28,68.4,67.72,68.55,68.21,107040.0,68.122,-1.0158
2015-12-29,68.79,68.49,69.38,69.07,147098.0,68.588,1.2608
2015-12-30,68.42,67.67,68.7,67.8,179345.0,68.648,-1.8387
2015-12-31,67.45,67.32,68.24,67.51,135874.0,68.3,-0.4277
2016-01-04,66.38,65.13,66.66,66.63,409021.0,67.844,-1.3035
2016-01-05,67.46,66.17,67.62,67.11,314649.0,67.624,0.7204
2016-01-06,65.8,65.18,66.72,65.81,346585.0,66.972,-1.9371
2016-01-07,64.51,64.14,65.74,64.74,313666.0,66.36,-1.6259
2016-01-08,64.97,63.48,65.69,63.66,317703.0,65.59,-1.6682
2016-01-11,64.08,61.75,64.08,62.25,252948.0,64.714,-2.2149
