date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,22.31,22.25,23.1,22.82,27219.0,22.224,2.5157
2015-01-05,22.74,22.41,22.99,22.43,40819.0,22.332,-1.709
2015-01-06,22.43,20.17,22.43,21.25,73896.0,22.196,-5.2608
2015-01-07,21.48,20.86,21.63,21.41,23447.0,22.034,0.7529
2015-01-08,21.51,21.22,21.73,21.51,19553.0,21.884,0.4671
2015-01-09,21.45,20.91,21.45,20.93,19885.0,21.506,-2.6964
2015-01-12,20.94,19.54,20.94,19.89,66510.0,20.998,-4.9689
2015-01-13,19.99,19.84,20.42,20.1,51049.0,20.768,1.0558
2015-01-14,19.94,19.76,20.66,20.19,69929.0,20.524,0.4478
2015-01-15,20.18,19.97,20.65,20.2,26194.0,20.262,0.0495
2015-01-16,20.08,20.08,21.12,20.56,31613.0,20.188,1.7822
2015-01-20,20.56,19.92,20.62,20.21,26399.0,20.252,-1.7023
2015-01-21,20.1,18.99,20.23,19.17,45133.0,20.066,-5.146
2015-01-22,19.31,19.11,19.66,19.41,29203.0,19.91,1.252
2015-01-23,19.44,19.3,19.87,19.74,19898.0,19.818,1.7002
2015-01-26,19.65,19.59,20.3,20.15,66229.0,19.736,2.077
2015-01-27,20.0,19.85,20.17,19.92,15785.0,19.678,-1.1414
2015-01-28,20.0,18.4,20.0,19.0,39778.0,19.644,-4.6185
2015-01-29,18.96,18.81,19.52,19.07,41510.0,19.576,0.3684
2015-01-30,19.0,18.68,19.34,19.25,97493.0,19.478,0.9439
2015-02-02,19.33,19.33,20.11,20.05,45289.0,19.458,4.1558
2015-02-03,20.0,19.99,20.87,20.56,58269.0,19.586,2.5436
2015-02-04,21.86,21.86,22.92,22.14,78140.0,20.214,7.6848
2015-02-05,22.26,22.09,22.31,22.2,55511.0,20.84,0.271
2015-02-06,22.27,21.8,22.36,21.87,103130.0,21.364,-1.4865
2015-02-09,21.74,21.42,21.99,21.81,43136.0,21.716,-0.2743
2015-02-10,21.88,21.75,22.12,21.99,41723.0,22.002,0.8253
2015-02-11,21.91,21.9,22.15,21.99,30382.0,21.972,0.0
2015-02-12,22.07,21.88,22.13,21.95,26946.0,21.922,-0.1819
2015-02-13,22.0,21.87,22.33,22.3,16382.0,22.008,1.5945
2015-02-17,22.3,22.16,22.32,22.16,15891.0,22.078,-0.6278
2015-02-18,22.23,22.18,22.29,22.21,39559.0,22.122,0.2256
2015-02-19,22.19,22.18,23.15,22.89,58308.0,22.302,3.0617
2015-02-20,22.91,22.85,23.3,23.25,39756.0,22.562,1.5727
2015-02-23,23.25,22.9,23.29,23.29,31221.0,22.76,0.172
2015-02-24,23.32,22.94,23.41,23.06,27925.0,22.94,-0.9875
2015-02-25,23.01,22.88,23.34,23.34,14566.0,23.166,1.2142
