date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2018-04-25,39.49,39.15,39.49,39.15,300.0,,
2018-04-26,38.85,38.85,38.85,38.85,,,-0.7663
2018-04-27,38.74,38.74,38.74,38.74,,,-0.2831
2018-04-30,38.07,38.07,38.07,38.07,,,-1.7295
2018-05-01,38.3,38.3,38.3,38.3,,38.622,0.6042
2018-05-02,38.77,38.77,38.77,38.77,100.0,38.546,1.2272
2018-05-03,38.44,38.44,38.44,38.44,,38.464,-0.8512
2018-05-04,39.11,39.11,39.11,39.11,,38.538,1.743
2018-05-07,39.21,39.21,39.21,39.21,,38.766,0.2557
2018-05-08,39.43,39.43,39.43,39.43,,38.992,0.5611
2018-05-09,39.49,39.49,39.66,39.66,200.0,39.17,0.5833
2018-05-10,39.58,39.58,39.58,39.58,,39.398,-0.2017
2018-05-11,39.54,39.54,39.54,39.54,,39.484,-0.1011
2018-05-14,39.34,39.34,39.34,39.34,97.0,39.51,-0.5058
2018-05-15,39.53,39.53,39.53,39.53,,39.53,0.483
2018-05-16,40.18,40.18,40.18,40.18,,39.634,1.6443
2018-05-17,40.25,40.12,40.25,40.12,200.0,39.742,-0.1493
2018-05-18,40.2,39.74,40.2,39.74,137.0,39.782,-0.9472
2018-05-21,40.2,40.2,40.2,40.2,,39.954,1.1575
2018-05-22,40.4,40.4,40.4,40.4,,40.128,0.4975
2018-05-23,40.38,40.38,40.38,40.38,,40.168,-0.0495
2018-05-24,40.13,40.13,40.13,40.13,,40.17,-0.6191
2018-05-25,40.63,40.63,40.63,40.63,,40.348,1.246
2018-05-29,40.11,40.11,40.11,40.11,,40.33,-1.2798
2018-05-30,40.2,40.2,40.2,40.2,100.0,40.29,0.2244
2018-05-31,39.85,39.81,39.9,39.81,384.0,40.176,-0.9701
2018-06-01,40.19,40.19,40.19,40.19,,40.188,0.9545
2018-06-04,40.38,40.38,40.47,40.47,100.0,40.156,0.6967
2018-06-05,40.28,40.28,40.28,40.28,,40.19,-0.4695
2018-06-06,41.1,40.65,41.1,40.65,400.0,40.28,0.9186
2018-06-07,40.89,40.89,40.97,40.97,213.0,40.512,0.7872
2018-06-08,41.0,40.98,41.21,40.98,1200.0,40.67,0.0244
2018-06-11,40.85,40.77,40.94,40.77,220.0,40.73,-0.5124
2018-06-12,40.86,40.33,40.86,40.41,692.0,40.756,-0.883
2018-06-13,41.99,41.68,41.99,41.68,342.0,40.962,3.1428
2018-06-14,41.33,41.21,41.35,41.21,557.0,41.01,-1.1276
2018-06-15,41.75,41.75,42.66,42.66,879.0,41.346,3.5186
2018-06-18,43.71,43.71,43.71,43.71,,41.934,2.4613
2018-06-19,43.72,43.72,44.07,43.87,390.0,42.626,0.366
2018-06-20,43.87,43.79,44.01,43.81,576.0,43.052,-0.1368
2018-06-21,43.83,43.03,43.83,43.12,907.0,43.434,-1.575
2018-06-22,43.31,42.51,43.31,43.0,996.0,43.502,-0.2783
2018-06-25,42.68,42.68,43.21,43.21,442.0,43.402,0.4884
2018-06-26,42.97,42.97,43.07,43.05,634.0,43.238,-0.3703
2018-06-27,43.09,42.03,43.09,42.03,2006.0,42.882,-2.3693
2018-06-28,42.01,41.88,42.01,41.88,741.0,42.634,-0.3569
2018-06-29,41.93,41.43,42.17,41.45,1439.0,42.324,-1.0267
2018-07-02,41.29,41.29,42.24,42.24,1446.0,42.13,1.9059
2018-07-03,42.6,42.28,42.6,42.28,501.0,41.976,0.0947
2018-07-05,42.04,42.04,42.56,42.54,1149.0,42.078,0.6149
2018-07-06,42.59,42.59,42.66,42.66,572.0,42.234,0.2821
2018-07-09,43.45,43.45,43.45,43.45,165.0,42.634,1.8519
2018-07-10,43.64,42.88,43.64,43.16,1726.0,42.818,-0.6674
2018-07-11,43.16,42.95,43.27,42.95,1340.0,42.952,-0.4866
2018-07-12,42.82,42.31,42.82,42.65,1742.0,42.974,-0.6985
2018-07-13,42.45,42.14,43.2,42.14,400.0,42.87,-1.1958
2018-07-16,42.41,42.41,42.86,42.86,501.0,42.752,1.7086
2018-07-17,42.75,42.75,42.75,42.75,16.0,42.67,-0.2566
