date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2021-06-01,11.0,11.0,11.0,11.0,50.0,,
2021-06-02,10.85,10.5,10.85,10.5,11.0,,-4.5455
2021-06-03,10.6,10.4,10.6,10.4,3096.0,,-0.9524
2021-06-04,10.25,10.25,10.39,10.39,2001.0,,-0.0962
2021-06-07,11.03,10.4,11.03,10.4,931.0,10.538,0.0962
2021-06-08,10.4,10.35,10.45,10.45,1563.0,10.428,0.4808
2021-06-09,10.31,10.16,10.34,10.2,6033.0,10.368,-2.3923
2021-06-10,10.16,10.11,10.48,10.26,6071.0,10.34,0.5882
2021-06-11,10.18,10.18,10.3,10.2,6328.0,10.302,-0.5848
2021-06-14,10.19,10.09,10.19,10.19,25978.0,10.26,-0.098
2021-06-15,10.11,10.11,10.18,10.12,20229.0,10.194,-0.6869
2021-06-16,10.13,10.13,10.18,10.15,2243.0,10.184,0.2964
2021-06-17,10.13,10.13,10.25,10.21,1784.0,10.174,0.5911
2021-06-18,10.18,10.18,10.26,10.21,10910.0,10.176,0.0
2021-06-21,10.19,10.15,10.19,10.17,6616.0,10.172,-0.3918
2021-06-22,10.15,10.15,10.21,10.21,21624.0,10.19,0.3933
2021-06-23,10.16,10.09,10.25,10.25,1260.0,10.21,0.3918
2021-06-24,10.21,10.15,10.21,10.175,2532.0,10.203,-0.7317
2021-06-25,10.09,10.09,10.49,10.49,57145.0,10.259,3.0958
2021-06-28,10.38,10.23,10.59,10.32,38747.0,10.289,-1.6206
2021-06-29,10.32,10.31,10.36,10.31,4223.0,10.309,-0.0969
2021-06-30,10.27,10.27,10.39,10.31,5760.0,10.321,0.0
2021-07-01,10.33,10.33,10.385,10.37,4469.0,10.36,0.582
2021-07-02,10.4,10.3,10.4,10.335,2612.0,10.329,-0.3375
2021-07-06,10.23,10.23,10.3,10.28,3687.0,10.321,-0.5322
2021-07-07,10.24,10.24,10.46,10.37,1706.0,10.333,0.8755
2021-07-08,10.33,10.09,10.33,10.205,9796.0,10.312,-1.5911
2021-07-09,10.33,10.3,10.4,10.4,3724.0,10.318,1.9108
2021-07-12,10.26,10.25,10.34,10.34,26946.0,10.319,-0.5769
2021-07-13,10.28,10.15,10.28,10.25,8177.0,10.313,-0.8704
2021-07-14,10.25,10.15,10.25,10.15,816.0,10.269,-0.9756
2021-07-15,10.11,10.11,10.17,10.17,1478.0,10.262,0.197
2021-07-16,10.13,10.1,10.15,10.15,9303.0,10.212,-0.1967
2021-07-19,10.06,10.05,10.14,10.1,11892.0,10.164,-0.4926
2021-07-20,10.08,10.08,10.09,10.09,515.0,10.132,-0.099
2021-07-21,10.03,10.03,10.16,10.13,2797.0,10.128,0.3964
2021-07-22,10.25,10.09,10.25,10.09,828.0,10.112,-0.3949
2021-07-23,10.19,10.18,10.27,10.27,1933.0,10.136,1.7839
2021-07-26,10.18,10.14,10.18,10.14,1519.0,10.144,-1.2658
2021-07-27,10.13,10.08,10.15,10.08,1126.0,10.142,-0.5917
