date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,24.06,23.245,24.06,23.47,9940.0,23.346,-2.0246
2015-01-05,23.415,22.41,23.415,22.775,23508.0,23.316,-2.9612
2015-01-06,22.795,22.65,23.0,22.835,19284.0,23.24,0.2634
2015-01-07,22.94,22.81,23.2,23.2,10436.0,23.247,1.5984
2015-01-08,23.165,22.775,23.24,23.22,12676.0,23.1,0.0862
2015-01-09,23.055,22.815,23.195,22.815,8500.0,22.969,-1.7442
2015-01-12,22.87,22.675,22.87,22.84,6532.0,22.982,0.1096
2015-01-13,23.025,22.655,23.025,22.75,7718.0,22.965,-0.394
2015-01-14,22.575,22.355,22.7,22.36,5512.0,22.797,-1.7143
2015-01-15,22.395,22.16,22.845,22.33,12680.0,22.619,-0.1342
2015-01-16,22.285,22.15,22.41,22.41,7142.0,22.538,0.3583
2015-01-20,22.285,22.255,22.425,22.255,6548.0,22.421,-0.6917
2015-01-21,22.38,22.215,22.425,22.215,5462.0,22.314,-0.1797
2015-01-22,22.415,22.275,22.42,22.415,4686.0,22.325,0.9003
2015-01-23,22.285,22.26,22.465,22.455,4886.0,22.35,0.1785
2015-01-26,22.285,22.285,22.5,22.495,4502.0,22.367,0.1781
2015-01-27,22.32,22.2,22.32,22.25,5500.0,22.366,-1.0891
2015-01-28,22.375,21.945,22.475,21.955,10200.0,22.314,-1.3258
2015-01-29,21.805,21.805,22.33,22.2,4824.0,22.271,1.1159
2015-01-30,21.88,21.88,22.445,21.885,7416.0,22.157,-1.4189
2015-02-02,21.915,21.375,21.915,21.415,18582.0,21.941,-2.1476
2015-02-03,21.58,21.58,22.145,22.145,8366.0,21.92,3.4088
2015-02-04,22.285,22.105,22.285,22.23,5172.0,21.975,0.3838
2015-02-05,22.41,22.075,22.41,22.215,4334.0,21.978,-0.0675
2015-02-06,22.135,22.03,22.25,22.065,6638.0,22.014,-0.6752
2015-02-09,22.12,22.12,22.44,22.34,8322.0,22.199,1.2463
2015-02-10,22.41,22.375,22.5,22.38,8216.0,22.246,0.1791
2015-02-11,22.315,22.315,22.575,22.495,3932.0,22.299,0.5139
2015-02-12,22.675,22.64,23.125,23.065,11216.0,22.469,2.5339
2015-02-13,23.145,23.125,23.425,23.3,8060.0,22.716,1.0189
2015-02-17,23.3,23.26,23.3,23.295,4118.0,22.907,-0.0215
2015-02-18,23.21,23.21,23.31,23.31,3194.0,23.093,0.0644
2015-02-19,23.265,23.185,23.49,23.465,10088.0,23.287,0.665
2015-02-20,23.5,23.4,23.5,23.5,16994.0,23.374,0.1492
2015-02-23,23.425,23.325,23.485,23.46,7674.0,23.406,-0.1702
2015-02-24,23.495,23.48,23.5,23.5,8864.0,23.447,0.1705
2015-02-25,23.45,23.33,23.45,23.33,2510.0,23.451,-0.7234
2015-02-26,23.28,23.255,23.295,23.295,2918.0,23.417,-0.15
2015-02-27,23.285,23.25,23.295,23.25,5884.0,23.367,-0.1932
2015-03-02,23.285,23.25,23.365,23.365,4878.0,23.348,0.4946
2015-03-03,23.265,23.19,23.35,23.27,5636.0,23.302,-0.4066
2015-03-04,23.175,22.885,23.3,22.965,7424.0,23.229,-1.3107
2015-03-05,23.165,22.54,23.165,22.79,4854.0,23.128,-0.762
2015-03-06,22.625,22.5,22.765,22.61,8800.0,23.0,-0.7898
2015-03-09,22.16,22.16,22.97,22.96,4030.0,22.919,1.548
2015-03-10,22.965,22.75,22.965,22.76,4224.0,22.817,-0.8711
2015-03-11,22.715,22.695,22.835,22.725,6322.0,22.769,-0.1538
2015-03-12,22.85,22.59,23.125,23.12,16328.0,22.835,1.7382
2015-03-13,23.125,22.82,23.125,22.935,2914.0,22.9,-0.8002
2015-03-16,20.86,20.435,22.975,22.975,5908.0,22.903,0.1744
2015-03-17,22.8,22.71,22.96,22.96,2916.0,22.943,-0.0653
2015-03-18,22.935,22.73,23.0,22.73,5098.0,22.944,-1.0017
2015-03-19,22.665,22.5,22.855,22.855,5976.0,22.891,0.5499
2015-03-20,22.87,22.535,22.87,22.535,21042.0,22.811,-1.4001
2015-03-23,22.51,22.51,22.805,22.65,3718.0,22.746,0.5103
2015-03-24,22.62,22.475,22.805,22.64,3304.0,22.682,-0.0442
2015-03-25,22.655,22.41,22.655,22.415,5716.0,22.619,-0.9938
2015-03-26,22.535,22.51,22.58,22.51,4976.0,22.55,0.4238
2015-03-27,22.485,22.01,22.485,22.01,5102.0,22.445,-2.2212
2015-03-30,22.095,22.095,22.9,22.275,5936.0,22.37,1.204
2015-03-31,22.11,21.415,22.11,21.62,81234.0,22.166,-2.9405
2015-04-01,21.63,21.63,22.455,22.42,7282.0,22.167,3.7003
2015-04-02,22.49,22.29,22.495,22.36,4000.0,22.137,-0.2676
2015-04-06,22.345,22.07,22.505,22.505,6860.0,22.236,0.6485
2015-04-07,22.525,22.305,22.67,22.625,4226.0,22.306,0.5332
2015-04-08,22.72,22.26,22.72,22.305,7724.0,22.443,-1.4144
2015-04-09,22.43,22.055,22.44,22.44,2388.0,22.447,0.6052
2015-04-10,22.32,22.2,22.595,22.495,6696.0,22.474,0.2451
2015-04-13,22.5,22.5,22.57,22.57,2638.0,22.487,0.3334
2015-04-14,22.705,22.505,22.705,22.505,2638.0,22.463,-0.288
2015-04-15,22.365,22.195,22.42,22.42,4300.0,22.486,-0.3777
2015-04-16,22.285,22.205,22.435,22.205,2122.0,22.439,-0.959
2015-04-17,22.09,21.805,22.09,21.805,5964.0,22.301,-1.8014
2015-04-20,21.875,21.755,21.9,21.9,4702.0,22.167,0.4357
2015-04-21,21.77,21.77,22.0,21.975,10764.0,22.061,0.3425
2015-04-22,21.85,21.75,21.88,21.795,2534.0,21.936,-0.8191
2015-04-23,21.71,21.45,21.71,21.645,37286.0,21.824,-0.6882
2015-04-24,22.0,22.0,22.865,22.865,18626.0,22.036,5.6364
2015-04-27,23.0,22.975,23.25,23.25,18630.0,22.306,1.6838
2015-04-28,23.115,23.115,23.5,23.5,12804.0,22.611,1.0753
2015-04-29,23.495,23.005,23.495,23.03,7478.0,22.858,-2.0
2015-04-30,22.92,22.56,22.95,22.71,9806.0,23.071,-1.3895
2015-05-01,22.725,22.725,23.255,22.81,8738.0,23.06,0.4403
2015-05-04,22.775,22.625,22.95,22.95,5400.0,23.0,0.6138
2015-05-05,22.67,22.27,22.67,22.545,8852.0,22.809,-1.7647
2015-05-06,22.605,21.51,22.605,22.145,9908.0,22.632,-1.7742
2015-05-07,22.175,21.875,22.175,21.88,5320.0,22.466,-1.1967
2015-05-08,22.18,21.58,22.18,22.02,8864.0,22.308,0.6399
2015-05-11,22.055,21.75,22.055,21.85,3370.0,22.088,-0.772
2015-05-12,21.97,21.53,21.97,21.845,5992.0,21.948,-0.0229
2015-05-13,21.54,21.54,21.815,21.765,1738.0,21.872,-0.3662
2015-05-14,21.77,21.77,21.995,21.88,4594.0,21.872,0.5284
2015-05-15,21.905,21.855,22.005,21.875,5226.0,21.843,-0.0229
2015-05-18,21.875,21.875,22.005,21.9,2574.0,21.853,0.1143
2015-05-19,21.93,21.915,21.945,21.945,3132.0,21.873,0.2055
2015-05-20,21.945,21.93,22.15,22.15,11204.0,21.95,0.9342
2015-05-21,22.13,21.755,22.13,21.945,41454.0,21.963,-0.9255
2015-05-22,21.935,21.935,22.145,22.12,27010.0,22.012,0.7974
2015-05-26,22.115,22.1,22.425,22.415,11842.0,22.115,1.3336
2015-05-27,22.395,22.24,22.61,22.48,6176.0,22.222,0.29
2015-05-28,22.29,22.29,22.565,22.52,5162.0,22.296,0.1779
2015-05-29,22.62,22.38,22.62,22.39,9714.0,22.385,-0.5773
2015-06-01,22.55,22.47,22.55,22.47,2690.0,22.455,0.3573
2015-06-02,22.275,22.275,22.445,22.37,4294.0,22.446,-0.445
2015-06-03,22.335,22.335,22.475,22.475,5938.0,22.445,0.4694
2015-06-04,22.375,22.375,22.425,22.38,8120.0,22.417,-0.4227
2015-06-05,22.34,22.34,22.57,22.57,6806.0,22.453,0.849
2015-06-08,22.445,22.445,22.515,22.455,6814.0,22.45,-0.5095
2015-06-09,22.53,22.495,22.565,22.505,6096.0,22.477,0.2227
2015-06-10,22.51,22.51,23.15,22.975,12984.0,22.577,2.0884
2015-06-11,22.94,22.815,23.09,22.98,4162.0,22.697,0.0218
2015-06-12,22.975,22.675,23.04,22.68,10104.0,22.719,-1.3055
2015-06-15,22.665,22.665,23.15,22.965,13382.0,22.821,1.2566
2015-06-16,23.035,23.035,23.5,23.395,30140.0,22.999,1.8724
2015-06-17,23.37,23.32,23.5,23.365,18538.0,23.077,-0.1282
2015-06-18,23.475,23.4,23.5,23.48,18004.0,23.177,0.4922
2015-06-19,23.5,22.405,23.5,22.725,111954.0,23.186,-3.2155
2015-06-22,22.675,22.675,22.94,22.91,20004.0,23.175,0.8141
2015-06-23,22.895,22.895,23.39,23.39,14312.0,23.174,2.0952
2015-06-24,23.33,22.935,23.4,23.055,16090.0,23.112,-1.4322
2015-06-25,22.995,22.995,23.395,23.395,9450.0,23.095,1.4747
2015-06-26,23.43,23.355,23.43,23.4,73770.0,23.23,0.0214
2015-06-29,23.28,23.27,23.5,23.27,10544.0,23.302,-0.5556
2015-06-30,23.44,23.3,23.475,23.44,14474.0,23.312,0.7306
2015-07-01,23.4,23.355,23.475,23.475,7090.0,23.396,0.1493
2015-07-02,23.395,23.355,23.44,23.425,7158.0,23.402,-0.213
2015-07-06,23.28,23.275,23.38,23.28,10188.0,23.378,-0.619
2015-07-07,23.255,23.25,23.345,23.25,17146.0,23.374,-0.1289
2015-07-08,23.25,23.25,23.34,23.255,10294.0,23.337,0.0215
2015-07-09,23.41,23.265,23.41,23.295,12720.0,23.301,0.172
2015-07-10,23.335,23.335,23.485,23.485,12034.0,23.313,0.8156
2015-07-13,23.5,23.4,23.525,23.4,8518.0,23.337,-0.3619
2015-07-14,23.265,23.26,23.795,23.595,24448.0,23.406,0.8333
2015-07-15,23.625,23.5,23.625,23.615,9002.0,23.478,0.0848
2015-07-16,23.65,23.615,23.65,23.615,2858.0,23.542,0.0
2015-07-17,23.565,23.565,23.79,23.74,9394.0,23.593,0.5293
2015-07-20,23.69,23.69,23.73,23.73,2702.0,23.659,-0.0421
2015-07-21,23.705,23.5,23.705,23.565,6538.0,23.653,-0.6953
2015-07-22,23.53,23.5,23.545,23.505,9946.0,23.631,-0.2546
2015-07-23,23.5,23.5,23.65,23.65,13306.0,23.638,0.6169
2015-07-24,23.52,20.995,23.52,21.52,66150.0,23.194,-9.0063
2015-07-27,21.3,21.26,21.47,21.305,24934.0,22.709,-0.9991
2015-07-28,21.485,20.645,21.615,21.115,11258.0,22.219,-0.8918
2015-07-29,21.24,21.24,22.2,21.715,9438.0,21.861,2.8416
2015-07-30,21.7,21.625,21.835,21.775,20290.0,21.486,0.2763
2015-07-31,21.785,21.675,21.875,21.875,44894.0,21.557,0.4592
2015-08-03,21.775,21.25,22.025,21.27,18888.0,21.55,-2.7657
2015-08-04,21.285,21.285,21.585,21.485,6570.0,21.624,1.0108
2015-08-05,21.43,21.43,21.855,21.84,8870.0,21.649,1.6523
2015-08-06,21.67,21.67,22.03,21.915,9710.0,21.677,0.3434
2015-08-07,21.865,21.32,21.865,21.32,4800.0,21.566,-2.715
2015-08-10,21.425,21.2,21.495,21.34,15940.0,21.58,0.0938
2015-08-11,21.335,21.28,21.375,21.375,4992.0,21.558,0.164
2015-08-12,21.3,21.285,21.765,21.395,5458.0,21.469,0.0936
2015-08-13,21.375,21.375,21.81,21.57,4618.0,21.4,0.8179
2015-08-14,21.45,21.45,22.11,21.975,14362.0,21.531,1.8776
2015-08-17,21.98,21.98,22.195,22.035,14512.0,21.67,0.273
2015-08-18,22.075,22.0,22.075,22.015,15422.0,21.798,-0.0908
2015-08-19,21.93,21.93,22.12,22.0,18250.0,21.919,-0.0681
2015-08-20,21.88,21.875,22.025,21.905,17538.0,21.986,-0.4318
2015-08-21,21.73,21.73,22.115,22.02,23060.0,21.995,0.525
2015-08-24,21.8,21.75,22.415,21.75,27102.0,21.938,-1.2262
2015-08-25,22.25,21.525,22.25,21.63,16086.0,21.861,-0.5517
2015-08-26,21.955,21.93,22.1,22.1,16066.0,21.881,2.1729
2015-08-27,22.125,21.875,22.405,21.985,19990.0,21.897,-0.5204
2015-08-28,21.98,21.875,22.05,22.05,23696.0,21.903,0.2957
2015-08-31,23.15,22.25,23.15,22.43,25154.0,22.039,1.7234
2015-09-01,22.15,22.0,22.45,22.06,17761.0,22.125,-1.6496
2015-09-02,22.26,22.26,22.63,22.61,34727.0,22.227,2.4932
2015-09-03,22.64,22.35,22.64,22.5,20371.0,22.33,-0.4865
2015-09-04,22.36,22.32,22.58,22.32,18495.0,22.384,-0.8
2015-09-08,22.69,22.66,23.04,23.0,25119.0,22.498,3.0466
2015-09-09,23.04,22.98,23.2,23.05,13804.0,22.696,0.2174
2015-09-10,23.0,22.92,23.09,23.03,3908.0,22.78,-0.0868
2015-09-11,23.0,22.98,23.09,23.04,5866.0,22.888,0.0434
2015-09-14,23.01,22.83,23.05,23.03,5867.0,23.03,-0.0434
2015-09-15,22.95,22.95,23.25,23.03,5150.0,23.036,0.0
2015-09-16,22.94,22.81,23.18,23.02,7068.0,23.03,-0.0434
2015-09-17,22.9,22.68,23.25,22.87,15957.0,22.998,-0.6516
2015-09-18,22.6,22.09,22.84,22.84,21498.0,22.958,-0.1312
2015-09-21,23.02,23.0,23.29,23.18,13564.0,22.988,1.4886
2015-09-22,23.01,23.01,23.23,23.06,6882.0,22.994,-0.5177
2015-09-23,23.03,23.03,23.29,23.21,4522.0,23.032,0.6505
2015-09-24,23.2,23.2,23.92,23.8,5025.0,23.218,2.542
2015-09-25,23.9,23.33,23.9,23.33,7382.0,23.316,-1.9748
2015-09-28,23.41,23.0,23.41,23.0,12987.0,23.28,-1.4145
2015-09-29,23.11,22.84,23.16,22.97,14570.0,23.262,-0.1304
2015-09-30,23.07,22.71,23.57,23.52,16736.0,23.324,2.3944
2015-10-01,23.58,22.96,23.7,23.04,6890.0,23.172,-2.0408
2015-10-02,22.99,22.15,22.99,22.46,10112.0,22.998,-2.5174
2015-10-05,22.6,22.6,23.09,22.85,7120.0,22.968,1.7364
2015-10-06,22.88,22.37,22.88,22.53,7400.0,22.88,-1.4004
2015-10-07,22.49,22.49,23.0,23.0,5300.0,22.776,2.0861
2015-10-08,22.95,22.79,23.09,23.09,7191.0,22.786,0.3913
2015-10-09,23.05,22.85,23.14,23.07,9347.0,22.908,-0.0866
2015-10-12,23.02,23.02,23.4,23.4,6612.0,23.018,1.4304
2015-10-13,23.32,23.15,23.61,23.51,6040.0,23.214,0.4701
2015-10-14,23.45,23.16,23.45,23.16,5086.0,23.246,-1.4887
2015-10-15,23.12,22.9,23.8,23.79,11083.0,23.386,2.7202
2015-10-16,23.82,23.17,23.82,23.61,9458.0,23.494,-0.7566
2015-10-19,23.48,23.21,23.76,23.66,6788.0,23.546,0.2118
2015-10-20,23.57,23.32,23.99,23.96,5630.0,23.636,1.268
2015-10-21,24.0,23.6,24.13,23.71,8142.0,23.746,-1.0434
2015-10-22,22.86,22.86,24.68,24.4,8937.0,23.868,2.9102
2015-10-23,24.57,24.57,25.89,25.35,24014.0,24.216,3.8934
2015-10-26,25.49,25.35,25.93,25.92,7012.0,24.668,2.2485
