date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,221.7618,214.5617,228.2418,227.5218,3568.0,228.0978,2.5974
2015-01-05,226.0818,216.7217,228.9618,220.3218,3392.0,225.7938,-3.1646
2015-01-06,218.8818,203.0416,220.3218,208.8017,6008.0,221.4738,-5.2288
2015-01-07,208.8017,203.0416,212.4017,207.3617,2526.0,217.1537,-0.6897
2015-01-08,208.8017,205.9216,212.4017,211.6817,2036.0,215.1377,2.0833
2015-01-09,213.1217,205.9216,213.1217,205.9216,2279.0,210.8177,-2.7211
2015-01-12,204.4816,195.8416,210.2417,201.6016,4898.0,207.0737,-2.0979
2015-01-13,201.6016,192.2415,205.2016,195.8416,3879.0,204.4816,-2.8571
2015-01-14,191.5215,177.1214,194.4016,180.7214,8797.0,199.1536,-7.7206
2015-01-15,185.7615,151.2012,187.2015,158.4013,11182.0,188.4975,-12.3506
2015-01-16,164.1613,153.3612,165.6013,163.4413,6687.0,180.0014,3.1818
2015-01-20,168.4813,155.5212,168.4813,156.9613,5755.0,171.0734,-3.9648
2015-01-21,156.9613,156.9613,164.1613,161.2813,3130.0,164.1613,2.7523
2015-01-22,162.7213,155.5212,165.6013,161.2813,8638.0,160.2733,0.0
2015-01-23,164.1613,159.8413,164.1613,161.2813,2082.0,160.8493,0.0
2015-01-26,167.0413,166.3213,185.7615,182.8815,6451.0,164.7373,13.3929
2015-01-27,182.8815,180.0014,198.0016,192.9615,5835.0,171.9374,5.5118
2015-01-28,195.8416,175.6814,195.8416,178.5614,7996.0,175.3934,-7.4627
2015-01-29,178.5614,168.4813,180.0014,178.5614,4028.0,178.8494,0.0
2015-01-30,175.6814,172.8014,180.0014,172.8014,2909.0,181.1534,-3.2258
2015-02-02,172.8014,164.1613,175.6814,169.9214,4517.0,178.5614,-1.6667
2015-02-03,171.3614,171.3614,181.4415,181.4415,3545.0,176.2574,6.7797
2015-02-04,177.1214,176.4014,180.0014,177.1214,1488.0,175.9694,-2.381
2015-02-05,178.5614,177.1214,180.0014,180.0014,1818.0,176.2574,1.626
2015-02-06,180.0014,177.1214,182.8815,178.5614,2494.0,177.4094,-0.8
2015-02-09,178.5614,177.1214,180.7214,178.5614,1741.0,179.1374,0.0
2015-02-10,180.0014,178.5614,182.8815,182.8815,2224.0,179.4254,2.4194
