date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,13.02,12.55,13.17,12.97,35188.0,13.08,-0.384
2015-01-05,12.86,12.19,12.86,12.4,21102.0,12.956,-4.3948
2015-01-06,12.43,11.94,12.51,12.06,37308.0,12.742,-2.7419
2015-01-07,12.14,11.92,12.25,12.06,22731.0,12.502,0.0
2015-01-08,12.19,12.19,12.48,12.34,30554.0,12.366,2.3217
2015-01-09,12.39,12.01,12.39,12.08,19392.0,12.188,-2.107
2015-01-12,12.12,11.82,12.17,11.97,17798.0,12.102,-0.9106
2015-01-13,12.08,11.78,12.34,12.04,31363.0,12.098,0.5848
2015-01-14,11.87,11.68,12.1,12.03,18159.0,12.092,-0.0831
2015-01-15,12.13,11.72,12.2,11.82,28019.0,11.988,-1.7456
2015-01-16,11.76,11.56,12.05,11.79,36871.0,11.93,-0.2538
2015-01-20,11.6,11.3,11.73,11.5,46347.0,11.836,-2.4597
2015-01-21,11.44,11.42,11.71,11.48,18953.0,11.724,-0.1739
2015-01-22,11.58,11.45,11.97,11.9,24428.0,11.698,3.6585
2015-01-23,11.9,11.59,11.9,11.62,15979.0,11.658,-2.3529
2015-01-26,11.58,11.31,11.67,11.49,34109.0,11.598,-1.1188
2015-01-27,11.32,11.32,11.59,11.54,13490.0,11.606,0.4352
2015-01-28,11.56,11.02,11.56,11.04,24894.0,11.518,-4.3328
2015-01-29,11.02,10.96,11.42,11.34,35041.0,11.406,2.7174
2015-01-30,11.22,10.97,11.22,10.99,25045.0,11.28,-3.0864
2015-02-02,11.01,10.91,11.32,11.27,22428.0,11.236,2.5478
2015-02-03,11.42,11.42,11.75,11.57,30107.0,11.242,2.6619
2015-02-04,11.39,11.23,11.51,11.42,22998.0,11.318,-1.2965
2015-02-05,11.44,11.44,11.8,11.76,21329.0,11.402,2.9772
2015-02-06,11.82,11.7,11.89,11.86,39526.0,11.576,0.8503
2015-02-09,11.86,11.75,12.04,11.77,17969.0,11.676,-0.7589
2015-02-10,12.01,11.66,12.01,11.76,29272.0,11.714,-0.085
2015-02-11,11.7,11.6,11.9,11.83,15607.0,11.796,0.5952
2015-02-12,11.89,11.59,11.89,11.69,19119.0,11.782,-1.1834
2015-02-13,11.72,11.66,12.12,12.1,32233.0,11.83,3.5073
2015-02-17,12.1,12.06,12.41,12.33,27450.0,11.942,1.9008
