date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,25.3,24.35,25.3,24.91,17123.0,25.692,-0.9543
2015-01-05,24.82,24.13,24.82,24.21,9996.0,25.256,-2.8101
2015-01-06,24.39,23.74,24.39,23.99,10043.0,24.824,-0.9087
2015-01-07,24.01,23.78,24.24,24.2,9890.0,24.492,0.8754
2015-01-08,24.42,24.18,24.94,24.87,9156.0,24.436,2.7686
2015-01-09,24.78,23.85,24.83,23.87,6851.0,24.228,-4.0209
2015-01-12,23.83,23.42,23.83,23.46,8422.0,24.078,-1.7176
2015-01-13,23.74,23.23,23.93,23.44,8202.0,23.968,-0.0853
2015-01-14,23.2,23.17,23.6,23.55,8322.0,23.838,0.4693
2015-01-15,23.51,23.2,23.51,23.27,12174.0,23.518,-1.189
2015-01-16,23.21,23.11,23.97,23.53,28910.0,23.45,1.1173
2015-01-20,23.67,23.5,23.7,23.53,9068.0,23.464,0.0
2015-01-21,23.57,23.29,23.71,23.31,15025.0,23.438,-0.935
2015-01-22,23.59,23.19,23.86,23.54,90616.0,23.436,0.9867
2015-01-23,23.62,23.38,23.64,23.4,14708.0,23.462,-0.5947
2015-01-26,23.5,23.31,23.52,23.5,17187.0,23.456,0.4274
2015-01-27,23.38,23.2,23.5,23.25,6721.0,23.4,-1.0638
2015-01-28,23.3,22.51,23.48,22.55,16602.0,23.248,-3.0108
2015-01-29,22.78,22.5,23.01,22.92,17990.0,23.124,1.6408
2015-01-30,22.68,22.0,23.09,22.03,32509.0,22.85,-3.8831
2015-02-02,22.07,21.8,22.46,22.4,26678.0,22.63,1.6795
2015-02-03,22.45,22.45,23.0,22.64,21971.0,22.508,1.0714
2015-02-04,22.67,22.35,22.95,22.39,13720.0,22.476,-1.1042
2015-02-05,22.52,22.52,22.95,22.63,19696.0,22.418,1.0719
2015-02-06,22.56,22.56,23.02,22.76,14602.0,22.564,0.5745
2015-02-09,22.75,22.46,23.0,22.54,15116.0,22.592,-0.9666
2015-02-10,22.82,22.35,22.88,22.5,12748.0,22.564,-0.1775
2015-02-11,22.41,22.34,22.64,22.48,7865.0,22.582,-0.0889
2015-02-12,22.73,22.64,23.01,23.0,17655.0,22.656,2.3132
2015-02-13,23.08,22.83,23.08,22.98,7733.0,22.7,-0.087
2015-02-17,22.9,22.84,23.12,22.99,10430.0,22.79,0.0435
2015-02-18,23.06,22.79,23.06,22.86,5709.0,22.862,-0.5655
2015-02-19,22.74,22.7,23.0,22.83,6074.0,22.932,-0.1312
2015-02-20,22.91,22.52,22.91,22.75,12801.0,22.882,-0.3504
2015-02-23,22.61,22.31,22.7,22.7,7960.0,22.826,-0.2198
2015-02-24,22.74,22.67,23.06,22.89,5381.0,22.806,0.837
2015-02-25,22.81,22.56,22.82,22.69,6002.0,22.772,-0.8737
2015-02-26,22.57,22.57,22.95,22.81,9583.0,22.768,0.5289
2015-02-27,22.82,22.52,22.87,22.52,18724.0,22.722,-1.2714
2015-03-02,22.5,22.49,22.87,22.86,9425.0,22.754,1.5098
2015-03-03,22.84,22.67,23.08,22.69,5834.0,22.714,-0.7437
2015-03-04,22.73,22.7,23.04,22.97,15526.0,22.77,1.234
2015-03-05,23.06,22.9,23.06,22.93,8572.0,22.794,-0.1741
2015-03-06,22.9,22.8,23.16,22.87,17878.0,22.864,-0.2617
2015-03-09,22.93,22.93,23.13,23.04,9605.0,22.9,0.7433
2015-03-10,22.68,22.5,22.85,22.77,15117.0,22.916,-1.1719
2015-03-11,22.91,22.77,23.04,22.98,10030.0,22.918,0.9223
2015-03-12,23.14,23.13,23.98,23.98,18371.0,23.128,4.3516
2015-03-13,23.98,23.31,23.98,23.44,17766.0,23.242,-2.2519
2015-03-16,23.5,23.35,23.71,23.6,9202.0,23.354,0.6826
2015-03-17,23.52,23.085,23.52,23.2,11984.0,23.44,-1.6949
2015-03-18,23.19,23.19,23.45,23.4,8427.0,23.524,0.8621
2015-03-19,23.23,22.94,23.4,23.06,8839.0,23.34,-1.453
2015-03-20,23.17,23.06,23.29,23.28,29057.0,23.308,0.954
2015-03-23,23.22,23.13,23.29,23.21,11382.0,23.23,-0.3007
2015-03-24,23.17,23.08,23.2,23.11,6465.0,23.212,-0.4308
