date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,8.24,7.85,8.265,7.87,45139.0,8.2,-4.4903
2015-01-05,7.88,7.73,7.91,7.81,57441.0,8.1,-0.7624
2015-01-06,7.8,7.42,7.8,7.56,63461.0,7.952,-3.201
2015-01-07,7.64,7.6,7.76,7.7,35806.0,7.836,1.8519
2015-01-08,7.8,7.78,8.05,8.05,59175.0,7.798,4.5455
2015-01-09,8.06,7.74,8.06,7.86,33441.0,7.796,-2.3602
2015-01-12,7.87,7.52,7.87,7.6,34407.0,7.754,-3.3079
2015-01-13,7.77,7.46,7.84,7.59,56672.0,7.76,-0.1316
2015-01-14,7.48,7.38,7.62,7.51,34542.0,7.722,-1.054
2015-01-15,7.56,7.05,7.56,7.2,82789.0,7.552,-4.1278
2015-01-16,7.17,7.17,7.46,7.41,78295.0,7.462,2.9167
2015-01-20,7.39,7.27,7.44,7.44,78579.0,7.43,0.4049
2015-01-21,7.45,7.14,7.53,7.21,58512.0,7.354,-3.0914
2015-01-22,7.29,7.15,7.49,7.49,56700.0,7.35,3.8835
2015-01-23,7.51,7.38,7.58,7.49,29759.0,7.408,0.0
2015-01-26,7.53,7.31,7.53,7.32,46769.0,7.39,-2.2697
2015-01-27,7.27,7.15,7.31,7.18,35142.0,7.338,-1.9126
2015-01-28,7.24,7.13,7.28,7.2,61238.0,7.336,0.2786
2015-01-29,7.22,7.07,7.67,7.65,97059.0,7.368,6.25
2015-01-30,7.61,7.59,7.97,7.89,152248.0,7.448,3.1373
2015-02-02,8.08,8.05,9.08,9.04,357914.0,7.792,14.5754
2015-02-03,9.15,8.45,9.15,8.93,227323.0,8.142,-1.2168
2015-02-04,8.86,8.86,9.59,9.57,126833.0,8.616,7.1669
2015-02-05,9.34,9.2,9.8,9.25,159557.0,8.936,-3.3438
2015-02-06,9.12,9.12,9.49,9.28,157390.0,9.214,0.3243
2015-02-09,9.33,9.31,9.99,9.62,179384.0,9.33,3.6638
2015-02-10,9.74,9.72,10.03,10.01,263931.0,9.546,4.0541
2015-02-11,10.0,10.0,10.52,10.15,228284.0,9.662,1.3986
2015-02-12,10.27,10.2,10.5,10.35,123618.0,9.882,1.9704
2015-02-13,10.42,10.23,10.49,10.33,106772.0,10.092,-0.1932
2015-02-17,10.56,10.45,10.99,10.75,276141.0,10.318,4.0658
2015-02-18,10.75,10.59,10.75,10.65,169654.0,10.446,-0.9302
2015-02-19,10.7,10.3,10.7,10.36,199608.0,10.488,-2.723
2015-02-20,10.35,10.25,10.44,10.32,209797.0,10.482,-0.3861
2015-02-23,10.47,10.325,10.64,10.45,525636.0,10.506,1.2597
2015-02-24,10.45,10.45,11.56,11.42,297569.0,10.64,9.2823
2015-02-25,11.46,11.42,11.95,11.93,187815.0,10.896,4.4658
2015-02-26,11.91,11.79,12.44,12.31,189012.0,11.286,3.1852
2015-02-27,12.23,12.14,12.62,12.48,180972.0,11.718,1.381
2015-03-02,12.55,12.51,13.07,12.87,256658.0,12.202,3.125
2015-03-03,12.88,12.48,13.01,12.62,325790.0,12.442,-1.9425
2015-03-04,12.61,12.56,13.05,12.59,120867.0,12.574,-0.2377
