date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,6.0,5.99,6.0,6.0,900.0,6.098,-3.8462
2015-01-05,5.92,5.92,6.08,6.08,7402.0,6.106,1.3333
2015-01-06,6.21,6.1,6.21,6.1,2700.0,6.104,0.3289
2015-01-07,6.05,6.05,6.05,6.05,200.0,6.094,-0.8197
2015-01-08,6.11,5.98,6.12,5.98,2700.0,6.042,-1.157
2015-01-12,6.0,6.0,6.04,6.03,900.0,6.048,0.8361
2015-01-13,6.04,5.99,6.04,6.03,500.0,6.038,0.0
2015-01-14,5.97,5.97,6.03,5.98,4293.0,6.014,-0.8292
2015-01-15,5.99,5.99,5.99,5.99,100.0,6.002,0.1672
2015-01-16,5.93,5.93,6.04,6.04,1700.0,6.014,0.8347
2015-01-21,6.0,5.99,6.0,5.99,200.0,6.006,-0.8278
2015-01-22,6.05,5.92,6.05,6.0,4300.0,6.0,0.1669
2015-01-23,5.91,5.55,6.05,6.05,9345.0,6.014,0.8333
2015-01-26,6.0,6.0,6.015,6.01,1370.0,6.018,-0.6612
2015-01-27,5.95,5.95,5.95,5.95,1300.0,6.0,-0.9983
2015-01-29,6.05,6.05,6.05,6.05,180.0,6.012,1.6807
2015-01-30,6.04,6.04,6.05,6.05,2720.0,6.022,0.0
2015-02-03,5.96,5.85,5.97,5.97,21759.0,6.006,-1.3223
2015-02-04,5.88,5.8,6.01,6.0,21900.0,6.004,0.5025
2015-02-05,6.0,6.0,6.0,6.0,100.0,6.014,0.0
2015-02-06,5.95,5.95,6.04,6.04,469.0,6.012,0.6667
2015-02-10,6.0,6.0,6.09,6.09,500.0,6.02,0.8278
2015-02-11,6.09,6.09,6.09,6.09,100.0,6.044,0.0
2015-02-13,6.01,6.0,6.01,6.0,181.0,6.044,-1.4778
2015-02-20,6.0,6.0,6.0,6.0,400.0,6.044,0.0
2015-02-23,6.02,6.02,6.02,6.02,8.0,6.04,0.3333
2015-02-24,6.0,5.99,6.0,6.0,16200.0,6.022,-0.3322
2015-02-25,6.0,5.97,6.04,6.04,1925.0,6.012,0.6667
2015-02-26,5.945,5.945,5.97,5.97,5585.0,6.006,-1.1589
2015-02-27,5.97,5.97,5.97,5.97,200.0,6.0,0.0
2015-03-02,6.05,5.98,6.05,5.98,101.0,5.992,0.1675
2015-03-04,5.98,5.97,5.98,5.97,1901.0,5.986,-0.1672
2015-03-05,6.05,6.02,6.05,6.04,800.0,5.986,1.1725
2015-03-06,6.04,5.97,6.05,6.04,799.0,6.0,0.0
2015-03-09,6.05,6.0,6.05,6.05,1496.0,6.016,0.1656
2015-03-10,6.19,6.19,6.38,6.35,944.0,6.09,4.9587
2015-03-11,6.32,6.09,6.32,6.09,675.0,6.114,-4.0945
2015-03-12,6.3,6.0,6.3,6.14,3036.0,6.134,0.821
2015-03-13,6.14,6.14,6.29,6.29,211.0,6.184,2.443
2015-03-16,6.13,6.09,6.18,6.09,580.0,6.192,-3.1797
2015-03-17,6.05,6.05,6.31,6.08,1634.0,6.138,-0.1642
2015-03-18,6.06,6.0,6.06,6.01,3443.0,6.122,-1.1513
2015-03-19,6.14,6.0,6.14,6.0,3600.0,6.094,-0.1664
2015-03-20,6.05,5.82,6.05,5.82,7021.0,6.0,-3.0
2015-03-23,5.91,5.91,6.08,6.08,668.0,5.998,4.4674
2015-03-24,6.1,6.1,6.1,6.1,2.0,6.002,0.3289
2015-03-25,6.1,6.0,6.1,6.07,198.0,6.014,-0.4918
2015-03-26,6.06,6.04,6.06,6.04,32.0,6.022,-0.4942
2015-03-27,5.96,5.95,6.07,6.07,3809.0,6.072,0.4967
2015-03-30,6.05,6.05,6.05,6.05,24.0,6.066,-0.3295
2015-03-31,6.03,6.03,6.03,6.03,124.0,6.052,-0.3306
2015-04-01,6.03,5.99,6.06,6.06,301.0,6.05,0.4975
2015-04-02,5.97,5.95,6.05,6.05,500.0,6.052,-0.165
2015-04-06,6.08,6.08,6.08,6.08,100.0,6.054,0.4959
2015-04-07,5.96,5.95,6.07,6.07,1003.0,6.058,-0.1645
2015-04-10,5.97,5.97,6.04,6.04,8569.0,6.06,-0.4942
2015-04-13,6.03,6.03,6.03,6.03,43.0,6.054,-0.1656
2015-04-15,5.96,5.95,5.96,5.95,3800.0,6.034,-1.3267
2015-04-17,5.98,5.98,5.98,5.98,200.0,6.014,0.5042
2015-04-20,5.95,5.95,6.06,6.06,458.0,6.012,1.3378
2015-04-21,6.23,6.1,6.25,6.14,3502.0,6.032,1.3201
2015-04-22,6.12,6.09,6.12,6.12,2876.0,6.05,-0.3257
2015-04-23,6.16,6.09,6.19,6.19,2250.0,6.098,1.1438
2015-04-24,6.13,6.13,6.25,6.16,4821.0,6.134,-0.4847
2015-04-27,6.2,6.2,6.32,6.25,4698.0,6.172,1.461
2015-04-28,6.2,6.2,6.2,6.2,7252.0,6.184,-0.8
2015-04-29,6.24,6.24,6.39,6.39,4739.0,6.238,3.0645
2015-04-30,6.21,6.2,6.21,6.2,2700.0,6.24,-2.9734
2015-05-01,6.39,6.39,6.39,6.39,15.0,6.286,3.0645
2015-05-04,6.34,6.3,6.34,6.33,1010.0,6.302,-0.939
2015-05-05,6.42,6.42,6.44,6.44,400.0,6.35,1.7378
2015-05-06,6.21,6.2,6.22,6.22,1037.0,6.316,-3.4161
2015-05-07,6.2,6.2,6.2,6.2,26830.0,6.316,-0.3215
2015-05-08,6.2,6.2,6.29,6.29,2023.0,6.296,1.4516
2015-05-11,6.17,6.17,6.37,6.37,551.0,6.304,1.2719
2015-05-19,6.2,6.2,6.2,6.2,1000.0,6.256,-2.6688
2015-05-20,6.23,6.23,6.3,6.3,137.0,6.272,1.6129
2015-05-22,6.2,6.19,6.37,6.37,1100.0,6.306,1.1111
2015-05-26,6.27,6.19,6.27,6.19,900.0,6.286,-2.8257
2015-05-27,6.19,6.06,6.19,6.06,1136.0,6.224,-2.1002
2015-05-28,5.99,5.98,6.05,6.01,4455.0,6.186,-0.8251
2015-05-29,5.99,5.99,6.08,6.08,6871.0,6.142,1.1647
2015-06-01,6.0,6.0,6.01,6.0,3723.0,6.068,-1.3158
2015-06-03,6.03,6.01,6.03,6.01,600.0,6.032,0.1667
2015-06-04,6.03,5.98,6.03,5.98,7248.0,6.016,-0.4992
2015-06-05,6.02,6.01,6.02,6.01,255.0,6.016,0.5017
2015-06-08,6.0,6.0,6.03,6.03,105.0,6.006,0.3328
2015-06-09,6.03,6.0,6.03,6.02,2805.0,6.01,-0.1658
2015-06-10,5.97,5.97,6.0,5.99,445.0,6.006,-0.4983
2015-06-11,6.0,6.0,6.08,6.01,7788.0,6.012,0.3339
2015-06-12,6.0,5.97,6.25,6.25,1566.0,6.06,3.9933
2015-06-15,6.05,6.01,6.05,6.02,1100.0,6.058,-3.68
2015-06-16,6.0,6.0,6.1,6.05,3518.0,6.064,0.4983
2015-06-17,6.05,6.0,6.05,6.0,508.0,6.066,-0.8264
2015-06-18,6.0,5.97,6.0,5.97,15.0,6.058,-0.5
2015-06-19,6.08,5.94,6.08,5.94,6748.0,5.996,-0.5025
2015-06-23,6.0,6.0,6.02,6.0,12700.0,5.992,1.0101
2015-06-24,6.0,5.99,6.0,5.99,2200.0,5.98,-0.1667
2015-06-25,5.97,5.95,6.15,6.11,4423.0,6.002,2.0033
2015-06-26,6.17,6.03,6.17,6.03,4909.0,6.014,-1.3093
2015-06-29,6.11,6.03,6.11,6.03,1200.0,6.032,0.0
2015-06-30,6.03,6.0,6.1,6.0,1284.0,6.032,-0.4975
2015-07-01,6.01,6.01,6.05,6.02,4811.0,6.038,0.3333
2015-07-06,6.13,6.06,6.13,6.1,498.0,6.036,1.3289
2015-07-07,6.1,6.09,6.1,6.09,200.0,6.048,-0.1639
2015-07-08,6.15,6.01,6.15,6.02,2300.0,6.046,-1.1494
2015-07-10,6.05,6.05,6.05,6.05,319.0,6.056,0.4983
2015-07-13,6.1,6.05,6.1,6.08,698.0,6.068,0.4959
2015-07-14,6.22,6.15,6.22,6.15,4.0,6.078,1.1513
2015-07-15,6.18,6.18,6.18,6.18,13.0,6.096,0.4878
2015-07-16,6.15,6.15,6.15,6.15,200.0,6.122,-0.4854
2015-07-17,6.05,6.05,6.15,6.14,1554.0,6.14,-0.1626
2015-07-20,6.15,6.06,6.15,6.06,3900.0,6.136,-1.3029
2015-07-21,6.07,6.07,6.07,6.07,100.0,6.12,0.165
2015-07-22,6.1,6.05,6.1,6.06,1738.0,6.096,-0.1647
2015-07-23,6.05,6.05,6.05,6.05,1500.0,6.076,-0.165
2015-07-24,6.08,6.01,6.08,6.01,2093.0,6.05,-0.6612
2015-07-28,6.08,6.04,6.08,6.04,1996.0,6.046,0.4992
2015-07-29,6.05,6.05,6.05,6.05,5525.0,6.042,0.1656
2015-07-30,6.07,6.07,6.07,6.07,23.0,6.044,0.3306
2015-07-31,6.08,6.08,6.08,6.08,37.0,6.05,0.1647
2015-08-03,6.08,6.05,6.08,6.05,5728.0,6.058,-0.4934
2015-08-05,6.03,6.03,6.05,6.05,948.0,6.06,0.0
2015-08-06,6.05,6.05,6.05,6.05,4903.0,6.06,0.0
2015-08-07,6.06,6.03,6.06,6.03,144.0,6.052,-0.3306
2015-08-10,6.06,5.92,6.06,5.92,4101.0,6.02,-1.8242
2015-08-11,6.0,6.0,6.0,6.0,100.0,6.01,1.3514
2015-08-12,6.0,5.99,6.0,5.99,2200.0,5.998,-0.1667
2015-08-13,5.99,5.99,6.0,6.0,1020.0,5.988,0.1669
2015-08-14,6.0,6.0,6.02,6.02,670.0,5.986,0.3333
2015-08-17,6.02,6.0,6.06,6.0,669.0,6.002,-0.3322
2015-08-18,6.0,6.0,6.04,6.04,450.0,6.01,0.6667
2015-08-20,5.99,5.99,5.99,5.99,16.0,6.01,-0.8278
2015-08-21,6.06,6.02,6.06,6.02,246.0,6.014,0.5008
2015-08-24,6.06,5.97,6.06,5.97,707.0,6.004,-0.8306
2015-08-25,5.97,5.97,5.97,5.97,302.0,5.998,0.0
2015-08-26,5.98,5.98,6.05,6.05,9900.0,6.0,1.34
2015-08-28,6.08,6.08,6.08,6.08,444.0,6.018,0.4959
2015-08-31,6.09,6.09,6.09,6.09,100.0,6.032,0.1645
2015-09-01,6.09,6.03,6.12,6.12,1265.0,6.062,0.4926
2015-09-02,6.1,6.05,6.1,6.05,2969.0,6.078,-1.1438
2015-09-03,6.07,6.07,6.07,6.07,352.0,6.082,0.3306
2015-09-04,6.08,6.08,6.08,6.08,277.0,6.082,0.1647
2015-09-08,6.13,6.11,6.14,6.14,345.0,6.092,0.9868
2015-09-09,6.15,6.1,6.18,6.18,6599.0,6.104,0.6515
2015-09-10,6.17,6.17,6.2,6.2,300.0,6.134,0.3236
2015-09-11,6.33,6.22,6.38,6.37,3928.0,6.194,2.7419
2015-09-14,6.39,6.25,6.39,6.35,3085.0,6.248,-0.314
2015-09-15,6.38,6.18,6.39,6.18,4131.0,6.256,-2.6772
2015-09-16,6.23,6.23,6.39,6.39,1833.0,6.298,3.3981
2015-09-17,6.38,6.3,6.4,6.4,1937.0,6.338,0.1565
2015-09-18,6.26,6.01,6.26,6.05,40484.0,6.274,-5.4688
2015-09-21,6.16,6.12,6.22,6.12,3341.0,6.228,1.157
2015-09-22,6.17,6.17,6.19,6.18,1711.0,6.228,0.9804
2015-09-23,6.2,6.12,6.24,6.24,1068.0,6.198,0.9709
2015-09-24,6.11,6.1,6.19,6.17,960.0,6.152,-1.1218
2015-09-28,6.1,6.1,6.1,6.1,139.0,6.162,-1.1345
2015-09-29,6.15,6.15,6.16,6.16,462.0,6.17,0.9836
2015-09-30,6.19,6.19,6.24,6.24,2421.0,6.182,1.2987
2015-10-02,6.17,6.15,6.17,6.15,6401.0,6.164,-1.4423
