date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2019-05-17,21.5,21.41,25.67,23.99,6665505.0,,
2019-05-20,24.5,23.2,25.61,24.25,557948.0,,1.0838
2019-05-21,24.31,22.41,24.47,22.66,214082.0,,-6.5567
2019-05-22,22.49,22.15,23.65,22.52,174032.0,,-0.6178
2019-05-23,22.1,22.0,23.38,22.5,576168.0,23.184,-0.0888
2019-05-24,22.71,21.1,22.99,21.5,156470.0,22.686,-4.4444
2019-05-28,21.51,21.51,22.36,21.98,70988.0,22.232,2.2326
2019-05-29,21.81,19.8,21.96,21.26,149078.0,21.952,-3.2757
2019-05-30,21.41,21.41,21.89,21.79,28357.0,21.806,2.4929
2019-05-31,21.58,20.3,21.58,20.8,68232.0,21.466,-4.5434
2019-06-03,20.8,19.34,20.8,20.04,136584.0,21.174,-3.6538
2019-06-04,20.26,19.52,21.0,20.92,67207.0,20.962,4.3912
2019-06-05,20.83,19.54,20.83,19.77,111686.0,20.664,-5.4971
2019-06-06,19.93,19.46,20.26,20.13,91389.0,20.332,1.8209
2019-06-07,20.18,20.18,21.44,21.24,116341.0,20.42,5.5142
2019-06-10,21.51,21.51,23.1,22.86,188780.0,20.984,7.6271
2019-06-11,22.9,21.0,23.1,22.87,258426.0,21.374,0.0437
2019-06-12,22.8,20.61,22.8,20.61,167335.0,21.542,-9.8819
2019-06-13,21.0,20.41,21.3,21.0,105495.0,21.716,1.8923
2019-06-14,21.0,19.83,21.06,19.85,81755.0,21.438,-5.4762
2019-06-17,20.0,19.0,20.06,19.28,132899.0,20.722,-2.8715
2019-06-18,19.33,17.75,19.6,18.07,146478.0,19.762,-6.2759
2019-06-19,18.4,17.49,19.36,19.17,127375.0,19.474,6.0874
2019-06-20,19.29,18.86,19.9,19.48,83496.0,19.17,1.6171
2019-06-21,19.89,18.17,19.94,18.2,449322.0,18.84,-6.5708
2019-06-24,18.5,17.3,18.8,17.5,152575.0,18.484,-3.8462
2019-06-25,17.49,16.81,17.91,17.13,133033.0,18.296,-2.1143
2019-06-26,17.18,16.88,17.81,17.48,120988.0,17.958,2.0432
2019-06-27,17.59,17.59,19.04,18.86,151478.0,17.834,7.8947
2019-06-28,19.22,19.1,20.95,20.28,177087.0,18.25,7.5292
2019-07-01,20.5,20.33,21.73,20.47,105720.0,18.844,0.9369
2019-07-02,20.64,20.0,21.31,20.13,78737.0,19.444,-1.661
2019-07-03,20.21,20.04,20.95,20.55,90691.0,20.058,2.0864
2019-07-05,20.5,20.28,21.46,21.1,52787.0,20.506,2.6764
2019-07-08,21.06,20.23,21.1,20.38,74331.0,20.526,-3.4123
2019-07-09,20.25,19.43,20.62,19.5,79264.0,20.332,-4.318
