date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2018-10-02,9.63,9.6,9.63,9.63,5600.0,,
2018-10-03,9.61,9.6,9.61,9.6,251700.0,,-0.3115
2018-10-12,9.69,9.64,9.69,9.65,1600.0,,0.5208
2018-10-15,9.64,9.63,9.65,9.65,800.0,,0.0
2018-10-25,9.63,9.63,9.65,9.65,1200.0,9.636,0.0
2018-11-06,9.65,9.65,9.65,9.65,100.0,9.64,0.0
2018-11-12,9.64,9.64,9.64,9.64,45000.0,9.648,-0.1036
2018-11-13,9.66,9.65,9.66,9.65,301.0,9.648,0.1037
2018-11-15,10.0,9.65,10.0,9.65,2300.0,9.648,0.0
2018-11-16,9.7,9.66,9.7,9.66,500.0,9.65,0.1036
2018-11-19,9.73,9.65,9.73,9.65,500.0,9.65,-0.1035
2018-11-20,9.72,9.61,9.72,9.67,42600.0,9.656,0.2073
2018-11-23,9.65,9.63,9.65,9.63,1000.0,9.652,-0.4137
2018-11-26,9.65,9.6,9.65,9.63,2000.0,9.648,0.0
2018-11-27,9.63,9.6,9.63,9.62,13100.0,9.64,-0.1038
2018-11-28,9.62,9.62,9.62,9.62,2000.0,9.634,0.0
2018-11-29,9.6,9.6,9.605,9.6,315300.0,9.62,-0.2079
2018-11-30,9.65,9.65,9.65,9.65,200.0,9.624,0.5208
2018-12-03,9.65,9.65,9.65,9.65,100.0,9.628,0.0
2018-12-04,9.58,9.58,9.65,9.63,22700.0,9.63,-0.2073
2018-12-06,9.65,9.63,9.65,9.63,600.0,9.632,0.0
2018-12-07,9.6,9.6,9.6,9.6,800.0,9.632,-0.3115
2018-12-10,9.6,9.6,9.63,9.63,600.0,9.628,0.3125
2018-12-11,9.63,9.63,9.63,9.63,800.0,9.624,0.0
2018-12-17,,,,,39.0,,
2018-12-19,9.6,9.54,9.6,9.54,1200.0,9.606,-0.9346
2018-12-20,9.59,9.56,9.63,9.63,1400.0,9.606,0.9434
2018-12-24,9.63,9.63,9.63,9.63,100.0,9.612,0.0
2018-12-26,9.63,9.63,9.63,9.63,340.0,9.612,0.0
2018-12-27,9.51,9.51,9.63,9.63,800.0,9.612,0.0
2018-12-28,9.63,9.63,9.63,9.63,5100.0,9.63,0.0
2018-12-31,9.63,9.63,9.63,9.63,240.0,9.63,0.0
2019-01-02,9.58,9.58,9.63,9.63,440.0,9.63,0.0
2019-01-03,9.6,9.6,9.63,9.63,2040.0,9.63,0.0
2019-01-04,9.63,9.63,9.63,9.63,2548.0,9.63,0.0
2019-01-07,9.63,9.63,9.63,9.63,200.0,9.63,0.0
2019-01-08,9.63,9.63,9.65,9.65,27200.0,9.634,0.2077
2019-01-09,9.65,9.65,9.65,9.65,1611.0,9.638,0.0
2019-01-10,9.65,9.65,9.67,9.67,4300.0,9.646,0.2073
2019-01-18,,,,,71.0,,
2019-01-22,9.79,9.69,9.79,9.78,1500.0,9.676,1.1375
2019-01-23,,,,,40.0,,
2019-01-28,9.76,9.76,9.76,9.76,2100.0,9.702,-0.2045
2019-01-29,9.75,9.75,9.75,9.75,500.0,9.722,-0.1025
2019-01-30,9.76,9.76,9.76,9.76,256.0,9.744,0.1026
2019-01-31,9.76,9.76,9.76,9.76,5299.0,9.762,0.0
2019-02-07,9.75,9.75,9.75,9.75,400000.0,9.756,-0.1025
2019-02-14,9.78,9.78,9.8,9.8,761.0,9.764,0.5128
2019-02-20,9.79,9.76,9.79,9.77,1125899.0,9.768,-0.3061
2019-02-22,9.76,9.76,9.76,9.76,250000.0,9.768,-0.1024
2019-02-27,9.76,9.76,9.76,9.76,400000.0,9.768,0.0
2019-02-28,9.76,9.76,9.76,9.76,100.0,9.77,0.0
