date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2021-04-28,15.21,14.0,15.45,14.26,3373300.0,,
2021-04-29,14.57,13.08,14.77,13.71,721459.0,,-3.8569
2021-04-30,13.33,13.18,13.71,13.61,437345.0,,-0.7294
2021-05-03,13.61,13.0,13.615,13.12,161362.0,,-3.6003
2021-05-04,13.07,12.5,13.07,12.5,2255611.0,13.44,-4.7256
2021-05-05,12.59,12.57,13.24,12.77,117777.0,13.142,2.16
2021-05-06,12.81,12.59,13.11,12.8,106157.0,12.96,0.2349
2021-05-07,12.97,12.36,12.97,12.4,43772.0,12.718,-3.125
2021-05-10,12.42,12.02,12.56,12.05,94204.0,12.504,-2.8226
2021-05-11,12.0,11.7,12.08,11.7,430663.0,12.344,-2.9046
2021-05-12,11.02,7.82,11.17,8.76,1304314.0,11.542,-25.1282
2021-05-13,8.55,7.87,8.63,8.28,394067.0,10.638,-5.4795
2021-05-14,8.45,8.2,8.5,8.38,122219.0,9.834,1.2077
2021-05-17,8.47,8.07,8.47,8.23,48527.0,9.07,-1.79
2021-05-18,8.21,8.16,8.49,8.27,37905.0,8.384,0.486
2021-05-19,8.21,8.1,8.43,8.39,65561.0,8.31,1.451
2021-05-20,8.54,8.5,8.86,8.68,64639.0,8.39,3.4565
2021-05-21,8.76,8.45,8.76,8.62,56249.0,8.438,-0.6912
2021-05-24,9.05,9.0,9.53,9.39,429488.0,8.67,8.9327
2021-05-25,9.79,9.3,9.89,9.45,198990.0,8.906,0.639
2021-05-26,9.58,9.58,10.49,9.91,248027.0,9.21,4.8677
2021-05-27,10.0,10.0,10.785,10.72,150503.0,9.618,8.1736
2021-05-28,10.86,10.53,11.24,10.76,235486.0,10.046,0.3731
2021-06-01,11.21,10.45,11.24,10.55,234209.0,10.278,-1.9517
2021-06-02,10.46,10.25,10.81,10.67,139166.0,10.522,1.1374
2021-06-03,10.64,10.37,10.905,10.78,101453.0,10.696,1.0309
2021-06-04,10.92,10.89,11.56,11.25,105604.0,10.802,4.3599
2021-06-07,11.37,10.78,11.37,10.88,243291.0,10.826,-3.2889
2021-06-08,10.65,10.19,11.25,11.13,171608.0,10.942,2.2978
2021-06-09,11.03,10.3,11.24,10.81,191231.0,10.97,-2.8751
2021-06-10,10.75,10.44,11.03,11.01,175915.0,11.016,1.8501
2021-06-11,11.02,10.53,11.07,10.8,89722.0,10.926,-1.9074
2021-06-14,10.87,10.83,11.73,11.47,245592.0,11.044,6.2037
2021-06-15,11.48,11.0,11.76,11.11,188169.0,11.04,-3.1386
2021-06-16,11.17,11.17,12.08,11.81,347651.0,11.24,6.3006
2021-06-17,11.87,11.87,12.58,12.25,269047.0,11.488,3.7257
2021-06-18,12.43,11.67,12.47,11.81,718010.0,11.69,-3.5918
2021-06-21,11.9,11.57,12.11,11.57,239323.0,11.71,-2.0322
2021-06-22,11.48,11.105,11.78,11.55,186125.0,11.798,-0.1729
2021-06-23,11.7,11.7,13.16,12.93,405410.0,12.022,11.9481
2021-06-24,12.93,12.315,13.17,12.84,295522.0,12.14,-0.6961
2021-06-25,12.75,11.9,12.99,12.1,2500818.0,12.198,-5.7632
2021-06-28,12.3,11.94,12.94,12.62,316294.0,12.408,4.2975
2021-06-29,12.79,12.575,13.5,13.14,3872615.0,12.726,4.1204
2021-06-30,13.15,13.15,13.97,13.31,183616.0,12.802,1.2938
2021-07-01,13.32,12.9,13.65,13.23,187487.0,12.88,-0.6011
2021-07-02,13.25,12.68,13.25,12.72,93057.0,13.004,-3.8549
2021-07-06,12.65,11.76,12.69,12.16,158463.0,12.912,-4.4025
2021-07-07,12.26,11.58,12.26,12.03,171870.0,12.69,-1.0691
2021-07-08,11.8,11.52,12.15,11.84,90784.0,12.396,-1.5794
2021-07-09,11.96,11.22,11.96,11.28,137319.0,12.006,-4.7297
2021-07-12,11.28,11.06,11.49,11.47,130730.0,11.756,1.6844
2021-07-13,11.32,11.16,11.6,11.44,169309.0,11.612,-0.2616
2021-07-14,11.62,10.65,11.7,10.74,173228.0,11.354,-6.1189
2021-07-15,10.87,10.54,11.04,10.6,182556.0,11.106,-1.3035
2021-07-16,10.67,10.13,10.75,10.22,320638.0,10.894,-3.5849
2021-07-19,10.0,9.43,10.07,9.78,123528.0,10.556,-4.3053
2021-07-20,9.9,9.78,10.21,10.08,124353.0,10.284,3.0675
2021-07-21,10.2,10.14,10.56,10.54,96860.0,10.244,4.5635
2021-07-22,10.47,10.17,10.57,10.56,98430.0,10.236,0.1898
2021-07-23,10.59,10.14,10.59,10.4,116456.0,10.272,-1.5152
2021-07-26,10.37,9.94,10.43,10.1,79214.0,10.336,-2.8846
2021-07-27,9.96,9.59,10.0,9.89,65029.0,10.298,-2.0792
2021-07-28,9.93,9.84,10.69,10.53,136468.0,10.296,6.4712
2021-07-29,10.5,10.33,10.63,10.56,88944.0,10.296,0.2849
2021-07-30,10.41,10.02,10.54,10.14,80444.0,10.244,-3.9773
2021-08-02,10.29,10.03,10.29,10.21,87014.0,10.266,0.6903
2021-08-03,10.24,10.02,10.25,10.08,71494.0,10.304,-1.2733
2021-08-04,10.0,9.94,10.34,10.32,63703.0,10.262,2.381
2021-08-05,10.36,10.2,10.45,10.4,62285.0,10.23,0.7752
2021-08-06,10.52,10.23,10.52,10.35,56250.0,10.272,-0.4808
2021-08-09,10.35,10.35,10.83,10.53,86195.0,10.336,1.7391
2021-08-10,10.62,10.61,11.22,11.1,206811.0,10.54,5.4131
2021-08-11,11.47,9.95,11.5,10.45,321377.0,10.566,-5.8559
2021-08-12,10.31,10.31,10.68,10.51,80441.0,10.588,0.5742
2021-08-13,10.41,9.97,10.41,10.01,96506.0,10.52,-4.7574
2021-08-16,9.88,9.14,9.92,9.43,184357.0,10.3,-5.7942
2021-08-17,9.33,8.9,9.38,9.02,104188.0,9.884,-4.3478
2021-08-18,9.08,8.98,9.37,9.18,90472.0,9.63,1.7738
2021-08-19,9.08,8.98,9.32,9.06,61164.0,9.34,-1.3072
2021-08-20,9.01,8.98,9.55,9.53,125574.0,9.244,5.1876
2021-08-23,9.73,9.63,9.95,9.89,83180.0,9.336,3.7775
2021-08-24,9.93,9.84,10.13,10.11,55026.0,9.554,2.2245
2021-08-25,10.09,10.07,10.36,10.17,67873.0,9.752,0.5935
2021-08-26,10.27,10.27,10.97,10.58,75994.0,10.056,4.0315
2021-08-27,10.59,10.55,10.85,10.82,68189.0,10.314,2.2684
2021-08-30,10.91,10.77,11.43,10.84,171421.0,10.504,0.1848
2021-08-31,10.86,10.825,11.05,10.85,42906.0,10.652,0.0923
2021-09-01,10.9,10.74,11.14,10.81,66229.0,10.78,-0.3687
