date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2019-07-18,14.5,12.93,15.79,13.5,738170.0,,
2019-07-19,13.5,12.17,13.5,12.55,80167.0,,-7.037
2019-07-22,12.32,12.21,12.95,12.8,55812.0,,1.992
2019-07-23,12.93,12.31,13.3,13.01,45316.0,,1.6406
2019-07-24,12.95,12.5,13.25,13.25,27200.0,13.022,1.8447
2019-07-25,13.25,13.1,13.3,13.25,6107.0,12.972,0.0
2019-07-26,13.25,13.25,14.14,14.14,53241.0,13.29,6.717
2019-07-29,14.15,12.8,14.97,14.89,36768.0,13.708,5.3041
2019-07-30,14.9,14.51,14.9,14.75,6701.0,14.056,-0.9402
2019-07-31,14.75,13.58,14.75,13.85,15967.0,14.176,-6.1017
2019-08-01,14.04,14.04,14.845,14.74,11836.0,14.474,6.426
2019-08-02,14.62,12.3,14.62,12.84,15800.0,14.214,-12.8901
2019-08-05,12.94,12.38,13.01,12.45,14541.0,13.726,-3.0374
2019-08-06,12.61,12.02,12.61,12.49,6682.0,13.274,0.3213
2019-08-07,12.42,12.05,12.65,12.05,4965.0,12.914,-3.5228
2019-08-08,12.39,11.51,12.5,12.5,11463.0,12.466,3.7344
2019-08-09,12.1,11.25,12.1,11.62,12756.0,12.222,-7.04
2019-08-12,11.86,10.99,12.55,11.15,17997.0,11.962,-4.0448
2019-08-13,11.29,11.15,11.67,11.31,11699.0,11.726,1.435
2019-08-14,11.3,10.08,11.33,10.15,19492.0,11.346,-10.2564
2019-08-15,10.09,9.25,10.31,9.26,9497.0,10.698,-8.7685
2019-08-16,9.55,8.19,9.55,9.04,12105.0,10.182,-2.3758
2019-08-19,9.38,9.2,11.41,10.96,27818.0,10.144,21.2389
2019-08-20,10.79,10.28,11.69,11.49,12059.0,10.18,4.8358
2019-08-21,11.21,10.76,11.49,11.36,16382.0,10.422,-1.1314
2019-08-22,11.31,10.85,11.75,11.61,8388.0,10.892,2.2007
2019-08-23,11.47,10.1,11.47,10.14,16531.0,11.112,-12.6615
2019-08-26,10.4,9.84,11.03,11.03,8926.0,11.126,8.7771
2019-08-27,10.86,10.24,11.15,10.87,9294.0,11.002,-1.4506
2019-08-28,10.71,9.8,10.71,10.09,19613.0,10.748,-7.1757
2019-08-29,10.26,9.98,10.99,10.92,7911.0,10.61,8.226
2019-08-30,10.99,10.45,10.99,10.95,6905.0,10.772,0.2747
2019-09-03,10.8,10.28,11.0,10.41,18955.0,10.648,-4.9315
2019-09-04,10.67,10.44,11.06,10.99,20369.0,10.672,5.5716
2019-09-05,11.15,10.65,11.73,11.43,25144.0,10.94,4.0036
2019-09-06,11.69,11.49,11.99,11.97,6577.0,11.15,4.7244
2019-09-09,12.29,11.39,12.29,11.64,7922.0,11.288,-2.7569
2019-09-10,11.45,10.93,11.45,11.2,20424.0,11.446,-3.7801
2019-09-11,11.02,10.54,11.7,11.41,6082.0,11.53,1.875
2019-09-12,11.51,10.845,12.05,10.845,4596.0,11.413,-4.9518
2019-09-13,10.78,9.81,10.78,10.2,8462.0,11.059,-5.9474
2019-09-16,9.88,8.7,9.88,9.13,9182.0,10.557,-10.4902
2019-09-17,9.18,9.05,9.645,9.33,6027.0,10.183,2.1906
2019-09-18,9.64,8.76,9.64,8.89,11817.0,9.679,-4.716
2019-09-19,9.08,8.43,9.08,8.55,14273.0,9.22,-3.8245
2019-09-20,8.56,8.56,9.49,8.67,227752.0,8.914,1.4035
2019-09-23,9.0,8.28,9.48,8.68,7471.0,8.824,0.1153
2019-09-24,8.63,7.6,9.05,7.76,20161.0,8.51,-10.5991
2019-09-25,7.88,7.18,7.88,7.55,11990.0,8.242,-2.7062
2019-09-26,7.46,7.46,7.85,7.69,7397.0,8.07,1.8543
2019-09-27,7.68,7.41,7.72,7.6,3620.0,7.856,-1.1704
2019-09-30,7.53,6.5,7.56,6.64,14327.0,7.448,-12.6316
2019-10-01,6.65,6.56,7.51,6.7,30137.0,7.236,0.9036
2019-10-02,6.59,6.5,6.9,6.59,3672.0,7.044,-1.6418
