date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,47.44,46.84,47.61,47.43,20695.0,47.736,0.4235
2015-01-05,46.93,45.29,46.93,45.79,57512.0,47.35,-3.4577
2015-01-06,45.78,44.14,45.86,44.67,138866.0,46.658,-2.4459
2015-01-07,45.08,44.7,45.21,45.08,21123.0,46.04,0.9178
2015-01-08,45.54,45.24,45.88,45.76,62923.0,45.746,1.5084
2015-01-09,45.73,44.46,45.73,44.49,25960.0,45.158,-2.7753
2015-01-12,44.49,43.84,44.76,44.51,23542.0,44.902,0.045
2015-01-13,44.99,43.55,45.358,43.96,40355.0,44.76,-1.2357
2015-01-14,43.21,42.96,43.85,43.83,84646.0,44.51,-0.2957
2015-01-15,40.5,39.9,43.37,42.01,123960.0,43.76,-4.1524
2015-01-16,41.31,40.05,41.95,41.88,89081.0,43.238,-0.3095
2015-01-20,42.0,40.18,42.14,40.27,56474.0,42.39,-3.8443
2015-01-21,40.25,40.02,40.93,40.61,48646.0,41.72,0.8443
2015-01-22,40.81,40.55,41.49,40.69,40474.0,41.092,0.197
2015-01-23,40.55,39.54,40.55,39.59,34341.0,40.608,-2.7034
2015-01-26,39.94,39.34,39.94,39.88,87620.0,40.208,0.7325
2015-01-27,39.32,39.23,40.09,39.97,47038.0,40.148,0.2257
2015-01-28,40.19,39.81,40.21,39.93,45666.0,40.012,-0.1001
2015-01-29,39.93,39.035,39.93,39.37,76963.0,39.748,-1.4025
2015-01-30,39.0,37.81,39.39,38.2,73986.0,39.47,-2.9718
2015-02-02,38.54,38.35,39.26,39.09,52791.0,39.312,2.3298
2015-02-03,39.25,39.25,39.86,39.49,74202.0,39.216,1.0233
2015-02-04,39.34,38.35,39.37,38.85,91425.0,39.0,-1.6207
2015-02-05,38.9,38.9,40.0,39.8,90443.0,39.086,2.4453
2015-02-06,39.91,38.99,39.91,39.39,101693.0,39.324,-1.0302
2015-02-09,39.4,38.89,39.89,39.09,81731.0,39.324,-0.7616
2015-02-10,39.07,36.91,39.37,39.25,329911.0,39.276,0.4093
2015-02-11,39.19,39.19,40.54,40.27,72556.0,39.56,2.5987
2015-02-12,40.69,40.65,41.34,41.01,55844.0,39.802,1.8376
2015-02-13,41.12,41.12,41.92,41.81,57553.0,40.286,1.9507
2015-02-17,41.61,41.48,42.1,41.67,28608.0,40.802,-0.3348
2015-02-18,41.71,41.71,42.51,42.49,60468.0,41.45,1.9678
2015-02-19,42.3,41.87,42.61,42.33,44596.0,41.862,-0.3766
2015-02-20,42.3,41.83,42.53,42.5,39834.0,42.16,0.4016
2015-02-23,42.48,42.23,42.61,42.47,34339.0,42.292,-0.0706
2015-02-24,42.42,42.24,42.86,42.76,37410.0,42.51,0.6828
2015-02-25,42.67,42.63,43.04,42.95,47631.0,42.602,0.4443
2015-02-26,43.12,42.69,43.29,42.92,39202.0,42.72,-0.0698
2015-02-27,42.85,42.85,44.5,44.0,96237.0,43.02,2.5163
2015-03-02,43.64,43.01,44.16,44.01,61797.0,43.328,0.0227
2015-03-03,43.72,43.43,44.18,43.99,61957.0,43.574,-0.0454
2015-03-04,43.91,42.94,43.91,43.66,79220.0,43.716,-0.7502
2015-03-05,42.1,37.11,42.37,37.78,410763.0,42.688,-13.4677
2015-03-06,37.44,36.68,37.73,36.89,212700.0,41.266,-2.3557
2015-03-09,36.92,36.33,36.93,36.55,182151.0,39.774,-0.9217
2015-03-10,36.13,35.88,36.55,36.19,91988.0,38.214,-0.985
2015-03-11,36.33,35.85,36.835,36.76,106545.0,36.834,1.575
2015-03-12,37.16,36.88,37.6,37.43,126320.0,36.764,1.8226
2015-03-13,37.44,37.1,38.42,37.91,96103.0,36.968,1.2824
2015-03-16,38.39,38.39,39.74,39.72,363782.0,37.602,4.7745
2015-03-17,39.32,38.31,39.32,39.13,231671.0,38.19,-1.4854
2015-03-18,39.02,38.78,41.05,40.6,213978.0,38.958,3.7567
