date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,21.25,20.37,21.25,20.63,150341.0,20.854,-2.1347
2015-01-05,20.55,20.16,20.77,20.63,194136.0,20.908,0.0
2015-01-06,20.71,20.41,20.93,20.56,369691.0,20.808,-0.3393
2015-01-07,20.82,20.81,21.49,21.36,267131.0,20.852,3.8911
2015-01-08,21.5,20.76,21.65,21.33,312097.0,20.902,-0.1404
2015-01-09,21.25,20.75,21.3,20.8,308614.0,20.936,-2.4848
2015-01-12,20.88,20.88,21.46,21.45,221616.0,21.1,3.125
2015-01-13,21.6,20.85,21.77,21.04,424372.0,21.196,-1.9114
2015-01-14,20.65,20.05,20.82,20.38,424284.0,21.0,-3.1369
2015-01-15,20.46,19.74,20.48,19.95,362618.0,20.724,-2.1099
2015-01-16,19.97,19.7,20.085,20.08,308622.0,20.58,0.6516
2015-01-20,20.1,19.57,20.18,19.94,264799.0,20.278,-0.6972
2015-01-21,19.88,19.74,20.05,19.9,160067.0,20.05,-0.2006
2015-01-22,20.08,19.99,20.38,20.14,284926.0,20.002,1.206
2015-01-23,20.12,19.52,20.13,19.83,325757.0,19.978,-1.5392
2015-01-26,19.77,19.64,20.02,19.92,271007.0,19.946,0.4539
2015-01-27,19.77,19.58,20.13,20.04,213945.0,19.966,0.6024
2015-01-28,20.2,19.46,20.21,19.53,216527.0,19.892,-2.5449
2015-01-29,19.66,19.36,19.79,19.74,175316.0,19.812,1.0753
2015-01-30,19.18,18.6,19.36,18.78,434984.0,19.602,-4.8632
2015-02-02,18.0,17.68,18.26,18.23,438105.0,19.264,-2.9286
2015-02-03,18.31,18.3,18.99,18.97,321190.0,19.05,4.0592
2015-02-04,18.81,18.52,19.18,18.86,355472.0,18.916,-0.5799
2015-02-05,18.91,18.6,19.02,18.65,269100.0,18.698,-1.1135
2015-02-06,18.75,18.48,18.86,18.55,347255.0,18.652,-0.5362
