date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,13.4,13.06,13.43,13.26,55492.0,13.444,-0.3008
2015-01-05,13.12,13.07,13.4,13.12,60690.0,13.358,-1.0558
2015-01-06,13.11,12.72,13.17,12.95,67276.0,13.214,-1.2957
2015-01-07,13.01,12.86,13.07,12.97,49042.0,13.12,0.1544
2015-01-08,13.16,13.08,13.3,13.2,101254.0,13.1,1.7733
2015-01-09,13.22,13.11,13.42,13.3,46177.0,13.108,0.7576
2015-01-12,13.32,13.16,13.4,13.35,50665.0,13.154,0.3759
2015-01-13,13.53,13.28,13.88,13.49,93562.0,13.262,1.0487
2015-01-14,13.3,13.3,13.72,13.48,70806.0,13.364,-0.0741
2015-01-15,13.57,13.06,13.57,13.12,57222.0,13.348,-2.6706
2015-01-16,13.13,13.13,13.52,13.5,63055.0,13.388,2.8963
2015-01-20,13.56,13.26,13.59,13.32,60354.0,13.382,-1.3333
2015-01-21,13.21,13.18,13.43,13.21,47636.0,13.326,-0.8258
2015-01-22,13.34,13.33,13.78,13.73,68371.0,13.376,3.9364
2015-01-23,13.69,13.57,13.8,13.67,53410.0,13.486,-0.437
2015-01-26,13.67,13.54,14.07,13.86,76375.0,13.558,1.3899
2015-01-27,13.72,13.65,13.99,13.87,73075.0,13.668,0.0722
2015-01-28,13.96,13.45,14.03,13.51,71040.0,13.728,-2.5955
2015-01-29,13.62,13.61,14.64,14.57,105517.0,13.896,7.846
2015-01-30,14.66,14.32,14.81,14.69,180493.0,14.1,0.8236
2015-02-02,14.82,14.82,15.25,15.23,110010.0,14.374,3.676
2015-02-03,15.25,15.25,15.46,15.41,80265.0,14.682,1.1819
2015-02-04,15.39,15.23,15.47,15.23,61249.0,15.026,-1.1681
2015-02-05,15.32,15.3,15.62,15.52,52859.0,15.216,1.9041
2015-02-06,15.62,15.54,15.76,15.63,74352.0,15.404,0.7088
2015-02-09,15.54,15.49,16.0,15.58,71846.0,15.474,-0.3199
2015-02-10,15.74,15.5,15.9,15.76,64457.0,15.544,1.1553
2015-02-11,15.77,15.76,15.98,15.77,35904.0,15.652,0.0635
2015-02-12,15.94,15.65,15.98,15.75,42933.0,15.698,-0.1268
2015-02-13,15.72,15.57,15.85,15.71,63505.0,15.714,-0.254
2015-02-17,15.74,15.58,15.99,15.79,62260.0,15.756,0.5092
2015-02-18,15.72,15.72,16.2,16.13,60511.0,15.83,2.1533
2015-02-19,16.12,15.95,16.31,16.14,34119.0,15.904,0.062
2015-02-20,16.15,15.99,16.31,16.17,52570.0,15.988,0.1859
2015-02-23,16.18,16.05,16.43,16.28,59143.0,16.102,0.6803
2015-02-24,16.33,16.21,16.52,16.3,47093.0,16.204,0.1229
2015-02-25,16.31,16.23,16.42,16.27,39663.0,16.232,-0.184
2015-02-26,16.3,16.2,16.4,16.25,67466.0,16.254,-0.1229
2015-02-27,16.24,16.22,16.35,16.32,73416.0,16.284,0.4308
2015-03-02,16.32,16.27,16.55,16.51,62080.0,16.33,1.1642
2015-03-03,16.42,16.32,16.52,16.38,44734.0,16.346,-0.7874
2015-03-04,16.24,16.16,16.3,16.19,54216.0,16.33,-1.16
2015-03-05,16.18,16.09,16.34,16.3,58282.0,16.34,0.6794
2015-03-06,16.22,16.05,16.44,16.11,80973.0,16.298,-1.1656
2015-03-09,16.11,16.1,16.335,16.21,60354.0,16.238,0.6207
