date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,29.51,29.26,29.72,29.69,140883.0,29.594,1.1929
2015-01-05,29.58,28.86,29.58,28.97,179031.0,29.464,-2.4251
2015-01-06,28.99,28.28,29.04,28.54,198524.0,29.208,-1.4843
2015-01-07,28.69,28.54,29.25,29.21,146602.0,29.15,2.3476
2015-01-08,29.33,29.25,29.86,29.51,223677.0,29.184,1.027
2015-01-09,30.3,30.3,31.34,31.19,293287.0,29.484,5.693
2015-01-12,31.11,30.9,31.35,31.23,162466.0,29.936,0.1282
2015-01-13,31.16,31.1,31.5,31.43,141268.0,30.514,0.6404
2015-01-14,31.35,31.21,31.72,31.68,121625.0,31.008,0.7954
2015-01-15,31.69,31.59,32.21,31.94,246574.0,31.494,0.8207
2015-01-16,32.04,31.91,32.44,32.21,248009.0,31.698,0.8453
2015-01-20,32.31,31.7,32.31,31.92,154663.0,31.836,-0.9003
2015-01-21,32.0,31.85,32.36,32.02,173155.0,31.954,0.3133
2015-01-22,32.22,32.13,32.48,32.44,185601.0,32.106,1.3117
2015-01-23,32.45,32.05,32.56,32.47,1123849.0,32.212,0.0925
2015-01-26,32.59,32.47,32.78,32.65,972379.0,32.3,0.5544
2015-01-27,32.19,32.19,33.06,32.97,259832.0,32.51,0.9801
2015-01-28,33.13,32.69,33.13,32.8,196373.0,32.666,-0.5156
2015-01-29,32.92,32.57,33.0,32.99,210869.0,32.776,0.5793
2015-01-30,32.42,32.42,33.19,32.63,176268.0,32.808,-1.0912
2015-02-02,32.75,32.36,33.0,32.95,194517.0,32.868,0.9807
2015-02-03,32.84,32.58,34.0,33.74,474428.0,33.022,2.3976
2015-02-04,33.78,33.41,34.05,33.57,266370.0,33.176,-0.5039
2015-02-05,33.7,33.56,33.9,33.6,156409.0,33.298,0.0894
2015-02-06,33.76,33.27,33.76,33.46,227062.0,33.464,-0.4167
2015-02-09,33.48,33.35,33.86,33.5,246236.0,33.574,0.1195
2015-02-10,33.56,33.15,33.66,33.56,140002.0,33.538,0.1791
2015-02-11,33.53,33.35,33.87,33.85,101535.0,33.594,0.8641
2015-02-12,34.0,33.95,34.19,34.13,120826.0,33.7,0.8272
2015-02-13,34.17,33.53,34.27,33.57,90768.0,33.722,-1.6408
2015-02-17,33.52,33.42,33.69,33.5,94370.0,33.722,-0.2085
2015-02-18,33.58,33.34,34.03,33.87,114912.0,33.784,1.1045
2015-02-19,33.8,33.48,33.8,33.61,93042.0,33.736,-0.7676
2015-02-20,33.6,33.51,33.82,33.79,128425.0,33.668,0.5356
2015-02-23,33.88,33.5,33.92,33.91,127710.0,33.736,0.3551
2015-02-24,33.99,33.53,33.99,33.85,146143.0,33.806,-0.1769
2015-02-25,33.96,33.61,34.11,33.77,152327.0,33.786,-0.2363
2015-02-26,33.7,33.54,33.73,33.57,82949.0,33.778,-0.5922
2015-02-27,33.38,33.34,33.93,33.85,232685.0,33.79,0.8341
2015-03-02,33.94,33.64,34.27,33.79,104762.0,33.766,-0.1773
