date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-07-20,68.5,68.5,77.5,74.5,3264.0,,
2015-07-21,76.0,74.7,78.0,75.2,2975.0,,0.9396
2015-07-22,76.5,73.0,76.5,75.4,2357.0,,0.266
2015-07-23,76.9,74.7,76.9,75.2,1033.0,,-0.2653
2015-07-24,75.6,71.1,75.6,71.1,5482.0,74.28,-5.4521
2015-07-27,72.0,71.1,72.6,72.5,824.0,73.88,1.9691
2015-07-28,74.5,71.1,74.5,71.1,873.0,73.06,-1.931
2015-07-29,71.9,71.4,72.4,71.5,1328.0,72.28,0.5626
2015-07-30,72.0,70.5,72.1,71.4,1618.0,71.52,-0.1399
2015-07-31,70.7,70.7,72.8,72.7,1218.0,71.84,1.8207
2015-08-03,71.9,71.6,72.7,71.8,748.0,71.7,-1.238
2015-08-04,73.9,71.3,73.9,71.5,254.0,71.78,-0.4178
2015-08-05,69.5,69.5,76.5,73.9,2672.0,72.26,3.3566
2015-08-06,74.7,72.4,76.0,74.3,708.0,72.84,0.5413
2015-08-07,75.0,71.0,75.0,71.9,343.0,72.68,-3.2301
2015-08-10,71.6,71.6,73.5,72.5,215.0,72.82,0.8345
2015-08-11,70.9,70.9,72.8,71.5,930.0,72.82,-1.3793
2015-08-12,70.9,69.6,70.9,69.9,1183.0,72.02,-2.2378
2015-08-13,68.8,68.6,70.6,69.5,583.0,71.06,-0.5722
2015-08-14,70.0,68.8,70.2,69.4,389.0,70.56,-0.1439
2015-08-17,69.5,66.8,69.5,66.9,517.0,69.44,-3.6023
2015-08-18,66.5,62.7,66.5,63.0,718.0,67.74,-5.8296
2015-08-19,63.5,59.5,63.5,59.8,1166.0,65.72,-5.0794
2015-08-20,60.0,60.0,63.2,61.3,478.0,64.08,2.5084
2015-08-21,61.0,59.0,61.0,59.0,951.0,62.0,-3.752
2015-08-24,50.0,50.0,59.6,56.0,3485.0,59.82,-5.0847
2015-08-25,57.3,52.6,57.3,53.8,4092.0,57.98,-3.9286
2015-08-26,55.0,52.8,55.2,54.4,2273.0,56.9,1.1152
2015-08-27,54.5,53.9,54.9,54.0,142.0,55.44,-0.7353
2015-08-28,56.2,55.1,56.2,55.1,254.0,54.66,2.037
2015-08-31,52.8,52.8,56.9,56.3,1182.0,54.72,2.1779
2015-09-01,54.2,54.2,55.9,55.5,277.0,55.06,-1.421
2015-09-02,54.2,53.2,55.8,55.7,866.0,55.32,0.3604
2015-09-03,55.7,53.9,55.9,55.0,812.0,55.52,-1.2567
2015-09-04,54.0,53.8,55.5,55.0,1644.0,55.5,0.0
2015-09-08,53.5,51.4,54.5,52.0,1408.0,54.64,-5.4545
2015-09-09,52.8,51.5,53.5,52.7,3190.0,54.08,1.3462
2015-09-10,52.4,51.1,52.4,51.6,881.0,53.26,-2.0873
2015-09-11,51.8,48.1,52.0,49.1,2714.0,52.08,-4.845
2015-09-14,48.7,48.1,49.9,48.9,957.0,50.86,-0.4073
2015-09-15,49.5,47.5,49.6,47.5,399.0,49.96,-2.863
2015-09-16,46.7,46.7,48.8,47.8,1514.0,48.98,0.6316
2015-09-17,48.4,47.6,49.1,47.6,1781.0,48.18,-0.4184
2015-09-18,48.0,47.0,48.2,47.5,3389.0,47.86,-0.2101
2015-09-21,48.6,47.0,48.9,47.4,1880.0,47.56,-0.2105
2015-09-22,47.8,46.1,47.8,47.1,441.0,47.48,-0.6329
2015-09-23,47.1,44.3,47.1,44.8,2033.0,46.88,-4.8832
2015-09-24,43.8,43.4,45.7,45.7,596.0,46.5,2.0089
2015-09-25,45.2,42.8,45.2,43.7,1839.0,45.74,-4.3764
2015-09-28,43.6,38.2,43.6,39.5,773.0,44.16,-9.611
2015-09-29,39.1,39.0,39.7,39.1,1908.0,42.56,-1.0127
2015-09-30,40.1,39.0,40.3,39.1,3146.0,41.42,0.0
2015-10-01,39.4,36.9,39.7,36.9,2033.0,39.66,-5.6266
2015-10-02,36.9,32.2,37.0,35.3,6137.0,37.98,-4.336
2015-10-05,34.5,34.5,37.4,37.0,6541.0,37.48,4.8159
2015-10-06,36.6,35.1,37.2,35.7,4760.0,36.8,-3.5135
2015-10-07,36.4,34.2,36.8,34.9,2479.0,35.96,-2.2409
2015-10-08,34.4,34.1,35.0,34.7,1904.0,35.52,-0.5731
2015-10-09,35.2,34.89,35.5,35.0,2249.0,35.46,0.8646
2015-10-12,34.2,32.9,34.8,33.4,1346.0,34.74,-4.5714
2015-10-13,33.2,32.4,34.1,32.5,3295.0,34.1,-2.6946
2015-10-14,33.1,32.5,34.8,34.5,3022.0,34.02,6.1538
2015-10-15,34.9,33.0,35.0,34.3,2363.0,33.94,-0.5797
2015-10-16,34.9,32.6,35.0,33.0,2089.0,33.54,-3.7901
