date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,2.8,2.66,2.8,2.68,340941.0,2.834,-2.5455
2015-01-05,2.65,2.58,2.72,2.6,335225.0,2.752,-2.9851
2015-01-06,2.63,2.421,2.7,2.49,335321.0,2.66,-4.2308
2015-01-07,2.55,2.49,2.59,2.58,408305.0,2.62,3.6145
2015-01-08,2.65,2.58,2.72,2.71,272617.0,2.612,5.0388
2015-01-09,2.7,2.64,2.7,2.69,161600.0,2.614,-0.738
2015-01-12,2.7,2.6,2.75,2.72,202619.0,2.638,1.1152
2015-01-13,2.74,2.62,2.78,2.76,272187.0,2.692,1.4706
2015-01-14,2.71,2.63,2.71,2.67,202443.0,2.71,-3.2609
2015-01-15,2.68,2.54,2.68,2.54,374981.0,2.676,-4.8689
2015-01-16,2.53,2.53,2.65,2.63,358964.0,2.664,3.5433
2015-01-20,2.62,2.52,2.62,2.57,177249.0,2.634,-2.2814
2015-01-21,2.56,2.43,2.6,2.48,285239.0,2.578,-3.5019
2015-01-22,2.55,2.5,2.59,2.52,261244.0,2.548,1.6129
2015-01-23,2.5,2.44,2.52,2.45,142371.0,2.53,-2.7778
2015-01-26,2.44,2.39,2.57,2.5,683781.0,2.504,2.0408
2015-01-27,2.46,2.46,2.5,2.49,232341.0,2.488,-0.4
2015-01-28,2.5,2.4,2.5,2.43,420002.0,2.478,-2.4096
2015-01-29,2.43,2.4,2.5,2.48,289642.0,2.47,2.0576
2015-01-30,2.44,2.4,2.49,2.42,336468.0,2.464,-2.4194
2015-02-02,2.36,2.33,2.45,2.39,352636.0,2.442,-1.2397
2015-02-03,2.39,2.39,2.5,2.5,329923.0,2.444,4.6025
2015-02-04,2.5,2.44,2.51,2.48,287212.0,2.454,-0.8
2015-02-05,2.48,2.39,2.52,2.46,349823.0,2.45,-0.8065
2015-02-06,2.45,2.37,2.45,2.4,319730.0,2.446,-2.439
2015-02-09,2.39,2.3,2.42,2.32,259047.0,2.432,-3.3333
2015-02-10,2.32,2.16,2.36,2.2,572771.0,2.372,-5.1724
2015-02-11,2.19,2.18,2.3,2.27,332374.0,2.33,3.1818
2015-02-12,2.29,2.25,2.34,2.32,312058.0,2.302,2.2026
2015-02-13,2.34,2.34,2.41,2.4,524073.0,2.302,3.4483
2015-02-17,2.4,2.36,2.57,2.55,534525.0,2.348,6.25
2015-02-18,2.6,2.51,2.71,2.69,816384.0,2.446,5.4902
2015-02-19,2.69,2.521,2.75,2.55,272369.0,2.502,-5.2045
2015-02-20,2.58,2.54,2.62,2.6,299759.0,2.558,1.9608
2015-02-23,2.6,2.53,2.6,2.56,266255.0,2.59,-1.5385
2015-02-24,2.57,2.46,2.599,2.49,289073.0,2.578,-2.7344
2015-02-25,2.5,2.44,2.59,2.58,400218.0,2.556,3.6145
2015-02-26,2.59,2.52,2.67,2.54,462000.0,2.554,-1.5504
2015-02-27,2.54,2.52,2.59,2.58,276471.0,2.55,1.5748
2015-03-02,2.58,2.51,2.63,2.53,542968.0,2.544,-1.938
