date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2018-01-25,19.05,18.25,19.4,18.5,9626206.0,,
2018-01-26,18.5,18.49,18.96,18.9,363739.0,,2.1622
2018-01-29,18.94,18.82,19.28,19.1,79969.0,,1.0582
2018-01-30,19.0,18.99,19.27,19.19,173189.0,,0.4712
2018-01-31,19.28,19.2,19.73,19.6,2785239.0,19.058,2.1365
2018-02-01,19.6,19.5,20.0,19.72,279317.0,19.302,0.6122
2018-02-02,19.63,18.99,19.64,18.99,156654.0,19.32,-3.7018
2018-02-05,18.78,17.87,18.78,18.35,145537.0,19.17,-3.3702
2018-02-06,18.17,18.1,18.48,18.34,118107.0,19.0,-0.0545
2018-02-07,18.36,18.03,18.78,18.44,52947.0,18.768,0.5453
2018-02-08,18.54,18.14,18.98,18.14,149465.0,18.452,-1.6269
2018-02-09,18.15,17.57,18.18,17.94,104420.0,18.242,-1.1025
2018-02-12,18.0,17.94,18.11,18.0,54821.0,18.172,0.3344
2018-02-13,17.84,17.8,18.43,18.38,23859.0,18.18,2.1111
2018-02-14,18.42,18.28,18.84,18.61,13933.0,18.214,1.2514
2018-02-15,18.53,17.95,18.54,18.38,52762.0,18.262,-1.2359
2018-02-16,18.5,18.11,18.57,18.29,50446.0,18.332,-0.4897
2018-02-20,18.11,18.04,18.4,18.08,77261.0,18.348,-1.1482
2018-02-21,18.09,17.68,18.17,17.75,93867.0,18.222,-1.8252
2018-02-22,17.79,17.52,17.89,17.64,66270.0,18.028,-0.6197
2018-02-23,17.73,16.601,17.73,17.06,148418.0,17.764,-3.288
2018-02-26,17.12,16.9,17.195,16.94,54053.0,17.494,-0.7034
2018-02-27,16.96,16.9,17.54,17.44,73086.0,17.366,2.9516
2018-02-28,17.42,17.17,17.42,17.36,87375.0,17.288,-0.4587
2018-03-01,17.21,17.03,17.46,17.17,89002.0,17.194,-1.0945
2018-03-02,17.04,16.97,17.17,17.09,113010.0,17.2,-0.4659
2018-03-05,17.08,17.06,17.77,17.69,82215.0,17.35,3.5108
2018-03-06,17.83,17.51,18.05,17.87,72294.0,17.436,1.0175
2018-03-07,17.75,17.64,18.01,17.75,53150.0,17.514,-0.6715
2018-03-08,17.88,17.57,17.88,17.7,55091.0,17.62,-0.2817
2018-03-09,17.7,17.51,17.85,17.72,76739.0,17.746,0.113
2018-03-12,17.7,17.7,18.25,18.12,113628.0,17.832,2.2573
2018-03-13,18.29,17.08,18.31,17.95,189465.0,17.848,-0.9382
2018-03-14,18.6,17.76,18.6,18.01,270388.0,17.9,0.3343
2018-03-15,17.75,17.7,18.08,18.08,148821.0,17.976,0.3887
2018-03-16,18.5,17.98,18.5,18.22,2456672.0,18.076,0.7743
2018-03-19,18.26,17.93,18.44,18.34,162798.0,18.12,0.6586
2018-03-20,18.42,18.24,18.52,18.33,114538.0,18.196,-0.0545
2018-03-21,18.28,17.96,18.33,17.96,79808.0,18.186,-2.0185
2018-03-22,17.86,17.54,18.02,17.57,97415.0,18.084,-2.1715
2018-03-23,17.55,16.85,17.59,17.03,156830.0,17.846,-3.0734
2018-03-26,17.27,17.27,17.59,17.5,354038.0,17.678,2.7598
2018-03-27,17.53,16.96,17.53,17.0,82891.0,17.412,-2.8571
2018-03-28,17.02,16.94,17.1,17.02,57077.0,17.224,0.1176
2018-03-29,17.1,17.07,17.62,17.51,88700.0,17.212,2.879
2018-04-02,17.49,16.65,17.58,16.84,156186.0,17.174,-3.8264
2018-04-03,16.95,16.74,17.11,17.09,135693.0,17.092,1.4846
2018-04-04,16.96,16.65,17.09,17.07,110066.0,17.106,-0.117
2018-04-05,17.12,17.0,17.44,17.26,154776.0,17.154,1.1131
2018-04-06,17.1,16.66,17.26,16.98,91037.0,17.048,-1.6222
