date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,3.81,3.71,3.86,3.74,9244.0,3.688,-0.7958
2015-01-05,3.79,3.71,3.89,3.89,26661.0,3.742,4.0107
2015-01-06,3.86,3.63,3.92,3.68,10354.0,3.74,-5.3985
2015-01-07,3.66,3.56,3.7,3.59,11972.0,3.734,-2.4457
2015-01-08,3.65,3.65,3.86,3.86,5810.0,3.752,7.5209
2015-01-09,3.88,3.66,3.88,3.72,4824.0,3.748,-3.6269
2015-01-12,3.69,3.48,3.69,3.53,14743.0,3.676,-5.1075
2015-01-13,3.54,3.5,3.58,3.55,16627.0,3.65,0.5666
2015-01-14,3.53,3.52,3.6,3.6,3453.0,3.652,1.4085
2015-01-15,3.57,3.47,3.57,3.5,4623.0,3.58,-2.7778
2015-01-16,3.53,3.46,3.53,3.46,1123.0,3.528,-1.1429
2015-01-20,3.49,3.36,3.49,3.42,2871.0,3.506,-1.1561
2015-01-21,3.45,3.39,3.52,3.5,24271.0,3.496,2.3392
2015-01-22,3.48,3.48,3.57,3.55,7827.0,3.486,1.4286
2015-01-23,3.58,3.54,3.73,3.72,11024.0,3.53,4.7887
2015-01-26,3.68,3.56,3.68,3.56,5341.0,3.55,-4.3011
2015-01-27,3.56,3.49,3.62,3.49,3405.0,3.564,-1.9663
2015-01-28,3.54,3.46,3.59,3.51,10224.0,3.566,0.5731
2015-01-29,3.51,3.48,3.54,3.54,4520.0,3.564,0.8547
2015-01-30,3.51,3.37,3.53,3.37,9811.0,3.494,-4.8023
2015-02-02,3.4,3.4,3.56,3.52,14297.0,3.486,4.451
2015-02-03,3.57,3.55,3.61,3.56,8312.0,3.5,1.1364
2015-02-04,3.54,3.5,3.54,3.52,2330.0,3.502,-1.1236
2015-02-05,3.51,3.51,3.56,3.56,4025.0,3.506,1.1364
2015-02-06,3.49,3.49,3.57,3.57,19986.0,3.546,0.2809
2015-02-09,3.53,3.5,3.53,3.51,3983.0,3.544,-1.6807
2015-02-10,3.5,3.49,3.52,3.52,4503.0,3.536,0.2849
2015-02-11,3.5,3.5,3.53,3.53,4723.0,3.538,0.2841
2015-02-12,3.54,3.46,3.54,3.5,3492.0,3.526,-0.8499
2015-02-13,3.5,3.48,3.58,3.54,31682.0,3.52,1.1429
2015-02-17,3.56,3.5,3.56,3.52,2896.0,3.522,-0.565
2015-02-18,3.51,3.51,3.59,3.55,6002.0,3.528,0.8523
2015-02-19,3.5,3.49,3.65,3.65,51246.0,3.552,2.8169
2015-02-20,3.68,3.66,3.9,3.87,8806.0,3.626,6.0274
2015-02-23,3.88,3.82,3.96,3.82,7747.0,3.682,-1.292
2015-02-24,3.81,3.8,3.84,3.81,6335.0,3.74,-0.2618
2015-02-25,3.8,3.8,3.9,3.88,738.0,3.806,1.8373
2015-02-26,3.86,3.86,3.94,3.91,4968.0,3.858,0.7732
2015-02-27,3.89,3.85,4.0,3.9,14301.0,3.864,-0.2558
2015-03-02,3.92,3.92,3.99,3.99,13668.0,3.898,2.3077
2015-03-03,3.96,3.9,3.96,3.9,4191.0,3.916,-2.2556
2015-03-04,3.93,3.85,3.98,3.87,16813.0,3.914,-0.7692
2015-03-05,4.0,3.99,4.36,4.2,32234.0,3.972,8.5271
2015-03-06,4.17,4.15,4.26,4.26,9049.0,4.044,1.4286
2015-03-09,4.26,4.19,4.33,4.33,6324.0,4.112,1.6432
2015-03-10,4.25,4.25,4.52,4.49,7935.0,4.23,3.6952
2015-03-11,4.36,4.29,4.45,4.31,12538.0,4.318,-4.0089
2015-03-12,4.3,4.17,4.33,4.27,48254.0,4.332,-0.9281
2015-03-13,4.27,4.12,4.3,4.2,16544.0,4.32,-1.6393
2015-03-16,4.18,4.1,4.31,4.13,57321.0,4.28,-1.6667
2015-03-17,4.1,3.98,4.1,4.07,8016.0,4.196,-1.4528
2015-03-18,4.0,3.99,4.1,4.06,7496.0,4.146,-0.2457
2015-03-19,4.12,4.0,4.14,4.09,5367.0,4.11,0.7389
2015-03-20,4.14,4.02,4.16,4.15,22957.0,4.1,1.467
2015-03-23,4.11,4.03,4.17,4.13,8964.0,4.1,-0.4819
