date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,7.09,6.9,7.13,7.01,106734.0,7.138,0.0
2015-01-05,6.9,6.76,7.01,6.87,168321.0,7.048,-1.9971
2015-01-06,6.9,6.65,6.95,6.75,206597.0,6.954,-1.7467
2015-01-07,6.78,6.69,6.88,6.78,99721.0,6.884,0.4444
2015-01-08,6.87,6.82,6.96,6.87,201115.0,6.856,1.3274
2015-01-09,6.86,6.71,6.89,6.78,108517.0,6.81,-1.31
2015-01-12,6.75,6.525,6.82,6.82,169851.0,6.8,0.59
2015-01-13,6.9,6.77,7.1,6.87,198364.0,6.824,0.7331
2015-01-14,6.78,6.76,6.975,6.935,183075.0,6.855,0.9461
2015-01-15,6.98,6.75,6.99,6.76,170544.0,6.833,-2.5234
2015-01-16,6.73,6.68,6.88,6.82,186150.0,6.841,0.8876
2015-01-20,6.81,6.76,6.88,6.82,135089.0,6.841,0.0
2015-01-21,6.79,6.73,6.85,6.81,110360.0,6.829,-0.1466
2015-01-22,6.84,6.74,6.99,6.99,226292.0,6.84,2.6432
2015-01-23,6.97,6.94,7.06,7.01,285811.0,6.89,0.2861
2015-01-26,7.03,6.98,7.14,7.095,235604.0,6.945,1.2126
2015-01-27,6.99,6.99,7.145,7.08,228429.0,6.997,-0.2114
2015-01-28,7.11,7.03,7.19,7.04,176767.0,7.043,-0.565
2015-01-29,7.08,6.905,7.08,6.91,463024.0,7.027,-1.8466
2015-01-30,7.25,7.1,7.89,7.65,1104817.0,7.155,10.7091
2015-02-02,7.64,7.59,7.795,7.64,579165.0,7.264,-0.1307
2015-02-03,7.64,7.64,7.78,7.78,341600.0,7.404,1.8325
2015-02-04,7.71,7.61,7.86,7.69,372522.0,7.534,-1.1568
2015-02-05,7.74,7.68,7.84,7.77,329164.0,7.706,1.0403
2015-02-06,7.78,7.67,7.845,7.74,268085.0,7.724,-0.3861
2015-02-09,7.7,7.65,7.84,7.76,209959.0,7.748,0.2584
2015-02-10,7.78,7.69,7.81,7.75,139443.0,7.742,-0.1289
2015-02-11,7.73,7.7,7.82,7.77,101007.0,7.758,0.2581
2015-02-12,7.81,7.79,7.93,7.89,265910.0,7.782,1.5444
2015-02-13,7.91,7.87,7.97,7.9,158190.0,7.814,0.1267
2015-02-17,7.87,7.79,7.95,7.92,199456.0,7.846,0.2532
2015-02-18,7.89,7.82,7.93,7.89,173051.0,7.874,-0.3788
2015-02-19,7.85,7.81,7.94,7.87,116055.0,7.894,-0.2535
2015-02-20,7.89,7.8,7.91,7.9,179443.0,7.896,0.3812
2015-02-23,7.88,7.79,7.91,7.87,148752.0,7.89,-0.3797
2015-02-24,7.89,7.72,7.95,7.75,298636.0,7.856,-1.5248
2015-02-25,7.72,7.72,7.855,7.81,167355.0,7.84,0.7742
2015-02-26,7.81,7.75,7.92,7.86,132627.0,7.838,0.6402
2015-02-27,7.87,7.8,7.92,7.81,153789.0,7.82,-0.6361
2015-03-02,7.78,7.78,7.97,7.92,142139.0,7.83,1.4085
2015-03-03,7.87,7.71,7.94,7.72,126767.0,7.824,-2.5253
2015-03-04,7.69,7.64,7.73,7.71,142748.0,7.804,-0.1295
2015-03-05,7.73,7.55,7.75,7.65,129835.0,7.762,-0.7782
2015-03-06,7.56,7.53,7.67,7.54,168458.0,7.708,-1.4379
2015-03-09,7.55,7.48,7.66,7.59,146995.0,7.642,0.6631
2015-03-10,7.51,7.38,7.55,7.39,146735.0,7.576,-2.635
2015-03-11,7.39,7.28,7.53,7.48,127531.0,7.53,1.2179
2015-03-12,7.5,7.48,7.68,7.68,119134.0,7.536,2.6738
2015-03-13,7.68,7.55,7.72,7.58,125218.0,7.544,-1.3021
2015-03-16,7.57,7.57,7.7,7.58,91472.0,7.542,0.0
2015-03-17,7.58,7.54,7.63,7.59,103767.0,7.582,0.1319
2015-03-18,7.55,7.49,7.625,7.55,135669.0,7.596,-0.527
2015-03-19,7.51,7.51,7.61,7.54,72065.0,7.568,-0.1325
2015-03-20,7.6,7.59,7.7,7.63,696805.0,7.578,1.1936
2015-03-23,7.65,7.64,7.8,7.66,140711.0,7.594,0.3932
2015-03-24,7.64,7.585,7.72,7.61,114005.0,7.598,-0.6527
2015-03-25,7.59,7.25,7.64,7.3,112994.0,7.548,-4.0736
2015-03-26,7.25,7.18,7.32,7.28,112286.0,7.496,-0.274
2015-03-27,7.26,7.2,7.33,7.3,97509.0,7.43,0.2747
2015-03-30,7.32,7.32,7.41,7.395,85447.0,7.377,1.3014
2015-03-31,7.33,7.33,7.46,7.41,92533.0,7.337,0.2028
2015-04-01,7.36,7.26,7.39,7.35,96490.0,7.347,-0.8097
2015-04-02,7.35,7.34,7.43,7.38,83409.0,7.367,0.4082
2015-04-06,7.31,7.3,7.43,7.37,87006.0,7.381,-0.1355
2015-04-07,7.34,7.3,7.4,7.31,58104.0,7.364,-0.8141
2015-04-08,7.28,7.28,7.4,7.365,90418.0,7.355,0.7524
2015-04-09,7.37,7.29,7.4,7.385,60429.0,7.362,0.2716
2015-04-10,7.45,7.43,7.63,7.57,102141.0,7.4,2.5051
2015-04-13,7.54,7.495,7.63,7.5,58045.0,7.426,-0.9247
2015-04-14,7.53,7.365,7.53,7.39,104094.0,7.442,-1.4667
2015-04-15,7.44,7.28,7.44,7.35,81599.0,7.439,-0.5413
2015-04-16,7.35,7.35,7.47,7.42,92004.0,7.446,0.9524
2015-04-17,7.36,7.25,7.43,7.27,159614.0,7.386,-2.0216
2015-04-20,7.28,7.28,7.42,7.38,82641.0,7.362,1.5131
2015-04-21,7.43,7.34,7.48,7.46,51148.0,7.376,1.084
2015-04-22,7.43,7.34,7.46,7.44,28658.0,7.394,-0.2681
2015-04-23,7.4,7.29,7.51,7.48,67840.0,7.406,0.5376
2015-04-24,7.51,7.39,7.51,7.45,53937.0,7.442,-0.4011
2015-04-27,7.45,7.27,7.57,7.31,120735.0,7.428,-1.8792
2015-04-28,7.32,7.31,7.465,7.45,82744.0,7.426,1.9152
2015-04-29,6.55,6.55,7.22,6.96,180532.0,7.33,-6.5772
2015-04-30,6.93,6.91,7.05,7.01,165079.0,7.236,0.7184
2015-05-01,7.05,6.93,7.13,6.95,232664.0,7.136,-0.8559
2015-05-04,6.95,6.92,7.03,6.94,61442.0,7.062,-0.1439
2015-05-05,6.89,6.765,6.97,6.78,121305.0,6.928,-2.3055
2015-05-06,6.8,6.66,6.82,6.73,137418.0,6.882,-0.7375
2015-05-07,6.7,6.7,6.81,6.73,62251.0,6.826,0.0
2015-05-08,6.8,6.75,6.86,6.84,90272.0,6.804,1.6345
2015-05-11,6.85,6.85,6.96,6.91,75004.0,6.798,1.0234
2015-05-12,6.89,6.75,7.14,7.13,154318.0,6.868,3.1838
2015-05-13,7.17,6.895,7.2,6.9,103338.0,6.902,-3.2258
2015-05-14,6.91,6.89,7.01,6.96,107799.0,6.948,0.8696
2015-05-15,6.93,6.85,6.97,6.925,92850.0,6.965,-0.5029
2015-05-18,6.9,6.89,6.99,6.93,86846.0,6.969,0.0722
2015-05-19,6.95,6.88,6.95,6.9,65524.0,6.923,-0.4329
2015-05-20,6.95,6.87,6.96,6.93,73864.0,6.929,0.4348
2015-05-21,6.94,6.88,6.98,6.9,57221.0,6.917,-0.4329
2015-05-22,6.87,6.795,6.925,6.825,74681.0,6.897,-1.087
2015-05-26,6.74,6.72,6.88,6.78,126058.0,6.867,-0.6593
2015-05-27,6.76,6.75,6.87,6.86,46604.0,6.859,1.1799
2015-05-28,6.83,6.83,6.9,6.83,64927.0,6.839,-0.4373
2015-05-29,6.81,6.78,6.885,6.81,88103.0,6.821,-0.2928
2015-06-01,6.86,6.76,6.93,6.78,81144.0,6.812,-0.4405
2015-06-02,6.76,6.75,6.965,6.88,55036.0,6.832,1.4749
2015-06-03,6.91,6.88,7.18,7.12,89262.0,6.884,3.4884
2015-06-04,6.99,6.86,7.01,6.86,131486.0,6.89,-3.6517
2015-06-05,6.87,6.81,7.06,7.05,100368.0,6.938,2.7697
2015-06-08,7.06,7.03,7.1,7.08,77389.0,6.998,0.4255
2015-06-09,7.09,7.0,7.14,7.13,117326.0,7.048,0.7062
2015-06-10,7.19,7.14,7.33,7.24,194609.0,7.072,1.5428
2015-06-11,6.87,6.87,7.25,7.22,84933.0,7.144,-0.2762
2015-06-12,7.21,7.11,7.23,7.18,60754.0,7.17,-0.554
2015-06-15,7.15,7.05,7.21,7.17,92368.0,7.188,-0.1393
2015-06-16,7.13,7.09,7.32,7.25,97241.0,7.212,1.1158
2015-06-17,7.3,7.21,7.31,7.24,50664.0,7.212,-0.1379
2015-06-18,7.27,7.25,7.32,7.27,116060.0,7.222,0.4144
2015-06-19,7.25,7.13,7.28,7.17,285800.0,7.22,-1.3755
2015-06-22,7.22,7.15,7.27,7.23,97503.0,7.232,0.8368
2015-06-23,7.26,7.22,7.36,7.29,57352.0,7.24,0.8299
2015-06-24,7.24,7.08,7.26,7.09,134128.0,7.21,-2.7435
2015-06-25,7.15,7.05,7.17,7.13,115345.0,7.182,0.5642
2015-06-26,7.17,6.95,7.19,7.14,554094.0,7.176,0.1403
2015-06-29,7.12,6.9,7.13,6.91,133004.0,7.112,-3.2213
2015-06-30,6.92,6.78,6.95,6.83,178913.0,7.02,-1.1577
2015-07-01,6.91,6.76,6.95,6.84,116002.0,6.97,0.1464
2015-07-02,6.78,6.685,6.82,6.71,113015.0,6.886,-1.9006
2015-07-06,6.65,6.56,6.715,6.61,121804.0,6.78,-1.4903
2015-07-07,6.6,6.53,6.69,6.65,164444.0,6.728,0.6051
2015-07-08,6.61,6.61,6.71,6.68,154694.0,6.698,0.4511
2015-07-09,6.75,6.58,6.76,6.65,176183.0,6.66,-0.4491
2015-07-10,6.72,6.69,6.84,6.82,112611.0,6.682,2.5564
