date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,41.55,41.02,41.62,41.28,191926.0,41.798,-0.5061
2015-01-05,41.03,40.38,41.31,40.7,98772.0,41.492,-1.405
2015-01-06,40.57,39.82,40.75,40.4,155161.0,41.19,-0.7371
2015-01-07,40.9,40.68,41.09,40.83,77003.0,40.94,1.0644
2015-01-08,41.17,41.17,41.58,41.51,123616.0,40.944,1.6654
2015-01-09,41.55,40.67,41.6,40.67,55797.0,40.822,-2.0236
2015-01-12,40.75,39.99,40.75,40.38,113993.0,40.758,-0.7131
2015-01-13,40.77,40.53,42.33,42.09,229435.0,41.096,4.2348
2015-01-14,41.78,41.57,42.18,42.18,116902.0,41.366,0.2138
2015-01-15,42.26,41.42,42.39,41.81,186281.0,41.426,-0.8772
2015-01-16,41.71,41.58,42.45,42.41,159882.0,41.774,1.4351
2015-01-20,42.65,41.51,42.65,42.06,164136.0,42.11,-0.8253
2015-01-21,42.12,41.73,42.41,42.23,149872.0,42.138,0.4042
2015-01-22,42.34,41.97,43.07,42.97,122142.0,42.296,1.7523
2015-01-23,43.16,42.78,44.44,44.26,185502.0,42.786,3.0021
2015-01-26,44.35,43.84,44.35,44.11,116618.0,43.126,-0.3389
2015-01-27,43.47,43.47,44.38,43.96,105733.0,43.506,-0.3401
2015-01-28,44.43,43.75,44.44,43.78,82337.0,43.816,-0.4095
2015-01-29,43.73,43.36,44.54,44.5,89171.0,44.122,1.6446
2015-01-30,44.04,43.99,44.68,44.23,111882.0,44.116,-0.6067
2015-02-02,44.3,43.77,44.57,44.57,94592.0,44.208,0.7687
2015-02-03,44.51,44.5,45.01,45.01,149455.0,44.418,0.9872
2015-02-04,45.0,44.62,45.11,44.8,148396.0,44.622,-0.4666
2015-02-05,44.74,44.28,44.81,44.81,141357.0,44.684,0.0223
2015-02-06,45.07,44.82,45.52,45.4,106970.0,44.918,1.3167
2015-02-09,45.04,44.94,45.32,45.0,102726.0,45.004,-0.8811
2015-02-10,45.35,45.1,45.8,45.79,88763.0,45.16,1.7556
2015-02-11,45.71,44.99,45.75,45.03,199793.0,45.206,-1.6598
2015-02-12,45.28,44.88,45.3,45.03,320795.0,45.25,0.0
2015-02-13,45.14,44.99,45.53,45.51,330289.0,45.272,1.066
2015-02-17,45.53,45.48,45.99,45.87,108632.0,45.446,0.791
2015-02-18,45.87,45.79,46.61,46.61,90042.0,45.61,1.6133
2015-02-19,46.39,46.24,47.18,47.15,100293.0,46.034,1.1585
2015-02-20,47.0,46.89,47.56,47.53,119486.0,46.534,0.8059
2015-02-23,47.23,46.73,47.5,47.5,116508.0,46.932,-0.0631
2015-02-24,47.41,47.36,48.15,48.13,99410.0,47.384,1.3263
2015-02-25,48.03,47.49,48.03,47.58,70765.0,47.578,-1.1427
2015-02-26,47.51,47.29,47.7,47.57,70831.0,47.662,-0.021
