date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2020-07-01,68.3942,66.6843,73.7699,70.9956,2090491.0,,
2020-07-02,72.1,72.0201,76.8437,75.686,1745406.0,,6.6067
2020-07-06,77.1697,77.0166,83.3371,81.9599,2884657.0,,8.2894
2020-07-07,81.7404,79.0325,84.0889,83.57,1341691.0,,1.9644
2020-07-08,84.5879,81.248,84.8507,81.7404,780495.0,78.7904,-2.1893
2020-07-09,82.2194,81.2148,83.876,83.0643,717493.0,81.2041,1.6197
2020-07-10,82.7516,82.7516,85.1002,84.8208,675381.0,83.0311,2.1145
2020-07-13,85.9252,81.1482,85.9252,81.3545,624502.0,82.91,-4.0866
2020-07-14,80.5827,80.4363,85.3929,84.874,824957.0,83.1708,4.3261
2020-07-15,85.7788,83.4635,86.9564,86.3842,533163.0,84.0996,1.7794
2020-07-16,85.7855,81.1083,85.8187,83.3105,624804.0,84.1488,-3.5582
2020-07-17,85.1068,82.226,85.9252,83.3504,589070.0,83.8547,0.0479
2020-07-20,83.8294,83.8294,87.7548,87.2691,835062.0,85.0376,4.7015
2020-07-21,88.307,84.681,88.48,85.373,439383.0,85.1374,-2.1728
2020-07-22,85.3996,83.5833,85.852,84.2885,424230.0,84.7183,-1.2703
2020-07-23,84.2819,82.3125,86.2046,83.4968,506282.0,84.7556,-0.9393
2020-07-24,82.7915,81.6273,84.0623,83.6897,518696.0,84.8234,0.2311
2020-07-27,84.4948,84.2885,86.1614,85.027,829256.0,84.375,1.5979
2020-07-28,84.0157,83.4236,84.7941,83.8028,368287.0,84.061,-1.4397
2020-07-29,84.8873,84.4548,87.4354,86.83,505946.0,84.5693,3.6123
2020-07-30,85.9318,85.7655,89.3249,88.1673,284430.0,85.5034,1.5401
2020-07-31,89.8239,86.7102,89.8439,88.1007,330643.0,86.3856,-0.0755
2020-08-03,88.8459,88.1274,90.3429,89.1652,456503.0,87.2132,1.2083
2020-08-04,89.285,87.6749,89.5179,89.0521,207506.0,88.2631,-0.1268
2020-08-05,89.2118,89.0721,90.4826,89.1453,314660.0,88.7261,0.1046
2020-08-06,89.4114,87.156,89.6709,87.3423,222075.0,88.5611,-2.0225
2020-08-07,87.156,87.0429,89.4247,88.5199,264714.0,88.645,1.3483
2020-08-10,88.4933,85.4528,90.0435,87.3356,485032.0,88.2791,-1.3378
2020-08-11,86.0383,80.3166,86.3044,80.4829,609920.0,86.5652,-7.8464
2020-08-12,81.9466,80.4962,82.4789,81.8668,316020.0,85.1095,1.7194
2020-08-13,82.4855,81.1682,83.53,83.1375,615855.0,84.2685,1.5522
