date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2018-06-21,18.0,16.36,19.49,18.35,2071036.0,,
2018-06-22,18.72,16.85,18.75,17.25,144781.0,,-5.9946
2018-06-25,17.25,15.11,17.25,15.82,128030.0,,-8.2899
2018-06-26,16.33,15.305,16.42,15.51,50435.0,,-1.9595
2018-06-27,15.52,14.25,15.52,14.52,117043.0,16.29,-6.383
2018-06-28,14.75,13.9,15.0,14.75,107894.0,15.57,1.584
2018-06-29,14.91,14.91,16.99,15.22,88264.0,15.164,3.1864
2018-07-02,15.48,14.785,15.69,15.09,18527.0,15.018,-0.8541
2018-07-03,15.07,14.79,15.15,15.04,38112.0,14.924,-0.3313
2018-07-05,14.95,14.5,15.49,15.39,10168.0,15.098,2.3271
2018-07-06,15.39,15.13,15.65,15.6,15004.0,15.268,1.3645
2018-07-09,16.07,15.84,16.4,16.14,35231.0,15.452,3.4615
2018-07-10,16.08,15.96,16.12,16.1,6924.0,15.654,-0.2478
2018-07-11,15.9,15.9,17.08,16.94,27564.0,16.034,5.2174
2018-07-12,17.13,16.7,17.25,16.76,16920.0,16.308,-1.0626
2018-07-13,16.77,16.62,17.2,16.63,13275.0,16.514,-0.7757
2018-07-16,16.53,16.0,17.15,16.75,50161.0,16.636,0.7216
2018-07-17,16.75,16.695,17.13,16.75,8145.0,16.766,0.0
2018-07-18,16.68,16.35,16.75,16.42,7435.0,16.662,-1.9701
2018-07-19,16.55,16.24,16.55,16.26,4677.0,16.562,-0.9744
2018-07-20,16.37,16.36,16.8,16.68,14507.0,16.572,2.583
2018-07-23,16.61,16.35,16.79,16.48,2816.0,16.518,-1.199
2018-07-24,16.58,15.53,16.58,16.12,19093.0,16.392,-2.1845
2018-07-25,16.01,15.8,16.29,16.1,7453.0,16.328,-0.1241
2018-07-26,16.05,15.965,16.56,16.32,12616.0,16.34,1.3665
2018-07-27,16.25,15.36,16.45,15.72,24067.0,16.148,-3.6765
2018-07-30,15.82,14.95,15.98,14.97,8793.0,15.846,-4.771
2018-07-31,14.9,14.9,16.21,15.31,11334.0,15.684,2.2712
2018-08-01,15.2,15.01,15.74,15.01,8501.0,15.466,-1.9595
2018-08-02,15.0,15.0,15.44,15.25,5061.0,15.252,1.5989
2018-08-03,15.24,15.07,15.25,15.07,3213.0,15.122,-1.1803
2018-08-06,15.25,15.09,15.32,15.32,10823.0,15.192,1.6589
2018-08-07,15.34,14.86,15.34,14.95,11973.0,15.12,-2.4151
2018-08-08,14.99,14.95,15.41,15.2,17439.0,15.158,1.6722
2018-08-09,15.1,14.74,15.37,14.8,16893.0,15.068,-2.6316
2018-08-10,16.86,15.0,16.86,15.25,81046.0,15.104,3.0405
2018-08-13,15.23,15.23,15.75,15.5,16368.0,15.14,1.6393
2018-08-14,15.59,15.58,16.265,15.94,26362.0,15.338,2.8387
2018-08-15,16.0,15.37,16.0,15.49,18263.0,15.396,-2.8231
2018-08-16,15.57,15.5,16.0,15.97,8492.0,15.63,3.0988
2018-08-17,15.85,15.16,16.21,15.82,30665.0,15.744,-0.9393
2018-08-20,15.95,15.7,16.15,15.99,17631.0,15.842,1.0746
2018-08-21,16.03,15.78,17.605,17.05,85155.0,16.064,6.6291
2018-08-22,17.07,16.835,18.85,18.16,64492.0,16.598,6.5103
2018-08-23,18.28,17.13,18.49,18.15,35583.0,17.034,-0.0551
2018-08-24,18.16,17.79,19.29,18.77,52484.0,17.624,3.416
2018-08-27,18.95,18.06,19.3,18.15,48969.0,18.056,-3.3031
2018-08-28,18.31,18.1,18.52,18.15,10665.0,18.276,0.0
