date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,73.65,72.95,74.78,73.76,290726.0,73.608,0.8891
2015-01-05,73.82,73.24,74.98,74.22,394293.0,73.674,0.6236
2015-01-06,73.23,69.13,74.74,71.49,1372087.0,73.12,-3.6783
2015-01-07,72.48,72.0,74.665,74.45,321381.0,73.406,4.1404
2015-01-08,75.0,72.94,75.63,73.21,325458.0,73.426,-1.6655
2015-01-09,73.01,71.49,73.49,72.03,406840.0,73.08,-1.6118
2015-01-12,73.07,71.71,73.87,73.3,330542.0,72.896,1.7632
2015-01-13,73.92,73.69,77.2,76.18,506801.0,73.834,3.9291
2015-01-14,75.28,74.9,77.24,75.775,401165.0,74.099,-0.5316
2015-01-15,76.11,72.54,76.44,72.9,508453.0,74.037,-3.7941
2015-01-16,73.03,72.25,74.43,74.38,556197.0,74.507,2.0302
2015-01-20,74.44,73.28,77.79,77.4,402631.0,75.327,4.0602
2015-01-21,76.51,75.0,78.88,77.43,478339.0,75.577,0.0388
2015-01-22,77.99,75.68,78.25,77.61,320579.0,75.944,0.2325
2015-01-23,77.29,76.93,80.0,79.9,422758.0,77.344,2.9507
2015-01-26,79.14,79.12,83.84,82.95,659737.0,79.058,3.8173
2015-01-27,81.99,81.52,83.77,83.07,367314.0,80.192,0.1447
2015-01-28,83.51,80.51,84.68,81.44,454730.0,80.994,-1.9622
2015-01-29,81.7,79.56,81.7,81.34,308021.0,81.74,-0.1228
2015-01-30,81.05,79.51,82.5,79.71,294928.0,81.702,-2.0039
2015-02-02,80.44,76.41,80.96,78.375,335826.0,80.787,-1.6748
2015-02-03,79.45,73.26,79.45,75.96,620132.0,79.365,-3.0813
2015-02-04,74.66,72.62,75.36,73.02,587725.0,77.681,-3.8705
2015-02-05,73.5,73.32,75.65,75.25,361920.0,76.463,3.054
2015-02-06,74.05,73.21,76.86,75.35,259094.0,75.591,0.1329
2015-02-09,74.32,74.32,77.31,75.81,296438.0,75.078,0.6105
2015-02-10,76.74,75.33,76.79,76.46,247945.0,75.178,0.8574
2015-02-11,75.48,75.02,78.38,75.96,360889.0,75.766,-0.6539
2015-02-12,76.62,73.67,78.56,75.66,477106.0,75.848,-0.3949
2015-02-13,74.62,73.23,76.0,75.94,457035.0,75.966,0.3701
2015-02-17,76.1,75.51,78.13,77.8,386368.0,76.364,2.4493
2015-02-18,77.97,77.1,78.99,78.97,375540.0,76.866,1.5039
2015-02-19,78.95,78.77,80.89,80.15,349447.0,77.704,1.4942
2015-02-20,80.11,80.03,82.5,82.49,533902.0,79.07,2.9195
2015-02-23,82.49,82.49,84.93,83.41,391790.0,80.564,1.1153
2015-02-24,83.4,80.5,83.4,81.17,245643.0,81.238,-2.6855
2015-02-25,81.26,80.59,85.7,85.65,402489.0,82.574,5.5193
2015-02-26,85.65,84.39,88.44,87.54,409250.0,84.052,2.2067
2015-02-27,87.01,84.28,87.6,85.85,295463.0,84.724,-1.9305
2015-03-02,85.48,85.19,88.85,88.68,318919.0,85.778,3.2964
2015-03-03,88.69,86.34,88.85,87.95,446065.0,87.134,-0.8232
2015-03-04,87.81,87.35,88.81,87.91,271507.0,87.586,-0.0455
2015-03-05,89.6,89.6,94.43,91.97,721348.0,88.472,4.6184
2015-03-06,91.75,88.53,91.75,90.0,573473.0,89.302,-2.142
2015-03-09,90.41,88.18,90.48,89.57,310040.0,89.48,-0.4778
2015-03-10,89.23,87.89,89.75,89.33,429740.0,89.756,-0.2679
2015-03-11,89.89,88.19,90.5,90.02,313625.0,90.178,0.7724
2015-03-12,90.0,88.8,90.07,89.96,299167.0,89.776,-0.0667
2015-03-13,89.59,88.17,91.75,89.31,301745.0,89.638,-0.7225
2015-03-16,90.03,89.09,91.39,91.28,335648.0,89.98,2.2058
2015-03-17,92.02,90.79,93.3,92.34,276465.0,90.582,1.1613
2015-03-18,91.79,90.83,93.0,92.25,258483.0,91.028,-0.0975
2015-03-19,93.17,93.17,97.13,97.08,498927.0,92.452,5.2358
2015-03-20,97.26,94.64,98.97,95.55,718429.0,93.7,-1.576
2015-03-23,94.59,92.43,94.66,93.395,273156.0,94.123,-2.2554
2015-03-24,93.7,92.01,94.17,92.81,213233.0,94.217,-0.6264
2015-03-25,92.87,89.41,92.98,90.47,449930.0,93.861,-2.5213
2015-03-26,89.59,87.79,90.88,89.2,446988.0,92.285,-1.4038
2015-03-27,89.72,89.28,95.72,94.36,499123.0,92.047,5.7848
2015-03-30,95.85,92.56,96.63,94.19,270594.0,92.206,-0.1802
