date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2017-05-12,21.25,20.27,21.3,21.1,4913246.0,,
2017-05-15,21.15,21.15,22.3,22.02,388011.0,,4.3602
2017-05-16,22.19,22.05,22.41,22.1,108439.0,,0.3633
2017-05-17,22.09,21.71,22.5,22.1,157391.0,,0.0
2017-05-18,22.29,22.01,23.62,22.5,1588780.0,21.964,1.81
2017-05-19,22.54,22.42,23.48,22.72,225644.0,22.288,0.9778
2017-05-22,22.7,22.57,23.09,22.89,38315.0,22.462,0.7482
2017-05-23,22.99,22.69,23.6,23.45,79193.0,22.732,2.4465
2017-05-24,23.54,23.04,23.54,23.35,65004.0,22.982,-0.4264
2017-05-25,23.42,22.36,23.76,22.51,68703.0,22.984,-3.5974
2017-05-26,22.55,22.38,23.24,23.03,92617.0,23.046,2.3101
2017-05-30,23.07,22.59,23.29,22.95,66675.0,23.058,-0.3474
2017-05-31,22.97,22.76,23.14,22.93,58806.0,22.954,-0.0871
2017-06-01,22.91,22.86,23.37,22.93,46097.0,22.87,0.0
2017-06-02,22.89,22.605,23.08,22.65,48060.0,22.898,-1.2211
2017-06-05,22.61,21.95,22.91,22.63,49994.0,22.818,-0.0883
2017-06-06,22.45,22.13,22.7,22.29,113896.0,22.686,-1.5024
2017-06-07,22.4,21.58,22.78,21.76,84929.0,22.452,-2.3777
2017-06-08,21.75,21.62,21.93,21.65,60298.0,22.196,-0.5055
2017-06-09,21.68,21.68,22.82,22.49,99411.0,22.164,3.8799
2017-06-12,22.46,21.94,23.52,23.03,103729.0,22.244,2.4011
2017-06-13,22.99,22.85,24.22,23.49,130809.0,22.484,1.9974
2017-06-14,23.57,22.55,23.65,23.25,189504.0,22.782,-1.0217
2017-06-15,23.08,22.77,24.48,22.99,458639.0,23.05,-1.1183
2017-06-16,23.0,23.0,24.0,23.92,1383982.0,23.336,4.0452
2017-06-19,24.06,23.56,24.06,23.92,85244.0,23.514,0.0
2017-06-20,23.6,22.21,23.6,22.62,159153.0,23.34,-5.4348
2017-06-21,22.54,20.63,22.645,20.72,198046.0,22.834,-8.3996
2017-06-22,20.72,19.91,21.07,21.06,159903.0,22.448,1.6409
2017-06-23,21.03,20.25,21.03,20.47,1990933.0,21.758,-2.8015
2017-06-26,20.42,20.1,21.04,20.5,151150.0,21.074,0.1466
2017-06-27,20.56,20.42,21.62,21.29,110722.0,20.808,3.8537
2017-06-28,21.28,21.15,21.63,21.27,105792.0,20.918,-0.0939
2017-06-29,21.33,21.04,21.54,21.43,87732.0,20.992,0.7522
2017-06-30,21.54,21.26,21.73,21.61,52105.0,21.22,0.8399
2017-07-03,21.75,21.46,22.4,22.34,72644.0,21.588,3.3781
2017-07-05,22.38,21.76,22.38,21.82,175243.0,21.694,-2.3277
2017-07-06,21.61,20.92,21.61,20.97,185313.0,21.634,-3.8955
2017-07-07,20.99,20.6,21.2,20.67,150260.0,21.482,-1.4306
2017-07-10,20.63,20.55,21.45,21.34,182767.0,21.428,3.2414
2017-07-11,21.18,21.11,21.8,21.73,129027.0,21.306,1.8276
2017-07-12,21.78,21.75,22.34,22.13,115470.0,21.368,1.8408
2017-07-13,22.11,21.87,22.26,22.06,448223.0,21.586,-0.3163
2017-07-14,22.13,22.01,22.22,22.08,35890.0,21.868,0.0907
2017-07-17,22.06,21.98,23.1,22.97,249537.0,22.194,4.0308
2017-07-18,22.83,22.81,23.21,23.04,196806.0,22.456,0.3047
2017-07-19,23.03,23.03,23.42,23.42,74130.0,22.714,1.6493
2017-07-20,23.41,23.0,23.58,23.55,82761.0,23.012,0.5551
2017-07-21,23.44,22.82,23.61,23.01,213704.0,23.198,-2.293
2017-07-24,22.93,22.71,23.14,23.14,82446.0,23.232,0.565
2017-07-25,23.28,22.99,23.54,23.45,108055.0,23.314,1.3397
2017-07-26,23.6,22.64,23.6,22.82,105545.0,23.194,-2.6866
2017-07-27,22.81,22.775,23.25,23.23,57976.0,23.13,1.7967
2017-07-28,23.08,22.88,23.205,23.09,43407.0,23.146,-0.6027
2017-07-31,23.23,22.92,23.23,22.96,90724.0,23.11,-0.563
2017-08-01,23.0,22.39,23.0,22.5,148086.0,22.92,-2.0035
2017-08-02,22.5,22.5,23.13,23.02,207869.0,22.96,2.3111
2017-08-03,23.83,22.96,23.99,23.26,273244.0,22.966,1.0426
2017-08-04,23.46,23.29,24.08,24.07,163299.0,23.162,3.4824
2017-08-07,24.09,23.77,24.34,24.04,191529.0,23.378,-0.1246
2017-08-08,24.06,23.73,24.29,24.13,90711.0,23.704,0.3744
2017-08-09,24.04,23.48,24.04,23.6,52738.0,23.82,-2.1964
2017-08-10,23.39,22.52,23.39,22.66,105516.0,23.7,-3.9831
2017-08-11,22.91,22.57,22.91,22.68,128175.0,23.422,0.0883
2017-08-14,22.89,22.18,23.15,22.59,307539.0,23.132,-0.3968
2017-08-15,22.69,22.55,22.79,22.69,451257.0,22.844,0.4427
2017-08-16,22.8,22.63,22.85,22.75,84891.0,22.674,0.2644
2017-08-17,22.6,21.98,22.7,22.0,115687.0,22.542,-3.2967
2017-08-18,21.91,21.79,22.15,21.97,101525.0,22.4,-0.1364
2017-08-21,22.75,22.15,22.75,22.39,147310.0,22.36,1.9117
