date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,58.987,57.978,59.452,58.397,696834.0,58.6976,-0.6371
2015-01-05,58.087,57.089,58.163,57.152,1590174.0,58.3227,-2.131
2015-01-06,57.602,57.31,58.238,57.754,1155537.0,58.1018,1.0537
2015-01-07,58.198,57.921,59.186,58.071,1353096.0,58.0291,0.5483
2015-01-08,58.733,58.198,59.633,59.222,1638612.0,58.1193,1.9822
2015-01-09,58.997,57.842,59.5,57.874,1363095.0,58.0149,-2.2758
2015-01-12,58.092,57.223,58.467,58.39,1185165.0,58.2624,0.8908
2015-01-13,59.111,57.416,59.273,57.962,1435383.0,58.304,-0.7326
2015-01-14,57.923,57.667,59.633,59.484,945531.0,58.5867,2.6262
2015-01-15,59.458,58.049,59.472,58.264,927954.0,58.3951,-2.051
2015-01-16,58.107,57.719,59.083,58.959,1005732.0,58.612,1.1919
2015-01-20,59.354,57.647,59.439,57.988,910161.0,58.5316,-1.6471
2015-01-21,57.547,57.362,58.223,57.569,782235.0,58.4529,-0.7224
2015-01-22,57.59,57.389,58.496,58.376,1521387.0,58.2311,1.4012
2015-01-23,56.927,56.478,58.4,57.508,1565568.0,58.0798,-1.4865
2015-01-26,57.494,56.913,57.912,57.89,664713.0,57.866,0.6646
2015-01-27,57.001,56.224,57.29,56.579,1025397.0,57.5842,-2.2648
2015-01-28,56.111,55.79,57.082,55.84,843813.0,57.2384,-1.3059
2015-01-29,55.693,54.776,56.391,56.109,846990.0,56.7851,0.4815
2015-01-30,55.661,54.859,56.097,54.942,1140750.0,56.272,-2.0793
2015-02-02,55.539,54.962,56.428,56.348,1537308.0,55.9636,2.5582
2015-02-03,56.474,55.836,56.806,56.518,770562.0,55.9513,0.3017
2015-02-04,56.379,56.036,56.967,56.102,545247.0,56.0038,-0.7353
2015-02-05,56.462,56.344,57.363,57.352,1255905.0,56.2524,2.2281
2015-02-06,57.154,56.641,58.138,56.919,994212.0,56.6478,-0.7556
2015-02-09,56.667,55.437,57.001,55.699,779499.0,56.518,-2.1434
2015-02-10,55.859,55.106,56.034,55.541,914643.0,56.3227,-0.2833
2015-02-11,55.456,55.274,56.0,55.437,500382.0,56.1896,-0.188
2015-02-12,55.572,55.099,56.476,56.412,885132.0,56.0016,1.7598
2015-02-13,56.247,56.21,56.786,56.748,438507.0,55.9673,0.5948
2015-02-17,56.748,56.547,57.333,57.111,512730.0,56.2498,0.6403
2015-02-18,57.056,56.821,57.096,56.984,318717.0,56.5384,-0.2218
2015-02-19,56.612,56.286,56.891,56.83,343989.0,56.8171,-0.271
2015-02-20,56.806,56.264,57.042,57.034,513675.0,56.9416,0.3597
2015-02-23,56.626,56.543,57.191,57.078,377865.0,57.0076,0.076
2015-02-24,56.973,56.628,57.063,56.874,327555.0,56.9602,-0.3562
2015-02-25,56.668,56.137,56.668,56.407,364158.0,56.8447,-0.8225
2015-02-26,56.521,55.974,56.683,56.259,447543.0,56.7304,-0.262
2015-02-27,56.204,55.282,56.204,55.556,986670.0,56.4347,-1.2502
2015-03-02,55.664,55.664,56.077,55.917,581139.0,56.2026,0.651
2015-03-03,56.506,55.86,56.72,56.563,741069.0,56.1403,1.1555
2015-03-04,56.163,55.507,56.198,55.618,739665.0,55.9826,-1.6717
2015-03-05,55.718,55.339,56.0,55.502,687267.0,55.8312,-0.2078
2015-03-06,55.22,54.668,55.392,54.893,800370.0,55.6988,-1.0971
2015-03-09,54.522,54.088,54.887,54.732,885303.0,55.4618,-0.2935
2015-03-10,54.289,54.169,54.708,54.169,887472.0,54.9829,-1.0293
2015-03-11,54.128,54.128,55.199,54.834,685899.0,54.8262,1.2287
2015-03-12,55.287,54.796,55.878,55.472,520308.0,54.8202,1.1631
2015-03-13,55.278,54.558,55.521,54.828,594927.0,54.8071,-1.1617
2015-03-16,54.894,54.894,56.444,56.313,690516.0,55.1233,2.7095
2015-03-17,56.026,55.938,56.53,56.194,608238.0,55.5284,-0.2111
2015-03-18,56.357,55.551,56.857,56.54,651708.0,55.8696,0.6149
2015-03-19,56.367,56.367,56.789,56.529,537948.0,56.0809,-0.0197
2015-03-20,56.881,56.378,57.182,56.559,1397934.0,56.4271,0.0531
2015-03-23,56.559,56.131,56.758,56.468,414702.0,56.458,-0.1611
2015-03-24,56.463,55.957,56.727,55.967,470898.0,56.4124,-0.8874
2015-03-25,55.892,54.952,56.478,55.026,617229.0,56.1096,-1.6816
2015-03-26,54.951,54.72,56.194,55.443,816507.0,55.8924,0.7592
2015-03-27,55.111,55.111,55.968,55.25,716463.0,55.6307,-0.3487
2015-03-30,55.619,55.608,56.444,56.24,559098.0,55.5851,1.7919
2015-03-31,55.974,55.974,57.221,56.114,762786.0,55.6147,-0.2232
2015-04-01,55.771,55.274,56.563,56.28,798471.0,55.8656,0.295
2015-04-02,56.48,55.678,56.678,56.477,529803.0,56.0722,0.3494
2015-04-06,56.019,55.982,57.318,57.148,1095678.0,56.4518,1.1883
2015-04-07,57.404,56.939,57.488,56.94,552492.0,56.5918,-0.3636
2015-04-08,56.644,56.61,57.217,56.829,448182.0,56.7347,-0.1951
2015-04-09,56.917,56.586,57.444,57.01,455544.0,56.8807,0.3187
2015-04-10,57.01,57.01,59.271,58.929,1634238.0,57.3711,3.3659
2015-04-13,58.984,58.856,60.916,60.257,1366011.0,57.9929,2.2532
2015-04-14,60.008,58.791,60.223,59.561,1101024.0,58.5171,-1.1543
2015-04-15,59.639,59.073,59.787,59.301,748017.0,59.0116,-0.4365
2015-04-16,59.59,59.079,60.681,60.388,1228887.0,59.6871,1.8325
2015-04-17,59.533,59.387,60.191,60.078,1218987.0,59.9169,-0.5133
2015-04-20,60.433,60.121,61.557,61.442,1161144.0,60.154,2.2711
2015-04-21,61.643,60.438,62.066,60.748,1470897.0,60.3913,-1.1302
2015-04-22,58.998,57.357,59.606,57.437,2006991.0,60.0184,-5.4506
2015-04-23,57.256,56.968,57.667,56.974,1165320.0,59.3358,-0.8048
2015-04-24,56.148,56.034,57.117,56.213,1189035.0,58.5629,-1.3359
2015-04-27,56.213,55.528,56.726,55.613,921249.0,57.3971,-1.0674
2015-04-28,55.667,54.959,56.443,56.104,1062333.0,56.4684,0.8831
2015-04-29,56.104,55.038,56.104,55.503,743067.0,56.0818,-1.0714
