date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2020-07-22,46.0,35.88,51.0,39.2,9039554.0,,
2020-07-23,41.93,39.29,43.24,39.88,1267769.0,,1.7347
2020-07-24,38.5,36.76,40.4,39.7,238493.0,,-0.4514
2020-07-27,39.82,39.58,42.3,40.29,270822.0,,1.4861
2020-07-28,40.68,39.57,41.39,40.5,949270.0,39.914,0.5212
2020-07-29,40.0,40.0,40.98,40.3,123918.0,40.134,-0.4938
2020-07-30,39.8,38.99,41.47,41.28,112144.0,40.414,2.4318
2020-07-31,42.4,40.03,42.84,40.6,105291.0,40.594,-1.6473
2020-08-03,40.29,37.65,40.3,38.13,154819.0,40.162,-6.0837
2020-08-04,37.9,37.88,38.935,38.89,94894.0,39.84,1.9932
2020-08-05,38.97,38.78,40.25,40.19,75820.0,39.818,3.3428
2020-08-06,39.67,39.5,40.5,40.06,40043.0,39.574,-0.3235
2020-08-07,39.5,39.5,40.4,40.24,110818.0,39.502,0.4493
2020-08-10,40.2,39.21,40.2,39.42,46417.0,39.76,-2.0378
2020-08-11,39.85,38.68,39.85,39.2,78208.0,39.822,-0.5581
2020-08-12,39.13,38.77,39.58,39.06,60733.0,39.596,-0.3571
2020-08-13,38.94,38.0,39.5,38.0,47974.0,39.184,-2.7138
2020-08-14,38.11,35.51,38.24,35.78,179934.0,38.292,-5.8421
2020-08-17,36.65,35.94,38.89,38.33,124792.0,38.074,7.1269
2020-08-18,39.32,39.08,40.3,39.7,124666.0,38.174,3.5742
2020-08-19,39.74,37.38,40.07,38.54,107631.0,38.07,-2.9219
2020-08-20,38.3,37.25,39.03,38.83,91135.0,38.236,0.7525
2020-08-21,38.41,38.22,40.4,40.13,105138.0,39.106,3.3479
2020-08-24,40.48,37.55,40.96,39.15,118968.0,39.27,-2.4421
2020-08-25,39.24,37.59,39.24,38.54,71387.0,39.038,-1.5581
2020-08-26,38.51,38.51,39.75,39.33,84790.0,39.196,2.0498
2020-08-27,39.39,37.73,39.39,37.8,137020.0,38.99,-3.8902
2020-08-28,38.16,37.25,38.35,37.55,179588.0,38.474,-0.6614
2020-08-31,37.73,37.73,38.89,38.6,350910.0,38.364,2.7963
2020-09-01,39.5,37.9,41.22,41.18,593585.0,38.892,6.6839
2020-09-02,37.35,36.75,40.91,38.5,632916.0,38.726,-6.508
2020-09-03,37.89,37.5,38.87,38.59,141511.0,38.884,0.2338
2020-09-04,38.64,34.67,38.64,36.66,267953.0,38.706,-5.0013
2020-09-08,35.93,33.39,35.93,33.9,196842.0,37.766,-7.5286
2020-09-09,34.41,34.41,35.23,34.93,93036.0,36.516,3.0383
2020-09-10,35.13,33.53,35.59,33.78,111094.0,35.572,-3.2923
2020-09-11,33.93,32.63,34.11,33.06,113522.0,34.466,-2.1314
2020-09-14,33.41,32.95,34.09,33.09,88153.0,33.752,0.0907
2020-09-15,33.34,31.95,33.49,32.35,120420.0,33.442,-2.2363
2020-09-16,32.5,31.65,33.25,32.3,122743.0,32.916,-0.1546
2020-09-17,31.66,31.51,33.3,33.07,132809.0,32.774,2.3839
2020-09-18,33.33,32.85,33.35,33.26,1583213.0,32.814,0.5745
2020-09-21,32.41,32.41,34.91,34.77,113862.0,33.15,4.54
2020-09-22,34.99,34.95,36.79,36.49,146643.0,33.978,4.9468
2020-09-23,36.46,35.0,36.7,35.12,125397.0,34.542,-3.7545
2020-09-24,34.79,33.23,34.79,34.39,78733.0,34.806,-2.0786
2020-09-25,34.25,34.07,34.92,34.24,37731.0,35.002,-0.4362
2020-09-28,34.81,34.45,35.99,35.88,60835.0,35.224,4.7897
2020-09-29,35.73,35.73,36.74,36.45,91273.0,35.216,1.5886
2020-09-30,36.39,36.39,38.06,37.61,141197.0,35.714,3.1824
2020-10-01,38.03,35.07,38.1,36.56,187629.0,36.148,-2.7918
2020-10-02,35.65,33.8,36.13,34.09,114732.0,36.118,-6.756
2020-10-05,34.35,32.85,34.35,33.57,185068.0,35.656,-1.5254
2020-10-06,33.78,32.65,34.21,33.08,123763.0,34.982,-1.4596
2020-10-07,33.29,33.15,34.13,33.63,50964.0,34.186,1.6626
2020-10-08,34.33,33.2,34.33,33.95,112681.0,33.664,0.9515
2020-10-09,34.02,33.94,34.82,34.58,46969.0,33.762,1.8557
2020-10-12,35.01,34.1,35.01,34.75,81450.0,33.998,0.4916
2020-10-13,35.0,34.94,35.64,35.31,84252.0,34.444,1.6115
2020-10-14,35.67,34.65,35.67,34.98,59423.0,34.714,-0.9346
2020-10-15,34.65,34.16,34.65,34.5,21455.0,34.824,-1.3722
2020-10-16,34.65,34.22,34.65,34.32,30899.0,34.772,-0.5217
2020-10-19,34.37,34.25,35.23,34.4,110606.0,34.702,0.2331
2020-10-20,34.58,33.9,34.74,33.99,55948.0,34.438,-1.1919
2020-10-21,33.82,33.23,33.93,33.3,53148.0,34.102,-2.03
2020-10-22,33.37,32.6,33.72,33.07,55439.0,33.816,-0.6907
