date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2015-01-02,41.2229,40.5763,41.2978,40.8668,441611.0,41.3541,-0.57
2015-01-05,40.52,40.1921,40.7637,40.2483,467009.0,41.0842,-1.5134
2015-01-06,40.1733,39.3299,40.2202,39.8079,623678.0,40.6925,-1.0943
2015-01-07,40.0702,39.9859,40.4638,40.4451,679237.0,40.4938,1.6008
2015-01-08,40.6981,40.6794,41.2229,41.2229,769844.0,40.5182,1.9231
2015-01-09,41.3259,40.8199,41.3259,40.9699,639330.0,40.5388,-0.6138
2015-01-12,41.0167,40.4357,41.0261,40.5482,603642.0,40.5988,-1.0293
2015-01-13,40.7543,40.3326,41.1385,40.6325,980045.0,40.7637,0.208
2015-01-14,39.8172,39.5455,40.1733,40.1639,713244.0,40.7075,-1.1531
2015-01-15,40.2014,39.8547,40.2951,39.9672,761795.0,40.4563,-0.49
2015-01-16,39.7048,39.2643,39.8641,39.8266,915627.0,40.2277,-0.3517
2015-01-20,39.8547,39.18,39.9016,39.4799,701616.0,40.014,-0.8706
2015-01-21,39.2081,39.2081,39.686,39.4799,636494.0,39.7835,0.0
2015-01-22,39.3112,38.8989,39.9016,39.9016,684884.0,39.731,1.0681
2015-01-23,39.7985,39.6017,39.9016,39.7235,457073.0,39.6823,-0.4462
2015-01-26,39.6204,39.3487,39.7329,39.5455,683911.0,39.6261,-0.4482
2015-01-27,39.0769,38.6365,39.2175,38.9832,604860.0,39.5267,-1.4218
2015-01-28,39.2456,38.6177,39.4143,38.6365,684565.0,39.358,-0.8894
2015-01-29,38.4491,38.4022,39.2081,39.0863,749356.0,39.195,1.1642
2015-01-30,37.6338,37.3995,38.852,38.2429,1496137.0,38.8989,-2.1578
2015-02-02,38.2054,37.9149,38.9738,38.8333,1159421.0,38.7564,1.5437
2015-02-03,39.1519,38.8239,39.508,39.2175,916974.0,38.8033,0.9894
2015-02-04,38.9176,38.7021,39.3206,38.8052,849913.0,38.837,-1.0514
2015-02-05,38.9364,38.8333,39.4424,39.3955,598694.0,38.8989,1.5214
2015-02-06,39.4518,38.7677,39.5548,38.9551,619661.0,39.0413,-1.118
2015-02-09,38.8426,38.8145,39.358,39.1331,737875.0,39.1013,0.4571
2015-02-10,39.3393,39.1894,39.4424,39.3206,818724.0,39.1219,0.4789
2015-02-11,39.3206,39.1331,39.5548,39.3018,592721.0,39.2212,-0.0477
2015-02-12,39.358,39.358,40.3326,40.2202,767812.0,39.3862,2.3367
2015-02-13,40.1546,40.1265,40.5669,40.4732,505912.0,39.6898,0.6291
2015-02-17,40.4451,40.267,40.6044,40.4076,535370.0,39.9447,-0.1621
2015-02-18,40.4544,39.9484,40.67,40.0796,626444.0,40.0965,-0.8117
2015-02-19,40.0702,39.9672,40.3139,40.0515,354816.0,40.2464,-0.0701
2015-02-20,39.8641,39.358,40.0515,40.014,652568.0,40.2052,-0.0936
2015-02-23,40.0046,39.5736,40.014,39.8172,515112.0,40.074,-0.4918
2015-02-24,39.7516,39.5736,40.014,39.9297,446724.0,39.9784,0.2824
2015-02-25,39.939,39.761,40.4732,40.2014,440353.0,40.0028,0.6806
2015-02-26,40.1452,39.9016,40.2202,40.0046,455107.0,39.9934,-0.4895
2015-02-27,40.014,39.4892,40.1077,39.5642,756437.0,39.9034,-1.101
2015-03-02,39.6579,39.6111,40.5388,40.5388,973652.0,40.0477,2.4633
2015-03-03,40.2577,40.0421,40.4263,40.4076,521091.0,40.1433,-0.3236
2015-03-04,40.2951,39.7891,40.2951,40.1077,603381.0,40.1246,-0.7421
2015-03-05,40.1077,39.9109,40.1921,39.9859,257135.0,40.1208,-0.3037
2015-03-06,39.7235,39.3674,39.8547,39.4518,521224.0,40.0984,-1.3358
2015-03-09,39.3018,39.3018,40.014,39.8453,431845.0,39.9597,0.9976
2015-03-10,39.4518,39.0207,39.4518,39.0207,653224.0,39.6823,-2.0696
2015-03-11,38.9457,38.8614,39.1238,38.9457,553710.0,39.4499,-0.1921
2015-03-12,39.1706,39.1144,39.7891,39.7141,397506.0,39.3955,1.9731
2015-03-13,39.7141,38.9551,39.7141,39.433,421852.0,39.3918,-0.7079
2015-03-16,39.5923,39.4424,39.7985,39.6579,405586.0,39.3543,0.5703
2015-03-17,39.508,39.4705,39.7329,39.6204,434091.0,39.4742,-0.0945
2015-03-18,39.4986,39.3112,40.4357,40.2202,476703.0,39.7291,1.5137
2015-03-19,40.0515,39.6954,40.1171,39.9765,351825.0,39.7816,-0.6058
2015-03-20,40.1171,40.0515,40.4732,40.4263,1223738.0,39.9803,1.1252
2015-03-23,41.101,40.595,41.101,40.7262,575812.0,40.1939,0.7418
2015-03-24,40.6231,40.52,40.923,40.595,555661.0,40.3889,-0.3221
2015-03-25,40.6138,40.3139,40.7356,40.417,863783.0,40.4282,-0.4386
2015-03-26,40.2951,39.9203,40.2951,40.0046,486403.0,40.4338,-1.0202
2015-03-27,39.836,39.6673,40.1171,40.0984,487146.0,40.3682,0.2342
2015-03-30,40.2202,40.2202,40.9605,40.7262,525310.0,40.3682,1.5658
2015-03-31,40.595,40.2858,40.6887,40.3514,769502.0,40.3195,-0.9204
2015-04-01,40.2483,39.761,40.6419,40.3701,739105.0,40.3101,0.0464
2015-04-02,40.2858,40.1452,40.7731,40.6044,515366.0,40.4301,0.5803
2015-04-06,40.2483,40.0843,40.6794,40.4732,754694.0,40.5051,-0.3231
2015-04-07,40.4357,40.0796,40.5388,40.1077,427818.0,40.3814,-0.903
2015-04-08,40.1077,40.0421,40.3701,40.3045,530829.0,40.372,0.4907
2015-04-09,40.3045,40.2483,40.7918,40.7262,520972.0,40.4432,1.0463
2015-04-10,40.8199,40.5294,40.9324,40.7168,328336.0,40.4657,-0.023
2015-04-13,40.6138,40.342,40.6138,40.4357,309365.0,40.4582,-0.6904
2015-04-14,40.3514,40.0984,40.5669,40.5013,475602.0,40.5369,0.1622
2015-04-15,40.5388,40.4919,40.8105,40.6419,534259.0,40.6044,0.3471
2015-04-16,40.52,40.342,40.7543,40.5856,341122.0,40.5763,-0.1383
2015-04-17,40.2202,39.6298,40.2389,39.761,850520.0,40.3851,-2.0319
2015-04-20,39.9203,39.836,40.1546,40.0515,494669.0,40.3083,0.7306
2015-04-21,40.3233,39.7891,40.5763,39.8922,409091.0,40.1864,-0.3978
2015-04-22,39.7329,39.4705,39.9953,39.9203,464789.0,40.0421,0.0705
2015-04-23,39.7985,39.7141,40.267,39.9109,615744.0,39.9072,-0.0235
2015-04-24,38.0086,37.4651,38.8708,37.5213,1468303.0,39.4593,-5.9873
2015-04-27,37.6525,37.3995,37.8681,37.4932,1136680.0,38.9476,-0.0749
2015-04-28,37.4745,37.0809,37.5588,37.4557,589143.0,38.4603,-0.1
2015-04-29,37.4745,37.3245,37.7275,37.4932,926284.0,37.9749,0.1001
2015-04-30,37.3339,36.7904,37.3995,36.9029,1014333.0,37.3733,-1.5746
2015-05-01,36.9497,36.931,37.259,37.1371,541779.0,37.2964,0.6348
2015-05-04,37.1559,37.1559,37.5213,37.362,450048.0,37.2702,0.6056
2015-05-05,37.2121,36.9122,37.5307,37.0153,508669.0,37.1821,-0.928
2015-05-06,37.2777,36.8373,37.3808,37.0996,574893.0,37.1034,0.2278
2015-05-07,37.2402,36.9216,37.362,37.0903,450391.0,37.1409,-0.0253
2015-05-08,37.3152,37.1184,37.5869,37.2683,623147.0,37.1671,0.48
2015-05-11,37.2402,37.0059,37.4557,37.0247,534917.0,37.0996,-0.6538
2015-05-12,36.931,36.5749,37.0153,36.5936,762907.0,37.0153,-1.1643
2015-05-13,36.6686,36.6686,37.0059,36.8091,659515.0,36.9572,0.589
2015-05-14,37.0153,36.6967,37.1887,37.1184,842859.0,36.9628,0.8401
2015-05-15,37.109,36.8747,37.2215,36.9872,678570.0,36.9066,-0.3534
2015-05-18,36.8747,36.8466,37.3901,37.2496,582596.0,36.9516,0.7094
2015-05-19,37.5963,37.5307,37.943,37.6619,1226804.0,37.1652,1.1069
2015-05-20,37.8025,37.7369,38.2991,38.2616,1381793.0,37.4557,1.5924
2015-05-21,38.1586,38.018,38.5428,38.3179,878859.0,37.6956,0.147
2015-05-22,38.2335,38.1023,38.4678,38.3554,596561.0,37.9693,0.0978
2015-05-26,38.2335,37.8493,38.2898,37.8774,725688.0,38.0948,-1.246
2015-05-27,37.9149,37.8587,38.2242,38.2054,551296.0,38.2035,0.8659
2015-05-28,38.0836,37.9337,38.196,38.1867,642574.0,38.1885,-0.0491
2015-05-29,38.2148,37.7556,38.2148,37.8212,866632.0,38.0892,-0.9571
2015-06-01,37.8493,37.6338,37.9149,37.7369,629828.0,37.9655,-0.223
2015-06-02,37.69,37.5307,37.8774,37.8212,649234.0,37.9543,0.2235
2015-06-03,37.9899,37.8774,38.1492,37.9993,366497.0,37.913,0.4708
2015-06-04,37.7088,37.5495,37.8868,37.5963,428404.0,37.795,-1.0604
2015-06-05,37.4932,37.4464,37.7181,37.69,335039.0,37.7687,0.2493
2015-06-08,37.6057,37.512,37.7369,37.5588,357300.0,37.7331,-0.3481
2015-06-09,37.5963,37.5963,37.8212,37.6994,513709.0,37.7088,0.3743
2015-06-10,37.7837,37.7369,38.1117,37.9243,397624.0,37.6938,0.5966
2015-06-11,37.9899,37.8681,38.1211,38.0461,398893.0,37.7837,0.3212
2015-06-12,37.9524,37.6057,37.9524,37.7462,555701.0,37.795,-0.7882
2015-06-15,37.3808,36.7342,37.3995,37.1465,510833.0,37.7125,-1.5889
2015-06-16,37.1465,36.9029,37.437,37.4089,528243.0,37.6544,0.7064
2015-06-17,37.4183,37.3855,37.943,37.7369,522530.0,37.6169,0.8768
2015-06-18,37.8587,37.7744,38.1398,37.9055,699556.0,37.5888,0.447
2015-06-19,37.6994,37.5588,37.8821,37.615,1121297.0,37.5626,-0.7664
2015-06-22,37.7181,37.4839,37.8025,37.4839,558145.0,37.63,-0.3488
2015-06-23,37.512,37.2308,37.6525,37.3245,435192.0,37.6132,-0.425
2015-06-24,37.2871,37.184,37.4839,37.2027,895233.0,37.5063,-0.3264
2015-06-25,37.2402,36.7248,37.3433,36.7435,710397.0,37.2739,-1.2343
2015-06-26,36.7623,36.678,37.0622,36.9122,650479.0,37.1334,0.4591
2015-06-29,36.5468,35.8908,36.6405,35.9189,475297.0,36.8204,-2.691
2015-06-30,36.1719,35.8252,36.2937,36.0595,953886.0,36.5674,0.3913
2015-07-01,36.2844,36.0876,36.4156,36.3968,432755.0,36.4062,0.9356
2015-07-02,36.4812,35.8533,36.4999,35.9939,668333.0,36.2563,-1.1071
2015-07-06,35.6097,35.5628,36.0407,35.8065,457351.0,36.0351,-0.5207
2015-07-07,35.8252,35.4878,36.2937,36.2563,738979.0,36.1026,1.2562
2015-07-08,35.8627,35.3941,35.9376,35.3941,274547.0,35.9695,-2.3779
2015-07-09,35.7596,35.5722,35.9095,35.5815,727803.0,35.8065,0.5295
2015-07-10,35.9658,35.291,35.9658,35.3473,896699.0,35.6771,-0.6584
2015-07-13,35.6097,35.6003,35.8439,35.7315,753077.0,35.6621,1.087
2015-07-14,35.7409,35.6565,35.9283,35.7127,822487.0,35.5534,-0.0525
2015-07-15,35.7502,35.5066,35.8627,35.769,690691.0,35.6284,0.1574
2015-07-16,36.0407,35.9658,36.2844,36.1251,1007393.0,35.7371,0.9955
2015-07-17,36.0032,35.8158,36.1251,35.9845,650077.0,35.8646,-0.3891
2015-07-20,35.947,35.7502,35.9658,35.9002,413598.0,35.8983,-0.2344
2015-07-21,35.8533,35.6753,35.947,35.6846,494945.0,35.8927,-0.6004
2015-07-22,35.516,34.8506,35.5534,34.8506,780603.0,35.709,-2.3372
2015-07-23,34.8412,34.6632,35.113,34.7382,1004082.0,35.4316,-0.3227
2015-07-24,34.6819,34.1337,34.71,34.1478,917038.0,35.0643,-1.6995
2015-07-27,33.951,33.9229,34.3165,34.0072,829013.0,34.6857,-0.4116
2015-07-28,34.1759,33.6605,34.2509,34.1478,1451256.0,34.3783,0.4133
2015-07-29,34.1478,34.026,34.5789,34.4758,1652906.0,34.3033,0.9605
2015-07-30,34.3165,34.3165,34.7288,34.607,811011.0,34.2771,0.3805
