date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2017-05-30,30.75,30.58,31.0,30.6,251469.0,,
2017-05-31,30.69,30.35,31.58,31.28,693414.0,,2.2222
2017-06-01,31.15,31.15,34.11,33.94,1184283.0,,8.5038
2017-06-02,33.07,33.0,33.67,33.29,717951.0,,-1.9151
2017-06-05,34.85,32.76,34.85,33.09,476710.0,32.44,-0.6008
2017-06-06,32.74,31.35,33.14,31.6,529466.0,32.64,-4.5029
2017-06-07,31.96,31.2,32.1,31.7,327256.0,32.724,0.3165
2017-06-08,31.78,31.46,31.97,31.78,125379.0,32.292,0.2524
2017-06-09,31.5,31.34,32.05,31.71,399144.0,31.976,-0.2203
2017-06-12,31.64,31.64,32.6,32.29,295597.0,31.816,1.8291
2017-06-13,32.56,32.3,33.25,32.74,194260.0,32.044,1.3936
2017-06-14,33.7,33.17,34.03,33.99,571399.0,32.502,3.818
2017-06-15,33.36,32.75,33.36,33.11,202128.0,32.768,-2.589
2017-06-16,33.11,32.43,33.14,32.43,5369793.0,32.912,-2.0538
2017-06-19,32.78,32.77,33.2,33.15,301385.0,33.084,2.2202
2017-06-20,32.94,32.58,33.3,32.89,190678.0,33.114,-0.7843
2017-06-21,32.99,32.84,33.37,32.87,169585.0,32.89,-0.0608
2017-06-22,32.86,32.82,33.14,33.09,718463.0,32.886,0.6693
2017-06-23,33.06,32.81,33.29,32.9,262363.0,32.98,-0.5742
2017-06-26,33.03,33.03,33.48,33.2,162119.0,32.99,0.9119
2017-06-27,33.21,32.87,33.4,33.06,216680.0,33.024,-0.4217
2017-06-28,33.11,33.02,34.42,33.66,273254.0,33.182,1.8149
2017-06-29,33.97,32.71,34.14,33.56,274382.0,33.276,-0.2971
2017-06-30,33.49,32.97,33.49,33.11,267787.0,33.318,-1.3409
2017-07-03,32.92,32.02,33.12,32.5,167084.0,33.178,-1.8423
2017-07-05,32.48,32.25,32.75,32.65,141721.0,33.096,0.4615
2017-07-06,32.33,31.6,32.35,31.6,263407.0,32.684,-3.2159
2017-07-07,31.78,31.7,32.51,32.49,170075.0,32.47,2.8165
2017-07-10,32.57,32.57,33.6,33.58,162747.0,32.564,3.3549
2017-07-11,33.58,32.8,33.58,33.24,169702.0,32.712,-1.0125
2017-07-12,33.27,33.17,33.9,33.78,132810.0,32.938,1.6245
2017-07-13,33.79,33.54,34.24,34.08,76564.0,33.434,0.8881
2017-07-14,34.0,33.79,34.24,34.0,117102.0,33.736,-0.2347
2017-07-17,34.1,33.75,34.11,33.82,82190.0,33.784,-0.5294
2017-07-18,33.85,33.6,34.01,33.74,108334.0,33.884,-0.2365
2017-07-19,33.67,33.19,33.88,33.52,130752.0,33.832,-0.652
2017-07-20,33.47,33.03,33.63,33.52,93329.0,33.72,0.0
2017-07-21,33.25,32.92,33.34,33.1,115095.0,33.54,-1.253
2017-07-24,32.91,32.84,33.66,33.66,152608.0,33.508,1.6918
2017-07-25,34.1,34.07,34.53,34.37,382359.0,33.634,2.1093
2017-07-26,34.52,33.93,34.52,34.0,141254.0,33.73,-1.0765
2017-07-27,34.22,32.9,34.34,33.19,134447.0,33.664,-2.3824
2017-07-28,33.28,32.72,33.37,32.86,92960.0,33.616,-0.9943
2017-07-31,32.86,32.86,33.56,33.49,113836.0,33.582,1.9172
2017-08-01,33.72,33.59,34.11,34.02,100598.0,33.512,1.5826
2017-08-02,32.5,32.5,33.88,33.53,179696.0,33.418,-1.4403
2017-08-03,33.19,33.19,33.73,33.52,143106.0,33.484,-0.0298
2017-08-04,33.72,33.72,34.43,34.13,157709.0,33.738,1.8198
2017-08-07,34.17,33.81,34.24,34.08,179487.0,33.856,-0.1465
2017-08-08,35.7,34.705,35.8,35.48,218328.0,34.148,4.108
2017-08-09,35.52,35.45,35.83,35.77,255192.0,34.596,0.8174
2017-08-10,35.64,35.12,35.64,35.3,188345.0,34.952,-1.314
2017-08-11,35.15,35.14,35.64,35.59,138571.0,35.244,0.8215
2017-08-14,35.79,35.39,36.24,35.69,153159.0,35.566,0.281
2017-08-15,34.88,34.88,35.72,35.2,103438.0,35.51,-1.3729
2017-08-16,35.0,35.0,35.5,35.23,132870.0,35.402,0.0852
2017-08-17,35.0,34.51,35.2,34.71,77470.0,35.284,-1.476
2017-08-18,34.93,34.21,34.93,34.31,152847.0,35.028,-1.1524
2017-08-21,34.37,34.27,34.62,34.5,113810.0,34.79,0.5538
2017-08-22,34.41,34.17,34.78,34.5,187041.0,34.65,0.0
2017-08-23,34.21,34.21,34.84,34.74,128930.0,34.552,0.6957
2017-08-24,34.91,34.52,34.97,34.82,88263.0,34.574,0.2303
2017-08-25,35.0,35.0,35.53,35.28,98141.0,34.768,1.3211
2017-08-28,35.26,34.95,35.49,35.13,151443.0,34.894,-0.4252
2017-08-29,34.42,33.86,34.43,34.16,119488.0,34.826,-2.7612
2017-08-30,34.13,33.76,34.21,34.17,97093.0,34.712,0.0293
2017-08-31,34.13,34.08,34.71,34.56,123582.0,34.66,1.1414
2017-09-01,34.64,34.64,34.87,34.79,57705.0,34.562,0.6655
2017-09-05,34.74,33.08,34.74,33.42,171837.0,34.22,-3.9379
2017-09-06,33.02,33.02,33.68,33.42,85320.0,34.072,0.0
2017-09-07,33.5,33.09,33.5,33.21,89993.0,33.88,-0.6284
2017-09-08,33.15,33.0,33.46,33.39,155152.0,33.646,0.542
2017-09-11,33.87,33.57,33.89,33.59,80358.0,33.406,0.599
2017-09-12,34.04,33.68,34.04,34.0,74678.0,33.522,1.2206
2017-09-13,33.73,32.79,33.73,33.04,236287.0,33.446,-2.8235
