date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D
2022-04-27,23.0,23.0,23.0,23.0,2.0,,
2022-04-28,23.0,22.31,23.05,22.69,1258.0,,-1.3478
2022-04-29,22.99,22.99,22.99,22.99,124.0,,1.3222
2022-05-02,23.0,22.98,25.0,24.5,2090.0,,6.5681
2022-05-03,24.65,23.28,25.48,23.8,15720.0,23.396,-2.8571
2022-05-04,24.85,24.2,24.85,24.2,2782.0,23.636,1.6807
2022-05-05,24.4,23.83,24.4,24.04,6943.0,23.906,-0.6612
2022-05-06,24.25,23.96,24.54,24.2,6160.0,24.148,0.6656
2022-05-09,24.14,23.6,24.23,24.16,11530.0,24.08,-0.1653
2022-05-10,24.22,23.03,24.39,24.39,13832.0,24.198,0.952
2022-05-11,24.08,23.91,24.38,24.36,8601.0,24.23,-0.123
2022-05-12,24.08,23.61,24.4,24.4,7700.0,24.302,0.1642
2022-05-13,24.39,23.95,25.86,25.31,14714.0,24.524,3.7295
2022-05-16,25.59,25.48,25.59,25.51,4781.0,24.794,0.7902
2022-05-17,25.32,25.32,28.0,27.4,11619.0,25.396,7.4089
2022-05-18,27.38,27.38,27.89,27.5,13568.0,26.024,0.365
2022-05-19,27.68,27.1,27.68,27.44,4981.0,26.632,-0.2182
2022-05-20,27.49,27.18,27.49,27.2,3871.0,27.01,-0.8746
2022-05-23,27.2,27.2,27.65,27.48,7520.0,27.404,1.0294
2022-05-24,27.32,27.32,27.73,27.57,5870.0,27.438,0.3275
2022-05-25,27.0,26.97,27.58,27.34,10164.0,27.406,-0.8342
2022-05-26,27.12,27.12,27.88,27.59,7810.0,27.436,0.9144
2022-05-27,27.5,27.5,27.9,27.87,6929.0,27.57,1.0149
2022-05-31,27.97,27.67,27.97,27.67,16080.0,27.608,-0.7176
2022-06-01,27.7,27.58,27.7,27.63,19983.0,27.62,-0.1446
2022-06-02,27.6,27.6,27.71,27.6,34876.0,27.672,-0.1086
2022-06-03,27.6,27.41,27.6,27.5,16453.0,27.654,-0.3623
2022-06-06,27.65,26.97,28.63,28.52,49554.0,27.784,3.7091
2022-06-07,28.41,26.0,28.91,27.26,21105.0,27.702,-4.418
2022-06-08,27.4,27.12,28.25,28.0,25143.0,27.776,2.7146
2022-06-09,27.84,27.495,28.1,27.59,20856.0,27.774,-1.4643
2022-06-10,27.33,27.33,28.22,27.93,17223.0,27.86,1.2323
2022-06-13,27.56,27.14,28.115,27.44,12441.0,27.644,-1.7544
2022-06-14,27.68,27.24,27.86,27.61,15524.0,27.714,0.6195
2022-06-15,27.53,27.53,28.65,28.35,114011.0,27.784,2.6802
2022-06-16,27.93,27.93,29.5,29.36,108821.0,28.138,3.5626
